PRCP       028004 18891201 20180131 missing_value=99999.9 PALMERVILLE                               
19111101 19111130    11.9
19111201 19111231   195.2
19120101 19120131   166.3
19120201 19120229   114.1
19120301 19120331   254.7
19120401 19120430    14.0
19120501 19120531     0.0
19120601 19120630    33.8
19120701 19120731     0.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031    64.7
19121101 19121130    18.5
19121201 19121231    68.1
19130101 19130131   553.8
19130201 19130228   648.8
19130301 19130331   285.4
19130401 19130430   118.9
19130501 19130531    64.3
19130601 19130630     5.0
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     0.0
19131001 19131031     1.5
19131101 19131130    12.0
19131201 19131231   408.9
19140101 19140131   179.0
19140201 19140228   140.0
19140301 19140331   300.9
19140401 19140430    61.5
19140501 19140531     3.1
19140601 19140630    56.1
19140701 19140731     2.8
19140801 19140831     3.8
19140901 19140930     0.0
19141001 19141031     0.0
19141101 19141130    30.8
19141201 19141231    69.7
19150101 19150131    82.4
19150201 19150228   261.5
19150301 19150331   115.0
19150401 19150430     6.4
19150501 19150531    28.7
19150601 19150630     0.0
19150701 19150731     4.1
19150801 19150831     0.0
19150901 19150930    14.7
19151001 19151031     0.0
19151101 19151130    64.5
19151201 19151231   202.4
19160101 19160131   232.2
19160201 19160229   174.6
19160301 19160331    73.1
19160401 19160430    93.4
19160501 19160531     5.1
19160601 19160630     0.0
19160701 19160731    21.3
19160801 19160831     2.3
19160901 19160930     1.3
19161001 19161031    60.2
19161101 19161130    51.4
19161201 19161231   239.5
19170101 19170131   172.2
19170201 19170228   371.7
19170301 19170331   129.0
19170401 19170430    74.7
19170501 19170531    39.4
19170601 19170630     7.3
19170701 19170731     0.0
19170801 19170831     3.0
19170901 19170930     0.0
19171001 19171031    55.1
19171101 19171130   167.2
19171201 19171231   224.0
19180101 19180131   322.9
19180201 19180228   371.1
19180301 19180331    45.5
19180401 19180430    19.5
19180501 19180531     1.3
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     0.0
19180901 19180930     1.5
19181001 19181031     0.0
19181101 19181130    18.3
19181201 19181231    63.5
19190101 19190131   140.1
19190201 19190228   103.9
19190301 19190331   108.2
19190401 19190430    20.9
19190501 19190531    29.7
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     0.0
19190901 19190930     0.8
19191001 19191031    14.0
19191101 19191130     9.9
19191201 19191231    55.9
19200101 19200131   262.1
19200201 19200229   214.0
19200301 19200331    79.4
19200401 19200430    16.0
19200501 19200531    77.8
19200601 19200630     0.0
19200701 19200731    15.7
19200801 19200831     0.0
19200901 19200930    15.2
19201001 19201031     8.4
19201101 19201130    19.0
19201201 19201231   112.5
19210101 19210131   265.6
19210201 19210228   177.5
19210301 19210331   310.7
19210401 19210430    94.3
19210501 19210531    16.2
19210601 19210630     8.7
19210701 19210731    14.2
19210801 19210831     0.0
19210901 19210930    25.4
19211001 19211031     2.3
19211101 19211130    57.4
19211201 19211231   188.4
19220101 19220131   184.3
19220201 19220228   453.3
19220301 19220331   129.4
19220401 19220430     7.0
19220501 19220531     9.2
19220601 19220630    13.0
19220701 19220731    27.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031     5.6
19221101 19221130    65.8
19221201 19221231    87.8
19230101 19230131   152.1
19230201 19230228   114.0
19230301 19230331   136.2
19230401 19230430    17.3
19230501 19230531     1.3
19230601 19230630    31.8
19230701 19230731     1.0
19230801 19230831    10.2
19230901 19230930     0.0
19231001 19231031    56.6
19231101 19231130    17.0
19231201 19231231   140.8
19240101 19240131   209.0
19240201 19240229   236.9
19240301 19240331   263.1
19240401 19240430    67.9
19240501 19240531     1.5
19240601 19240630    15.2
19240701 19240731     0.0
19240801 19240831     5.3
19240901 19240930    46.8
19241001 19241031    20.3
19241101 19241130   106.6
19241201 19241231   144.7
19250101 19250131   203.7
19250201 19250228   318.4
19250301 19250331   419.9
19250401 19250430    49.4
19250501 19250531     3.0
19250601 19250630     1.8
19250701 19250731     5.3
19250801 19250831     0.0
19250901 19250930     2.0
19251001 19251031     7.1
19251101 19251130    59.5
19251201 19251231   213.2
19260101 19260131   227.3
19260201 19260228    69.1
19260301 19260331   110.3
19260401 19260430    13.8
19260501 19260531     9.1
19260601 19260630    12.8
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    22.0
19261001 19261031     0.0
19261101 19261130     7.4
19261201 19261231   131.2
19270101 19270131   170.6
19270201 19270228   334.5
19270301 19270331    93.8
19270401 19270430    47.0
19270501 19270531     0.0
19270601 19270630    73.6
19270701 19270731     9.6
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031     7.8
19271101 19271130    56.8
19271201 19271231   200.4
19280101 19280131   132.2
19280201 19280229   404.6
19280301 19280331   198.7
19280401 19280430    29.9
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.5
19281001 19281031    11.7
19281101 19281130    44.5
19281201 19281231    83.5
19290101 19290131   441.9
19290201 19290228   217.8
19290301 19290331   157.0
19290401 19290430    35.4
19290501 19290531     0.0
19290601 19290630     2.3
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     7.6
19291101 19291130    49.2
19291201 19291231    75.9
19300101 19300131   554.5
19300201 19300228   257.1
19300301 19300331    68.6
19300401 19300430    16.3
19300501 19300531    25.4
19300601 19300630    10.7
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031    83.6
19301101 19301130    62.1
19301201 19301231   145.9
19310101 19310131   329.9
19310201 19310228   109.7
19310301 19310331    53.3
19310401 19310430   109.0
19310501 19310531     2.3
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.5
19310901 19310930    15.0
19311001 19311031     0.0
19311101 19311130    86.2
19311201 19311231   196.9
19320101 19320131   249.7
19320201 19320229   159.7
19320301 19320331    65.3
19320401 19320430    11.9
19320501 19320531    12.9
19320601 19320630     6.4
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     8.4
19321101 19321130    14.5
19321201 19321231   347.0
19330101 19330131   256.8
19330201 19330228   506.3
19330301 19330331   131.7
19330401 19330430    14.2
19330501 19330531    24.6
19330601 19330630    19.8
19330701 19330731     3.8
19330801 19330831     1.0
19330901 19330930     7.5
19331001 19331031    75.8
19331101 19331130   146.4
19331201 19331231   208.4
19340101 19340131   270.0
19340201 19340228   411.9
19340301 19340331   213.7
19340401 19340430   104.4
19340501 19340531    34.1
19340601 19340630    14.2
19340701 19340731    12.2
