PRCP       028004 18891201 20180131 missing_value=99999.9 PALMERVILLE                               
19850401 19850430    30.8
19850501 19850531     7.0
19850601 19850630     1.4
19850701 19850731    12.8
19850801 19850831     0.0
19850901 19850930     0.6
19851001 19851031    26.2
19851101 19851130   103.8
19851201 19851231   118.2
19860101 19860131   254.0
19860201 19860228   283.0
19860301 19860331    35.9
19860401 19860430    55.0
19860501 19860531     1.6
19860601 19860630     1.4
19860701 19860731     1.6
19860801 19860831     1.0
19860901 19860930     0.6
19861001 19861031    40.8
19861101 19861130    13.8
19861201 19861231    92.6
19870101 19870131   198.4
19870201 19870228   206.2
19870301 19870331   149.0
19870401 19870430     6.6
19870501 19870531     4.2
19870601 19870630    25.4
19870701 19870731    21.8
19870801 19870831     0.0
19870901 19870930     1.8
19871001 19871031    18.2
19871101 19871130    37.2
19871201 19871231   139.6
19880101 19880131    31.2
19880201 19880229   199.4
19880301 19880331    67.2
19880401 19880430    20.8
19880501 19880531    18.4
19880601 19880630     0.6
19880701 19880731     0.0
19880801 19880831     0.2
19880901 19880930     1.0
19881001 19881031    23.0
19881101 19881130    33.8
19881201 19881231   197.6
19890101 19890131   142.2
19890201 19890228   139.8
19890301 19890331   106.6
19890401 19890430    18.0
19890501 19890531    52.9
19890601 19890630     2.2
19890701 19890731     0.0
19890801 19890831     3.0
19890901 19890930     0.0
19891001 19891031    23.2
19891101 19891130   174.4
19891201 19891231    67.8
19900101 19900131    98.8
19900201 19900228    10.0
19900301 19900331   141.6
19900401 19900430    47.7
19900501 19900531    43.6
19900601 19900630    31.4
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     1.0
19901101 19901130     2.8
19901201 19901231   160.2
19910101 19910131   576.2
19910201 19910228   365.8
19910301 19910331    17.4
19910401 19910430    15.2
19910501 19910531    32.4
19910601 19910630     0.0
19910701 19910731     0.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130    62.2
19911201 19911231   100.8
19920101 19920131   179.0
19920201 19920229   266.4
19920301 19920331    86.6
19920401 19920430    60.6
19920501 19920531    13.8
19920601 19920630     0.0
19920701 19920731     0.6
19920801 19920831     0.4
19920901 19920930    40.2
19921001 19921031     0.0
19921101 19921130    17.0
19921201 19921231   169.2
19930101 19930131   123.4
19930201 19930228   451.4
19930301 19930331    40.0
19930401 19930430     7.6
19930501 19930531     0.0
19930601 19930630     0.0
19930701 19930731    10.2
19930801 19930831     0.0
19930901 19930930     0.6
19931001 19931031    43.6
19931101 19931130    36.0
19931201 19931231    45.4
19940101 19940131   188.4
19940201 19940228   163.8
19940301 19940331   298.4
19940401 19940430    21.0
19940501 19940531     6.0
19940601 19940630     0.0
19940701 19940731     0.6
19940801 19940831     3.0
19940901 19940930     0.0
19941001 19941031     3.6
19941101 19941130    12.0
19941201 19941231   208.4
19950101 19950131   136.0
19950201 19950228   387.4
19950301 19950331   335.8
19950401 19950430    28.8
19950501 19950531     5.4
19950601 19950630     0.0
19950701 19950731     0.0
19950801 19950831    14.8
19950901 19950930     0.0
19951001 19951031    18.2
19951101 19951130   128.4
19951201 19951231   133.0
19960101 19960131   472.0
19960201 19960229   218.2
19960301 19960331   297.6
19960401 19960430    41.8
19960501 19960531     6.4
19960601 19960630     0.0
19960701 19960731    26.0
19960801 19960831     0.0
19960901 19960930     0.6
19961001 19961031    75.8
19961101 19961130    24.0
19961201 19961231   173.4
19970101 19970131   176.8
19970201 19970228   130.2
19970301 19970331   250.0
19970401 19970430     0.0
19970501 19970531     6.4
19970601 19970630     7.4
19970701 19970731     1.2
19970801 19970831     0.0
19970901 19970930     1.2
19971001 19971031     0.6
19971101 19971130    32.0
19971201 19971231   306.0
19980101 19980131   600.8
19980201 19980228   216.8
19980301 19980331   122.4
19980401 19980430    82.0
19980501 19980531    24.8
19980601 19980630     1.4
19980701 19980731     0.0
19980801 19980831     0.0
19980901 19980930     8.9
19981001 19981031    29.6
19981101 19981130   121.8
19981201 19981231   145.0
19990101 19990131   406.8
19990201 19990228   363.4
19990301 19990331   214.6
19990401 19990430    86.2
19990501 19990531     7.0
19990601 19990630    10.8
19990701 19990731 99999.9
19990801 19990831    10.8
19990901 19990930     0.2
19991001 19991031     0.0
19991101 19991130   139.6
19991201 19991231   151.0
20000101 20000131   242.9
20000201 20000229   491.2
20000301 20000331   114.5
20000401 20000430    61.4
20000501 20000531     2.2
20000601 20000630    17.0
20000701 20000731     0.0
20000801 20000831     1.6
20000901 20000930     0.0
20001001 20001031     8.0
20001101 20001130   262.0
20001201 20001231   165.2
20010101 20010131    71.0
20010201 20010228   346.0
20010301 20010331   132.6
20010401 20010430    10.8
20010501 20010531     0.0
20010601 20010630     2.4
20010701 20010731     0.0
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031     2.0
20011101 20011130    89.6
20011201 20011231   219.6
20020101 20020131   320.6
20020201 20020228   348.0
20020301 20020331   106.2
20020401 20020430    49.0
20020501 20020531     3.6
20020601 20020630     4.8
20020701 20020731     0.0
20020801 20020831    10.2
20020901 20020930     7.0
20021001 20021031     0.0
20021101 20021130     8.0
20021201 20021231    67.0
20030101 20030131   109.2
20030201 20030228   205.2
20030301 20030331   154.4
20030401 20030430     3.2
20030501 20030531     0.4
20030601 20030630    10.0
20030701 20030731     0.0
20030801 20030831     0.0
20030901 20030930     0.0
20031001 20031031    25.4
20031101 20031130    13.4
20031201 20031231   182.4
20040101 20040131   223.6
20040201 20040229   287.0
20040301 20040331   137.0
20040401 20040430    80.4
20040501 20040531    50.6
20040601 20040630     0.6
20040701 20040731     1.2
20040801 20040831     0.0
20040901 20040930     1.0
20041001 20041031    10.2
20041101 20041130    59.2
20041201 20041231   125.8
20050101 20050131   292.7
20050201 20050228   135.4
20050301 20050331   119.4
20050401 20050430     5.6
20050501 20050531     0.0
20050601 20050630     1.6
20050701 20050731     0.0
20050801 20050831    10.8
20050901 20050930     4.6
20051001 20051031    56.2
20051101 20051130    37.0
20051201 20051231    69.6
20060101 20060131   400.0
20060201 20060228   136.4
20060301 20060331   111.0
20060401 20060430   120.0
20060501 20060531   143.4
20060601 20060630    71.2
20060701 20060731    28.8
20060801 20060831     0.2
20060901 20060930    30.8
20061001 20061031     1.6
20061101 20061130     5.0
20061201 20061231    73.2
20070101 20070131   405.6
20070201 20070228   419.2
20070301 20070331   325.4
20070401 20070430     1.2
20070501 20070531    11.8
20070601 20070630    25.8
20070701 20070731     0.0
20070801 20070831     3.4
20070901 20070930     7.0
20071001 20071031   122.6
20071101 20071130    22.0
20071201 20071231   355.8
20080101 20080131   231.2
20080201 20080229   490.0
20080301 20080331   192.8
20080401 20080430     9.0
20080501 20080531     4.4
20080601 20080630     0.0
20080701 20080731    13.0
20080801 20080831     0.8
20080901 20080930    25.4
20081001 20081031     7.0
20081101 20081130    49.0
20081201 20081231   193.2
20090101 20090131   632.4
20090201 20090228   340.0
20090301 20090331   161.0
20090401 20090430    17.4
20090501 20090531    12.2
20090601 20090630     0.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     0.0
20091001 20091031     0.4
20091101 20091130    14.8
20091201 20091231   132.0
20100101 20100131   535.0
20100201 20100228   268.0
20100301 20100331   121.6
20100401 20100430    99.2
20100501 20100531     1.0
20100601 20100630     8.6
20100701 20100731     0.0
20100801 20100831     2.0
20100901 20100930   127.2
20101001 20101031    64.8
20101101 20101130   206.0
20101201 20101231   238.6
20110101 20110131   379.8
20110201 20110228   360.4
20110301 20110331   284.2
20110401 20110430    83.0
20110501 20110531     0.0
20110601 20110630   307.2
20110701 20110731     0.0
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031    16.8
20111101 20111130    31.8
20111201 20111231 99999.9
20120101 20120131   210.4
20120201 20120229   246.8
20120301 20120331   169.8
20120401 20120430    43.2
20120501 20120531    19.2
20120601 20120630     7.2
20120701 20120731     0.8
20120801 20120831     0.4
20120901 20120930     0.0
20121001 20121031    24.6
20121101 20121130    20.0
20121201 20121231    68.0
20130101 20130131   421.4
20130201 20130228    60.8
20130301 20130331   207.2
20130401 20130430   229.6
20130501 20130531    11.0
20130601 20130630     0.0
20130701 20130731     0.0
20130801 20130831     2.6
20130901 20130930     0.2
20131001 20131031    40.8
20131101 20131130   162.4
20131201 20131231    30.8
20140101 20140131   119.8
20140201 20140228   341.4
20140301 20140331    90.2
20140401 20140430    86.2
20140501 20140531     6.4
20140601 20140630    47.0
20140701 20140731     0.0
20140801 20140831     6.4
20140901 20140930     0.0
20141001 20141031     2.6
20141101 20141130     1.0
20141201 20141231    35.6
20150101 20150131   224.0
20150201 20150228    86.8
20150301 20150331    39.0
20150401 20150430    14.0
20150501 20150531     0.0
20150601 20150630     3.0
20150701 20150731     1.6
20150801 20150831     0.0
20150901 20150930     0.0
20151001 20151031     5.4
20151101 20151130    60.4
20151201 20151231   281.0
20160101 20160131   150.4
20160201 20160229   167.0
20160301 20160331   298.4
20160401 20160430     9.4
20160501 20160531    45.6
20160601 20160630     5.2
20160701 20160731     0.6
20160801 20160831     0.0
20160901 20160930     8.0
20161001 20161031    50.8
20161101 20161130    57.4
20161201 20161231    36.6
20170101 20170131   183.8
20170201 20170228   142.4
20170301 20170331   149.6
20170401 20170430    20.6
20170501 20170531     0.6
20170601 20170630     2.0
20170701 20170731     0.0
20170801 20170831     0.0
20170901 20170930     0.6
20171001 20171031   110.0
20171101 20171130    49.0
20171201 20171231     9.0
20180101 20180131   282.4
