PRCP       055063 18920401 20080131 missing_value=99999.9 WILLOW TREE (MAIN STREET)                 
19140201 19140228    50.8
19140301 19140331    92.5
19140401 19140430    45.5
19140501 19140531    19.5
19140601 19140630    42.9
19140701 19140731    63.6
19140801 19140831     0.0
19140901 19140930    26.1
19141001 19141031    44.2
19141101 19141130    98.3
19141201 19141231    93.1
19150101 19150131    33.2
19150201 19150228    20.6
19150301 19150331    44.9
19150401 19150430    25.3
19150501 19150531    67.5
19150601 19150630    33.2
19150701 19150731    76.1
19150801 19150831    36.7
19150901 19150930    39.8
19151001 19151031    48.5
19151101 19151130     4.8
19151201 19151231    94.5
19160101 19160131    13.0
19160201 19160229   123.3
19160301 19160331    62.5
19160401 19160430   106.2
19160501 19160531    21.4
19160601 19160630   116.0
19160701 19160731   141.3
19160801 19160831    79.0
19160901 19160930    32.4
19161001 19161031    81.6
19161101 19161130   128.2
19161201 19161231   166.3
19170101 19170131   104.7
19170201 19170228    40.1
19170301 19170331    11.3
19170401 19170430     1.9
19170501 19170531    13.9
19170601 19170630    67.3
19170701 19170731    27.0
19170801 19170831    46.0
19170901 19170930   128.7
19171001 19171031    51.0
19171101 19171130   135.2
19171201 19171231    90.4
19180101 19180131    83.3
19180201 19180228    37.8
19180301 19180331    11.0
19180401 19180430    28.3
19180501 19180531    21.4
19180601 19180630    20.4
19180701 19180731    40.5
19180801 19180831   155.9
19180901 19180930    20.9
19181001 19181031    14.9
19181101 19181130    21.4
19181201 19181231     3.4
19190101 19190131    65.2
19190201 19190228   102.1
19190301 19190331    15.2
19190401 19190430    21.8
19190501 19190531    56.4
19190601 19190630    33.9
19190701 19190731    24.7
19190801 19190831    18.6
19190901 19190930     9.2
19191001 19191031    31.5
19191101 19191130    10.5
19191201 19191231    67.6
19200101 19200131   119.7
19200201 19200229    63.9
19200301 19200331    11.9
19200401 19200430    38.5
19200501 19200531     4.3
19200601 19200630   246.2
19200701 19200731   221.3
19200801 19200831    67.8
19200901 19200930    41.2
19201001 19201031    11.4
19201101 19201130    66.4
19201201 19201231   180.1
19210101 19210131     0.0
19210201 19210228     8.0
19210301 19210331   129.6
19210401 19210430   152.0
19210501 19210531   113.6
19210601 19210630   110.9
19210701 19210731   163.4
19210801 19210831    35.9
19210901 19210930    22.7
19211001 19211031    47.7
19211101 19211130   103.6
19211201 19211231   139.1
19220101 19220131    47.6
19220201 19220228    17.1
19220301 19220331     5.4
19220401 19220430    20.5
19220501 19220531     3.1
19220601 19220630    17.5
19220701 19220731    77.5
19220801 19220831    15.4
19220901 19220930    29.1
19221001 19221031    48.3
19221101 19221130    15.3
19221201 19221231   154.6
19230101 19230131    12.2
19230201 19230228     3.9
19230301 19230331    13.5
19230401 19230430     9.4
19230501 19230531     5.8
19230601 19230630   138.0
19230701 19230731    81.4
19230801 19230831    25.8
19230901 19230930    76.9
19231001 19231031    20.8
19231101 19231130    85.1
19231201 19231231    88.8
19240101 19240131    97.8
19240201 19240229   130.6
19240301 19240331    70.5
19240401 19240430    73.4
19240501 19240531    25.2
19240601 19240630    15.9
19240701 19240731    35.0
19240801 19240831    34.1
19240901 19240930    56.0
19241001 19241031    35.0
19241101 19241130   185.5
19241201 19241231    28.4
19250101 19250131    46.7
19250201 19250228    35.1
19250301 19250331    33.9
19250401 19250430     2.3
19250501 19250531    54.2
19250601 19250630    39.1
19250701 19250731    31.2
19250801 19250831    42.2
19250901 19250930    10.4
19251001 19251031    19.9
19251101 19251130    31.5
19251201 19251231    48.9
19260101 19260131    47.9
19260201 19260228    12.9
19260301 19260331   183.5
19260401 19260430    84.7
19260501 19260531   121.2
19260601 19260630    41.7
19260701 19260731    54.3
19260801 19260831    18.8
19260901 19260930    64.3
19261001 19261031     9.4
19261101 19261130    13.5
19261201 19261231   168.8
19270101 19270131    42.2
19270201 19270228     1.6
19270301 19270331    16.5
19270401 19270430    79.5
19270501 19270531    15.0
19270601 19270630     8.0
19270701 19270731    12.3
19270801 19270831    27.9
19270901 19270930     7.7
19271001 19271031    50.4
19271101 19271130    83.1
19271201 19271231    53.0
19280101 19280131   112.1
19280201 19280229   111.8
19280301 19280331   139.1
19280401 19280430    71.6
19280501 19280531    25.4
19280601 19280630    98.9
19280701 19280731    93.3
19280801 19280831     3.4
19280901 19280930     5.5
19281001 19281031    33.2
19281101 19281130    30.0
19281201 19281231    41.4
19290101 19290131    22.9
19290201 19290228    83.6
19290301 19290331    16.3
19290401 19290430    59.7
19290501 19290531    10.4
19290601 19290630    22.6
19290701 19290731    21.4
19290801 19290831    51.4
19290901 19290930   124.6
19291001 19291031    85.7
19291101 19291130    61.3
19291201 19291231    35.9
19300101 19300131    69.6
19300201 19300228    14.0
19300301 19300331    27.5
19300401 19300430     9.6
19300501 19300531    16.2
19300601 19300630   188.4
19300701 19300731    62.3
19300801 19300831    18.1
19300901 19300930    31.0
19301001 19301031   117.4
19301101 19301130    23.2
19301201 19301231    12.2
19310101 19310131    56.4
19310201 19310228    17.1
19310301 19310331    93.5
19310401 19310430   147.0
19310501 19310531   112.9
19310601 19310630   109.8
19310701 19310731    59.4
