PRCP       055063 18920401 20080131 missing_value=99999.9 WILLOW TREE (MAIN STREET)                 
19871101 19871130    30.0
19871201 19871231    80.8
19880101 19880131   139.0
19880201 19880229    76.8
19880301 19880331     1.6
19880401 19880430    95.6
19880501 19880531    74.6
19880601 19880630    24.0
19880701 19880731    50.0
19880801 19880831    95.0
19880901 19880930    79.6
19881001 19881031    20.6
19881101 19881130    70.2
19881201 19881231   128.2
19890101 19890131    56.8
19890201 19890228     6.2
19890301 19890331   115.1
19890401 19890430   158.2
19890501 19890531    93.0
19890601 19890630    95.2
19890701 19890731    74.2
19890801 19890831    13.4
19890901 19890930     5.8
19891001 19891031    73.2
19891101 19891130    76.6
19891201 19891231    56.4
19900101 19900131    90.8
19900201 19900228   138.3
19900301 19900331    64.9
19900401 19900430   146.3
19900501 19900531   100.9
19900601 19900630    35.5
19900701 19900731    77.1
19900801 19900831    82.8
19900901 19900930    72.3
19901001 19901031    46.8
19901101 19901130    13.8
19901201 19901231   119.8
19910101 19910131   234.6
19910201 19910228    17.6
19910301 19910331    29.2
19910401 19910430     0.0
19910501 19910531    91.4
19910601 19910630    36.0
19910701 19910731    76.8
19910801 19910831     2.6
19910901 19910930    28.6
19911001 19911031    26.0
19911101 19911130    46.6
19911201 19911231   115.4
19920101 19920131    26.4
19920201 19920229   236.2
19920301 19920331     7.4
19920401 19920430    39.6
19920501 19920531    23.8
19920601 19920630    27.4
19920701 19920731    31.0
19920801 19920831    74.0
19920901 19920930    48.0
19921001 19921031    50.0
19921101 19921130    95.0
19921201 19921231   157.4
19930101 19930131   102.2
19930201 19930228    53.4
19930301 19930331    40.2
19930401 19930430     0.0
19930501 19930531    84.6
19930601 19930630   101.0
19930701 19930731    77.8
19930801 19930831    29.6
19930901 19930930    79.2
19931001 19931031   129.8
19931101 19931130    77.2
19931201 19931231    72.4
19940101 19940131    30.8
19940201 19940228    42.6
19940301 19940331    26.6
19940401 19940430    30.4
19940501 19940531     1.8
19940601 19940630    19.0
19940701 19940731    19.8
19940801 19940831     8.8
19940901 19940930     6.8
19941001 19941031    20.8
19941101 19941130    91.6
19941201 19941231    29.8
19950101 19950131   103.8
19950201 19950228     8.0
19950301 19950331     2.0
19950401 19950430     0.0
19950501 19950531   108.3
19950601 19950630    38.0
19950701 19950731    21.0
19950801 19950831     0.0
19950901 19950930    86.2
19951001 19951031    54.8
19951101 19951130    82.8
19951201 19951231   209.4
19960101 19960131   241.6
19960201 19960229    19.0
19960301 19960331    50.4
19960401 19960430     3.4
19960501 19960531    58.4
19960601 19960630    33.0
19960701 19960731    84.8
19960801 19960831    82.8
19960901 19960930    57.8
19961001 19961031    40.6
19961101 19961130    62.9
19961201 19961231   123.2
19970101 19970131    89.2
19970201 19970228   120.8
19970301 19970331    11.8
19970401 19970430     0.0
19970501 19970531    58.6
19970601 19970630    10.2
19970701 19970731    14.2
19970801 19970831 99999.9
19970901 19970930 99999.9
19971001 19971031 99999.9
19971101 19971130 99999.9
19971201 19971231 99999.9
19980101 19980131    50.8
19980201 19980228   102.0
19980301 19980331     5.6
19980401 19980430   105.8
19980501 19980531    88.0
19980601 19980630    97.4
19980701 19980731   216.8
19980801 19980831 99999.9
19980901 19980930 99999.9
19981001 19981031 99999.9
19981101 19981130 99999.9
19981201 19981231 99999.9
19990101 19990131   109.4
19990201 19990228    47.4
19990301 19990331    69.4
19990401 19990430    72.4
19990501 19990531     9.6
19990601 19990630    35.2
19990701 19990731    31.0
19990801 19990831    68.2
19990901 19990930    44.8
19991001 19991031   164.8
19991101 19991130    78.0
19991201 19991231    93.7
20000101 20000131    58.8
20000201 20000229    15.0
20000301 20000331   104.8
20000401 20000430    51.4
20000501 20000531    87.4
20000601 20000630    27.8
20000701 20000731    40.0
20000801 20000831    85.0
20000901 20000930    15.6
20001001 20001031   132.2
20001101 20001130   299.4
20001201 20001231    60.8
20010101 20010131    21.6
20010201 20010228    16.0
20010301 20010331   164.0
20010401 20010430    31.4
20010501 20010531    33.4
20010601 20010630    25.6
20010701 20010731    68.6
20010801 20010831    51.6
20010901 20010930    30.0
20011001 20011031    71.4
20011101 20011130    89.8
20011201 20011231    58.4
20020101 20020131    63.6
20020201 20020228    64.6
20020301 20020331    26.8
20020401 20020430     2.8
20020501 20020531    15.0
20020601 20020630    25.6
20020701 20020731     4.0
20020801 20020831    12.2
20020901 20020930 99999.9
20021001 20021031     2.0
20021101 20021130    44.4
20021201 20021231   151.0
20030101 20030131    13.0
20030201 20030228    52.6
20030301 20030331 99999.9
20030401 20030430    65.8
20030501 20030531     0.0
20030601 20030630    43.6
20030701 20030731    18.2
20030801 20030831    78.8
20030901 20030930    20.0
20031001 20031031    92.7
20031101 20031130    57.0
20031201 20031231    79.8
20040101 20040131   164.3
20040201 20040229    85.6
20040301 20040331    89.6
20040401 20040430    21.0
20040501 20040531    36.6
20040601 20040630 99999.9
20040701 20040731 99999.9
20040801 20040831 99999.9
20040901 20040930 99999.9
20041001 20041031 99999.9
20041101 20041130 99999.9
20041201 20041231 99999.9
20050101 20050131    63.8
20050201 20050228    45.6
20050301 20050331    42.2
20050401 20050430     0.0
20050501 20050531    14.4
20050601 20050630   105.4
20050701 20050731    68.0
20050801 20050831    27.8
20050901 20050930    81.6
20051001 20051031    78.6
20051101 20051130    66.6
20051201 20051231    55.0
20060101 20060131    48.4
20060201 20060228    44.6
20060301 20060331    17.4
20060401 20060430    96.6
20060501 20060531     0.0
20060601 20060630    35.0
20060701 20060731    56.2
20060801 20060831     3.0
20060901 20060930    36.4
20061001 20061031    20.2
20061101 20061130    63.4
20061201 20061231    73.8
20070101 20070131    44.0
20070201 20070228    33.2
20070301 20070331    72.2
20070401 20070430    31.2
20070501 20070531    61.8
20070601 20070630   164.2
20070701 20070731    10.0
20070801 20070831    64.0
20070901 20070930     4.0
20071001 20071031    48.2
20071101 20071130    65.0
20071201 20071231   134.8
20080101 20080131    58.6
