PRCP       026025 18630101 20171231 missing_value=99999.9 PENOLA POST OFFICE                        
18841201 18841231    62.3
18850101 18850131    46.0
18850201 18850228    56.0
18850301 18850331    24.4
18850401 18850430    31.0
18850501 18850531    67.1
18850601 18850630   151.6
18850701 18850731    75.7
18850801 18850831   112.1
18850901 18850930    42.6
18851001 18851031    23.5
18851101 18851130     9.8
18851201 18851231    67.8
18860101 18860131    65.0
18860201 18860228    12.2
18860301 18860331    12.6
18860401 18860430    54.4
18860501 18860531    40.8
18860601 18860630    26.9
18860701 18860731   104.5
18860801 18860831   116.5
18860901 18860930    65.1
18861001 18861031    81.1
18861101 18861130    48.8
18861201 18861231    12.8
18870101 18870131    47.7
18870201 18870228     9.2
18870301 18870331    12.1
18870401 18870430    32.5
18870501 18870531    63.6
18870601 18870630   130.2
18870701 18870731   120.3
18870801 18870831    48.0
18870901 18870930    80.7
18871001 18871031    39.6
18871101 18871130    94.1
18871201 18871231     8.4
18880101 18880131     9.9
18880201 18880229    12.0
18880301 18880331    21.4
18880401 18880430    29.8
18880501 18880531    65.0
18880601 18880630   110.6
18880701 18880731   138.0
18880801 18880831    69.0
18880901 18880930    40.5
18881001 18881031    13.3
18881101 18881130    12.7
18881201 18881231    15.0
18890101 18890131    37.3
18890201 18890228    36.6
18890301 18890331     8.9
18890401 18890430   101.9
18890501 18890531    94.0
18890601 18890630   138.0
18890701 18890731    55.5
18890801 18890831   121.0
18890901 18890930    43.7
18891001 18891031    97.5
18891101 18891130    50.0
18891201 18891231     9.1
18900101 18900131    27.4
18900201 18900228     0.0
18900301 18900331    21.6
18900401 18900430    36.3
18900501 18900531    48.5
18900601 18900630   118.9
18900701 18900731    58.6
18900801 18900831   125.5
18900901 18900930    92.9
18901001 18901031    62.7
18901101 18901130    62.7
18901201 18901231    11.2
18910101 18910131    12.8
18910201 18910228     3.0
18910301 18910331    31.0
18910401 18910430    27.7
18910501 18910531    36.0
18910601 18910630    82.8
18910701 18910731    64.3
18910801 18910831    43.6
18910901 18910930    38.9
18911001 18911031   101.0
18911101 18911130    27.2
18911201 18911231    62.9
18920101 18920131    14.2
18920201 18920229     4.6
18920301 18920331    31.5
18920401 18920430    53.3
18920501 18920531    57.7
18920601 18920630    77.5
18920701 18920731    72.9
18920801 18920831    83.0
18920901 18920930    47.1
18921001 18921031    49.8
18921101 18921130    27.5
18921201 18921231    59.4
18930101 18930131    16.3
18930201 18930228     0.3
18930301 18930331    25.2
18930401 18930430    61.5
18930501 18930531   133.7
18930601 18930630    66.0
18930701 18930731   101.7
18930801 18930831   105.4
18930901 18930930   132.6
18931001 18931031    65.1
18931101 18931130    51.2
18931201 18931231    10.2
18940101 18940131    29.5
18940201 18940228    11.2
18940301 18940331    59.8
18940401 18940430    66.8
18940501 18940531    42.2
18940601 18940630    47.1
18940701 18940731   124.2
18940801 18940831    99.0
18940901 18940930    73.7
18941001 18941031   120.8
18941101 18941130     9.4
18941201 18941231    64.4
18950101 18950131    52.1
18950201 18950228     2.9
18950301 18950331    57.0
18950401 18950430    70.7
18950501 18950531    51.6
18950601 18950630    75.5
18950701 18950731   142.8
18950801 18950831   137.2
18950901 18950930    65.7
18951001 18951031    33.0
18951101 18951130     0.9
18951201 18951231    55.6
18960101 18960131    75.4
18960201 18960229    15.2
18960301 18960331    59.9
18960401 18960430    87.3
18960501 18960531    52.2
18960601 18960630    41.8
18960701 18960731    62.5
18960801 18960831    40.3
18960901 18960930    37.3
18961001 18961031    22.2
18961101 18961130     3.7
18961201 18961231    80.3
18970101 18970131    15.8
18970201 18970228    17.1
18970301 18970331    22.6
18970401 18970430    43.3
18970501 18970531    79.4
18970601 18970630    47.3
18970701 18970731    62.5
18970801 18970831   108.3
18970901 18970930    77.2
18971001 18971031    42.5
18971101 18971130    28.1
18971201 18971231     5.3
18980101 18980131     4.9
18980201 18980228    10.6
18980301 18980331    26.5
18980401 18980430    53.0
18980501 18980531    36.4
18980601 18980630   127.1
18980701 18980731   126.7
18980801 18980831    65.5
18980901 18980930    72.8
18981001 18981031    50.8
18981101 18981130    51.8
18981201 18981231    14.5
18990101 18990131    27.1
18990201 18990228    26.1
18990301 18990331    43.3
18990401 18990430    53.4
18990501 18990531    50.5
18990601 18990630   117.7
18990701 18990731    24.7
18990801 18990831    26.4
18990901 18990930    37.7
18991001 18991031    46.9
18991101 18991130    36.5
18991201 18991231    31.0
19000101 19000131    35.6
19000201 19000228     2.8
19000301 19000331    85.1
19000401 19000430    94.4
19000501 19000531    59.1
19000601 19000630   108.5
19000701 19000731    39.4
19000801 19000831   112.5
19000901 19000930    54.3
19001001 19001031    39.5
19001101 19001130     7.9
19001201 19001231    10.6
19010101 19010131    48.9
