PRCP       013005 19200101 20180131 missing_value=99999.9 LORNA GLEN                                
19411201 19411231   104.5
19420101 19420131   136.9
19420201 19420228    23.0
19420301 19420331   251.0
19420401 19420430    22.0
19420501 19420531   112.1
19420601 19420630    11.7
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130     0.0
19421201 19421231    41.1
19430101 19430131    19.0
19430201 19430228    38.1
19430301 19430331    20.2
19430401 19430430    55.1
19430501 19430531    16.3
19430601 19430630     6.9
19430701 19430731     1.3
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130     5.6
19431201 19431231     0.5
19440101 19440131     5.6
19440201 19440229     0.0
19440301 19440331     8.9
19440401 19440430    52.1
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     4.1
19440901 19440930     0.0
19441001 19441031     5.8
19441101 19441130    18.9
19441201 19441231     5.6
19450101 19450131    12.5
19450201 19450228     0.5
19450301 19450331    64.2
19450401 19450430     0.0
19450501 19450531    12.2
19450601 19450630    52.3
19450701 19450731    38.1
19450801 19450831    26.9
19450901 19450930     0.8
19451001 19451031    11.5
19451101 19451130     4.3
19451201 19451231    25.4
19460101 19460131     4.0
19460201 19460228   128.7
19460301 19460331    67.0
19460401 19460430    23.6
19460501 19460531    17.7
19460601 19460630    12.0
19460701 19460731    30.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     1.8
19461201 19461231     0.0
19470101 19470131    61.2
19470201 19470228   256.5
19470301 19470331    74.2
19470401 19470430    18.0
19470501 19470531     8.1
19470601 19470630    16.5
19470701 19470731    40.6
19470801 19470831    59.0
19470901 19470930     0.0
19471001 19471031     8.1
19471101 19471130     8.6
19471201 19471231    37.1
19480101 19480131    10.4
19480201 19480229    54.1
19480301 19480331    62.3
19480401 19480430    74.4
19480501 19480531    27.1
19480601 19480630    31.5
19480701 19480731     8.4
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     9.6
19481201 19481231    16.7
19490101 19490131     2.3
19490201 19490228    31.1
19490301 19490331     0.0
19490401 19490430     0.0
19490501 19490531    45.2
19490601 19490630    16.8
19490701 19490731     1.3
19490801 19490831     1.8
19490901 19490930     4.1
19491001 19491031     0.0
19491101 19491130    31.8
19491201 19491231     6.9
19500101 19500131    12.4
19500201 19500228    18.6
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    46.7
19500601 19500630     5.6
19500701 19500731     6.1
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     1.3
19501101 19501130    18.3
19501201 19501231     0.0
19510101 19510131    14.1
19510201 19510228     7.6
19510301 19510331     2.1
19510401 19510430     4.1
19510501 19510531     0.0
19510601 19510630    69.7
19510701 19510731    32.3
19510801 19510831     2.8
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     3.8
19520101 19520131    20.6
19520201 19520229     1.3
19520301 19520331    14.2
19520401 19520430     0.8
19520501 19520531    74.2
19520601 19520630    10.5
19520701 19520731     9.4
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031    28.9
19521101 19521130     5.6
19521201 19521231     2.0
19530101 19530131     4.0
19530201 19530228     0.0
19530301 19530331   139.4
19530401 19530430     0.0
19530501 19530531    48.7
19530601 19530630    14.4
19530701 19530731     8.3
19530801 19530831     3.6
19530901 19530930     0.5
19531001 19531031     3.0
19531101 19531130     6.6
19531201 19531231    35.8
19540101 19540131    28.6
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    34.1
19540501 19540531    32.7
19540601 19540630    27.5
19540701 19540731    10.7
19540801 19540831     9.5
19540901 19540930     0.0
19541001 19541031     8.6
19541101 19541130     2.9
19541201 19541231    25.4
19550101 19550131   137.1
19550201 19550228     4.8
19550301 19550331    49.3
19550401 19550430    19.9
19550501 19550531    26.4
19550601 19550630   110.5
19550701 19550731    47.2
19550801 19550831    12.7
19550901 19550930    14.2
19551001 19551031     0.0
19551101 19551130    39.1
19551201 19551231    13.5
19560101 19560131     7.1
19560201 19560229    12.7
19560301 19560331     0.0
19560401 19560430     0.0
19560501 19560531    12.7
19560601 19560630    16.5
19560701 19560731    23.3
19560801 19560831     9.9
19560901 19560930     0.0
19561001 19561031     0.0
19561101 19561130    15.0
19561201 19561231    17.3
19570101 19570131    71.6
19570201 19570228    15.8
19570301 19570331     0.0
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630     3.3
19570701 19570731     0.5
19570801 19570831     0.0
19570901 19570930    17.0
19571001 19571031     5.3
19571101 19571130     0.0
19571201 19571231    25.9
19580101 19580131    58.9
19580201 19580228     0.0
19580301 19580331   237.0
19580401 19580430     1.8
19580501 19580531    11.0
19580601 19580630    44.0
19580701 19580731     2.8
19580801 19580831    16.2
19580901 19580930    23.1
19581001 19581031     4.6
19581101 19581130    24.2
19581201 19581231    21.9
19590101 19590131     7.6
19590201 19590228     0.0
19590301 19590331     8.4
19590401 19590430    65.6
19590501 19590531     0.0
19590601 19590630    25.7
19590701 19590731    16.5
19590801 19590831     2.8
19590901 19590930     3.3
19591001 19591031     0.0
19591101 19591130     0.0
19591201 19591231    25.9
19600101 19600131    44.7
19600201 19600229   118.2
19600301 19600331    31.9
19600401 19600430    27.9
19600501 19600531     0.0
19600601 19600630    17.0
19600701 19600731    17.8
19600801 19600831     0.0
19600901 19600930     4.0
19601001 19601031     2.3
19601101 19601130     0.0
19601201 19601231     6.6
19610101 19610131    27.5
19610201 19610228    36.5
19610301 19610331     0.5
19610401 19610430    58.7
19610501 19610531     2.0
19610601 19610630    16.8
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     2.3
19611201 19611231     0.0
19620101 19620131    15.2
19620201 19620228    52.1
19620301 19620331    35.5
19620401 19620430     0.0
19620501 19620531     2.5
19620601 19620630     8.4
19620701 19620731     5.6
19620801 19620831     0.8
19620901 19620930     0.0
19621001 19621031     6.6
19621101 19621130     0.0
19621201 19621231    17.0
19630101 19630131    36.1
19630201 19630228    44.4
19630301 19630331    63.2
19630401 19630430     1.8
19630501 19630531    17.7
19630601 19630630     0.0
19630701 19630731     2.0
