PRCP       092012 18880801 20180131 missing_value=99999.9 FINGAL (FORESTRY LEGGE STREET)            
19100601 19100630   164.1
19100701 19100731    41.2
19100801 19100831    37.0
19100901 19100930    90.1
19101001 19101031    47.5
19101101 19101130    31.7
19101201 19101231    50.2
19110101 19110131    14.0
19110201 19110228    49.2
19110301 19110331   240.8
19110401 19110430    22.9
19110501 19110531    81.2
19110601 19110630    38.0
19110701 19110731    35.6
19110801 19110831    13.0
19110901 19110930    55.1
19111001 19111031    34.2
19111101 19111130    14.7
19111201 19111231    45.4
19120101 19120131    25.4
19120201 19120229    15.3
19120301 19120331    48.6
19120401 19120430    42.1
19120501 19120531    19.1
19120601 19120630   124.5
19120701 19120731    88.7
19120801 19120831    25.4
19120901 19120930    75.2
19121001 19121031    58.7
19121101 19121130    52.3
19121201 19121231    48.0
19130101 19130131    19.6
19130201 19130228    16.5
19130301 19130331    30.0
19130401 19130430    78.7
19130501 19130531    15.6
19130601 19130630    46.9
19130701 19130731     5.0
19130801 19130831    45.9
19130901 19130930    12.4
19131001 19131031     3.8
19131101 19131130    44.0
19131201 19131231    29.8
19140101 19140131    16.3
19140201 19140228     0.0
19140301 19140331    74.4
19140401 19140430    86.5
19140501 19140531    22.9
19140601 19140630    24.8
19140701 19140731    83.1
19140801 19140831    12.8
19140901 19140930     8.0
19141001 19141031     9.1
19141101 19141130     8.7
19141201 19141231    69.2
19150101 19150131    13.0
19150201 19150228    13.5
19150301 19150331    18.7
19150401 19150430   112.8
19150501 19150531    64.3
19150601 19150630    56.1
19150701 19150731    38.1
19150801 19150831   126.0
19150901 19150930    81.2
19151001 19151031    69.1
19151101 19151130    30.6
19151201 19151231    16.8
19160101 19160131    90.4
19160201 19160229    55.1
19160301 19160331    29.8
19160401 19160430    46.5
19160501 19160531     8.2
19160601 19160630   151.8
19160701 19160731    84.6
19160801 19160831   123.3
19160901 19160930    96.7
19161001 19161031    65.9
19161101 19161130   117.3
19161201 19161231   161.0
19170101 19170131    38.3
19170201 19170228    48.9
19170301 19170331    82.7
19170401 19170430   200.4
19170501 19170531    55.7
19170601 19170630   113.3
19170701 19170731    39.0
19170801 19170831    45.4
19170901 19170930    48.8
19171001 19171031   100.4
19171101 19171130    93.7
19171201 19171231    26.9
19180101 19180131    45.8
19180201 19180228    42.4
19180301 19180331    25.1
19180401 19180430    37.1
19180501 19180531    68.9
19180601 19180630    51.4
19180701 19180731    62.5
19180801 19180831    33.3
19180901 19180930    48.9
19181001 19181031    55.2
19181101 19181130    15.0
19181201 19181231    26.9
19190101 19190131    37.1
19190201 19190228    31.3
19190301 19190331    67.1
19190401 19190430    14.9
19190501 19190531    37.5
19190601 19190630    37.1
19190701 19190731    23.9
19190801 19190831    18.8
19190901 19190930    20.4
19191001 19191031    27.1
19191101 19191130    16.0
19191201 19191231    25.4
19200101 19200131    52.3
19200201 19200229     3.3
19200301 19200331    24.4
19200401 19200430    33.0
19200501 19200531    57.9
19200601 19200630    75.6
19200701 19200731    69.9
19200801 19200831   114.9
19200901 19200930    90.5
19201001 19201031    29.2
19201101 19201130    13.0
19201201 19201231    34.9
19210101 19210131    59.4
19210201 19210228    14.7
19210301 19210331     9.2
19210401 19210430    38.9
19210501 19210531    56.2
19210601 19210630    87.4
19210701 19210731    60.3
19210801 19210831    37.4
19210901 19210930    57.9
19211001 19211031    55.3
19211101 19211130    23.4
19211201 19211231    14.3
19220101 19220131    35.7
19220201 19220228   141.8
19220301 19220331    11.2
19220401 19220430    21.3
19220501 19220531    41.2
19220601 19220630   194.6
19220701 19220731   121.5
19220801 19220831    19.8
19220901 19220930    31.8
19221001 19221031    86.1
19221101 19221130     6.6
19221201 19221231    98.0
19230101 19230131    63.3
19230201 19230228    13.9
19230301 19230331    29.6
19230401 19230430     6.6
19230501 19230531   108.0
19230601 19230630   134.8
19230701 19230731    62.6
19230801 19230831    30.3
19230901 19230930    89.7
19231001 19231031    39.5
19231101 19231130   101.2
19231201 19231231    86.9
19240101 19240131    54.4
19240201 19240229    97.2
19240301 19240331   103.1
19240401 19240430    49.0
19240501 19240531    23.0
19240601 19240630    68.6
19240701 19240731    31.2
19240801 19240831    48.7
19240901 19240930    41.6
19241001 19241031    47.8
19241101 19241130    53.4
19241201 19241231     4.3
19250101 19250131    18.5
19250201 19250228    64.3
19250301 19250331    44.0
19250401 19250430    28.2
19250501 19250531    82.0
19250601 19250630    56.0
19250701 19250731    69.7
19250801 19250831    33.4
19250901 19250930    19.3
19251001 19251031    43.8
19251101 19251130     9.1
19251201 19251231    10.9
19260101 19260131    18.8
19260201 19260228     5.3
19260301 19260331     9.6
19260401 19260430    57.7
19260501 19260531    49.8
19260601 19260630    69.1
19260701 19260731    46.2
19260801 19260831    35.1
19260901 19260930    18.4
19261001 19261031   216.2
19261101 19261130    15.3
19261201 19261231    19.3
19270101 19270131    28.8
19270201 19270228    20.8
19270301 19270331    29.5
19270401 19270430    16.5
19270501 19270531    30.1
19270601 19270630    22.3
19270701 19270731    60.5
19270801 19270831    74.9
19270901 19270930    40.6
19271001 19271031    28.9
19271101 19271130    10.9
19271201 19271231    91.9
19280101 19280131   159.9
19280201 19280229    27.7
19280301 19280331    22.7
19280401 19280430    70.1
19280501 19280531    35.3
19280601 19280630    26.7
19280701 19280731    66.0
19280801 19280831    21.9
19280901 19280930    42.1
19281001 19281031   131.6
19281101 19281130    44.2
19281201 19281231    11.4
19290101 19290131    24.0
19290201 19290228    88.7
19290301 19290331    37.9
19290401 19290430   273.5
19290501 19290531    39.7
19290601 19290630    56.2
19290701 19290731    41.2
19290801 19290831    37.8
19290901 19290930    33.3
19291001 19291031    87.1
19291101 19291130    49.7
19291201 19291231    83.0
19300101 19300131     4.6
19300201 19300228    45.5
19300301 19300331     8.3
19300401 19300430    52.9
19300501 19300531    35.4
19300601 19300630    40.8
19300701 19300731    90.0
19300801 19300831    56.6
19300901 19300930    24.7
19301001 19301031    29.5
19301101 19301130    35.9
19301201 19301231    80.7
19310101 19310131    26.2
19310201 19310228    41.9
19310301 19310331   195.0
19310401 19310430    23.9
19310501 19310531    99.1
19310601 19310630   158.2
19310701 19310731    68.9
19310801 19310831    30.2
19310901 19310930    46.8
19311001 19311031    27.4
19311101 19311130    38.8
19311201 19311231     6.9
19320101 19320131     6.8
19320201 19320229    43.8
19320301 19320331    97.6
19320401 19320430    82.8
19320501 19320531     3.8
19320601 19320630    84.3
19320701 19320731    66.8
19320801 19320831   121.0
19320901 19320930    38.2
19321001 19321031    92.2
19321101 19321130    25.2
19321201 19321231    63.5
19330101 19330131    28.4
19330201 19330228    10.7
19330301 19330331    33.3
19330401 19330430    73.7
19330501 19330531    37.6
19330601 19330630    36.0
19330701 19330731    42.1
19330801 19330831    36.8
19330901 19330930    42.7
19331001 19331031    60.0
19331101 19331130    30.7
19331201 19331231    31.5
19340101 19340131    26.9
19340201 19340228    66.6
19340301 19340331    14.8
19340401 19340430   140.3
19340501 19340531    18.8
19340601 19340630    13.4
19340701 19340731    90.2
19340801 19340831    54.6
19340901 19340930    62.8
19341001 19341031    75.4
19341101 19341130    78.8
19341201 19341231   140.5
19350101 19350131    34.2
19350201 19350228   158.5
19350301 19350331    25.3
19350401 19350430   248.5
19350501 19350531    48.1
19350601 19350630    23.6
19350701 19350731    50.9
19350801 19350831    37.4
19350901 19350930    35.2
19351001 19351031    41.5
19351101 19351130    22.2
19351201 19351231    63.2
19360101 19360131    19.5
19360201 19360229    27.2
19360301 19360331    38.6
19360401 19360430    23.6
19360501 19360531    52.5
19360601 19360630    84.3
19360701 19360731    78.5
19360801 19360831    92.3
19360901 19360930    27.0
19361001 19361031    31.9
19361101 19361130    63.1
19361201 19361231    37.6
19370101 19370131    96.8
19370201 19370228    18.5
19370301 19370331    57.3
19370401 19370430     7.4
19370501 19370531    24.1
19370601 19370630    46.2
19370701 19370731    22.1
19370801 19370831    34.6
19370901 19370930    94.5
19371001 19371031    76.7
19371101 19371130    27.3
19371201 19371231   102.6
19380101 19380131    56.9
19380201 19380228   145.2
19380301 19380331   103.4
19380401 19380430    32.8
19380501 19380531    38.9
19380601 19380630    90.0
19380701 19380731    75.6
19380801 19380831    54.8
19380901 19380930    25.6
19381001 19381031    29.7
19381101 19381130    48.2
19381201 19381231    16.8
19390101 19390131     0.8
19390201 19390228    67.5
19390301 19390331    40.5
19390401 19390430    27.4
19390501 19390531    42.5
19390601 19390630   150.8
19390701 19390731    57.2
19390801 19390831   172.4
19390901 19390930    29.4
19391001 19391031    71.9
19391101 19391130    78.4
19391201 19391231    15.1
19400101 19400131    37.1
19400201 19400229     8.6
19400301 19400331    15.0
19400401 19400430    60.2
19400501 19400531    87.6
19400601 19400630    24.9
19400701 19400731    33.6
19400801 19400831    12.5
19400901 19400930    38.3
19401001 19401031     4.4
19401101 19401130    15.5
19401201 19401231    60.8
19410101 19410131    57.2
19410201 19410228    14.2
19410301 19410331    79.3
19410401 19410430     5.5
19410501 19410531     6.6
19410601 19410630    69.2
19410701 19410731    29.7
19410801 19410831    64.8
19410901 19410930    49.7
19411001 19411031    59.5
19411101 19411130    12.5
19411201 19411231   108.4
19420101 19420131    18.0
19420201 19420228    23.9
