PRCP       092012 18880801 20180131 missing_value=99999.9 FINGAL (FORESTRY LEGGE STREET)            
19831001 19831031    52.0
19831101 19831130    67.8
19831201 19831231    13.2
19840101 19840131    35.4
19840201 19840229    22.8
19840301 19840331    62.6
19840401 19840430    12.8
19840501 19840531    13.2
19840601 19840630    20.4
19840701 19840731    93.0
19840801 19840831   189.6
19840901 19840930   139.4
19841001 19841031    23.8
19841101 19841130    26.2
19841201 19841231    52.0
19850101 19850131    26.8
19850201 19850228     8.6
19850301 19850331    62.6
19850401 19850430    89.8
19850501 19850531    62.2
19850601 19850630    24.8
19850701 19850731    21.0
19850801 19850831    65.8
19850901 19850930    37.0
19851001 19851031    64.0
19851101 19851130    55.4
19851201 19851231   200.6
19860101 19860131    93.6
19860201 19860228    10.0
19860301 19860331    40.9
19860401 19860430    43.5
19860501 19860531   118.8
19860601 19860630    20.6
19860701 19860731    92.6
19860801 19860831    52.4
19860901 19860930    51.4
19861001 19861031    67.0
19861101 19861130    26.6
19861201 19861231    63.8
19870101 19870131    58.0
19870201 19870228     4.4
19870301 19870331    14.6
19870401 19870430     7.2
19870501 19870531    51.0
19870601 19870630    38.2
19870701 19870731    43.3
19870801 19870831    18.2
19870901 19870930    11.8
19871001 19871031    48.8
19871101 19871130    33.2
19871201 19871231    66.2
19880101 19880131    34.8
19880201 19880229    16.2
19880301 19880331    13.6
19880401 19880430    63.2
19880501 19880531    87.6
19880601 19880630    38.2
19880701 19880731    65.6
19880801 19880831    29.2
19880901 19880930    63.8
19881001 19881031    32.8
19881101 19881130    58.8
19881201 19881231    49.8
19890101 19890131    60.2
19890201 19890228    52.6
19890301 19890331    41.0
19890401 19890430   181.8
19890501 19890531    29.8
19890601 19890630    50.4
19890701 19890731    75.2
19890801 19890831    31.4
19890901 19890930    46.2
19891001 19891031    97.6
19891101 19891130    37.6
19891201 19891231    38.6
19900101 19900131    16.8
19900201 19900228    64.6
19900301 19900331    19.3
19900401 19900430    43.0
19900501 19900531    17.4
19900601 19900630    33.8
19900701 19900731    42.2
19900801 19900831    74.6
19900901 19900930    11.4
19901001 19901031    54.0
19901101 19901130    30.4
19901201 19901231    20.8
19910101 19910131    78.4
19910201 19910228     1.4
19910301 19910331    52.8
19910401 19910430    27.0
19910501 19910531     2.8
19910601 19910630    54.2
19910701 19910731    49.6
19910801 19910831    70.2
19910901 19910930    64.4
19911001 19911031    23.6
19911101 19911130    46.4
19911201 19911231    80.8
19920101 19920131    64.5
19920201 19920229    20.8
19920301 19920331    17.2
19920401 19920430   103.8
19920501 19920531    40.8
19920601 19920630    56.0
19920701 19920731    42.8
19920801 19920831    80.8
19920901 19920930    48.6
19921001 19921031    92.4
19921101 19921130    61.6
19921201 19921231    10.8
19930101 19930131    41.0
19930201 19930228    45.8
19930301 19930331    35.2
19930401 19930430    20.4
19930501 19930531     8.6
19930601 19930630    20.2
19930701 19930731    63.0
19930801 19930831    31.4
19930901 19930930    30.8
19931001 19931031    18.2
19931101 19931130    67.2
19931201 19931231   177.4
19940101 19940131    23.6
19940201 19940228    56.4
19940301 19940331    15.6
19940401 19940430    21.4
19940501 19940531    30.0
19940601 19940630    33.6
19940701 19940731    25.2
19940801 19940831    81.1
19940901 19940930     4.2
19941001 19941031    41.8
19941101 19941130    42.0
19941201 19941231    10.2
19950101 19950131   192.0
19950201 19950228    20.4
19950301 19950331    15.0
19950401 19950430    48.6
19950501 19950531    30.0
19950601 19950630    28.0
19950701 19950731    48.8
19950801 19950831    61.0
19950901 19950930    15.6
19951001 19951031    43.0
19951101 19951130    70.2
19951201 19951231   124.8
19960101 19960131   134.8
19960201 19960229    38.4
19960301 19960331    23.0
19960401 19960430   106.2
19960501 19960531    12.0
19960601 19960630    26.6
19960701 19960731    66.8
19960801 19960831    37.6
19960901 19960930   108.0
19961001 19961031    29.6
19961101 19961130    34.8
19961201 19961231    32.2
19970101 19970131    42.6
19970201 19970228    18.6
19970301 19970331    36.0
19970401 19970430     7.4
19970501 19970531    48.0
19970601 19970630    22.8
19970701 19970731     9.4
19970801 19970831    31.2
19970901 19970930    83.6
19971001 19971031    24.4
19971101 19971130    36.8
19971201 19971231    13.4
19980101 19980131    61.8
19980201 19980228    41.8
19980301 19980331     5.2
19980401 19980430    35.8
19980501 19980531    10.6
19980601 19980630    64.3
19980701 19980731    78.4
19980801 19980831    19.9
19980901 19980930    58.3
19981001 19981031    42.9
19981101 19981130    37.7
19981201 19981231    71.4
19990101 19990131    51.2
19990201 19990228    49.8
19990301 19990331    81.2
19990401 19990430    89.3
19990501 19990531    45.4
19990601 19990630    30.7
19990701 19990731    17.0
19990801 19990831    27.3
19990901 19990930    19.2
19991001 19991031    64.1
19991101 19991130    33.8
19991201 19991231    39.2
20000101 20000131   121.0
20000201 20000229    15.2
20000301 20000331    29.3
20000401 20000430    19.4
20000501 20000531    33.8
20000601 20000630    14.3
20000701 20000731    66.1
20000801 20000831    93.4
20000901 20000930    48.2
20001001 20001031    68.1
20001101 20001130    84.8
20001201 20001231    21.0
20010101 20010131    19.0
20010201 20010228     1.8
20010301 20010331    84.7
20010401 20010430    59.4
20010501 20010531    31.2
20010601 20010630    18.8
20010701 20010731    67.6
20010801 20010831    95.2
20010901 20010930    67.8
20011001 20011031   147.0
20011101 20011130   103.0
20011201 20011231    55.0
20020101 20020131    41.8
20020201 20020228   111.2
20020301 20020331    17.0
20020401 20020430    13.6
20020501 20020531    14.4
20020601 20020630    43.4
20020701 20020731    22.2
20020801 20020831    48.0
20020901 20020930    61.6
20021001 20021031    48.8
20021101 20021130    27.0
20021201 20021231     9.8
20030101 20030131    32.8
20030201 20030228     4.0
20030301 20030331    52.0
20030401 20030430    93.6
20030501 20030531   162.8
20030601 20030630    93.0
20030701 20030731    52.6
20030801 20030831   106.4
20030901 20030930    47.2
20031001 20031031    42.4
20031101 20031130    10.8
20031201 20031231    48.8
20040101 20040131   137.8
20040201 20040229    55.2
20040301 20040331    40.4
20040401 20040430    48.0
20040501 20040531    33.2
20040601 20040630    65.8
20040701 20040731    38.2
20040801 20040831    23.0
20040901 20040930    14.0
20041001 20041031    43.2
20041101 20041130    63.4
20041201 20041231    36.0
20050101 20050131    28.8
20050201 20050228    75.0
20050301 20050331    11.8
20050401 20050430    39.8
20050501 20050531     6.6
20050601 20050630    41.0
20050701 20050731    29.4
20050801 20050831    84.2
20050901 20050930    78.0
20051001 20051031   123.6
20051101 20051130    56.8
20051201 20051231    61.2
20060101 20060131    48.0
20060201 20060228    27.0
20060301 20060331    44.6
20060401 20060430    36.2
20060501 20060531    11.2
20060601 20060630    24.0
20060701 20060731    47.8
20060801 20060831     7.4
20060901 20060930    45.6
20061001 20061031    17.6
20061101 20061130    27.0
20061201 20061231    16.4
20070101 20070131    17.0
20070201 20070228    49.8
20070301 20070331    68.4
20070401 20070430    14.2
20070501 20070531    67.0
20070601 20070630    47.6
20070701 20070731    57.4
20070801 20070831    38.2
20070901 20070930    32.4
20071001 20071031    21.4
20071101 20071130    24.0
20071201 20071231    31.4
20080101 20080131    29.2
20080201 20080229    97.8
20080301 20080331    24.4
20080401 20080430    22.6
20080501 20080531    18.8
20080601 20080630    13.6
20080701 20080731    48.6
20080801 20080831    13.4
20080901 20080930    51.6
20081001 20081031     8.2
20081101 20081130    73.6
20081201 20081231    74.6
20090101 20090131 99999.9
20090201 20090228    56.2
20090301 20090331    42.4
20090401 20090430    29.0
20090501 20090531    10.0
20090601 20090630   121.8
20090701 20090731    35.8
20090801 20090831   157.6
20090901 20090930   140.4
20091001 20091031 99999.9
20091101 20091130    54.6
20091201 20091231    29.2
20100101 20100131    38.0
20100201 20100228    48.8
20100301 20100331    39.6
20100401 20100430    43.8
20100501 20100531 99999.9
20100601 20100630    50.8
20100701 20100731    40.2
20100801 20100831   110.4
20100901 20100930    25.0
20101001 20101031 99999.9
20101101 20101130    62.2
20101201 20101231   101.8
20110101 20110131    56.2
20110201 20110228    43.6
20110301 20110331   193.0
20110401 20110430    74.6
20110501 20110531    24.0
20110601 20110630   108.2
20110701 20110731    40.4
20110801 20110831   223.2
20110901 20110930    19.4
20111001 20111031    32.6
20111101 20111130    59.2
20111201 20111231    41.8
20120101 20120131    14.4
20120201 20120229    13.4
20120301 20120331    23.4
20120401 20120430    50.8
20120501 20120531    64.6
20120601 20120630    48.0
20120701 20120731    23.2
20120801 20120831    41.6
20120901 20120930    63.8
20121001 20121031    23.0
20121101 20121130    39.8
20121201 20121231    13.8
20130101 20130131    28.4
20130201 20130228    51.6
20130301 20130331    58.8
20130401 20130430    32.6
20130501 20130531    34.4
20130601 20130630    55.6
20130701 20130731    63.4
20130801 20130831    96.6
20130901 20130930    62.6
20131001 20131031    54.6
20131101 20131130   129.4
20131201 20131231    40.8
20140101 20140131    10.4
20140201 20140228    14.8
20140301 20140331    31.6
20140401 20140430    29.4
20140501 20140531    20.4
20140601 20140630    64.0
20140701 20140731    87.4
20140801 20140831    22.6
20140901 20140930    26.0
20141001 20141031    48.4
20141101 20141130    17.2
20141201 20141231    67.0
20150101 20150131    52.8
20150201 20150228    82.0
20150301 20150331    33.6
20150401 20150430    35.0
20150501 20150531    41.4
20150601 20150630    29.4
20150701 20150731    47.0
20150801 20150831    35.4
20150901 20150930    36.4
20151001 20151031     4.0
20151101 20151130    71.2
20151201 20151231    24.0
20160101 20160131   209.0
20160201 20160229    17.8
20160301 20160331    41.2
20160401 20160430     3.2
20160501 20160531    98.4
20160601 20160630   251.8
20160701 20160731    61.6
20160801 20160831    18.6
20160901 20160930   129.4
20161001 20161031    60.0
20161101 20161130    88.0
20161201 20161231    47.6
20170101 20170131    45.8
20170201 20170228     4.4
20170301 20170331    16.6
20170401 20170430    30.8
20170501 20170531   135.2
20170601 20170630     3.6
20170701 20170731    29.6
20170801 20170831    28.0
20170901 20170930    18.8
20171001 20171031    18.0
20171101 20171130    22.8
20171201 20171231   100.0
20180101 20180131    46.8
