PRCP       020020 19011201 20180131 missing_value=99999.9 PANARAMITEE                               
19231101 19231130     0.0
19231201 19231231    75.7
19240101 19240131    12.4
19240201 19240229    13.5
19240301 19240331     2.5
19240401 19240430     3.0
19240501 19240531     3.0
19240601 19240630     8.9
19240701 19240731     4.3
19240801 19240831     5.6
19240901 19240930    22.8
19241001 19241031    24.6
19241101 19241130    53.4
19241201 19241231    24.9
19250101 19250131    10.2
19250201 19250228    23.4
19250301 19250331     0.0
19250401 19250430     6.4
19250501 19250531    34.3
19250601 19250630     0.0
19250701 19250731    31.9
19250801 19250831     1.0
19250901 19250930    10.2
19251001 19251031     0.0
19251101 19251130    11.1
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331    21.0
19260401 19260430    10.1
19260501 19260531    31.6
19260601 19260630    17.6
19260701 19260731    11.0
19260801 19260831    31.1
19260901 19260930    51.1
19261001 19261031     0.0
19261101 19261130     5.0
19261201 19261231     9.0
19270101 19270131    11.2
19270201 19270228     3.3
19270301 19270331     2.0
19270401 19270430     0.0
19270501 19270531     2.5
19270601 19270630    19.5
19270701 19270731    12.0
19270801 19270831     9.6
19270901 19270930    15.3
19271001 19271031     5.2
19271101 19271130     3.7
19271201 19271231     9.6
19280101 19280131     0.0
19280201 19280229    17.3
19280301 19280331    12.2
19280401 19280430     4.5
19280501 19280531     7.0
19280601 19280630    34.6
19280701 19280731    25.0
19280801 19280831     6.3
19280901 19280930     6.3
19281001 19281031     2.8
19281101 19281130     0.0
19281201 19281231     0.0
19290101 19290131     0.0
19290201 19290228     0.0
19290301 19290331     5.5
19290401 19290430     2.8
19290501 19290531     0.0
19290601 19290630     7.0
19290701 19290731     3.3
19290801 19290831     7.0
19290901 19290930     9.0
19291001 19291031     0.0
19291101 19291130    14.8
19291201 19291231    70.1
19300101 19300131     0.0
19300201 19300228    16.1
19300301 19300331     0.0
19300401 19300430    18.3
19300501 19300531     4.7
19300601 19300630     0.0
19300701 19300731    21.7
19300801 19300831    13.2
19300901 19300930    18.0
19301001 19301031    20.3
19301101 19301130     8.0
19301201 19301231    26.9
19310101 19310131    10.2
19310201 19310228     0.5
19310301 19310331    19.3
19310401 19310430    55.9
19310501 19310531    16.8
19310601 19310630    33.5
19310701 19310731    17.1
19310801 19310831    18.1
19310901 19310930    13.5
19311001 19311031     3.8
19311101 19311130     3.3
19311201 19311231     4.8
19320101 19320131     0.0
19320201 19320229    25.4
19320301 19320331     4.7
19320401 19320430     7.9
19320501 19320531    40.9
19320601 19320630     6.7
19320701 19320731     6.9
19320801 19320831    16.8
19320901 19320930    19.3
19321001 19321031     0.5
19321101 19321130     3.0
19321201 19321231     0.0
19330101 19330131     7.9
19330201 19330228     0.0
19330301 19330331     4.9
19330401 19330430     0.8
19330501 19330531    14.0
19330601 19330630     5.1
19330701 19330731     7.4
19330801 19330831    12.2
19330901 19330930    11.5
19331001 19331031     6.6
19331101 19331130    78.0
19331201 19331231     7.1
19340101 19340131     7.9
19340201 19340228     0.0
19340301 19340331    23.9
19340401 19340430     0.8
19340501 19340531     0.8
19340601 19340630     3.4
19340701 19340731    10.9
