PRCP       033035 18860101 20171130 missing_value=99999.9 KALAMIA ESTATE                            
19820101 19820131   122.6
19820201 19820228    48.6
19820301 19820331   215.2
19820401 19820430    41.6
19820501 19820531    28.2
19820601 19820630    11.7
19820701 19820731     7.0
19820801 19820831     4.0
19820901 19820930     0.8
19821001 19821031     0.0
19821101 19821130    10.0
19821201 19821231    13.0
19830101 19830131   134.8
19830201 19830228     6.4
19830301 19830331   170.9
19830401 19830430   107.6
19830501 19830531   219.0
19830601 19830630    21.2
19830701 19830731     1.4
19830801 19830831     3.0
19830901 19830930     1.0
19831001 19831031     0.4
19831101 19831130    71.0
19831201 19831231    34.6
19840101 19840131   218.6
19840201 19840229   136.2
19840301 19840331    50.2
19840401 19840430    21.2
19840501 19840531     0.0
19840601 19840630     1.2
19840701 19840731    44.0
19840801 19840831     0.4
19840901 19840930    37.6
19841001 19841031    45.0
19841101 19841130    23.6
19841201 19841231   116.6
19850101 19850131    30.2
19850201 19850228   192.8
19850301 19850331   214.8
19850401 19850430    30.8
19850501 19850531    42.6
19850601 19850630    32.6
19850701 19850731    35.9
19850801 19850831     0.0
19850901 19850930     1.0
19851001 19851031    64.2
19851101 19851130   184.2
19851201 19851231    52.3
19860101 19860131   140.8
19860201 19860228    72.4
19860301 19860331    16.8
19860401 19860430    66.0
19860501 19860531    25.0
19860601 19860630     1.4
19860701 19860731    36.7
19860801 19860831    83.8
19860901 19860930    20.2
19861001 19861031    95.4
19861101 19861130    59.9
19861201 19861231    47.6
19870101 19870131    35.2
19870201 19870228    47.9
19870301 19870331   169.9
19870401 19870430    29.2
19870501 19870531    23.2
19870601 19870630     7.6
19870701 19870731    17.6
19870801 19870831     5.8
19870901 19870930     3.6
19871001 19871031    16.6
19871101 19871130    54.2
19871201 19871231   157.2
19880101 19880131    17.6
19880201 19880229   330.2
19880301 19880331   333.2
19880401 19880430    63.2
19880501 19880531    25.6
19880601 19880630     3.0
19880701 19880731    62.0
19880801 19880831    15.9
19880901 19880930     0.0
19881001 19881031     6.2
19881101 19881130    54.8
19881201 19881231   350.4
19890101 19890131    78.6
19890201 19890228    75.6
19890301 19890331   216.2
19890401 19890430   350.4
19890501 19890531   159.0
19890601 19890630    57.4
19890701 19890731    44.9
19890801 19890831     8.4
19890901 19890930     0.0
19891001 19891031     9.0
19891101 19891130   160.6
19891201 19891231    76.8
19900101 19900131    80.4
19900201 19900228    31.2
19900301 19900331   414.4
19900401 19900430   399.6
19900501 19900531   174.6
19900601 19900630   150.6
19900701 19900731     4.2
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     0.8
19901101 19901130     0.0
19901201 19901231   600.5
19910101 19910131   606.2
19910201 19910228   489.6
19910301 19910331     9.8
19910401 19910430     8.4
19910501 19910531    23.4
19910601 19910630     8.6
19910701 19910731     3.8
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     2.8
19911101 19911130   114.8
19911201 19911231    46.2
19920101 19920131    85.6
19920201 19920229   283.8
19920301 19920331     2.6
19920401 19920430     9.6
19920501 19920531   101.6
19920601 19920630    30.2
19920701 19920731     0.0
19920801 19920831    14.2
19920901 19920930    36.7
19921001 19921031     0.0
19921101 19921130     2.6
19921201 19921231   126.2
19930101 19930131    94.6
19930201 19930228   109.2
19930301 19930331    12.0
19930401 19930430    10.4
19930501 19930531     2.8
19930601 19930630    18.9
19930701 19930731    15.4
19930801 19930831    25.8
19930901 19930930    25.2
19931001 19931031    39.8
19931101 19931130    14.4
19931201 19931231    50.2
19940101 19940131    44.8
19940201 19940228   200.6
19940301 19940331    80.9
19940401 19940430     1.2
19940501 19940531     2.0
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     7.8
19941101 19941130     0.0
19941201 19941231    31.6
19950101 19950131    55.8
19950201 19950228   247.0
19950301 19950331    73.6
19950401 19950430     8.6
19950501 19950531    39.8
19950601 19950630     3.8
19950701 19950731     0.0
19950801 19950831   100.2
19950901 19950930     0.0
19951001 19951031    85.4
19951101 19951130    35.0
19951201 19951231    60.8
19960101 19960131   339.8
19960201 19960229    45.8
19960301 19960331     7.8
19960401 19960430    21.0
19960501 19960531    15.8
19960601 19960630     9.2
19960701 19960731     6.0
19960801 19960831    15.2
19960901 19960930     4.8
19961001 19961031    24.0
19961101 19961130    44.8
19961201 19961231    40.2
19970101 19970131   112.8
19970201 19970228   432.8
19970301 19970331   376.8
19970401 19970430     1.0
19970501 19970531    55.4
19970601 19970630    16.8
19970701 19970731     9.6
19970801 19970831    36.8
19970901 19970930     6.0
19971001 19971031    86.6
19971101 19971130     2.4
19971201 19971231   336.4
19980101 19980131   257.0
19980201 19980228   162.8
19980301 19980331    72.0
19980401 19980430    63.5
19980501 19980531   118.4
19980601 19980630    13.4
19980701 19980731    20.7
19980801 19980831    25.9
19980901 19980930    28.1
19981001 19981031   227.0
19981101 19981130   227.7
19981201 19981231   188.5
19990101 19990131   129.6
19990201 19990228   187.7
19990301 19990331   133.8
19990401 19990430    81.0
19990501 19990531     7.6
19990601 19990630     3.0
19990701 19990731    10.0
19990801 19990831     8.2
19990901 19990930     6.0
19991001 19991031     0.0
19991101 19991130   102.7
19991201 19991231   156.6
20000101 20000131   122.9
20000201 20000229   708.6
20000301 20000331   151.6
20000401 20000430   233.0
20000501 20000531    12.4
20000601 20000630    43.9
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031    84.1
20001101 20001130   204.1
20001201 20001231   337.4
20010101 20010131    77.5
20010201 20010228   100.3
20010301 20010331    52.8
20010401 20010430    33.3
20010501 20010531     3.8
20010601 20010630     8.3
20010701 20010731    14.4
20010801 20010831     0.0
20010901 20010930     9.6
20011001 20011031     5.0
20011101 20011130     7.8
20011201 20011231    44.8
20020101 20020131   132.7
20020201 20020228   374.4
20020301 20020331    64.0
20020401 20020430     4.0
20020501 20020531    14.0
20020601 20020630    21.2
20020701 20020731     0.0
20020801 20020831    22.2
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130    30.6
20021201 20021231    15.7
20030101 20030131    40.0
20030201 20030228   300.4
20030301 20030331    32.1
20030401 20030430     1.0
20030501 20030531    11.4
20030601 20030630    12.4
20030701 20030731     3.3
20030801 20030831     0.0
20030901 20030930     1.0
20031001 20031031     7.2
20031101 20031130     2.1
20031201 20031231    25.4
20040101 20040131   122.0
20040201 20040229   175.6
20040301 20040331    19.0
20040401 20040430    42.8
20040501 20040531     0.0
20040601 20040630     6.0
20040701 20040731     7.8
20040801 20040831     2.0
20040901 20040930     3.4
20041001 20041031     3.0
20041101 20041130    11.4
20041201 20041231    40.0
20050101 20050131   504.3
20050201 20050228    12.6
20050301 20050331    13.5
20050401 20050430     6.1
20050501 20050531    17.8
20050601 20050630     5.4
20050701 20050731    37.8
20050801 20050831    40.4
20050901 20050930     2.6
20051001 20051031     7.3
20051101 20051130     0.0
20051201 20051231    12.4
20060101 20060131   410.7
20060201 20060228     0.0
20060301 20060331   123.8
20060401 20060430   223.4
20060501 20060531    25.4
20060601 20060630    26.9
20060701 20060731    25.8
20060801 20060831     0.0
20060901 20060930    12.0
20061001 20061031     1.0
20061101 20061130     2.4
20061201 20061231    61.6
20070101 20070131   290.9
20070201 20070228   302.0
20070301 20070331    83.9
20070401 20070430     8.3
20070501 20070531     1.0
20070601 20070630   131.8
20070701 20070731     0.0
20070801 20070831     6.6
20070901 20070930    11.6
20071001 20071031    36.7
20071101 20071130     5.9
20071201 20071231   141.9
20080101 20080131   408.9
20080201 20080229   609.8
20080301 20080331    26.4
20080401 20080430     0.0
20080501 20080531    17.0
20080601 20080630     1.8
20080701 20080731    73.2
20080801 20080831     0.0
20080901 20080930     6.9
20081001 20081031     0.8
20081101 20081130    52.5
20081201 20081231    41.6
20090101 20090131   626.4
20090201 20090228   760.9
20090301 20090331    29.9
20090401 20090430   134.2
20090501 20090531    20.6
20090601 20090630     8.6
20090701 20090731     2.0
20090801 20090831     0.0
20090901 20090930    10.0
20091001 20091031     4.0
20091101 20091130    38.6
20091201 20091231     1.6
20100101 20100131 99999.9
20100201 20100228   374.2
20100301 20100331   161.4
20100401 20100430    18.8
20100501 20100531     3.6
20100601 20100630     6.8
20100701 20100731     1.8
20100801 20100831    45.0
20100901 20100930   120.3
20101001 20101031    30.2
20101101 20101130   439.8
20101201 20101231   114.7
20110101 20110131   304.0
20110201 20110228   215.0
20110301 20110331   325.0
20110401 20110430    25.0
20110501 20110531     0.0
20110601 20110630     0.0
20110701 20110731     0.0
20110801 20110831     0.2
20110901 20110930     0.0
20111001 20111031    14.6
20111101 20111130    24.2
20111201 20111231    85.1
20120101 20120131 99999.9
20120201 20120229   314.0
20120301 20120331   483.0
20120401 20120430     0.0
20120501 20120531    58.6
20120601 20120630    31.0
20120701 20120731   116.0
20120801 20120831     8.1
20120901 20120930     2.4
20121001 20121031     0.0
20121101 20121130     3.3
20121201 20121231    78.5
20130101 20130131   316.6
20130201 20130228 99999.9
20130301 20130331    70.4
20130401 20130430    47.0
20130501 20130531    48.5
20130601 20130630     2.4
20130701 20130731     4.0
20130801 20130831     0.0
20130901 20130930     0.0
20131001 20131031     0.3
20131101 20131130   123.9
20131201 20131231     0.0
20140101 20140131   151.0
20140201 20140228   123.1
20140301 20140331   217.2
20140401 20140430   130.4
20140501 20140531     9.4
20140601 20140630    31.5
20140701 20140731     4.2
20140801 20140831    63.6
20140901 20140930     0.5
20141001 20141031    10.3
20141101 20141130     1.2
20141201 20141231    45.5
20150101 20150131   402.0
20150201 20150228    10.0
20150301 20150331    12.8
20150401 20150430     0.0
20150501 20150531     0.0
20150601 20150630    21.9
20150701 20150731     0.0
20150801 20150831     0.0
20150901 20150930     3.0
20151001 20151031    22.4
20151101 20151130     4.6
20151201 20151231    69.6
20160101 20160131    53.8
20160201 20160229    37.0
20160301 20160331   362.8
20160401 20160430    41.2
20160501 20160531     0.0
20160601 20160630   122.4
20160701 20160731    45.4
20160801 20160831    26.8
20160901 20160930    67.3
20161001 20161031    14.8
20161101 20161130     1.8
20161201 20161231    51.0
20170101 20170131   145.1
20170201 20170228   102.1
20170301 20170331   320.6
20170401 20170430     0.0
20170501 20170531   166.8
20170601 20170630     1.2
20170701 20170731     1.8
20170801 20170831     1.8
20170901 20170930     1.6
20171001 20171031   141.5
20171101 20171130    12.2
