PRCP       033035 18860101 20171130 missing_value=99999.9 KALAMIA ESTATE                            
19071201 19071231   182.4
19080101 19080131   285.2
19080201 19080229   106.4
19080301 19080331   198.9
19080401 19080430    22.4
19080501 19080531    93.0
19080601 19080630     0.0
19080701 19080731    34.3
19080801 19080831     3.8
19080901 19080930    26.2
19081001 19081031    36.1
19081101 19081130    14.5
19081201 19081231     0.0
19090101 19090131   235.2
19090201 19090228   100.6
19090301 19090331    67.6
19090401 19090430    42.7
19090501 19090531    52.1
19090601 19090630    85.1
19090701 19090731    31.8
19090801 19090831     0.0
19090901 19090930     0.0
19091001 19091031    18.0
19091101 19091130    38.4
19091201 19091231   509.8
19100101 19100131   571.8
19100201 19100228   239.3
19100301 19100331   578.6
19100401 19100430    59.9
19100501 19100531     2.8
19100601 19100630    34.0
19100701 19100731     0.0
19100801 19100831     0.0
19100901 19100930   129.8
19101001 19101031     0.0
19101101 19101130    94.0
19101201 19101231   131.1
19110101 19110131  1013.5
19110201 19110228   265.7
19110301 19110331   208.0
19110401 19110430    82.8
19110501 19110531     0.0
19110601 19110630     0.0
19110701 19110731     0.0
19110801 19110831     1.3
19110901 19110930     0.0
19111001 19111031    48.8
19111101 19111130     1.3
19111201 19111231    25.7
19120101 19120131    16.0
19120201 19120229    78.7
19120301 19120331   106.4
19120401 19120430    50.8
19120501 19120531    27.7
19120601 19120630   170.9
19120701 19120731    20.1
19120801 19120831     2.5
19120901 19120930     0.0
19121001 19121031     8.6
19121101 19121130    47.5
19121201 19121231    18.3
19130101 19130131   234.8
19130201 19130228   368.0
19130301 19130331   462.3
19130401 19130430   168.7
19130501 19130531    23.4
19130601 19130630    40.6
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     2.3
19131001 19131031     3.6
19131101 19131130     0.0
19131201 19131231   194.5
19140101 19140131   291.3
19140201 19140228    81.4
19140301 19140331   256.0
19140401 19140430   112.6
19140501 19140531    16.5
19140601 19140630    76.9
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     2.5
19141001 19141031    11.7
19141101 19141130    15.0
19141201 19141231    75.6
19150101 19150131   109.5
19150201 19150228     9.2
19150301 19150331    20.6
19150401 19150430    20.6
19150501 19150531     0.5
19150601 19150630     0.0
19150701 19150731     5.1
19150801 19150831    17.8
19150901 19150930    10.2
19151001 19151031   178.4
19151101 19151130     1.8
19151201 19151231    58.9
19160101 19160131   116.5
19160201 19160229   168.0
19160301 19160331    36.3
19160401 19160430    57.9
19160501 19160531    21.5
19160601 19160630     3.3
19160701 19160731   128.0
19160801 19160831    14.4
19160901 19160930     3.3
19161001 19161031    34.1
19161101 19161130   118.2
19161201 19161231   271.0
19170101 19170131   509.1
19170201 19170228   255.9
19170301 19170331   131.3
19170401 19170430    58.9
19170501 19170531    83.0
19170601 19170630     8.4
19170701 19170731     0.0
19170801 19170831    79.0
19170901 19170930     8.1
19171001 19171031    37.6
19171101 19171130   283.7
19171201 19171231   220.2
19180101 19180131   776.0
19180201 19180228   276.2
19180301 19180331    14.7
19180401 19180430    69.8
19180501 19180531     0.0
19180601 19180630     3.6
19180701 19180731     6.3
19180801 19180831    41.8
19180901 19180930    16.5
19181001 19181031     4.6
19181101 19181130    16.0
19181201 19181231    18.6
19190101 19190131   141.6
19190201 19190228   108.2
19190301 19190331    57.7
19190401 19190430   107.6
19190501 19190531    20.0
19190601 19190630    11.7
19190701 19190731     0.0
19190801 19190831    11.2
19190901 19190930     0.8
19191001 19191031     0.5
19191101 19191130    15.7
19191201 19191231    21.2
19200101 19200131   324.7
19200201 19200229    50.7
19200301 19200331    29.1
19200401 19200430   236.1
19200501 19200531   146.3
19200601 19200630    49.1
19200701 19200731    17.5
19200801 19200831    53.6
19200901 19200930    17.5
19201001 19201031   101.2
19201101 19201130    25.9
19201201 19201231    94.2
19210101 19210131   152.0
19210201 19210228    20.0
19210301 19210331   159.2
19210401 19210430     8.9
19210501 19210531    66.1
19210601 19210630    73.8
19210701 19210731   118.9
19210801 19210831    11.9
19210901 19210930    30.3
19211001 19211031   102.5
19211101 19211130     1.0
19211201 19211231   149.6
19220101 19220131   122.4
19220201 19220228   229.1
19220301 19220331    40.8
19220401 19220430    16.0
19220501 19220531    16.3
19220601 19220630    16.3
19220701 19220731    49.8
19220801 19220831     0.0
19220901 19220930    15.0
19221001 19221031    21.6
19221101 19221130    60.2
19221201 19221231   126.4
19230101 19230131    14.2
19230201 19230228    11.2
19230301 19230331    29.4
19230401 19230430    13.5
19230501 19230531     0.0
19230601 19230630    79.8
19230701 19230731     0.0
19230801 19230831    19.3
19230901 19230930    14.5
19231001 19231031     0.0
19231101 19231130     3.0
19231201 19231231    41.5
19240101 19240131    38.1
19240201 19240229   535.2
19240301 19240331   127.1
19240401 19240430   175.5
19240501 19240531     0.0
19240601 19240630    67.6
19240701 19240731     0.0
19240801 19240831    94.5
19240901 19240930    11.9
19241001 19241031    93.0
19241101 19241130    66.3
19241201 19241231   102.1
19250101 19250131   220.4
19250201 19250228   415.1
19250301 19250331   124.2
19250401 19250430     2.3
19250501 19250531     0.0
19250601 19250630    37.3
19250701 19250731     4.8
19250801 19250831    26.2
19250901 19250930    48.3
19251001 19251031     0.0
19251101 19251130    14.5
19251201 19251231    28.7
19260101 19260131    18.8
19260201 19260228   250.1
19260301 19260331    44.5
19260401 19260430     0.0
19260501 19260531     0.0
19260601 19260630     7.9
19260701 19260731     1.5
19260801 19260831     0.0
19260901 19260930    80.6
19261001 19261031     0.0
19261101 19261130    11.5
19261201 19261231   159.8
19270101 19270131   474.9
19270201 19270228   292.9
19270301 19270331    91.7
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630   116.8
19270701 19270731   120.1
19270801 19270831     0.0
19270901 19270930    26.0
19271001 19271031    13.0
19271101 19271130    21.8
19271201 19271231   238.3
19280101 19280131   114.6
19280201 19280229   321.6
19280301 19280331   162.3
19280401 19280430     6.6
19280501 19280531     1.0
19280601 19280630    14.0
19280701 19280731     0.3
19280801 19280831     0.0
19280901 19280930     0.3
19281001 19281031     0.0
19281101 19281130   188.5
19281201 19281231    77.4
19290101 19290131   638.7
19290201 19290228   129.0
19290301 19290331   544.8
19290401 19290430   137.0
19290501 19290531     2.0
19290601 19290630    77.2
19290701 19290731     0.5
19290801 19290831     0.3
19290901 19290930     8.1
19291001 19291031     0.3
19291101 19291130    12.5
19291201 19291231    42.2
19300101 19300131   373.4
19300201 19300228   106.7
19300301 19300331    34.0
19300401 19300430     0.6
19300501 19300531    77.1
19300601 19300630    31.0
19300701 19300731     3.6
19300801 19300831     0.0
19300901 19300930     0.3
19301001 19301031    84.2
19301101 19301130     4.3
19301201 19301231    31.3
19310101 19310131    41.2
19310201 19310228   129.3
19310301 19310331   117.2
19310401 19310430    65.8
19310501 19310531    37.1
19310601 19310630     4.3
19310701 19310731     0.3
19310801 19310831     6.1
19310901 19310930     0.9
19311001 19311031    26.8
19311101 19311130    37.3
19311201 19311231   327.2
19320101 19320131   306.9
19320201 19320229    47.5
19320301 19320331    74.9
19320401 19320430    20.9
19320501 19320531    88.8
19320601 19320630     6.1
19320701 19320731     2.8
19320801 19320831     5.6
19320901 19320930     0.8
19321001 19321031     0.8
19321101 19321130    35.5
19321201 19321231   110.9
19330101 19330131   123.0
19330201 19330228   174.6
19330301 19330331     0.3
19330401 19330430    82.1
19330501 19330531    11.8
19330601 19330630   111.8
19330701 19330731    56.7
19330801 19330831    20.5
19330901 19330930    43.7
19331001 19331031    21.9
19331101 19331130   126.0
19331201 19331231    68.8
19340101 19340131   216.2
19340201 19340228   404.4
19340301 19340331     4.0
19340401 19340430    29.2
19340501 19340531    14.7
19340601 19340630    35.6
19340701 19340731    17.1
19340801 19340831     4.6
19340901 19340930     3.6
19341001 19341031     7.1
19341101 19341130   127.4
19341201 19341231     9.0
19350101 19350131    28.5
19350201 19350228   106.5
19350301 19350331    87.5
19350401 19350430    27.1
19350501 19350531    52.8
19350601 19350630     1.5
19350701 19350731    22.9
19350801 19350831     0.0
19350901 19350930     9.4
19351001 19351031     4.1
19351101 19351130     1.8
19351201 19351231    10.7
19360101 19360131   239.5
19360201 19360229   704.2
19360301 19360331   309.4
19360401 19360430    60.7
19360501 19360531     5.1
19360601 19360630   123.7
19360701 19360731     1.5
19360801 19360831     0.0
19360901 19360930     3.6
19361001 19361031     0.0
19361101 19361130     5.3
19361201 19361231   330.4
19370101 19370131   169.5
19370201 19370228   155.0
19370301 19370331   227.5
19370401 19370430    17.2
19370501 19370531     4.8
19370601 19370630     9.6
19370701 19370731     6.4
19370801 19370831     0.8
19370901 19370930     0.3
19371001 19371031     3.6
19371101 19371130    52.2
19371201 19371231     0.0
19380101 19380131   281.1
19380201 19380228   308.7
19380301 19380331    51.7
19380401 19380430     4.3
19380501 19380531     0.8
19380601 19380630    14.0
19380701 19380731    77.2
19380801 19380831     4.8
19380901 19380930     0.5
19381001 19381031    29.9
19381101 19381130     7.4
19381201 19381231     5.8
19390101 19390131    78.7
19390201 19390228   506.6
19390301 19390331   179.5
19390401 19390430    37.9
19390501 19390531     5.8
19390601 19390630    23.9
19390701 19390731     0.0
19390801 19390831    14.5
19390901 19390930     0.0
19391001 19391031     8.9
19391101 19391130    27.4
19391201 19391231    38.0
19400101 19400131   149.4
19400201 19400229   523.2
19400301 19400331    71.9
19400401 19400430   503.9
19400501 19400531     7.2
19400601 19400630     2.8
19400701 19400731     0.0
19400801 19400831    93.9
19400901 19400930     0.0
19401001 19401031     0.5
19401101 19401130     3.6
19401201 19401231     7.3
19410101 19410131   542.6
19410201 19410228    55.0
19410301 19410331   356.9
19410401 19410430   194.9
19410501 19410531    81.6
19410601 19410630    16.4
19410701 19410731     0.3
19410801 19410831     0.0
19410901 19410930     6.1
19411001 19411031     1.0
19411101 19411130    29.8
19411201 19411231    53.2
19420101 19420131    72.8
19420201 19420228   351.5
19420301 19420331    12.4
19420401 19420430    75.1
19420501 19420531    21.8
19420601 19420630   130.4
19420701 19420731    69.8
19420801 19420831     5.6
19420901 19420930    14.7
19421001 19421031     6.1
19421101 19421130     9.4
19421201 19421231   664.6
19430101 19430131    80.9
19430201 19430228   520.3
19430301 19430331    67.6
19430401 19430430     8.2
19430501 19430531    20.6
19430601 19430630    32.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    36.6
19431001 19431031    13.7
19431101 19431130    12.7
19431201 19431231    23.9
19440101 19440131   161.9
19440201 19440229   246.5
19440301 19440331   231.7
19440401 19440430    14.0
19440501 19440531     1.1
19440601 19440630    17.8
19440701 19440731     9.4
19440801 19440831    19.9
19440901 19440930     1.0
19441001 19441031    27.7
19441101 19441130     0.0
19441201 19441231    52.2
19450101 19450131   115.7
19450201 19450228   407.3
19450301 19450331   369.1
19450401 19450430    19.9
19450501 19450531    16.1
19450601 19450630    75.7
19450701 19450731    41.4
19450801 19450831     0.0
19450901 19450930     3.0
19451001 19451031    29.2
19451101 19451130    13.3
19451201 19451231    44.2
19460101 19460131   385.5
19460201 19460228   254.2
19460301 19460331   300.4
19460401 19460430     2.3
19460501 19460531     7.9
19460601 19460630     0.0
19460701 19460731     1.0
19460801 19460831     1.3
19460901 19460930     0.0
19461001 19461031     0.3
19461101 19461130     2.3
19461201 19461231     8.4
19470101 19470131    13.2
19470201 19470228  1630.6
19470301 19470331   429.1
19470401 19470430     5.1
19470501 19470531    14.2
19470601 19470630     6.1
19470701 19470731     0.0
19470801 19470831    20.3
19470901 19470930    56.2
19471001 19471031     2.8
19471101 19471130    60.8
19471201 19471231    31.3
19480101 19480131   147.5
19480201 19480229   115.3
19480301 19480331    80.0
19480401 19480430    19.9
19480501 19480531    29.6
19480601 19480630     5.8
19480701 19480731    19.0
19480801 19480831     0.3
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130    31.9
19481201 19481231   150.7
19490101 19490131   305.5
19490201 19490228   294.5
19490301 19490331   683.0
19490401 19490430    33.9
19490501 19490531     1.8
19490601 19490630     1.8
19490701 19490731     1.0
19490801 19490831     1.0
19490901 19490930     3.8
19491001 19491031    70.0
19491101 19491130    51.9
19491201 19491231    10.2
19500101 19500131   323.8
19500201 19500228   212.4
19500301 19500331   744.4
19500401 19500430   170.2
19500501 19500531    57.2
19500601 19500630    15.2
19500701 19500731   331.8
19500801 19500831     0.3
19500901 19500930     2.1
19501001 19501031     8.5
19501101 19501130   170.4
19501201 19501231    61.8
19510101 19510131   661.2
19510201 19510228    82.5
19510301 19510331    34.3
19510401 19510430     9.0
19510501 19510531    31.0
19510601 19510630    12.9
19510701 19510731     2.5
19510801 19510831    31.8
19510901 19510930     6.9
19511001 19511031     0.0
19511101 19511130     3.8
19511201 19511231     0.8
19520101 19520131   358.6
19520201 19520229   155.4
19520301 19520331    63.4
19520401 19520430    79.5
19520501 19520531    45.6
19520601 19520630    41.2
19520701 19520731    14.0
19520801 19520831     2.1
19520901 19520930    22.1
19521001 19521031     0.8
19521101 19521130    11.0
19521201 19521231    35.6
19530101 19530131   846.2
19530201 19530228   243.9
19530301 19530331   113.6
19530401 19530430    56.6
19530501 19530531    12.0
19530601 19530630     0.0
19530701 19530731     0.3
19530801 19530831    66.8
19530901 19530930     0.0
19531001 19531031    31.7
19531101 19531130    18.8
19531201 19531231    19.3
19540101 19540131   258.8
19540201 19540228   513.7
19540301 19540331   196.5
19540401 19540430   254.6
19540501 19540531     2.0
19540601 19540630    19.6
19540701 19540731    21.6
19540801 19540831    13.2
19540901 19540930     0.3
19541001 19541031    29.1
19541101 19541130    69.2
19541201 19541231    56.6
19550101 19550131   232.5
19550201 19550228   410.9
19550301 19550331   380.7
19550401 19550430    42.7
19550501 19550531   424.8
19550601 19550630     8.1
19550701 19550731     0.0
19550801 19550831     0.0
19550901 19550930     1.8
19551001 19551031     4.8
19551101 19551130    18.8
19551201 19551231     7.3
19560101 19560131   382.7
19560201 19560229   285.3
19560301 19560331   379.2
19560401 19560430    90.9
19560501 19560531   167.3
19560601 19560630    98.7
19560701 19560731    51.8
19560801 19560831    11.6
19560901 19560930    25.6
19561001 19561031    32.3
19561101 19561130   144.8
19561201 19561231   144.7
19570101 19570131   220.4
19570201 19570228   164.4
19570301 19570331   210.0
19570401 19570430     1.6
19570501 19570531    33.9
19570601 19570630     9.2
19570701 19570731    10.3
19570801 19570831     3.4
19570901 19570930     0.0
19571001 19571031    17.8
19571101 19571130    12.0
19571201 19571231    31.0
19580101 19580131    91.8
