PRCP       009591 18991101 20151231 missing_value=99999.9 PARDELUP                                  
19211001 19211031    88.7
19211101 19211130    42.9
19211201 19211231    86.5
19220101 19220131    15.9
19220201 19220228    27.0
19220301 19220331    30.2
19220401 19220430    82.9
19220501 19220531    81.3
19220601 19220630    94.7
19220701 19220731   135.3
19220801 19220831   132.2
19220901 19220930    46.7
19221001 19221031    43.7
19221101 19221130    46.4
19221201 19221231    34.4
19230101 19230131    10.4
19230201 19230228     4.5
19230301 19230331    36.5
19230401 19230430    20.9
19230501 19230531   204.2
19230601 19230630   246.1
19230701 19230731   122.8
19230801 19230831    81.6
19230901 19230930   163.3
19231001 19231031    48.6
19231101 19231130     5.3
19231201 19231231     9.4
19240101 19240131     6.9
19240201 19240229    24.1
19240301 19240331     3.3
19240401 19240430    12.4
19240501 19240531   154.8
19240601 19240630    87.7
19240701 19240731    87.0
19240801 19240831   139.9
19240901 19240930   108.8
19241001 19241031   171.7
19241101 19241130    52.1
19241201 19241231    11.7
19250101 19250131    35.3
19250201 19250228    17.8
19250301 19250331    42.2
19250401 19250430    61.1
19250501 19250531    65.1
19250601 19250630    92.5
19250701 19250731   102.7
19250801 19250831    29.6
19250901 19250930    74.0
19251001 19251031   145.1
19251101 19251130    13.0
19251201 19251231    51.1
19260101 19260131     9.4
19260201 19260228    35.1
19260301 19260331    77.3
19260401 19260430   121.2
19260501 19260531    59.1
19260601 19260630    74.8
19260701 19260731   217.4
19260801 19260831   104.2
19260901 19260930    95.0
19261001 19261031   103.0
19261101 19261130    49.9
19261201 19261231    16.0
19270101 19270131    30.8
19270201 19270228    12.2
19270301 19270331   105.1
19270401 19270430    27.4
19270501 19270531    84.2
19270601 19270630   131.1
19270701 19270731    84.6
19270801 19270831    83.1
19270901 19270930   141.4
19271001 19271031    91.1
19271101 19271130    15.5
19271201 19271231    18.3
19280101 19280131    45.5
19280201 19280229     5.1
19280301 19280331    17.2
19280401 19280430    95.7
19280501 19280531    66.9
19280601 19280630    96.1
19280701 19280731   163.4
19280801 19280831   146.9
19280901 19280930   121.0
19281001 19281031    68.0
19281101 19281130    16.8
19281201 19281231    16.9
19290101 19290131     6.7
19290201 19290228    19.1
19290301 19290331    16.9
19290401 19290430    37.8
19290501 19290531   113.1
19290601 19290630   142.3
19290701 19290731    94.1
19290801 19290831    79.8
19290901 19290930    60.1
19291001 19291031    50.6
19291101 19291130   101.7
19291201 19291231    35.6
19300101 19300131     1.3
19300201 19300228     5.2
19300301 19300331    24.9
19300401 19300430    38.6
19300501 19300531   104.6
19300601 19300630   101.3
19300701 19300731   127.0
19300801 19300831    54.9
19300901 19300930    86.6
19301001 19301031    27.2
19301101 19301130    36.1
19301201 19301231    19.4
19310101 19310131     2.0
19310201 19310228     8.1
19310301 19310331    19.0
19310401 19310430    52.1
19310501 19310531    92.5
19310601 19310630    99.3
19310701 19310731    88.2
19310801 19310831   114.9
19310901 19310930   105.2
19311001 19311031    36.1
19311101 19311130    24.9
19311201 19311231    29.9
19320101 19320131     8.6
19320201 19320229     7.2
19320301 19320331    12.4
19320401 19320430    52.0
19320501 19320531    88.9
19320601 19320630   120.3
19320701 19320731   129.3
19320801 19320831   154.4
19320901 19320930    66.9
19321001 19321031    76.8
19321101 19321130    32.9
19321201 19321231    12.2
19330101 19330131    32.1
19330201 19330228     2.0
19330301 19330331    50.5
19330401 19330430    46.5
19330501 19330531   110.1
