PRCP       022020 18640101 20180131 missing_value=99999.9 WALLAROO                                  
18851201 18851231    26.4
18860101 18860131    29.2
18860201 18860228     3.3
18860301 18860331     0.0
18860401 18860430    22.1
18860501 18860531    14.3
18860601 18860630     3.1
18860701 18860731    39.9
18860801 18860831    46.2
18860901 18860930    13.8
18861001 18861031    21.4
18861101 18861130    12.6
18861201 18861231    16.3
18870101 18870131     5.6
18870201 18870228     1.0
18870301 18870331     4.0
18870401 18870430    35.2
18870501 18870531    49.2
18870601 18870630    71.6
18870701 18870731    27.4
18870801 18870831    49.1
18870901 18870930    35.3
18871001 18871031    63.0
18871101 18871130    34.0
18871201 18871231    22.1
18880101 18880131     5.9
18880201 18880229     1.0
18880301 18880331     4.1
18880401 18880430     1.5
18880501 18880531    31.0
18880601 18880630    55.5
18880701 18880731    42.5
18880801 18880831    18.7
18880901 18880930    19.2
18881001 18881031     3.0
18881101 18881130     6.2
18881201 18881231    10.0
18890101 18890131    45.2
18890201 18890228    14.5
18890301 18890331    17.8
18890401 18890430    99.4
18890501 18890531    54.7
18890601 18890630   123.7
18890701 18890731    16.3
18890801 18890831    48.8
18890901 18890930    66.1
18891001 18891031    64.8
18891101 18891130    13.8
18891201 18891231    10.5
18900101 18900131    23.4
18900201 18900228     6.1
18900301 18900331     6.9
18900401 18900430    51.1
18900501 18900531    33.6
18900601 18900630    62.2
18900701 18900731    65.0
18900801 18900831    59.9
18900901 18900930    23.8
18901001 18901031    37.2
18901101 18901130    23.0
18901201 18901231     4.9
18910101 18910131     5.4
18910201 18910228     0.8
18910301 18910331    11.5
18910401 18910430    23.9
18910501 18910531     4.1
18910601 18910630    53.7
18910701 18910731    55.5
18910801 18910831    28.2
18910901 18910930    69.6
18911001 18911031    17.9
18911101 18911130    15.6
18911201 18911231     6.1
18920101 18920131    29.3
18920201 18920229    17.1
18920301 18920331     6.9
18920401 18920430    20.4
18920501 18920531    27.7
18920601 18920630    34.8
18920701 18920731    66.9
18920801 18920831    52.0
18920901 18920930    58.0
18921001 18921031    94.5
18921101 18921130     6.4
18921201 18921231    28.9
18930101 18930131     1.6
18930201 18930228     0.0
18930301 18930331     0.0
18930401 18930430    52.4
18930501 18930531   150.1
18930601 18930630    78.9
18930701 18930731    21.5
18930801 18930831    35.1
18930901 18930930    42.7
18931001 18931031    11.4
18931101 18931130    10.9
18931201 18931231    11.7
18940101 18940131    12.5
18940201 18940228     0.0
18940301 18940331    19.9
18940401 18940430    28.0
18940501 18940531    38.2
18940601 18940630    31.0
18940701 18940731    52.2
18940801 18940831    30.1
18940901 18940930    32.2
18941001 18941031    61.6
18941101 18941130     0.3
18941201 18941231    31.0
18950101 18950131    16.3
18950201 18950228     1.6
18950301 18950331    21.4
18950401 18950430   101.7
18950501 18950531     9.6
18950601 18950630    44.2
18950701 18950731    61.7
18950801 18950831    33.2
18950901 18950930     7.3
18951001 18951031     3.1
18951101 18951130    17.5
