PRCP       010537 18910101 20180131 missing_value=99999.9 CRANBROOK                                 
19121201 19121231     6.5
19130101 19130131     3.1
19130201 19130228     0.0
19130301 19130331    50.5
19130401 19130430   161.2
19130501 19130531    32.7
19130601 19130630    56.6
19130701 19130731    58.0
19130801 19130831   104.0
19130901 19130930    47.9
19131001 19131031    39.0
19131101 19131130     8.6
19131201 19131231    39.8
19140101 19140131     3.5
19140201 19140228    52.9
19140301 19140331    24.5
19140401 19140430    18.7
19140501 19140531    45.8
19140601 19140630    47.3
19140701 19140731    73.2
19140801 19140831    28.9
19140901 19140930     8.1
19141001 19141031    26.7
19141101 19141130    62.9
19141201 19141231    12.1
19150101 19150131    16.8
19150201 19150228    50.5
19150301 19150331    30.0
19150401 19150430    25.3
19150501 19150531    35.3
19150601 19150630    73.3
19150701 19150731    85.2
19150801 19150831    88.8
19150901 19150930    76.8
19151001 19151031    32.6
19151101 19151130    15.5
19151201 19151231     0.8
19160101 19160131    25.5
19160201 19160229    51.7
19160301 19160331    21.1
19160401 19160430     9.4
19160501 19160531    40.0
19160601 19160630    57.1
19160701 19160731   113.1
19160801 19160831    77.7
19160901 19160930     6.4
19161001 19161031    62.4
19161101 19161130    86.1
19161201 19161231     2.0
19170101 19170131    14.1
19170201 19170228    28.9
19170301 19170331    54.8
19170401 19170430    68.9
19170501 19170531   126.3
19170601 19170630   125.0
19170701 19170731    93.4
19170801 19170831    91.9
19170901 19170930    85.1
19171001 19171031    46.4
19171101 19171130     0.3
19171201 19171231     9.7
19180101 19180131    99.9
19180201 19180228    40.1
19180301 19180331    63.7
19180401 19180430    45.2
19180501 19180531   105.9
19180601 19180630    83.8
19180701 19180731    25.5
19180801 19180831    59.0
19180901 19180930    51.3
19181001 19181031    35.1
19181101 19181130    30.5
19181201 19181231     2.9
19190101 19190131     1.6
19190201 19190228     8.6
19190301 19190331     7.6
19190401 19190430    71.9
19190501 19190531    21.8
19190601 19190630    44.4
19190701 19190731   103.9
19190801 19190831    66.7
19190901 19190930    37.2
19191001 19191031    35.7
19191101 19191130    23.3
19191201 19191231     6.6
19200101 19200131     6.9
19200201 19200229    83.8
19200301 19200331    13.3
19200401 19200430    16.1
19200501 19200531    54.2
19200601 19200630    91.6
19200701 19200731    56.3
19200801 19200831   112.8
19200901 19200930    40.9
19201001 19201031    20.9
19201101 19201130    20.3
19201201 19201231     8.0
19210101 19210131    20.6
19210201 19210228    37.3
19210301 19210331     9.4
