PRCP       029004 18861201 20180131 missing_value=99999.9 BURKETOWN POST OFFICE                     
19081101 19081130    35.1
19081201 19081231   146.9
19090101 19090131    37.3
19090201 19090228    42.9
19090301 19090331   303.1
19090401 19090430     0.0
19090501 19090531     0.0
19090601 19090630    15.2
19090701 19090731     0.5
19090801 19090831     0.0
19090901 19090930     0.0
19091001 19091031    25.7
19091101 19091130    80.8
19091201 19091231   172.9
19100101 19100131    55.6
19100201 19100228   299.7
19100301 19100331    76.7
19100401 19100430    31.7
19100501 19100531     0.0
19100601 19100630     0.0
19100701 19100731     0.0
19100801 19100831     0.0
19100901 19100930     0.5
19101001 19101031     6.1
19101101 19101130    53.6
19101201 19101231    51.9
19110101 19110131   297.8
19110201 19110228   131.1
19110301 19110331    79.6
19110401 19110430    34.9
19110501 19110531     0.0
19110601 19110630     0.0
19110701 19110731     0.0
19110801 19110831     0.0
19110901 19110930     0.0
19111001 19111031     2.8
19111101 19111130   117.3
19111201 19111231    43.2
19120101 19120131    18.6
19120201 19120229   220.2
19120301 19120331    87.1
19120401 19120430     0.3
19120501 19120531     0.0
19120601 19120630     4.1
19120701 19120731     0.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031    11.9
19121101 19121130    42.5
19121201 19121231    31.0
19130101 19130131   127.2
19130201 19130228   215.7
19130301 19130331   110.5
19130401 19130430     0.0
19130501 19130531     0.0
19130601 19130630     0.0
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     0.0
19131001 19131031     0.0
19131101 19131130     1.0
19131201 19131231    63.2
19140101 19140131    52.1
19140201 19140228    71.3
19140301 19140331   170.8
19140401 19140430    61.5
19140501 19140531     0.0
19140601 19140630    16.3
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    72.9
19141101 19141130    11.4
19141201 19141231    64.5
19150101 19150131    97.1
19150201 19150228    18.6
19150301 19150331     0.0
19150401 19150430    23.6
19150501 19150531     6.6
19150601 19150630     0.0
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930     6.1
19151001 19151031     0.0
19151101 19151130     1.5
19151201 19151231   295.9
19160101 19160131   242.0
19160201 19160229    29.8
19160301 19160331    96.5
19160401 19160430     0.0
19160501 19160531     5.6
19160601 19160630     0.0
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930     0.0
19161001 19161031    11.7
19161101 19161130    88.3
19161201 19161231   219.4
19170101 19170131   107.5
19170201 19170228   147.6
19170301 19170331   116.1
19170401 19170430     2.3
19170501 19170531    30.7
19170601 19170630     0.0
19170701 19170731     0.0
19170801 19170831     0.0
19170901 19170930     0.0
19171001 19171031     0.0
19171101 19171130   159.2
19171201 19171231   120.6
19180101 19180131   391.2
19180201 19180228   233.7
19180301 19180331     4.1
19180401 19180430     4.1
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     0.0
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130     0.3
19181201 19181231    49.4
19190101 19190131   495.3
19190201 19190228   166.8
19190301 19190331    10.6
19190401 19190430     0.0
19190501 19190531     6.9
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     0.0
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130    10.4
19191201 19191231   111.5
19200101 19200131   457.9
