PRCP       085096 18721201 20180131 missing_value=99999.9 WILSONS PROMONTORY LIGHTHOUSE             
18941001 18941031    95.3
18941101 18941130    29.3
18941201 18941231    87.1
18950101 18950131    34.3
18950201 18950228    64.4
18950301 18950331    55.6
18950401 18950430    70.8
18950501 18950531    74.5
18950601 18950630   180.7
18950701 18950731   180.3
18950801 18950831   155.2
18950901 18950930   118.8
18951001 18951031    62.7
18951101 18951130     7.5
18951201 18951231    72.9
18960101 18960131    92.7
18960201 18960229    38.4
18960301 18960331    19.8
18960401 18960430   173.6
18960501 18960531   112.4
18960601 18960630   192.0
18960701 18960731   142.3
18960801 18960831   123.4
18960901 18960930    54.6
18961001 18961031   100.1
18961101 18961130    29.0
18961201 18961231    20.7
18970101 18970131   136.5
18970201 18970228   103.3
18970301 18970331    63.4
18970401 18970430    69.2
18970501 18970531   203.5
18970601 18970630    67.7
18970701 18970731   127.7
18970801 18970831   100.1
18970901 18970930    29.7
18971001 18971031   116.5
18971101 18971130    61.4
18971201 18971231    10.2
18980101 18980131    22.6
18980201 18980228     5.6
18980301 18980331    66.1
18980401 18980430   112.5
18980501 18980531   109.8
18980601 18980630   107.7
18980701 18980731   163.9
18980801 18980831    73.7
18980901 18980930   122.9
18981001 18981031    67.6
18981101 18981130   104.1
18981201 18981231    43.0
18990101 18990131   186.7
18990201 18990228    12.0
18990301 18990331   104.3
18990401 18990430   113.0
18990501 18990531   153.3
18990601 18990630   150.5
18990701 18990731    19.6
18990801 18990831    91.2
18990901 18990930    62.6
18991001 18991031    97.0
18991101 18991130    50.4
18991201 18991231    43.5
19000101 19000131   107.6
19000201 19000228    19.8
19000301 19000331   123.4
19000401 19000430   125.3
19000501 19000531    44.9
19000601 19000630   151.6
19000701 19000731    75.8
19000801 19000831   190.2
19000901 19000930    56.0
19001001 19001031   120.1
19001101 19001130    23.2
19001201 19001231    49.6
19010101 19010131   100.3
19010201 19010228    17.1
19010301 19010331   109.8
19010401 19010430   246.3
19010501 19010531    66.9
19010601 19010630   174.2
19010701 19010731    78.6
19010801 19010831   115.9
