PRCP       085096 18721201 20180131 missing_value=99999.9 WILSONS PROMONTORY LIGHTHOUSE             
19670501 19670531    59.7
19670601 19670630    82.1
19670701 19670731   111.1
19670801 19670831   112.6
19670901 19670930    51.9
19671001 19671031    24.9
19671101 19671130    39.4
19671201 19671231    53.5
19680101 19680131    22.9
19680201 19680229    20.3
19680301 19680331    59.3
19680401 19680430   131.8
19680501 19680531   259.7
19680601 19680630   118.7
19680701 19680731    86.2
19680801 19680831   172.4
19680901 19680930    71.3
19681001 19681031   196.0
19681101 19681130   159.0
19681201 19681231    24.4
19690101 19690131    55.1
19690201 19690228   102.2
19690301 19690331    50.8
19690401 19690430    88.6
19690501 19690531   124.9
19690601 19690630    71.3
19690701 19690731   111.3
19690801 19690831    66.2
19690901 19690930   148.0
19691001 19691031    36.8
19691101 19691130    91.4
19691201 19691231    39.9
19700101 19700131    47.5
19700201 19700228     8.1
19700301 19700331   162.2
19700401 19700430   119.3
19700501 19700531    96.1
19700601 19700630    61.0
19700701 19700731   187.0
19700801 19700831   259.2
19700901 19700930   124.7
19701001 19701031    54.3
19701101 19701130    60.3
19701201 19701231   131.0
19710101 19710131    53.0
19710201 19710228    32.1
19710301 19710331    15.4
19710401 19710430   133.6
19710501 19710531   169.0
19710601 19710630   178.1
19710701 19710731   117.3
19710801 19710831   129.3
19710901 19710930    98.0
19711001 19711031   221.0
19711101 19711130    90.1
19711201 19711231    69.8
19720101 19720131    18.8
19720201 19720229    25.7
19720301 19720331     8.4
19720401 19720430    92.7
19720501 19720531    36.1
19720601 19720630    39.6
19720701 19720731   257.5
19720801 19720831    74.4
19720901 19720930   120.1
19721001 19721031    59.5
19721101 19721130    37.8
19721201 19721231    15.8
19730101 19730131    56.6
19730201 19730228   166.9
19730301 19730331   139.5
19730401 19730430   141.9
19730501 19730531   150.7
19730601 19730630   154.7
19730701 19730731    56.8
19730801 19730831   129.7
19730901 19730930   101.5
19731001 19731031    84.4
19731101 19731130   112.2
19731201 19731231    51.4
19740101 19740131    20.6
19740201 19740228    33.1
19740301 19740331    19.9
19740401 19740430   117.3
19740501 19740531   120.6
19740601 19740630    41.7
19740701 19740731   219.3
19740801 19740831   153.7
19740901 19740930   148.6
19741001 19741031    68.6
19741101 19741130   111.0
19741201 19741231    96.9
19750101 19750131    71.5
19750201 19750228    40.0
19750301 19750331    86.8
19750401 19750430    38.5
19750501 19750531   188.6
19750601 19750630    74.4
19750701 19750731   172.3
19750801 19750831   139.5
19750901 19750930    93.6
19751001 19751031   162.7
19751101 19751130    57.6
19751201 19751231    38.3
19760101 19760131     9.2
19760201 19760229     4.1
19760301 19760331    63.2
19760401 19760430    48.9
19760501 19760531    91.6
19760601 19760630   135.3
19760701 19760731    22.5
19760801 19760831    67.2
19760901 19760930    90.6
19761001 19761031   113.2
19761101 19761130    55.1
19761201 19761231   105.8
19770101 19770131    77.8
19770201 19770228    87.0
19770301 19770331   139.9
19770401 19770430    83.3
19770501 19770531   158.8
19770601 19770630   122.8
19770701 19770731   117.5
19770801 19770831    87.2
19770901 19770930    36.8
19771001 19771031    86.3
19771101 19771130    74.2
19771201 19771231    20.2
19780101 19780131    87.0
19780201 19780228    56.4
19780301 19780331    67.5
19780401 19780430    55.4
19780501 19780531   126.2
19780601 19780630   160.4
19780701 19780731   226.0
19780801 19780831   150.3
19780901 19780930    90.0
19781001 19781031    84.8
19781101 19781130    82.0
19781201 19781231    85.0
19790101 19790131    26.9
19790201 19790228    26.8
19790301 19790331   135.6
19790401 19790430    94.7
19790501 19790531   120.0
19790601 19790630   141.6
19790701 19790731   118.8
19790801 19790831   167.2
19790901 19790930   182.6
19791001 19791031    98.8
19791101 19791130    40.8
19791201 19791231    50.2
19800101 19800131    72.0
19800201 19800229    27.8
19800301 19800331    49.0
19800401 19800430   107.2
19800501 19800531   119.7
19800601 19800630   108.5
19800701 19800731   175.9
19800801 19800831   138.6
19800901 19800930   122.2
19801001 19801031    67.4
19801101 19801130    57.7
19801201 19801231    85.0
19810101 19810131   127.6
19810201 19810228    21.0
19810301 19810331   111.0
19810401 19810430    28.6
19810501 19810531   104.2
19810601 19810630   166.8
19810701 19810731   155.9
19810801 19810831   152.8
19810901 19810930    84.8
19811001 19811031    85.0
19811101 19811130    72.6
19811201 19811231    39.8
19820101 19820131    23.6
19820201 19820228     9.6
19820301 19820331   152.0
19820401 19820430    96.9
19820501 19820531   195.5
19820601 19820630    73.6
19820701 19820731    64.2
19820801 19820831    36.3
19820901 19820930    69.4
19821001 19821031    26.0
19821101 19821130    19.9
19821201 19821231    20.9
19830101 19830131    61.7
19830201 19830228     4.0
19830301 19830331    92.6
19830401 19830430    84.3
19830501 19830531   133.6
19830601 19830630   162.6
19830701 19830731    68.2
19830801 19830831    60.6
19830901 19830930   159.8
19831001 19831031    77.6
19831101 19831130    55.0
19831201 19831231    28.8
19840101 19840131   114.8
19840201 19840229    17.4
19840301 19840331   102.6
19840401 19840430    43.6
19840501 19840531    38.2
19840601 19840630   106.0
19840701 19840731   211.6
19840801 19840831   170.4
19840901 19840930   108.1
19841001 19841031    33.2
19841101 19841130    55.3
19841201 19841231    85.4
19850101 19850131    32.8
19850201 19850228    19.8
19850301 19850331    59.2
19850401 19850430   138.8
19850501 19850531   112.0
19850601 19850630   149.6
19850701 19850731   107.0
19850801 19850831    84.4
19850901 19850930     6.2
19851001 19851031    54.6
19851101 19851130    96.0
19851201 19851231   112.3
19860101 19860131    44.4
19860201 19860228    38.7
19860301 19860331    16.4
19860401 19860430   117.4
19860501 19860531   155.6
19860601 19860630   135.8
19860701 19860731   195.2
19860801 19860831    72.2
19860901 19860930    89.9
19861001 19861031   140.0
19861101 19861130    26.8
19861201 19861231    69.6
19870101 19870131    74.0
19870201 19870228    38.5
19870301 19870331    49.0
19870401 19870430    26.2
19870501 19870531   127.2
19870601 19870630    86.6
19870701 19870731    94.4
19870801 19870831    63.8
19870901 19870930    75.0
19871001 19871031    46.8
19871101 19871130    48.4
19871201 19871231    72.6
19880101 19880131    28.0
19880201 19880229    10.0
19880301 19880331    13.8
19880401 19880430    42.8
19880501 19880531   349.4
19880601 19880630    86.2
19880701 19880731    82.4
19880801 19880831   116.6
19880901 19880930   114.4
19881001 19881031   108.8
19881101 19881130    62.8
19881201 19881231    90.8
19890101 19890131    51.4
19890201 19890228    34.4
19890301 19890331   114.2
19890401 19890430    37.6
19890501 19890531    72.4
19890601 19890630    97.6
19890701 19890731   131.6
19890801 19890831   108.2
19890901 19890930    60.2
19891001 19891031   176.8
19891101 19891130    46.0
19891201 19891231    41.0
19900101 19900131     4.2
19900201 19900228    54.0
19900301 19900331    30.2
19900401 19900430    71.6
19900501 19900531    39.8
19900601 19900630   131.8
19900701 19900731   231.4
19900801 19900831   197.0
19900901 19900930   120.6
19901001 19901031   100.0
19901101 19901130    74.8
19901201 19901231    55.2
19910101 19910131   137.4
19910201 19910228    25.8
19910301 19910331    64.0
19910401 19910430    68.2
19910501 19910531    46.4
19910601 19910630   168.2
19910701 19910731   231.2
19910801 19910831   354.4
19910901 19910930   156.2
19911001 19911031    41.8
19911101 19911130    79.0
19911201 19911231    54.8
19920101 19920131    45.8
19920201 19920229    22.6
19920301 19920331    32.2
19920401 19920430   119.4
19920501 19920531   184.0
19920601 19920630   126.4
19920701 19920731   176.2
19920801 19920831   171.7
19920901 19920930   162.6
19921001 19921031    83.2
19921101 19921130    83.8
19921201 19921231    96.0
19930101 19930131   110.4
19930201 19930228    84.8
19930301 19930331    79.8
19930401 19930430    37.0
19930501 19930531    75.8
19930601 19930630   183.8
19930701 19930731   183.0
19930801 19930831   132.0
19930901 19930930   150.0
19931001 19931031   113.2
19931101 19931130    57.6
19931201 19931231   121.9
19940101 19940131    58.4
19940201 19940228    75.6
19940301 19940331    13.6
19940401 19940430    61.2
19940501 19940531   211.4
19940601 19940630   115.4
19940701 19940731    88.2
19940801 19940831    87.8
19940901 19940930   100.4
19941001 19941031    79.4
19941101 19941130   131.0
19941201 19941231    52.8
19950101 19950131    43.0
19950201 19950228    53.4
19950301 19950331   106.4
19950401 19950430   188.0
19950501 19950531   117.8
19950601 19950630   149.8
19950701 19950731   338.8
19950801 19950831    99.2
19950901 19950930   120.8
19951001 19951031   105.0
19951101 19951130    97.4
19951201 19951231    70.8
19960101 19960131    67.2
19960201 19960229    78.5
19960301 19960331    71.6
19960401 19960430   114.0
19960501 19960531 99999.9
19960601 19960630   131.0
19960701 19960731   182.6
19960801 19960831   214.2
19960901 19960930   168.2
19961001 19961031    83.6
19961101 19961130    91.4
19961201 19961231    63.2
19970101 19970131    38.8
19970201 19970228    20.6
19970301 19970331    50.0
19970401 19970430    55.4
19970501 19970531   135.2
19970601 19970630    93.2
19970701 19970731    76.0
19970801 19970831   127.2
19970901 19970930    83.6
19971001 19971031    48.4
19971101 19971130    73.0
19971201 19971231    46.8
19980101 19980131   176.8
19980201 19980228    62.2
19980301 19980331    35.6
19980401 19980430    92.8
19980501 19980531    76.0
19980601 19980630    83.4
19980701 19980731    66.4
19980801 19980831    77.2
19980901 19980930    75.6
19981001 19981031   139.8
19981101 19981130    84.4
19981201 19981231    84.0
19990101 19990131    51.4
19990201 19990228    49.4
19990301 19990331    63.4
19990401 19990430    24.8
19990501 19990531   151.8
19990601 19990630    78.2
19990701 19990731    85.0
19990801 19990831   123.4
19990901 19990930    54.0
19991001 19991031    98.4
19991101 19991130    46.6
19991201 19991231    41.2
20000101 20000131    64.6
20000201 20000229    38.4
20000301 20000331    24.8
20000401 20000430    86.9
20000501 20000531   211.6
20000601 20000630    66.8
20000701 20000731   108.6
20000801 20000831   225.0
20000901 20000930   219.8
20001001 20001031   143.0
20001101 20001130    10.0
20001201 20001231    38.8
20010101 20010131    47.0
20010201 20010228    32.2
20010301 20010331   115.8
20010401 20010430    83.2
20010501 20010531    58.0
20010601 20010630   113.8
20010701 20010731    64.4
20010801 20010831   170.6
20010901 20010930    30.4
20011001 20011031   168.8
20011101 20011130    88.0
20011201 20011231    57.4
20020101 20020131    79.8
20020201 20020228    28.6
20020301 20020331    25.4
20020401 20020430    58.2
20020501 20020531    55.0
20020601 20020630   210.8
20020701 20020731   171.6
20020801 20020831    69.8
20020901 20020930   119.8
20021001 20021031   101.0
20021101 20021130    39.2
20021201 20021231    26.6
20030101 20030131    41.0
20030201 20030228     6.4
20030301 20030331    42.8
20030401 20030430    38.4
20030501 20030531    36.6
20030601 20030630    86.6
20030701 20030731   117.6
20030801 20030831   121.8
20030901 20030930   132.6
20031001 20031031    88.2
20031101 20031130     9.6
20031201 20031231    52.4
20040101 20040131    48.6
20040201 20040229    36.0
20040301 20040331    21.6
20040401 20040430    59.8
20040501 20040531   155.6
20040601 20040630   151.4
20040701 20040731   197.8
20040801 20040831   130.8
20040901 20040930   106.0
20041001 20041031    61.0
20041101 20041130    97.0
20041201 20041231    38.0
20050101 20050131    27.6
20050201 20050228    76.6
20050301 20050331    32.2
20050401 20050430    46.4
20050501 20050531    58.8
20050601 20050630   102.6
20050701 20050731   138.0
20050801 20050831   104.0
20050901 20050930    89.8
20051001 20051031    52.2
20051101 20051130    63.4
20051201 20051231    75.2
20060101 20060131    61.4
20060201 20060228    19.4
20060301 20060331    25.2
20060401 20060430   117.2
20060501 20060531   149.6
20060601 20060630    52.8
20060701 20060731    76.6
20060801 20060831    46.8
20060901 20060930    13.2
20061001 20061031    16.4
20061101 20061130    28.6
20061201 20061231    26.8
20070101 20070131    26.8
20070201 20070228    87.6
20070301 20070331    56.6
20070401 20070430    24.6
20070501 20070531   170.0
20070601 20070630    49.0
20070701 20070731   110.4
20070801 20070831   106.4
20070901 20070930   109.0
20071001 20071031    80.0
20071101 20071130    59.8
20071201 20071231    65.8
20080101 20080131     8.4
20080201 20080229    27.2
20080301 20080331    62.4
20080401 20080430    92.6
20080501 20080531    69.8
20080601 20080630    88.2
20080701 20080731   120.2
20080801 20080831   111.2
20080901 20080930    72.4
20081001 20081031    27.0
20081101 20081130    90.8
20081201 20081231    95.6
20090101 20090131     6.6
20090201 20090228     9.0
20090301 20090331   113.4
20090401 20090430   125.0
20090501 20090531    59.8
20090601 20090630   137.4
20090701 20090731   258.0
20090801 20090831   224.6
20090901 20090930   142.0
20091001 20091031    89.8
20091101 20091130    79.2
20091201 20091231    60.2
20100101 20100131    34.8
20100201 20100228    94.8
20100301 20100331    66.6
20100401 20100430    84.0
20100501 20100531   151.2
20100601 20100630   109.4
20100701 20100731    68.2
20100801 20100831   240.0
20100901 20100930    94.2
20101001 20101031    72.2
20101101 20101130   111.2
20101201 20101231   108.2
20110101 20110131    52.0
20110201 20110228   114.0
20110301 20110331   110.2
20110401 20110430   116.6
20110501 20110531    81.6
20110601 20110630   114.2
20110701 20110731   128.2
20110801 20110831    58.2
20110901 20110930    71.4
20111001 20111031    69.6
20111101 20111130   131.8
20111201 20111231    61.4
20120101 20120131 99999.9
20120201 20120229   131.0
20120301 20120331    85.0
20120401 20120430    83.2
20120501 20120531   148.8
20120601 20120630   206.8
20120701 20120731    53.4
20120801 20120831   131.2
20120901 20120930   171.4
20121001 20121031    31.4
20121101 20121130    33.2
20121201 20121231    72.6
20130101 20130131    23.4
20130201 20130228    19.4
20130301 20130331    53.4
20130401 20130430    27.0
20130501 20130531    95.2
20130601 20130630   115.4
20130701 20130731   197.4
20130801 20130831   341.0
20130901 20130930   105.2
20131001 20131031   207.2
20131101 20131130    74.8
20131201 20131231    99.6
20140101 20140131    25.2
20140201 20140228     9.2
20140301 20140331   116.8
20140401 20140430    77.8
20140501 20140531   100.6
20140601 20140630   113.4
20140701 20140731   109.8
20140801 20140831    58.0
20140901 20140930    50.4
20141001 20141031    63.2
20141101 20141130    53.6
20141201 20141231   118.4
20150101 20150131    59.0
20150201 20150228    48.4
20150301 20150331    63.4
20150401 20150430    30.2
20150501 20150531   153.4
20150601 20150630    35.4
20150701 20150731   127.0
20150801 20150831    77.4
20150901 20150930    47.8
20151001 20151031     6.8
20151101 20151130    32.4
20151201 20151231    27.2
20160101 20160131   198.6
20160201 20160229    25.6
20160301 20160331    51.6
20160401 20160430    35.0
20160501 20160531   194.6
20160601 20160630   239.0
20160701 20160731   225.8
20160801 20160831   133.6
20160901 20160930   105.0
20161001 20161031   158.8
20161101 20161130    48.4
20161201 20161231    30.8
20170101 20170131    51.4
20170201 20170228    87.6
20170301 20170331    97.8
20170401 20170430    86.8
20170501 20170531   100.8
20170601 20170630    58.2
20170701 20170731   113.0
20170801 20170831   180.2
20170901 20170930   186.2
20171001 20171031    54.8
20171101 20171130    10.0
20171201 20171231   124.6
20180101 20180131    59.4
