PRCP       013002 19500301 20171231 missing_value=99999.9 GLEN AYLE                                 
19720201 19720229    42.7
19720301 19720331     7.4
19720401 19720430     0.0
19720501 19720531     9.7
19720601 19720630     0.0
19720701 19720731    63.7
19720801 19720831    10.7
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130     0.0
19721201 19721231     1.5
19730101 19730131   118.6
19730201 19730228     0.0
19730301 19730331    56.9
19730401 19730430    45.2
19730501 19730531    15.7
19730601 19730630    33.1
19730701 19730731    47.0
19730801 19730831    24.2
19730901 19730930     0.0
19731001 19731031     0.0
19731101 19731130     0.0
19731201 19731231   136.3
19740101 19740131   152.8
19740201 19740228     8.2
19740301 19740331     7.0
19740401 19740430    23.5
19740501 19740531    28.0
19740601 19740630     7.0
19740701 19740731    27.2
19740801 19740831    24.8
19740901 19740930     3.6
19741001 19741031     7.0
19741101 19741130    14.0
19741201 19741231    54.6
19750101 19750131    10.0
19750201 19750228    52.0
19750301 19750331    24.0
19750401 19750430    38.0
19750501 19750531     0.0
19750601 19750630     4.0
19750701 19750731     5.0
19750801 19750831     3.0
19750901 19750930     0.0
19751001 19751031    40.0
19751101 19751130    94.0
19751201 19751231    35.0
19760101 19760131    23.0
19760201 19760229    29.4
19760301 19760331    12.0
19760401 19760430     8.2
19760501 19760531     9.2
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    16.0
19761101 19761130    30.8
19761201 19761231     6.0
19770101 19770131     4.0
19770201 19770228     0.0
19770301 19770331     0.0
19770401 19770430     6.0
19770501 19770531     0.0
19770601 19770630    14.0
19770701 19770731     0.0
19770801 19770831     7.4
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130     0.0
19771201 19771231    13.0
19780101 19780131    28.0
19780201 19780228   152.4
19780301 19780331     0.0
19780401 19780430     0.0
19780501 19780531     0.0
19780601 19780630     0.0
19780701 19780731    42.0
19780801 19780831    83.2
19780901 19780930     0.0
19781001 19781031     0.0
19781101 19781130    41.2
19781201 19781231     6.4
19790101 19790131     0.0
