PRCP       010592 19080801 20120831 missing_value=99999.9 LAKE GRACE POST OFFICE                    
19300701 19300731   128.1
19300801 19300831    25.9
19300901 19300930    24.2
19301001 19301031    11.2
19301101 19301130     0.8
19301201 19301231    13.8
19310101 19310131     0.0
19310201 19310228     9.4
19310301 19310331     9.2
19310401 19310430    16.5
19310501 19310531    56.6
19310601 19310630    37.9
19310701 19310731    46.4
19310801 19310831    96.3
19310901 19310930    58.1
19311001 19311031    11.4
19311101 19311130    17.1
19311201 19311231    11.8
19320101 19320131    38.1
19320201 19320229     3.0
19320301 19320331    12.4
19320401 19320430    24.7
19320501 19320531    70.6
19320601 19320630    17.6
19320701 19320731    62.6
19320801 19320831    97.2
19320901 19320930    41.0
19321001 19321031    57.2
19321101 19321130     1.8
19321201 19321231     5.6
19330101 19330131    21.3
19330201 19330228     2.8
19330301 19330331    57.7
19330401 19330430     5.1
19330501 19330531    43.9
19330601 19330630    54.6
19330701 19330731    25.4
19330801 19330831    25.3
19330901 19330930    23.1
19331001 19331031    41.4
19331101 19331130     1.1
19331201 19331231     5.8
19340101 19340131     9.7
19340201 19340228     6.9
19340301 19340331   118.6
19340401 19340430    40.5
19340501 19340531    48.0
19340601 19340630    48.1
19340701 19340731    69.4
19340801 19340831    46.2
19340901 19340930    38.4
19341001 19341031    19.6
19341101 19341130    22.3
19341201 19341231     5.8
19350101 19350131    20.8
19350201 19350228     2.5
19350301 19350331    11.2
19350401 19350430    19.0
19350501 19350531    33.1
19350601 19350630    43.3
19350701 19350731    69.7
19350801 19350831    55.7
19350901 19350930    39.4
19351001 19351031    78.1
19351101 19351130     0.0
19351201 19351231     7.8
19360101 19360131    44.0
19360201 19360229     1.3
19360301 19360331     8.1
19360401 19360430    19.5
19360501 19360531    79.3
19360601 19360630    87.1
19360701 19360731    31.6
19360801 19360831    38.9
19360901 19360930    11.6
19361001 19361031     2.6
19361101 19361130     8.1
19361201 19361231    30.4
19370101 19370131     0.5
19370201 19370228     0.0
19370301 19370331    99.4
19370401 19370430    20.0
19370501 19370531    73.5
19370601 19370630    66.2
19370701 19370731    12.8
19370801 19370831    63.0
19370901 19370930     9.8
19371001 19371031     7.1
19371101 19371130    41.2
19371201 19371231     2.6
19380101 19380131    18.1
19380201 19380228     0.0
19380301 19380331    68.6
19380401 19380430     7.6
19380501 19380531    17.4
19380601 19380630    39.4
19380701 19380731    55.9
19380801 19380831    32.6
19380901 19380930    29.9
19381001 19381031    23.4
19381101 19381130    13.0
19381201 19381231     7.2
19390101 19390131   101.8
19390201 19390228    57.9
19390301 19390331     0.8
19390401 19390430     6.1
19390501 19390531   116.0
19390601 19390630    48.4
19390701 19390731   108.3
19390801 19390831    39.4
19390901 19390930     6.4
19391001 19391031    74.3
19391101 19391130    37.7
19391201 19391231     0.0
19400101 19400131    11.6
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    10.9
19400501 19400531    20.3
19400601 19400630    33.1
19400701 19400731    43.9
19400801 19400831     9.3
19400901 19400930    25.0
19401001 19401031    15.6
19401101 19401130    11.3
19401201 19401231    44.6
19410101 19410131     1.0
19410201 19410228     2.3
19410301 19410331    18.6
19410401 19410430    20.1
19410501 19410531    14.5
19410601 19410630    40.2
19410701 19410731    40.2
19410801 19410831    52.9
19410901 19410930    35.1
19411001 19411031    34.6
19411101 19411130     7.6
19411201 19411231    19.4
19420101 19420131     0.6
19420201 19420228    10.7
19420301 19420331    98.3
19420401 19420430    43.2
19420501 19420531    40.7
19420601 19420630    32.3
19420701 19420731    41.5
19420801 19420831    63.3
19420901 19420930    33.1
19421001 19421031    24.9
19421101 19421130     6.6
19421201 19421231    30.3
19430101 19430131    16.5
19430201 19430228    25.7
19430301 19430331    14.9
19430401 19430430    50.0
19430501 19430531    51.2
19430601 19430630    86.7
19430701 19430731    30.8
19430801 19430831    60.6
19430901 19430930    37.9
19431001 19431031    14.5
19431101 19431130     5.6
19431201 19431231     6.2
19440101 19440131     1.5
19440201 19440229     0.0
19440301 19440331     6.1
19440401 19440430    16.0
19440501 19440531    51.2
19440601 19440630    21.9
19440701 19440731    59.7
19440801 19440831    48.3
19440901 19440930    13.2
19441001 19441031     0.0
19441101 19441130     2.3
19441201 19441231     9.4
19450101 19450131     0.0
19450201 19450228     0.8
19450301 19450331    37.0
19450401 19450430     8.9
19450501 19450531    40.2
19450601 19450630   149.7
19450701 19450731    48.1
19450801 19450831   101.4
19450901 19450930    26.4
19451001 19451031     7.1
19451101 19451130     5.7
19451201 19451231     3.9
19460101 19460131     0.0
19460201 19460228     3.0
19460301 19460331     2.5
19460401 19460430     6.4
19460501 19460531    51.2
19460601 19460630    93.8
19460701 19460731    91.0
19460801 19460831    26.8
19460901 19460930    13.3
19461001 19461031     3.0
19461101 19461130    39.4
