PRCP       010592 19080801 20120831 missing_value=99999.9 LAKE GRACE POST OFFICE                    
20031201 20031231    10.4
20040101 20040131    16.4
20040201 20040229    51.6
20040301 20040331    28.0
20040401 20040430     6.4
20040501 20040531    23.8
20040601 20040630    54.2
20040701 20040731    23.2
20040801 20040831    41.8
20040901 20040930    22.4
20041001 20041031    20.2
20041101 20041130    31.4
20041201 20041231    14.2
20050101 20050131     0.0
20050201 20050228     7.8
20050301 20050331    38.2
20050401 20050430    14.6
20050501 20050531    60.0
20050601 20050630    61.6
20050701 20050731    16.6
20050801 20050831    31.0
20050901 20050930    34.2
20051001 20051031    59.0
20051101 20051130    12.8
20051201 20051231     2.4
20060101 20060131   268.6
20060201 20060228    48.8
20060301 20060331    28.0
20060401 20060430    37.8
20060501 20060531     9.0
20060601 20060630    13.6
20060701 20060731    22.2
20060801 20060831    49.6
20060901 20060930    16.2
20061001 20061031     9.0
20061101 20061130    19.4
20061201 20061231    11.6
20070101 20070131    14.8
20070201 20070228     0.0
20070301 20070331     2.0
20070401 20070430    38.6
20070501 20070531    15.8
20070601 20070630    31.8
20070701 20070731    60.2
20070801 20070831    20.0
20070901 20070930    26.4
20071001 20071031    15.6
20071101 20071130     0.0
20071201 20071231    31.2
20080101 20080131     6.4
20080201 20080229     1.8
20080301 20080331     2.6
20080401 20080430    74.6
20080501 20080531    35.2
20080601 20080630    25.6
20080701 20080731    80.6
20080801 20080831     6.2
20080901 20080930    43.4
20081001 20081031    40.0
20081101 20081130    15.8
20081201 20081231    33.2
20090101 20090131     8.2
20090201 20090228     1.4
20090301 20090331     8.0
20090401 20090430     0.0
20090501 20090531     4.4
20090601 20090630    40.0
20090701 20090731    29.0
20090801 20090831    18.6
20090901 20090930    34.2
20091001 20091031    17.2
20091101 20091130    25.8
20091201 20091231     0.2
20100101 20100131     2.2
20100201 20100228     0.6
20100301 20100331    16.6
20100401 20100430    15.8
20100501 20100531    40.0
20100601 20100630    31.0
20100701 20100731    27.8
20100801 20100831     8.6
20100901 20100930     4.4
20101001 20101031     0.2
20101101 20101130     7.2
20101201 20101231     1.2
20110101 20110131    15.4
20110201 20110228     5.0
20110301 20110331     0.0
20110401 20110430    14.6
20110501 20110531    32.2
20110601 20110630    33.4
20110701 20110731    66.2
20110801 20110831    26.8
20110901 20110930    30.4
20111001 20111031    78.2
20111101 20111130    49.0
20111201 20111231    93.4
20120101 20120131    33.6
20120201 20120229    17.2
20120301 20120331     9.2
20120401 20120430     0.8
20120501 20120531    33.8
20120601 20120630    33.4
20120701 20120731    13.6
20120801 20120831    25.4
