PRCP       054003 18930101 20180131 missing_value=99999.9 BARRABA POST OFFICE                       
19880701 19880731    62.4
19880801 19880831    52.4
19880901 19880930    63.2
19881001 19881031    18.4
19881101 19881130    54.0
19881201 19881231   128.4
19890101 19890131    72.1
19890201 19890228    29.7
19890301 19890331    84.2
19890401 19890430   108.8
19890501 19890531    46.4
19890601 19890630    83.6
19890701 19890731    81.6
19890801 19890831    14.0
19890901 19890930     6.4
19891001 19891031    20.8
19891101 19891130   121.4
19891201 19891231    71.2
19900101 19900131    24.2
19900201 19900228   140.4
19900301 19900331     5.8
19900401 19900430   121.8
19900501 19900531    80.0
19900601 19900630    40.2
19900701 19900731    90.8
19900801 19900831    23.2
19900901 19900930    20.8
19901001 19901031    30.2
19901101 19901130    13.2
19901201 19901231    26.8
19910101 19910131   104.0
19910201 19910228   119.0
19910301 19910331    57.2
19910401 19910430     0.2
19910501 19910531   131.6
19910601 19910630    49.7
19910701 19910731    37.3
19910801 19910831     0.2
19910901 19910930    16.4
19911001 19911031    19.4
19911101 19911130    65.6
19911201 19911231   126.6
19920101 19920131    26.6
19920201 19920229   100.0
19920301 19920331     6.6
19920401 19920430    64.6
19920501 19920531    27.8
19920601 19920630     9.2
19920701 19920731    46.2
19920801 19920831    48.2
19920901 19920930    13.6
19921001 19921031    48.6
19921101 19921130   122.2
19921201 19921231    63.0
19930101 19930131   102.6
19930201 19930228    56.6
19930301 19930331     6.8
19930401 19930430     0.4
19930501 19930531    32.4
19930601 19930630    69.0
19930701 19930731    84.0
19930801 19930831    27.0
19930901 19930930    67.8
19931001 19931031    89.2
19931101 19931130    34.6
19931201 19931231    78.0
19940101 19940131    52.0
19940201 19940228    72.2
19940301 19940331    69.2
19940401 19940430     5.6
19940501 19940531    15.6
19940601 19940630    21.4
19940701 19940731     9.6
19940801 19940831    25.6
19940901 19940930     4.2
19941001 19941031    24.4
19941101 19941130    56.0
19941201 19941231    63.8
19950101 19950131   141.3
19950201 19950228    38.4
19950301 19950331     5.0
19950401 19950430     1.8
19950501 19950531    52.8
19950601 19950630    81.8
19950701 19950731    16.2
19950801 19950831     0.6
19950901 19950930    76.2
19951001 19951031    63.6
19951101 19951130   199.2
19951201 19951231    91.0
19960101 19960131   249.8
19960201 19960229    62.8
19960301 19960331    10.4
19960401 19960430    14.3
19960501 19960531    90.8
19960601 19960630    57.1
19960701 19960731    64.1
19960801 19960831    82.0
19960901 19960930    40.5
19961001 19961031    32.1
19961101 19961130    72.9
19961201 19961231   202.8
19970101 19970131   161.4
19970201 19970228   149.4
19970301 19970331    46.4
19970401 19970430     1.2
19970501 19970531    90.6
19970601 19970630    19.4
19970701 19970731    16.9
19970801 19970831    14.8
19970901 19970930    95.0
19971001 19971031    79.4
19971101 19971130    50.8
19971201 19971231   151.8
19980101 19980131    97.3
19980201 19980228    92.4
19980301 19980331     0.6
19980401 19980430    76.0
19980501 19980531    63.6
19980601 19980630   107.6
19980701 19980731   131.5
19980801 19980831    88.2
19980901 19980930   154.3
19981001 19981031    87.4
19981101 19981130    30.8
19981201 19981231    15.2
19990101 19990131    80.4
19990201 19990228    31.0
19990301 19990331   105.8
19990401 19990430    69.8
19990501 19990531     3.9
19990601 19990630    54.0
19990701 19990731    22.4
19990801 19990831    57.4
19990901 19990930    28.2
19991001 19991031   152.0
19991101 19991130   109.8
19991201 19991231    75.8
20000101 20000131    32.8
20000201 20000229    40.2
20000301 20000331   100.6
20000401 20000430    11.6
20000501 20000531    29.8
20000601 20000630     9.7
20000701 20000731    41.3
20000801 20000831    45.7
20000901 20000930     9.8
20001001 20001031   125.8
20001101 20001130   155.3
20001201 20001231    89.4
20010101 20010131    78.4
20010201 20010228    70.6
20010301 20010331   105.4
20010401 20010430    35.2
20010501 20010531    30.6
20010601 20010630    12.2
20010701 20010731    73.8
20010801 20010831    14.8
20010901 20010930    35.1
20011001 20011031    46.4
20011101 20011130   140.6
20011201 20011231    43.0
20020101 20020131    42.6
20020201 20020228    49.0
20020301 20020331    79.6
20020401 20020430     1.6
20020501 20020531     8.4
20020601 20020630    27.4
20020701 20020731     4.4
20020801 20020831    15.2
20020901 20020930    27.4
20021001 20021031    31.0
20021101 20021130    22.1
20021201 20021231    29.0
20030101 20030131    11.1
20030201 20030228    95.7
20030301 20030331    46.0
20030401 20030430   127.0
20030501 20030531     3.2
20030601 20030630    36.9
20030701 20030731    41.8
20030801 20030831    49.6
20030901 20030930     2.2
20031001 20031031    97.3
20031101 20031130    42.6
20031201 20031231   106.0
20040101 20040131   246.1
20040201 20040229    78.6
20040301 20040331    26.6
20040401 20040430    18.2
20040501 20040531    12.0
20040601 20040630    13.2
20040701 20040731    34.7
20040801 20040831    33.8
20040901 20040930    49.1
20041001 20041031    62.3
20041101 20041130    64.8
20041201 20041231   211.0
20050101 20050131    77.3
20050201 20050228    82.2
20050301 20050331    22.7
20050401 20050430     0.8
20050501 20050531    23.5
20050601 20050630   132.5
20050701 20050731    27.9
20050801 20050831    21.3
20050901 20050930    79.5
20051001 20051031    76.1
20051101 20051130    86.5
20051201 20051231    96.8
20060101 20060131    41.6
20060201 20060228    58.3
20060301 20060331    33.7
20060401 20060430    13.4
20060501 20060531     0.3
20060601 20060630    67.0
20060701 20060731    54.0
20060801 20060831     8.1
20060901 20060930    33.6
20061001 20061031    38.9
20061101 20061130    55.2
20061201 20061231    49.1
20070101 20070131    18.2
20070201 20070228   107.8
20070301 20070331    59.5
20070401 20070430    34.1
20070501 20070531    42.0
20070601 20070630    62.2
20070701 20070731     8.3
20070801 20070831    68.4
20070901 20070930     2.7
20071001 20071031    98.8
20071101 20071130    33.6
20071201 20071231   185.4
20080101 20080131    84.1
20080201 20080229   124.3
20080301 20080331     8.3
20080401 20080430    34.1
20080501 20080531    10.6
20080601 20080630    65.3
20080701 20080731    35.2
20080801 20080831    14.1
20080901 20080930    77.6
20081001 20081031    49.4
20081101 20081130    88.3
20081201 20081231    92.2
20090101 20090131    82.9
20090201 20090228   129.9
20090301 20090331     8.6
20090401 20090430    87.4
20090501 20090531    29.1
20090601 20090630    64.3
20090701 20090731    11.5
20090801 20090831     6.3
20090901 20090930    30.6
20091001 20091031    53.2
20091101 20091130    50.5
20091201 20091231    71.7
20100101 20100131   102.6
20100201 20100228    58.7
20100301 20100331    29.7
20100401 20100430    18.8
20100501 20100531    80.9
20100601 20100630    42.1
20100701 20100731    96.4
20100801 20100831    55.9
20100901 20100930    68.1
20101001 20101031   103.0
20101101 20101130   108.1
20101201 20101231    94.7
20110101 20110131    63.8
20110201 20110228    90.3
20110301 20110331    74.4
20110401 20110430    47.0
20110501 20110531    39.9
20110601 20110630    49.9
20110701 20110731     5.8
20110801 20110831    40.2
20110901 20110930    93.8
20111001 20111031    92.1
20111101 20111130   130.9
20111201 20111231   145.2
20120101 20120131   118.3
20120201 20120229   180.2
20120301 20120331    28.6
20120401 20120430    34.8
20120501 20120531    58.2
20120601 20120630    33.2
20120701 20120731    81.0
20120801 20120831    17.0
20120901 20120930    18.8
20121001 20121031    14.8
20121101 20121130    34.8
20121201 20121231    76.1
20130101 20130131   124.9
20130201 20130228    65.1
20130301 20130331   122.8
20130401 20130430     8.6
20130501 20130531    12.8
20130601 20130630    63.8
20130701 20130731    27.5
20130801 20130831     7.0
20130901 20130930    28.2
20131001 20131031    12.8
20131101 20131130   156.8
20131201 20131231    15.6
20140101 20140131    20.8
20140201 20140228    67.2
20140301 20140331   120.0
20140401 20140430     9.2
20140501 20140531    17.0
20140601 20140630    46.0
20140701 20140731     7.6
20140801 20140831    68.8
20140901 20140930    15.6
20141001 20141031     8.0
20141101 20141130    30.4
20141201 20141231   112.4
20150101 20150131    84.8
20150201 20150228    60.4
20150301 20150331    31.8
20150401 20150430    69.0
20150501 20150531    32.6
20150601 20150630    65.9
20150701 20150731    21.2
20150801 20150831    66.8
20150901 20150930    12.4
20151001 20151031    28.0
20151101 20151130   126.2
20151201 20151231    65.4
20160101 20160131   119.7
20160201 20160229     6.0
20160301 20160331    21.1
20160401 20160430    32.5
20160501 20160531    63.0
20160601 20160630   115.2
20160701 20160731    53.5
20160801 20160831   125.1
20160901 20160930   145.4
20161001 20161031    68.4
20161101 20161130    64.1
20161201 20161231    50.3
20170101 20170131    54.4
20170201 20170228    13.6
20170301 20170331   111.9
20170401 20170430    25.8
20170501 20170531    58.0
20170601 20170630    43.0
20170701 20170731    14.8
20170801 20170831    16.4
20170901 20170930     7.2
20171001 20171031   101.5
20171101 20171130    50.6
20171201 20171231    19.6
20180101 20180131    57.4
