PRCP       054003 18930101 20180131 missing_value=99999.9 BARRABA POST OFFICE                       
19141201 19141231    93.3
19150101 19150131    13.5
19150201 19150228     5.1
19150301 19150331     9.4
19150401 19150430    71.2
19150501 19150531    30.0
19150601 19150630    36.3
19150701 19150731    63.0
19150801 19150831    50.9
19150901 19150930    58.6
19151001 19151031    37.3
19151101 19151130     5.9
19151201 19151231    93.6
19160101 19160131    86.6
19160201 19160229    78.7
19160301 19160331    19.8
19160401 19160430    90.6
19160501 19160531    10.9
19160601 19160630    65.6
19160701 19160731    69.3
19160801 19160831    66.8
19160901 19160930    36.1
19161001 19161031    64.2
19161101 19161130   111.3
19161201 19161231   139.7
19170101 19170131   100.9
19170201 19170228    69.6
19170301 19170331     5.1
19170401 19170430     9.7
19170501 19170531     2.3
19170601 19170630    39.4
19170701 19170731    16.3
19170801 19170831    35.3
19170901 19170930   127.0
19171001 19171031    46.8
19171101 19171130   208.5
19171201 19171231   120.1
19180101 19180131   120.7
19180201 19180228     6.4
19180301 19180331    13.2
19180401 19180430    58.9
19180501 19180531    15.2
19180601 19180630    13.0
19180701 19180731    34.1
19180801 19180831   106.0
19180901 19180930     2.8
19181001 19181031    21.9
19181101 19181130    59.0
19181201 19181231    14.7
19190101 19190131    89.7
19190201 19190228    36.7
19190301 19190331    12.7
19190401 19190430    18.1
19190501 19190531    58.5
19190601 19190630    13.7
19190701 19190731     9.4
19190801 19190831    14.4
19190901 19190930     5.6
19191001 19191031    27.4
19191101 19191130    13.2
19191201 19191231   115.5
19200101 19200131    92.4
19200201 19200229    42.7
19200301 19200331    10.0
19200401 19200430    46.2
19200501 19200531    39.8
19200601 19200630   190.3
19200701 19200731   118.4
19200801 19200831    46.2
19200901 19200930    46.6
19201001 19201031    32.8
19201101 19201130    27.1
19201201 19201231    88.2
19210101 19210131    10.7
19210201 19210228    51.3
19210301 19210331    71.1
19210401 19210430    61.9
19210501 19210531    90.7
19210601 19210630   104.2
19210701 19210731    97.9
19210801 19210831    20.7
19210901 19210930    47.2
19211001 19211031   116.5
19211101 19211130    50.4
19211201 19211231   184.4
19220101 19220131    14.2
19220201 19220228    36.5
19220301 19220331     1.0
19220401 19220430    32.5
19220501 19220531     9.2
19220601 19220630    37.2
19220701 19220731    79.7
19220801 19220831     6.6
19220901 19220930    59.7
19221001 19221031    68.6
19221101 19221130    38.6
19221201 19221231   175.1
19230101 19230131    45.7
19230201 19230228     9.7
19230301 19230331    46.3
19230401 19230430     0.0
19230501 19230531     6.8
19230601 19230630    87.5
19230701 19230731    41.5
19230801 19230831    11.7
19230901 19230930    33.8
19231001 19231031    24.2
19231101 19231130    40.2
19231201 19231231    86.2
19240101 19240131    88.9
19240201 19240229    76.7
19240301 19240331    31.7
19240401 19240430    58.4
19240501 19240531    18.8
19240601 19240630    56.0
19240701 19240731    84.8
19240801 19240831    78.6
19240901 19240930    58.9
19241001 19241031    37.0
19241101 19241130   185.7
19241201 19241231    60.8
19250101 19250131    33.5
19250201 19250228    96.8
19250301 19250331    51.3
19250401 19250430     0.0
19250501 19250531    48.3
19250601 19250630    11.1
19250701 19250731    38.2
19250801 19250831    16.3
19250901 19250930     1.3
19251001 19251031    25.8
19251101 19251130   103.7
19251201 19251231    64.7
19260101 19260131    33.7
19260201 19260228    34.7
