PRCP       008147 19090801 20180131 missing_value=99999.9 YUNA                                      
19310701 19310731    75.7
19310801 19310831    42.3
19310901 19310930    23.6
19311001 19311031    20.8
19311101 19311130     3.1
19311201 19311231    33.5
19320101 19320131    30.7
19320201 19320229     1.3
19320301 19320331    16.0
19320401 19320430    27.7
19320501 19320531    89.4
19320601 19320630    44.9
19320701 19320731    56.2
19320801 19320831   108.9
19320901 19320930    18.2
19321001 19321031    21.4
19321101 19321130     0.5
19321201 19321231    13.6
19330101 19330131     0.0
19330201 19330228     0.0
19330301 19330331    60.4
19330401 19330430     4.3
19330501 19330531    54.7
19330601 19330630    83.1
19330701 19330731    53.2
19330801 19330831    73.9
19330901 19330930    19.6
19331001 19331031    20.1
19331101 19331130     0.3
19331201 19331231    10.9
19340101 19340131    28.0
19340201 19340228    30.2
19340301 19340331   171.0
19340401 19340430    94.3
19340501 19340531    17.3
19340601 19340630    88.8
19340701 19340731    61.6
19340801 19340831    33.7
19340901 19340930    15.3
19341001 19341031     0.0
19341101 19341130     4.3
19341201 19341231     1.3
19350101 19350131    15.3
19350201 19350228    32.7
19350301 19350331    47.7
19350401 19350430    40.3
19350501 19350531     7.0
19350601 19350630    23.0
19350701 19350731    57.5
19350801 19350831    71.8
19350901 19350930    16.3
19351001 19351031     1.4
19351101 19351130     0.0
19351201 19351231     0.0
19360101 19360131     0.0
19360201 19360229    14.0
19360301 19360331     0.0
19360401 19360430    21.1
19360501 19360531    19.5
19360601 19360630    43.7
19360701 19360731    29.9
19360801 19360831    35.5
19360901 19360930    12.7
19361001 19361031    10.9
19361101 19361130    23.4
19361201 19361231     0.0
19370101 19370131     2.5
19370201 19370228     9.4
19370301 19370331     0.0
19370401 19370430    31.7
19370501 19370531    45.0
19370601 19370630    98.9
19370701 19370731     4.1
19370801 19370831    43.3
19370901 19370930    30.6
19371001 19371031    11.8
19371101 19371130     0.8
19371201 19371231     5.8
19380101 19380131     0.8
19380201 19380228     0.0
19380301 19380331     8.4
19380401 19380430    48.2
19380501 19380531    13.5
19380601 19380630    13.2
19380701 19380731   110.7
19380801 19380831    33.5
19380901 19380930    11.3
19381001 19381031     6.9
19381101 19381130     5.1
19381201 19381231     4.1
19390101 19390131     8.4
19390201 19390228    32.3
19390301 19390331     0.0
19390401 19390430    10.9
19390501 19390531    39.3
19390601 19390630   158.8
19390701 19390731   100.6
19390801 19390831    54.2
19390901 19390930     1.0
19391001 19391031    13.1
19391101 19391130    21.1
19391201 19391231     0.0
19400101 19400131     5.1
19400201 19400229     0.0
19400301 19400331     0.5
19400401 19400430     0.0
19400501 19400531    47.5
19400601 19400630    34.6
19400701 19400731    85.1
19400801 19400831    10.7
19400901 19400930    16.1
19401001 19401031    16.1
19401101 19401130     3.5
19401201 19401231     0.8
19410101 19410131     0.0
19410201 19410228     0.0
19410301 19410331     0.0
19410401 19410430    29.1
19410501 19410531    42.2
19410601 19410630    93.0
19410701 19410731    52.8
19410801 19410831    29.8
19410901 19410930    20.2
19411001 19411031     5.3
19411101 19411130    20.6
19411201 19411231     7.9
19420101 19420131     6.1
19420201 19420228     0.0
19420301 19420331    15.7
19420401 19420430    32.2
19420501 19420531    79.5
19420601 19420630    67.7
19420701 19420731    28.9
19420801 19420831    29.1
19420901 19420930    22.9
19421001 19421031     9.4
19421101 19421130     0.0
19421201 19421231     0.0
19430101 19430131    18.3
19430201 19430228     0.0
19430301 19430331    32.0
19430401 19430430    14.0
19430501 19430531    15.2
19430601 19430630    65.4
19430701 19430731    37.5
19430801 19430831    33.2
19430901 19430930    17.7
19431001 19431031     0.0
19431101 19431130     0.0
19431201 19431231    20.4
19440101 19440131     1.8
19440201 19440229     0.0
19440301 19440331     6.8
19440401 19440430     5.3
19440501 19440531    37.4
19440601 19440630    22.2
19440701 19440731   117.6
19440801 19440831    33.5
19440901 19440930     5.9
19441001 19441031     0.0
19441101 19441130     2.8
19441201 19441231     6.3
19450101 19450131     0.0
19450201 19450228    16.5
19450301 19450331     4.3
19450401 19450430     3.8
19450501 19450531    69.5
19450601 19450630   206.2
19450701 19450731    37.6
19450801 19450831    76.1
19450901 19450930    34.6
19451001 19451031     0.0
19451101 19451130    12.4
19451201 19451231     6.4
19460101 19460131     8.1
19460201 19460228     2.3
19460301 19460331     5.5
19460401 19460430    25.9
19460501 19460531    32.9
19460601 19460630    84.1
19460701 19460731   142.1
19460801 19460831    45.6
19460901 19460930     1.3
19461001 19461031     1.5
19461101 19461130    42.7
19461201 19461231     1.3
19470101 19470131     0.0
19470201 19470228     5.6
19470301 19470331    44.4
19470401 19470430    30.5
19470501 19470531    90.4
19470601 19470630    56.5
19470701 19470731    71.1
19470801 19470831    20.9
19470901 19470930    28.5
19471001 19471031    62.2
19471101 19471130     4.3
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     8.7
19480401 19480430    19.1
19480501 19480531     0.0
19480601 19480630    47.2
19480701 19480731    35.3
19480801 19480831    42.7
19480901 19480930     9.7
19481001 19481031     0.0
19481101 19481130    17.8
19481201 19481231     0.0
19490101 19490131     0.0
19490201 19490228    60.1
19490301 19490331     0.0
19490401 19490430    20.2
19490501 19490531     7.6
19490601 19490630    28.1
19490701 19490731    83.1
19490801 19490831    42.2
19490901 19490930    47.4
19491001 19491031    29.9
19491101 19491130    13.2
19491201 19491231     0.0
19500101 19500131     9.9
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    77.5
19500601 19500630    57.0
19500701 19500731    77.5
19500801 19500831    52.6
19500901 19500930    28.7
19501001 19501031    13.0
19501101 19501130     7.6
19501201 19501231     0.0
19510101 19510131     0.0
19510201 19510228     8.9
19510301 19510331     2.5
19510401 19510430    93.2
19510501 19510531    36.0
19510601 19510630   139.0
19510701 19510731    87.6
19510801 19510831    39.1
19510901 19510930    17.5
19511001 19511031    10.0
19511101 19511130     8.4
19511201 19511231     0.0
19520101 19520131     3.8
19520201 19520229    14.8
19520301 19520331     2.5
19520401 19520430     0.0
19520501 19520531    58.6
19520601 19520630    37.8
19520701 19520731    64.8
19520801 19520831     9.7
19520901 19520930    25.7
19521001 19521031     9.7
