PRCP       024501 18900901 20180131 missing_value=99999.9 AUSTRALIA PLAINS                          
19860901 19860930    35.0
19861001 19861031    43.6
19861101 19861130    20.8
19861201 19861231    18.8
19870101 19870131    41.6
19870201 19870228    36.0
19870301 19870331     8.0
19870401 19870430    13.4
19870501 19870531    60.0
19870601 19870630    39.6
19870701 19870731    20.2
19870801 19870831    29.2
19870901 19870930    18.0
19871001 19871031    27.0
19871101 19871130     8.8
19871201 19871231    13.4
19880101 19880131     4.4
19880201 19880229     6.2
19880301 19880331    10.6
19880401 19880430    18.8
19880501 19880531    50.2
19880601 19880630    63.6
19880701 19880731    36.8
19880801 19880831    15.0
19880901 19880930    32.6
19881001 19881031    10.0
19881101 19881130    51.2
19881201 19881231    27.2
19890101 19890131     1.4
19890201 19890228     2.0
19890301 19890331    54.0
19890401 19890430     2.4
19890501 19890531    55.0
19890601 19890630    33.0
19890701 19890731    66.6
19890801 19890831    30.0
19890901 19890930    26.2
19891001 19891031    13.6
19891101 19891130    18.8
19891201 19891231    36.0
19900101 19900131    13.0
19900201 19900228    24.6
19900301 19900331     0.4
19900401 19900430     7.4
19900501 19900531    25.8
19900601 19900630    44.6
19900701 19900731    55.0
19900801 19900831    47.4
19900901 19900930    16.4
19901001 19901031    31.2
19901101 19901130     8.4
19901201 19901231    20.4
19910101 19910131     9.6
19910201 19910228     0.8
19910301 19910331     2.8
19910401 19910430    24.8
19910501 19910531     1.8
19910601 19910630    89.2
19910701 19910731    37.6
19910801 19910831    51.2
19910901 19910930    17.4
19911001 19911031     0.8
19911101 19911130    35.0
19911201 19911231     1.2
19920101 19920131     1.0
19920201 19920229    16.6
19920301 19920331    41.4
19920401 19920430    45.6
19920501 19920531    50.2
19920601 19920630    21.2
19920701 19920731    17.4
19920801 19920831   100.0
19920901 19920930    73.2
19921001 19921031    71.4
19921101 19921130    40.0
19921201 19921231   112.4
19930101 19930131   169.4
19930201 19930228     2.0
19930301 19930331     5.6
19930401 19930430     3.2
19930501 19930531    23.0
19930601 19930630    35.0
19930701 19930731    45.2
19930801 19930831    17.4
19930901 19930930    43.4
19931001 19931031    34.0
19931101 19931130    23.4
19931201 19931231    25.2
19940101 19940131     0.8
19940201 19940228    10.6
19940301 19940331     0.0
19940401 19940430     1.2
19940501 19940531    10.4
19940601 19940630    90.2
19940701 19940731    13.2
19940801 19940831     9.6
19940901 19940930    23.0
19941001 19941031    12.4
19941101 19941130    36.2
19941201 19941231     8.4
19950101 19950131    46.6
19950201 19950228    14.2
19950301 19950331    13.4
19950401 19950430    35.8
19950501 19950531    13.6
19950601 19950630    32.8
19950701 19950731    58.4
19950801 19950831     6.2
19950901 19950930    29.2
19951001 19951031    79.6
19951101 19951130    14.4
19951201 19951231     6.6
19960101 19960131    12.2
19960201 19960229    13.2
19960301 19960331     6.0
19960401 19960430     2.4
19960501 19960531     3.8
19960601 19960630    59.2
19960701 19960731    58.6
19960801 19960831    42.4
19960901 19960930    47.2
19961001 19961031    16.2
19961101 19961130     5.4
19961201 19961231    12.8
19970101 19970131    14.2
19970201 19970228    73.4
19970301 19970331     1.8
19970401 19970430     0.4
19970501 19970531    29.4
19970601 19970630     5.6
19970701 19970731     9.6
19970801 19970831    37.6
19970901 19970930    70.0
19971001 19971031    41.0
19971101 19971130    43.0
19971201 19971231    58.8
19980101 19980131     4.8
19980201 19980228    38.8
19980301 19980331     3.2
19980401 19980430    64.8
19980501 19980531     7.4
19980601 19980630    35.6
19980701 19980731    40.4
19980801 19980831    30.6
19980901 19980930    20.4
19981001 19981031    27.0
19981101 19981130    31.4
19981201 19981231    19.6
19990101 19990131    20.8
19990201 19990228     2.8
19990301 19990331    40.0
19990401 19990430     0.2
19990501 19990531    35.6
19990601 19990630    15.2
19990701 19990731    28.6
19990801 19990831    23.2
19990901 19990930    23.4
19991001 19991031    65.8
19991101 19991130    39.8
19991201 19991231    30.8
20000101 20000131     2.0
20000201 20000229    64.6
20000301 20000331    11.4
20000401 20000430    47.6
20000501 20000531    24.4
20000601 20000630    38.6
20000701 20000731    48.4
20000801 20000831    19.6
20000901 20000930    31.4
20001001 20001031    20.3
20001101 20001130    21.6
20001201 20001231     8.2
20010101 20010131    26.6
20010201 20010228    13.6
20010301 20010331     8.4
20010401 20010430    14.6
20010501 20010531    16.6
20010601 20010630    41.3
20010701 20010731    31.0
20010801 20010831    29.2
20010901 20010930    65.8
20011001 20011031    34.6
20011101 20011130    28.0
20011201 20011231     4.5
20020101 20020131    12.5
20020201 20020228 99999.9
20020301 20020331 99999.9
20020401 20020430 99999.9
20020501 20020531 99999.9
20020601 20020630 99999.9
20020701 20020731 99999.9
20020801 20020831 99999.9
20020901 20020930 99999.9
20021001 20021031 99999.9
20021101 20021130 99999.9
20021201 20021231 99999.9
20030101 20030131 99999.9
20030201 20030228 99999.9
20030301 20030331 99999.9
20030401 20030430 99999.9
20030501 20030531 99999.9
20030601 20030630 99999.9
20030701 20030731 99999.9
20030801 20030831 99999.9
20030901 20030930 99999.9
20031001 20031031 99999.9
20031101 20031130     7.8
20031201 20031231    31.9
20040101 20040131     1.6
20040201 20040229     5.8
20040301 20040331     2.6
20040401 20040430     1.4
20040501 20040531    18.6
20040601 20040630    43.8
20040701 20040731    24.6
20040801 20040831    44.4
20040901 20040930    32.4
20041001 20041031     5.6
20041101 20041130    28.2
20041201 20041231    79.8
20050101 20050131    60.8
20050201 20050228     4.8
20050301 20050331     8.4
20050401 20050430     7.4
20050501 20050531     2.6
20050601 20050630    68.6
20050701 20050731    47.8
20050801 20050831    26.4
20050901 20050930    54.2
20051001 20051031    56.8
20051101 20051130    33.8
20051201 20051231    21.8
20060101 20060131    18.0
20060201 20060228    24.6
20060301 20060331    29.6
20060401 20060430    28.0
20060501 20060531    18.6
20060601 20060630    17.6
20060701 20060731    32.2
20060801 20060831     1.4
20060901 20060930     5.4
20061001 20061031     0.0
20061101 20061130    12.2
20061201 20061231     9.4
20070101 20070131    93.8
20070201 20070228     9.0
20070301 20070331    50.6
20070401 20070430    60.0
20070501 20070531    18.0
20070601 20070630    12.0
20070701 20070731    31.6
20070801 20070831     4.6
20070901 20070930    14.4
20071001 20071031    21.2
20071101 20071130    30.0
20071201 20071231    25.2
20080101 20080131     0.2
20080201 20080229     0.6
20080301 20080331     1.6
20080401 20080430    14.0
20080501 20080531    23.4
20080601 20080630    28.2
20080701 20080731    40.0
20080801 20080831    28.8
20080901 20080930     9.6
20081001 20081031     3.0
20081101 20081130    39.4
20081201 20081231    60.6
20090101 20090131     5.4
20090201 20090228     0.0
20090301 20090331     2.4
20090401 20090430    29.4
20090501 20090531     4.2
20090601 20090630    63.8
20090701 20090731    29.2
20090801 20090831    22.0
20090901 20090930    54.4
20091001 20091031    24.6
20091101 20091130    50.6
20091201 20091231    14.2
20100101 20100131    16.4
20100201 20100228    10.4
20100301 20100331    11.2
20100401 20100430    17.0
20100501 20100531    37.4
20100601 20100630     7.6
20100701 20100731    20.0
20100801 20100831    64.8
20100901 20100930    73.4
20101001 20101031    38.4
20101101 20101130    26.6
20101201 20101231    97.2
20110101 20110131     8.6
20110201 20110228    41.3
20110301 20110331    78.3
20110401 20110430     8.1
20110501 20110531    20.0
20110601 20110630    17.0
20110701 20110731    22.5
20110801 20110831    42.0
20110901 20110930    17.6
20111001 20111031    30.2
20111101 20111130    32.4
20111201 20111231    55.2
20120101 20120131    11.8
20120201 20120229     6.8
20120301 20120331    46.8
20120401 20120430     5.4
20120501 20120531    21.9
20120601 20120630    32.7
20120701 20120731    19.9
20120801 20120831    22.8
20120901 20120930    11.2
20121001 20121031     8.4
20121101 20121130    10.2
20121201 20121231    47.0
20130101 20130131     1.6
20130201 20130228    22.3
20130301 20130331     0.4
20130401 20130430    28.8
20130501 20130531    29.8
20130601 20130630    56.5
20130701 20130731    41.1
20130801 20130831    28.0
20130901 20130930    39.0
20131001 20131031    13.8
20131101 20131130     2.8
20131201 20131231    23.0
20140101 20140131     9.1
20140201 20140228    74.6
20140301 20140331     8.0
20140401 20140430    79.2
20140501 20140531    50.2
20140601 20140630    47.2
20140701 20140731    31.0
20140801 20140831    21.2
20140901 20140930     8.8
20141001 20141031     4.4
20141101 20141130    13.6
20141201 20141231     6.4
20150101 20150131    62.4
20150201 20150228     2.4
20150301 20150331     0.0
20150401 20150430    38.0
20150501 20150531    28.4
20150601 20150630    24.9
20150701 20150731    22.8
20150801 20150831    29.2
20150901 20150930    16.0
20151001 20151031     4.0
20151101 20151130    52.8
20151201 20151231     3.4
20160101 20160131    46.8
20160201 20160229     1.4
20160301 20160331    55.6
20160401 20160430     9.0
20160501 20160531    53.8
20160601 20160630    32.8
20160701 20160731    46.6
20160801 20160831    25.0
20160901 20160930    85.0
20161001 20161031    17.6
20161101 20161130    15.8
20161201 20161231    54.6
20170101 20170131    20.2
20170201 20170228    28.4
20170301 20170331     3.2
20170401 20170430    25.2
20170501 20170531    14.8
20170601 20170630     7.2
20170701 20170731    26.0
20170801 20170831    57.4
20170901 20170930    11.8
20171001 20171031    14.4
20171101 20171130    17.8
20171201 20171231    29.2
20180101 20180131     8.4
