PRCP       024501 18900901 20180131 missing_value=99999.9 AUSTRALIA PLAINS                          
19120801 19120831    32.4
19120901 19120930    49.5
19121001 19121031     5.8
19121101 19121130     6.9
19121201 19121231     9.7
19130101 19130131     1.8
19130201 19130228    24.6
19130301 19130331   102.9
19130401 19130430     3.3
19130501 19130531     8.2
19130601 19130630     0.0
19130701 19130731    12.2
19130801 19130831    19.7
19130901 19130930    48.8
19131001 19131031    20.1
19131101 19131130     2.8
19131201 19131231    10.9
19140101 19140131    33.5
19140201 19140228    12.7
19140301 19140331    12.2
19140401 19140430    18.0
19140501 19140531    11.2
19140601 19140630     9.7
19140701 19140731     3.8
19140801 19140831     1.3
19140901 19140930     8.2
19141001 19141031     0.0
19141101 19141130    33.0
19141201 19141231    21.5
19150101 19150131     4.1
19150201 19150228     0.0
19150301 19150331     0.0
19150401 19150430    19.3
19150501 19150531    39.5
19150601 19150630    63.1
19150701 19150731    21.4
19150801 19150831    63.4
19150901 19150930    50.0
19151001 19151031    14.7
19151101 19151130     9.7
19151201 19151231    12.4
19160101 19160131    18.5
19160201 19160229     0.0
19160301 19160331     2.0
19160401 19160430     9.1
19160501 19160531    18.7
19160601 19160630    63.2
19160701 19160731    66.2
19160801 19160831    73.7
19160901 19160930    43.4
19161001 19161031    86.9
19161101 19161130    65.0
19161201 19161231    30.2
19170101 19170131    12.7
19170201 19170228    20.4
19170301 19170331    18.8
19170401 19170430     0.0
19170501 19170531    51.6
19170601 19170630    35.3
19170701 19170731    56.4
19170801 19170831    43.4
19170901 19170930    47.5
19171001 19171031    64.4
19171101 19171130    33.8
19171201 19171231    43.7
19180101 19180131     0.0
19180201 19180228     0.0
19180301 19180331    14.5
19180401 19180430    64.5
19180501 19180531    31.0
19180601 19180630     7.3
19180701 19180731    18.4
19180801 19180831    41.3
19180901 19180930     7.3
19181001 19181031    20.1
19181101 19181130     0.0
19181201 19181231     0.0
19190101 19190131     2.5
19190201 19190228    43.2
19190301 19190331     0.0
19190401 19190430    12.4
19190501 19190531    24.6
19190601 19190630    15.9
19190701 19190731     7.1
19190801 19190831    17.5
19190901 19190930    31.3
19191001 19191031    15.7
19191101 19191130    12.2
19191201 19191231    31.2
19200101 19200131     0.0
19200201 19200229     0.0
19200301 19200331     5.8
19200401 19200430     8.6
19200501 19200531    18.0
19200601 19200630    67.1
19200701 19200731    11.0
19200801 19200831    58.0
19200901 19200930    42.4
19201001 19201031    41.2
19201101 19201130    92.2
19201201 19201231    24.4
19210101 19210131    26.9
19210201 19210228    44.5
19210301 19210331    63.5
19210401 19210430     0.0
19210501 19210531    66.0
19210601 19210630    41.9
19210701 19210731    17.2
19210801 19210831    20.7
19210901 19210930    41.5
19211001 19211031    30.2
19211101 19211130    39.3
19211201 19211231     6.8
19220101 19220131     2.5
19220201 19220228     0.0
19220301 19220331     0.0
19220401 19220430    30.8
19220501 19220531    89.6
19220601 19220630    30.3
19220701 19220731    45.6
19220801 19220831    42.9
19220901 19220930    16.5
19221001 19221031    11.7
19221101 19221130     0.0
19221201 19221231    34.4
19230101 19230131     1.0
19230201 19230228     0.0
19230301 19230331    19.3
19230401 19230430     1.3
19230501 19230531    58.5
19230601 19230630    50.1
19230701 19230731    33.2
19230801 19230831    51.5
19230901 19230930    37.8
19231001 19231031    36.1
19231101 19231130     6.9
19231201 19231231    37.1
19240101 19240131    28.2
19240201 19240229     6.8
19240301 19240331    17.0
19240401 19240430     0.0
19240501 19240531    17.3
19240601 19240630    42.0
19240701 19240731     7.6
19240801 19240831    27.9
19240901 19240930    56.7
19241001 19241031    39.3
19241101 19241130    28.2
19241201 19241231    21.1
19250101 19250131     7.1
19250201 19250228    26.6
19250301 19250331     2.5
19250401 19250430    15.7
19250501 19250531    49.8
19250601 19250630     8.6
19250701 19250731    25.7
19250801 19250831    30.3
19250901 19250930    51.3
19251001 19251031     4.3
19251101 19251130     5.8
19251201 19251231     0.0
19260101 19260131     1.0
19260201 19260228     0.0
19260301 19260331     0.8
19260401 19260430    20.6
19260501 19260531    58.7
19260601 19260630    24.5
19260701 19260731    13.8
19260801 19260831    42.2
19260901 19260930    46.4
19261001 19261031    29.7
19261101 19261130     0.0
19261201 19261231     2.8
19270101 19270131    14.7
19270201 19270228     6.6
19270301 19270331     2.0
19270401 19270430     0.0
19270501 19270531    12.2
19270601 19270630    14.7
19270701 19270731    24.3
19270801 19270831    44.3
19270901 19270930    13.9
19271001 19271031     6.7
19271101 19271130    17.3
19271201 19271231    15.8
19280101 19280131     3.1
19280201 19280229    38.4
19280301 19280331    22.3
19280401 19280430     1.3
19280501 19280531    20.8
19280601 19280630    22.7
19280701 19280731    32.7
19280801 19280831     4.3
19280901 19280930    30.0
19281001 19281031    34.6
19281101 19281130     0.0
19281201 19281231     2.0
19290101 19290131     3.0
19290201 19290228     5.1
19290301 19290331     8.3
19290401 19290430     2.5
