PRCP       052019 18940301 20171231 missing_value=99999.9 MOGIL MOGIL (BENIMORA)                    
19160101 19160131    15.5
19160201 19160229    18.6
19160301 19160331    17.9
19160401 19160430    28.4
19160501 19160531     0.0
19160601 19160630    48.6
19160701 19160731    86.4
19160801 19160831    26.4
19160901 19160930    16.4
19161001 19161031    54.9
19161101 19161130   127.7
19161201 19161231    93.4
19170101 19170131    53.2
19170201 19170228   119.2
19170301 19170331     3.0
19170401 19170430     0.0
19170501 19170531     3.0
19170601 19170630    43.7
19170701 19170731    11.0
19170801 19170831    11.5
19170901 19170930    39.8
19171001 19171031    35.2
19171101 19171130    59.4
19171201 19171231   122.7
19180101 19180131    62.4
19180201 19180228     1.3
19180301 19180331     1.3
19180401 19180430    38.9
19180501 19180531    11.9
19180601 19180630     7.1
19180701 19180731    16.8
19180801 19180831   133.3
19180901 19180930     0.0
19181001 19181031    33.1
19181101 19181130     0.0
19181201 19181231    16.5
19190101 19190131    37.4
19190201 19190228    38.9
19190301 19190331    11.4
19190401 19190430    40.9
19190501 19190531    59.5
19190601 19190630     0.0
19190701 19190731    10.6
19190801 19190831     5.1
19190901 19190930     1.5
19191001 19191031    10.7
19191101 19191130    17.5
19191201 19191231    36.4
19200101 19200131    42.6
19200201 19200229    20.8
19200301 19200331    30.0
19200401 19200430     7.4
19200501 19200531    37.6
19200601 19200630   108.0
19200701 19200731   113.0
19200801 19200831    32.1
19200901 19200930    67.3
19201001 19201031    35.0
19201101 19201130    54.6
19201201 19201231    45.3
19210101 19210131    19.3
19210201 19210228     3.0
19210301 19210331   122.4
19210401 19210430    36.4
19210501 19210531    84.6
19210601 19210630   102.7
19210701 19210731   125.8
19210801 19210831    13.6
19210901 19210930    39.4
19211001 19211031    34.6
19211101 19211130    90.7
19211201 19211231   130.4
19220101 19220131    45.8
19220201 19220228    21.4
19220301 19220331    11.2
19220401 19220430     8.6
19220501 19220531     0.0
19220601 19220630    39.2
19220701 19220731    41.3
19220801 19220831     0.0
19220901 19220930     3.9
19221001 19221031    38.7
19221101 19221130     6.6
19221201 19221231   116.8
19230101 19230131    16.2
19230201 19230228     1.3
19230301 19230331    16.0
19230401 19230430    32.2
19230501 19230531     4.9
19230601 19230630    35.1
19230701 19230731    28.1
19230801 19230831     4.1
19230901 19230930    11.4
19231001 19231031     9.4
19231101 19231130    16.3
19231201 19231231    74.4
19240101 19240131    31.5
19240201 19240229   137.3
19240301 19240331    17.1
19240401 19240430    17.3
19240501 19240531     6.6
19240601 19240630    30.4
19240701 19240731    32.3
19240801 19240831    39.2
19240901 19240930    21.0
19241001 19241031    34.5
19241101 19241130   154.9
19241201 19241231    31.3
19250101 19250131    28.1
19250201 19250228    17.8
19250301 19250331    20.1
19250401 19250430     0.0
19250501 19250531    17.2
19250601 19250630   113.0
19250701 19250731    16.2
19250801 19250831    54.1
19250901 19250930     3.3
19251001 19251031     3.0
19251101 19251130    84.9
19251201 19251231   170.7
19260101 19260131   117.9
19260201 19260228     0.0
19260301 19260331    70.9
19260401 19260430    46.0
19260501 19260531   115.4
19260601 19260630    19.6
19260701 19260731    21.9
19260801 19260831     8.9
19260901 19260930    67.8
19261001 19261031     9.4
19261101 19261130     0.0
19261201 19261231    61.7
19270101 19270131    95.0
19270201 19270228     1.5
19270301 19270331    34.8
19270401 19270430    44.1
19270501 19270531     7.9
19270601 19270630    28.0
19270701 19270731     0.0
19270801 19270831     1.3
19270901 19270930     4.3
19271001 19271031    35.9
19271101 19271130    73.1
19271201 19271231   111.0
19280101 19280131    17.9
19280201 19280229    71.2
19280301 19280331    59.9
19280401 19280430    39.4
19280501 19280531    15.7
19280601 19280630    28.9
19280701 19280731    53.9
19280801 19280831     2.0
19280901 19280930     0.8
19281001 19281031    14.3
19281101 19281130    14.7
19281201 19281231    19.8
19290101 19290131     6.4
19290201 19290228    30.0
19290301 19290331    24.4
19290401 19290430   119.4
19290501 19290531     0.0
19290601 19290630    35.3
19290701 19290731     6.4
19290801 19290831     9.9
19290901 19290930    22.9
19291001 19291031    15.3
19291101 19291130    49.8
19291201 19291231     9.2
19300101 19300131    49.3
19300201 19300228     2.6
19300301 19300331    34.6
19300401 19300430    27.2
19300501 19300531    12.5
19300601 19300630   118.9
19300701 19300731    47.7
19300801 19300831    44.5
19300901 19300930    13.7
19301001 19301031    57.9
19301101 19301130    14.9
19301201 19301231    16.9
19310101 19310131    10.4
19310201 19310228    22.6
19310301 19310331   141.2
19310401 19310430    56.2
19310501 19310531    91.6
19310601 19310630    87.5
19310701 19310731    22.7
19310801 19310831     3.3
19310901 19310930    15.7
19311001 19311031     3.8
19311101 19311130    50.1
19311201 19311231    33.6
19320101 19320131     3.1
19320201 19320229    13.2
19320301 19320331    26.1
19320401 19320430    52.1
19320501 19320531    75.3
19320601 19320630    28.3
19320701 19320731    27.0
19320801 19320831     5.1
19320901 19320930    47.5
19321001 19321031     0.8
19321101 19321130    73.4
19321201 19321231     7.0
19330101 19330131   122.4
19330201 19330228    29.9
