PRCP       052019 18940301 20171231 missing_value=99999.9 MOGIL MOGIL (BENIMORA)                    
19900101 19900131    24.8
19900201 19900228    20.4
19900301 19900331    97.2
19900401 19900430   367.6
19900501 19900531    33.0
19900601 19900630    18.6
19900701 19900731    82.9
19900801 19900831     9.1
19900901 19900930    19.6
19901001 19901031    13.8
19901101 19901130     0.0
19901201 19901231    13.0
19910101 19910131    80.8
19910201 19910228    83.4
19910301 19910331     4.8
19910401 19910430     0.0
19910501 19910531   101.6
19910601 19910630    20.0
19910701 19910731    28.8
19910801 19910831     0.0
19910901 19910930     4.2
19911001 19911031    10.2
19911101 19911130    74.3
19911201 19911231   178.8
19920101 19920131    24.2
19920201 19920229   117.6
19920301 19920331     4.7
19920401 19920430    23.6
19920501 19920531    21.2
19920601 19920630     2.4
19920701 19920731    27.8
19920801 19920831    54.0
19920901 19920930     6.6
19921001 19921031    17.0
19921101 19921130    94.8
19921201 19921231    52.0
19930101 19930131    37.6
19930201 19930228    51.4
19930301 19930331    56.4
19930401 19930430     0.0
19930501 19930531     7.2
19930601 19930630    33.6
19930701 19930731   100.8
19930801 19930831    29.2
19930901 19930930    67.8
19931001 19931031    54.6
19931101 19931130    39.6
19931201 19931231    38.6
19940101 19940131    21.6
19940201 19940228    72.5
19940301 19940331    56.4
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     5.4
19940701 19940731     1.4
19940801 19940831     4.0
19940901 19940930     2.6
19941001 19941031    11.8
19941101 19941130    48.4
19941201 19941231    26.1
19950101 19950131   196.6
19950201 19950228    16.2
19950301 19950331     0.0
19950401 19950430     0.0
19950501 19950531    71.0
19950601 19950630    24.7
19950701 19950731     3.0
19950801 19950831     0.0
19950901 19950930    25.4
19951001 19951031    29.2
19951101 19951130    71.6
19951201 19951231    56.6
19960101 19960131   106.6
19960201 19960229    33.0
19960301 19960331     0.0
19960401 19960430    20.6
19960501 19960531   105.4
19960601 19960630    33.8
19960701 19960731    60.4
19960801 19960831    66.6
19960901 19960930    24.0
19961001 19961031    19.8
19961101 19961130    23.6
19961201 19961231   115.2
19970101 19970131    98.2
19970201 19970228    93.2
19970301 19970331    57.6
19970401 19970430     0.0
19970501 19970531    62.6
19970601 19970630    14.0
19970701 19970731     6.8
19970801 19970831     2.8
19970901 19970930    12.4
19971001 19971031    41.2
19971101 19971130    17.2
19971201 19971231   110.0
19980101 19980131    51.3
19980201 19980228    50.4
19980301 19980331     0.0
19980401 19980430    31.8
19980501 19980531    76.0
19980601 19980630    47.0
19980701 19980731   110.2
19980801 19980831    73.0
19980901 19980930    95.6
19981001 19981031    74.6
19981101 19981130    32.2
19981201 19981231     8.2
19990101 19990131   171.0
19990201 19990228    37.2
19990301 19990331    93.0
19990401 19990430    75.2
19990501 19990531    14.2
19990601 19990630    47.4
19990701 19990731    36.6
19990801 19990831    32.4
19990901 19990930    48.6
19991001 19991031   102.6
19991101 19991130    90.6
19991201 19991231    37.0
20000101 20000131    39.8
20000201 20000229    43.6
20000301 20000331   273.2
20000401 20000430    16.0
20000501 20000531    58.6
20000601 20000630    27.6
20000701 20000731    15.2
20000801 20000831    10.8
20000901 20000930     4.2
20001001 20001031   121.2
20001101 20001130   256.6
20001201 20001231     1.6
20010101 20010131 99999.9
20010201 20010228    45.6
20010301 20010331    33.2
20010401 20010430     6.2
20010501 20010531    35.5
20010601 20010630    44.8
20010701 20010731    49.2
20010801 20010831     4.3
20010901 20010930    32.6
20011001 20011031    58.3
20011101 20011130    56.6
20011201 20011231    21.6
20020101 20020131     2.0
20020201 20020228    37.0
20020301 20020331    35.3
20020401 20020430    23.4
20020501 20020531     1.4
20020601 20020630    20.0
20020701 20020731     0.0
20020801 20020831    21.8
20020901 20020930    10.6
20021001 20021031     6.4
20021101 20021130     5.8
20021201 20021231    32.4
20030101 20030131     6.2
20030201 20030228    58.0
20030301 20030331    37.8
20030401 20030430    67.2
20030501 20030531     1.2
20030601 20030630     8.8
20030701 20030731    20.2
20030801 20030831    50.8
20030901 20030930     0.0
20031001 20031031    39.6
20031101 20031130    34.4
20031201 20031231    39.4
20040101 20040131   109.0
20040201 20040229    26.0
20040301 20040331   218.8
20040401 20040430    34.0
20040501 20040531    33.4
20040601 20040630    12.0
20040701 20040731    24.6
20040801 20040831    30.8
20040901 20040930 99999.9
20041001 20041031    19.6
20041101 20041130    84.4
20041201 20041231   162.2
20050101 20050131    65.0
20050201 20050228    21.4
20050301 20050331     4.2
20050401 20050430     0.0
20050501 20050531    41.6
20050601 20050630   200.4
20050701 20050731    10.2
20050801 20050831    17.8
20050901 20050930    25.2
20051001 20051031    65.0
20051101 20051130    71.6
20051201 20051231    31.1
20060101 20060131    22.0
20060201 20060228 99999.9
20060301 20060331 99999.9
20060401 20060430    11.0
20060501 20060531     0.0
20060601 20060630    52.4
20060701 20060731    61.6
20060801 20060831     2.4
20060901 20060930    10.0
20061001 20061031     1.0
20061101 20061130    67.0
20061201 20061231    27.7
20070101 20070131    26.1
20070201 20070228    66.0
20070301 20070331    18.0
20070401 20070430    23.0
20070501 20070531    50.8
20070601 20070630    60.8
20070701 20070731     0.0
20070801 20070831    18.9
20070901 20070930    10.5
20071001 20071031    52.2
20071101 20071130    43.3
20071201 20071231   121.8
20080101 20080131    73.0
20080201 20080229    95.5
20080301 20080331 99999.9
20080401 20080430     0.0
20080501 20080531     7.1
20080601 20080630    62.3
20080701 20080731    33.5
20080801 20080831    37.0
20080901 20080930    92.0
20081001 20081031    43.0
20081101 20081130    81.0
20081201 20081231    54.5
20090101 20090131    90.0
20090201 20090228    92.0
20090301 20090331     1.0
20090401 20090430    46.5
20090501 20090531    77.4
20090601 20090630    16.0
20090701 20090731     6.5
20090801 20090831 99999.9
20090901 20090930    24.3
20091001 20091031    28.0
20091101 20091130     1.6
20091201 20091231   122.0
20100101 20100131    57.5
20100201 20100228   104.5
20100301 20100331 99999.9
20100401 20100430    18.5
20100501 20100531    41.5
20100601 20100630     7.0
20100701 20100731    77.0
20100801 20100831    59.0
20100901 20100930    37.0
20101001 20101031    60.0
20101101 20101130   101.4
20101201 20101231    92.1
20110101 20110131     6.0
20110201 20110228    49.5
20110301 20110331    35.2
20110401 20110430    16.5
20110501 20110531    21.7
20110601 20110630    33.5
20110701 20110731    16.1
20110801 20110831    27.6
20110901 20110930    63.5
20111001 20111031    14.0
20111101 20111130   156.9
20111201 20111231   106.5
20120101 20120131    83.7
20120201 20120229   125.9
20120301 20120331     3.5
20120401 20120430    21.4
20120501 20120531 99999.9
20120601 20120630    26.0
20120701 20120731    83.0
20120801 20120831     4.0
20120901 20120930     0.0
20121001 20121031     2.0
20121101 20121130    10.0
20121201 20121231    36.3
20130101 20130131    53.8
20130201 20130228    43.9
20130301 20130331    74.4
20130401 20130430     0.0
20130501 20130531    44.4
20130601 20130630    13.1
20130701 20130731    11.1
20130801 20130831     5.0
20130901 20130930 99999.9
20131001 20131031    25.3
20131101 20131130     9.0
20131201 20131231     2.2
20140101 20140131     8.0
20140201 20140228    12.2
20140301 20140331   184.3
20140401 20140430 99999.9
20140501 20140531     8.6
20140601 20140630    15.5
20140701 20140731    10.1
20140801 20140831    35.4
20140901 20140930    16.3
20141001 20141031     0.0
20141101 20141130    17.2
20141201 20141231    15.3
20150101 20150131    67.5
20150201 20150228 99999.9
20150301 20150331    34.2
20150401 20150430 99999.9
20150501 20150531    17.7
20150601 20150630    46.3
20150701 20150731 99999.9
20150801 20150831 99999.9
20150901 20150930 99999.9
20151001 20151031 99999.9
20151101 20151130    58.0
20151201 20151231    36.0
20160101 20160131 99999.9
20160201 20160229     0.0
20160301 20160331     2.9
20160401 20160430     9.0
20160501 20160531 99999.9
20160601 20160630   116.7
20160701 20160731    22.8
20160801 20160831 99999.9
20160901 20160930 99999.9
20161001 20161031 99999.9
20161101 20161130 99999.9
20161201 20161231    54.2
20170101 20170131 99999.9
20170201 20170228 99999.9
20170301 20170331 99999.9
20170401 20170430 99999.9
20170501 20170531 99999.9
20170601 20170630 99999.9
20170701 20170731 99999.9
20170801 20170831 99999.9
20170901 20170930 99999.9
20171001 20171031 99999.9
20171101 20171130 99999.9
20171201 20171231    85.6
