PRCP       011010 19110101 20150531 missing_value=99999.9 NOONDOONIA                                
20060901 20060930 99999.9
20061001 20061031 99999.9
20061101 20061130 99999.9
20061201 20061231 99999.9
20070101 20070131   129.0
20070201 20070228     5.8
20070301 20070331    14.2
20070401 20070430    19.8
20070501 20070531    14.6
20070601 20070630    35.8
20070701 20070731     5.6
20070801 20070831     5.0
20070901 20070930 99999.9
20071001 20071031    11.0
20071101 20071130 99999.9
20071201 20071231    15.8
20080101 20080131     1.2
20080201 20080229    28.2
20080301 20080331     2.4
20080401 20080430    10.4
20080501 20080531     7.8
20080601 20080630     2.3
20080701 20080731    40.6
20080801 20080831 99999.9
20080901 20080930    14.2
20081001 20081031    50.4
20081101 20081130    63.8
20081201 20081231 99999.9
20090101 20090131 99999.9
20090201 20090228    52.6
20090301 20090331     3.8
20090401 20090430    40.4
20090501 20090531     3.0
20090601 20090630 99999.9
20090701 20090731 99999.9
20090801 20090831    15.6
20090901 20090930    11.2
20091001 20091031    21.2
20091101 20091130    24.0
20091201 20091231     7.8
20100101 20100131     1.8
20100201 20100228 99999.9
20100301 20100331 99999.9
20100401 20100430 99999.9
20100501 20100531    25.6
20100601 20100630     8.5
20100701 20100731    16.4
20100801 20100831 99999.9
20100901 20100930 99999.9
20101001 20101031 99999.9
20101101 20101130     0.0
20101201 20101231 99999.9
20110101 20110131 99999.9
20110201 20110228    30.0
20110301 20110331    34.6
20110401 20110430 99999.9
20110501 20110531 99999.9
20110601 20110630    23.4
20110701 20110731 99999.9
20110801 20110831    11.2
20110901 20110930    18.2
20111001 20111031 99999.9
20111101 20111130    10.6
20111201 20111231    17.6
20120101 20120131     8.4
20120201 20120229    10.0
20120301 20120331    31.0
20120401 20120430     2.6
20120501 20120531     6.0
20120601 20120630 99999.9
20120701 20120731    21.0
20120801 20120831     4.4
20120901 20120930 99999.9
20121001 20121031     0.0
20121101 20121130    84.0
20121201 20121231    12.4
20130101 20130131    16.0
20130201 20130228     1.2
20130301 20130331 99999.9
20130401 20130430     1.4
20130501 20130531 99999.9
20130601 20130630     8.6
20130701 20130731    20.2
20130801 20130831 99999.9
20130901 20130930    12.6
20131001 20131031    28.4
20131101 20131130    28.4
20131201 20131231    40.5
20140101 20140131 99999.9
20140201 20140228    15.6
20140301 20140331 99999.9
20140401 20140430    25.6
20140501 20140531    10.0
20140601 20140630    15.4
20140701 20140731 99999.9
20140801 20140831     7.8
20140901 20140930    31.4
20141001 20141031    27.2
20141101 20141130 99999.9
20141201 20141231    28.2
20150101 20150131     0.0
20150201 20150228    39.0
20150301 20150331     0.0
20150401 20150430 99999.9
20150501 20150531     0.0
