PRCP       011010 19110101 20150531 missing_value=99999.9 NOONDOONIA                                
19321201 19321231     4.4
19330101 19330131    12.5
19330201 19330228     0.0
19330301 19330331     3.6
19330401 19330430     4.4
19330501 19330531    23.1
19330601 19330630     7.9
19330701 19330731     8.3
19330801 19330831    42.6
19330901 19330930    14.7
19331001 19331031    11.7
19331101 19331130    27.1
19331201 19331231    15.2
19340101 19340131    17.6
19340201 19340228     0.5
19340301 19340331    36.5
19340401 19340430    37.3
19340501 19340531     4.5
19340601 19340630    27.4
19340701 19340731    30.6
19340801 19340831    15.2
19340901 19340930     9.4
19341001 19341031     2.3
19341101 19341130    25.0
19341201 19341231     9.4
19350101 19350131     4.8
19350201 19350228    60.5
19350301 19350331     6.1
19350401 19350430    21.6
19350501 19350531     3.0
19350601 19350630    29.3
19350701 19350731    24.4
19350801 19350831    57.4
19350901 19350930     5.7
19351001 19351031    38.6
19351101 19351130     9.9
19351201 19351231     2.5
19360101 19360131    16.2
19360201 19360229     2.3
19360301 19360331     2.8
19360401 19360430    16.3
19360501 19360531    33.3
19360601 19360630    25.1
19360701 19360731    66.4
19360801 19360831     8.5
19360901 19360930     1.0
19361001 19361031     1.3
19361101 19361130    28.7
19361201 19361231    56.4
19370101 19370131    14.3
19370201 19370228     5.6
19370301 19370331    53.8
19370401 19370430     2.1
19370501 19370531    20.5
19370601 19370630    14.4
19370701 19370731     7.1
19370801 19370831    17.2
19370901 19370930     6.1
19371001 19371031     4.5
19371101 19371130    21.1
19371201 19371231     4.6
19380101 19380131     3.3
19380201 19380228     0.0
19380301 19380331     5.9
19380401 19380430    11.4
19380501 19380531    32.3
19380601 19380630    23.7
19380701 19380731    41.1
19380801 19380831     9.7
19380901 19380930    17.3
19381001 19381031    15.2
19381101 19381130    15.0
19381201 19381231     7.2
19390101 19390131    93.8
19390201 19390228     3.6
19390301 19390331    24.4
19390401 19390430     6.1
19390501 19390531     1.5
19390601 19390630    11.7
19390701 19390731    23.7
19390801 19390831    31.7
19390901 19390930     6.1
19391001 19391031    61.1
19391101 19391130    77.7
19391201 19391231     1.3
19400101 19400131     2.3
19400201 19400229     0.0
19400301 19400331     2.8
19400401 19400430     1.3
19400501 19400531    15.5
19400601 19400630     6.9
19400701 19400731    10.2
19400801 19400831    11.2
19400901 19400930     9.1
19401001 19401031    45.6
19401101 19401130     8.4
19401201 19401231     9.4
19410101 19410131     2.6
19410201 19410228     4.8
19410301 19410331    14.2
19410401 19410430    36.1
19410501 19410531    21.0
19410601 19410630     7.7
19410701 19410731    23.0
19410801 19410831    30.6
19410901 19410930    23.6
19411001 19411031    82.2
19411101 19411130    15.6
19411201 19411231    11.4
19420101 19420131    41.8
19420201 19420228    18.3
19420301 19420331    75.0
19420401 19420430    39.9
19420501 19420531    25.9
19420601 19420630    38.4
19420701 19420731    24.5
19420801 19420831    21.8
19420901 19420930    10.7
19421001 19421031    32.0
19421101 19421130     2.3
19421201 19421231    32.3
19430101 19430131     4.6
19430201 19430228    50.3
19430301 19430331    76.3
19430401 19430430    10.4
19430501 19430531     2.3
19430601 19430630     9.8
19430701 19430731    24.1
19430801 19430831    11.6
19430901 19430930    15.6
19431001 19431031     8.8
19431101 19431130     7.9
19431201 19431231    79.7
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     0.0
19440401 19440430    13.5
19440501 19440531    42.5
19440601 19440630     9.9
19440701 19440731    27.8
19440801 19440831    37.4
19440901 19440930     3.3
19441001 19441031     3.8
19441101 19441130    37.3
19441201 19441231    16.5
19450101 19450131     0.5
19450201 19450228     2.3
19450301 19450331     0.0
19450401 19450430     0.5
19450501 19450531     6.3
19450601 19450630    22.0
19450701 19450731     8.4
19450801 19450831    14.4
19450901 19450930    17.6
19451001 19451031     0.8
19451101 19451130     1.5
19451201 19451231    16.3
19460101 19460131    12.0
19460201 19460228    33.3
19460301 19460331     0.0
19460401 19460430    13.2
19460501 19460531    21.8
19460601 19460630    15.3
19460701 19460731    19.3
19460801 19460831     8.6
19460901 19460930    43.9
19461001 19461031    11.2
19461101 19461130    39.3
19461201 19461231    12.0
19470101 19470131     8.9
19470201 19470228    39.9
19470301 19470331    18.3
19470401 19470430    21.4
19470501 19470531    18.0
19470601 19470630     8.2
19470701 19470731    18.7
19470801 19470831    38.4
19470901 19470930    58.4
19471001 19471031    37.9
19471101 19471130    34.0
19471201 19471231    11.0
19480101 19480131     0.0
19480201 19480229   147.8
19480301 19480331     4.8
19480401 19480430    15.1
19480501 19480531     2.0
19480601 19480630    20.1
19480701 19480731    23.1
19480801 19480831    12.1
19480901 19480930     3.3
19481001 19481031    23.4
19481101 19481130    10.5
19481201 19481231     7.1
19490101 19490131     2.5
19490201 19490228    15.0
19490301 19490331     0.0
19490401 19490430     0.0
19490501 19490531    15.0
19490601 19490630    15.8
19490701 19490731    26.2
19490801 19490831    17.2
19490901 19490930    20.3
19491001 19491031    34.1
19491101 19491130    62.7
19491201 19491231    12.8
19500101 19500131     3.6
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    58.3
19500601 19500630     4.3
19500701 19500731     7.7
19500801 19500831    11.5
19500901 19500930    13.5
19501001 19501031    22.0
19501101 19501130    10.2
19501201 19501231     0.0
19510101 19510131    41.5
19510201 19510228    20.0
19510301 19510331    13.4
19510401 19510430    12.4
19510501 19510531    22.4
19510601 19510630    68.3
19510701 19510731    15.7
19510801 19510831    13.9
19510901 19510930    21.6
19511001 19511031     8.8
19511101 19511130     5.4
19511201 19511231    18.8
19520101 19520131    83.5
19520201 19520229    51.9
19520301 19520331    21.1
19520401 19520430    15.0
19520501 19520531     5.6
19520601 19520630     2.6
19520701 19520731     9.9
19520801 19520831     7.4
19520901 19520930    25.0
19521001 19521031    34.9
19521101 19521130     5.1
19521201 19521231    14.0
19530101 19530131     6.9
19530201 19530228     1.0
19530301 19530331    25.9
19530401 19530430    19.3
19530501 19530531    31.8
19530601 19530630    30.7
19530701 19530731    19.5
19530801 19530831    22.0
19530901 19530930     9.2
19531001 19531031    22.4
19531101 19531130     5.1
19531201 19531231    12.7
19540101 19540131     4.6
19540201 19540228     1.5
19540301 19540331     0.0
19540401 19540430     9.0
19540501 19540531    20.0
19540601 19540630    10.9
19540701 19540731     3.3
19540801 19540831    25.5
19540901 19540930    12.5
19541001 19541031     8.4
19541101 19541130     7.1
19541201 19541231    11.4
19550101 19550131    71.8
19550201 19550228    60.5
19550301 19550331    30.7
19550401 19550430    19.5
19550501 19550531    21.1
19550601 19550630    42.3
19550701 19550731    35.2
19550801 19550831    16.8
19550901 19550930    70.0
19551001 19551031    16.8
19551101 19551130    16.0
19551201 19551231     6.6
19560101 19560131     0.0
19560201 19560229     4.1
19560301 19560331     0.0
19560401 19560430     3.3
19560501 19560531    27.0
19560601 19560630    18.1
19560701 19560731    72.3
19560801 19560831     1.8
19560901 19560930     4.6
19561001 19561031     7.4
19561101 19561130    16.7
19561201 19561231    20.1
19570101 19570131     0.8
19570201 19570228    24.7
19570301 19570331     3.3
19570401 19570430     1.3
19570501 19570531     4.1
19570601 19570630    40.4
19570701 19570731     3.5
19570801 19570831    25.7
19570901 19570930     4.1
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231     7.1
19580101 19580131     6.1
19580201 19580228     3.6
19580301 19580331    19.2
19580401 19580430     1.3
19580501 19580531    15.2
19580601 19580630     9.6
19580701 19580731    31.9
19580801 19580831    23.7
19580901 19580930    35.9
19581001 19581031    20.4
19581101 19581130    40.1
19581201 19581231    81.0
19590101 19590131    19.7
19590201 19590228    50.3
19590301 19590331     2.1
19590401 19590430    13.5
19590501 19590531     7.5
19590601 19590630    39.0
19590701 19590731     6.3
19590801 19590831    18.9
19590901 19590930    31.2
19591001 19591031    16.8
19591101 19591130    46.5
19591201 19591231    32.8
19600101 19600131    34.3
19600201 19600229    22.5
19600301 19600331    26.3
19600401 19600430    15.3
19600501 19600531    17.6
19600601 19600630    21.4
19600701 19600731    61.7
19600801 19600831     7.8
19600901 19600930    54.3
19601001 19601031     0.3
19601101 19601130     5.4
19601201 19601231    49.8
19610101 19610131    66.0
19610201 19610228    32.3
19610301 19610331     3.1
19610401 19610430    59.4
19610501 19610531    11.6
19610601 19610630    12.2
19610701 19610731     8.3
19610801 19610831     9.6
19610901 19610930    25.2
19611001 19611031     0.0
19611101 19611130     0.0
19611201 19611231     5.6
19620101 19620131     0.8
