PRCP       065022 18880501 20180131 missing_value=99999.9 MANILDRA (HAZELDALE)                      
19840101 19840131   335.4
19840201 19840229    44.0
19840301 19840331    23.0
19840401 19840430    49.2
19840501 19840531    13.8
19840601 19840630     5.2
19840701 19840731   159.2
19840801 19840831    66.4
19840901 19840930    61.0
19841001 19841031    88.0
19841101 19841130    15.2
19841201 19841231    24.2
19850101 19850131     4.0
19850201 19850228    24.0
19850301 19850331    82.4
19850401 19850430    39.4
19850501 19850531    36.4
19850601 19850630    38.0
19850701 19850731    13.8
19850801 19850831   101.0
19850901 19850930    42.8
19851001 19851031    73.6
19851101 19851130    77.6
19851201 19851231   112.4
19860101 19860131    32.6
19860201 19860228     0.6
19860301 19860331     0.6
19860401 19860430    14.8
19860501 19860531    52.0
19860601 19860630    20.4
19860701 19860731    78.0
19860801 19860831    99.0
19860901 19860930    45.0
19861001 19861031    60.6
19861101 19861130    99.8
19861201 19861231    10.8
19870101 19870131    16.0
19870201 19870228    57.2
19870301 19870331   164.2
19870401 19870430    14.4
19870501 19870531    76.8
19870601 19870630    41.2
19870701 19870731    39.8
19870801 19870831    87.0
19870901 19870930    16.0
19871001 19871031    47.6
19871101 19871130    31.6
19871201 19871231    96.0
19880101 19880131    44.0
19880201 19880229    19.0
19880301 19880331    63.0
19880401 19880430    90.2
19880501 19880531    42.4
19880601 19880630    74.0
19880701 19880731    73.8
19880801 19880831    57.0
19880901 19880930    80.4
19881001 19881031    20.6
19881101 19881130    75.8
19881201 19881231    84.4
19890101 19890131    46.8
19890201 19890228    35.2
19890301 19890331    65.6
19890401 19890430   148.2
19890501 19890531    67.8
19890601 19890630    50.6
19890701 19890731    68.2
19890801 19890831    59.6
19890901 19890930    18.0
19891001 19891031    41.6
19891101 19891130    29.4
19891201 19891231    29.2
19900101 19900131    56.8
19900201 19900228   126.8
19900301 19900331    18.2
19900401 19900430   265.6
19900501 19900531    57.6
19900601 19900630    46.4
19900701 19900731   104.0
19900801 19900831   150.8
19900901 19900930    37.6
19901001 19901031    46.8
19901101 19901130    12.8
19901201 19901231     6.6
19910101 19910131    29.8
19910201 19910228    13.2
19910301 19910331    35.8
19910401 19910430    22.0
19910501 19910531    25.0
19910601 19910630   123.0
19910701 19910731    69.2
19910801 19910831   106.2
19910901 19910930    57.6
19911001 19911031    19.0
19911101 19911130    38.6
19911201 19911231   106.4
19920101 19920131    71.2
19920201 19920229   206.6
19920301 19920331    20.4
19920401 19920430    38.2
19920501 19920531    20.8
19920601 19920630    32.0
19920701 19920731    58.4
19920801 19920831   105.6
19920901 19920930    64.2
19921001 19921031    82.8
19921101 19921130    46.6
19921201 19921231   185.2
19930101 19930131    75.4
19930201 19930228    22.0
19930301 19930331    53.4
19930401 19930430    10.2
19930501 19930531    57.8
19930601 19930630    38.8
19930701 19930731   141.8
19930801 19930831    38.8
19930901 19930930   110.4
19931001 19931031   133.4
19931101 19931130    72.8
19931201 19931231    22.0
19940101 19940131    19.6
19940201 19940228   135.8
19940301 19940331    42.0
19940401 19940430    26.6
19940501 19940531    20.2
19940601 19940630    37.0
19940701 19940731    26.6
19940801 19940831 99999.9
19940901 19940930    18.8
19941001 19941031    38.4
19941101 19941130    67.8
19941201 19941231    96.8
19950101 19950131   205.8
19950201 19950228     3.8
19950301 19950331     0.0
19950401 19950430     6.2
19950501 19950531   113.6
19950601 19950630    42.0
19950701 19950731    80.6
19950801 19950831     6.4
19950901 19950930    50.2
19951001 19951031    18.4
19951101 19951130    55.4
19951201 19951231    39.8
19960101 19960131   100.4
19960201 19960229    26.4
19960301 19960331    29.0
19960401 19960430     0.0
19960501 19960531    44.6
19960601 19960630    78.2
19960701 19960731    65.6
19960801 19960831    99.2
19960901 19960930    74.6
19961001 19961031    97.0
19961101 19961130    45.4
19961201 19961231    65.8
19970101 19970131    53.8
19970201 19970228    38.6
19970301 19970331    11.0
19970401 19970430     0.0
19970501 19970531    38.2
19970601 19970630    26.2
19970701 19970731    30.2
19970801 19970831    27.8
19970901 19970930    82.4
19971001 19971031    41.2
19971101 19971130    31.8
19971201 19971231    38.2
19980101 19980131    47.8
19980201 19980228    40.2
19980301 19980331     0.0
19980401 19980430    64.6
19980501 19980531    60.4
19980601 19980630   120.4
19980701 19980731   116.8
19980801 19980831   109.4
19980901 19980930    84.6
19981001 19981031    77.8
19981101 19981130    76.0
19981201 19981231    26.4
19990101 19990131    34.6
19990201 19990228     7.2
19990301 19990331   149.2
19990401 19990430    55.4
19990501 19990531    21.8
19990601 19990630    33.8
19990701 19990731    68.2
19990801 19990831    79.2
19990901 19990930    53.2
19991001 19991031   176.6
19991101 19991130    37.2
19991201 19991231    97.2
20000101 20000131    20.6
20000201 20000229    17.8
20000301 20000331    96.8
20000401 20000430    72.0
20000501 20000531    84.2
20000601 20000630    52.0
20000701 20000731    47.4
20000801 20000831   104.4
20000901 20000930    52.0
20001001 20001031    90.0
20001101 20001130   114.6
20001201 20001231    16.2
20010101 20010131     8.2
20010201 20010228    65.4
20010301 20010331   100.8
20010401 20010430    53.8
20010501 20010531    61.6
20010601 20010630    52.8
20010701 20010731    66.6
20010801 20010831    57.4
20010901 20010930    51.4
20011001 20011031    59.6
20011101 20011130    47.2
20011201 20011231    12.8
20020101 20020131   112.2
20020201 20020228   128.0
20020301 20020331    36.2
20020401 20020430    82.4
20020501 20020531    63.0
20020601 20020630    21.8
20020701 20020731    23.2
20020801 20020831    19.2
20020901 20020930    54.4
20021001 20021031     0.0
20021101 20021130     7.6
20021201 20021231    48.4
20030101 20030131    46.8
20030201 20030228    78.0
20030301 20030331    14.2
20030401 20030430    28.2
20030501 20030531     6.0
20030601 20030630    46.0
20030701 20030731    85.2
20030801 20030831    86.4
20030901 20030930    12.5
20031001 20031031    59.6
20031101 20031130    14.6
20031201 20031231    31.2
20040101 20040131    58.4
20040201 20040229    47.8
20040301 20040331    33.8
20040401 20040430    10.0
20040501 20040531    48.8
20040601 20040630    72.2
20040701 20040731    55.4
20040801 20040831    58.8
20040901 20040930    36.8
20041001 20041031    58.8
20041101 20041130    65.6
20041201 20041231   121.0
20050101 20050131    58.8
20050201 20050228   118.2
20050301 20050331    23.4
20050401 20050430     1.8
20050501 20050531     2.2
20050601 20050630    64.6
20050701 20050731    58.4
20050801 20050831    43.4
20050901 20050930   141.2
20051001 20051031    94.4
20051101 20051130   146.4
20051201 20051231    29.0
20060101 20060131   105.8
20060201 20060228     6.8
20060301 20060331    34.4
20060401 20060430     5.6
20060501 20060531    10.2
20060601 20060630    25.0
20060701 20060731    68.0
20060801 20060831     7.4
20060901 20060930    13.4
20061001 20061031     0.6
20061101 20061130    10.6
20061201 20061231    21.2
20070101 20070131    37.8
20070201 20070228   101.4
20070301 20070331    25.8
20070401 20070430    42.6
20070501 20070531    77.5
20070601 20070630    96.2
20070701 20070731    44.6
20070801 20070831    18.8
20070901 20070930     1.2
20071001 20071031    10.2
20071101 20071130    90.8
20071201 20071231    78.0
20080101 20080131    84.6
20080201 20080229    67.8
20080301 20080331    18.6
20080401 20080430    23.2
20080501 20080531    13.6
20080601 20080630    44.2
20080701 20080731    52.0
20080801 20080831    52.4
20080901 20080930    86.8
20081001 20081031    40.2
20081101 20081130   104.4
20081201 20081231    54.0
20090101 20090131    25.0
20090201 20090228    37.4
20090301 20090331    62.8
20090401 20090430    34.0
20090501 20090531     5.8
20090601 20090630    77.0
20090701 20090731    44.6
20090801 20090831    16.6
20090901 20090930    24.6
20091001 20091031    48.4
20091101 20091130    14.4
20091201 20091231    99.0
20100101 20100131     9.0
20100201 20100228   111.0
20100301 20100331    91.6
20100401 20100430    44.4
20100501 20100531    43.2
20100601 20100630    24.8
20100701 20100731    90.6
20100801 20100831   130.0
20100901 20100930    78.6
20101001 20101031    80.8
20101101 20101130   145.2
20101201 20101231   261.0
20110101 20110131    25.2
20110201 20110228    83.2
20110301 20110331    76.6
20110401 20110430    45.4
20110501 20110531    52.2
20110601 20110630    22.6
20110701 20110731    17.4
20110801 20110831    66.6
20110901 20110930    45.6
20111001 20111031    66.8
20111101 20111130   132.0
20111201 20111231    80.4
20120101 20120131   106.8
20120201 20120229   130.8
20120301 20120331   142.8
20120401 20120430     8.6
20120501 20120531    25.0
20120601 20120630    48.0
20120701 20120731    70.4
20120801 20120831    36.0
20120901 20120930    71.0
20121001 20121031    14.4
20121101 20121130    34.8
20121201 20121231    21.8
20130101 20130131    17.4
20130201 20130228    48.8
20130301 20130331    80.2
20130401 20130430     9.8
20130501 20130531    27.0
20130601 20130630   122.8
20130701 20130731    40.0
20130801 20130831    26.4
20130901 20130930    40.8
20131001 20131031    13.4
20131101 20131130    49.4
20131201 20131231    44.0
20140101 20140131    93.0
20140201 20140228    49.4
20140301 20140331   191.2
20140401 20140430    26.2
20140501 20140531    39.6
20140601 20140630 99999.9
20140701 20140731    37.8
20140801 20140831    16.6
20140901 20140930    26.4
20141001 20141031    58.2
20141101 20141130    17.6
20141201 20141231    94.6
20150101 20150131    65.8
20150201 20150228    63.4
20150301 20150331    11.2
20150401 20150430    97.0
20150501 20150531    32.8
20150601 20150630    17.2
20150701 20150731    90.0
20150801 20150831    39.0
20150901 20150930    10.6
20151001 20151031    24.4
20151101 20151130    64.0
20151201 20151231    44.6
20160101 20160131    48.4
20160201 20160229     0.2
20160301 20160331    51.2
20160401 20160430    66.2
20160501 20160531    66.0
20160601 20160630   177.0
20160701 20160731    95.0
20160801 20160831    70.8
20160901 20160930   192.6
20161001 20161031    71.0
20161101 20161130    51.4
20161201 20161231    50.6
20170101 20170131    18.6
20170201 20170228     0.6
20170301 20170331   202.6
20170401 20170430    28.0
20170501 20170531    21.0
20170601 20170630     2.8
20170701 20170731     7.2
20170801 20170831    30.0
20170901 20170930    17.0
20171001 20171031    89.2
20171101 20171130    57.2
20171201 20171231   113.8
20180101 20180131    44.4
