PRCP       065022 18880501 20180131 missing_value=99999.9 MANILDRA (HAZELDALE)                      
19100401 19100430     1.0
19100501 19100531    31.5
19100601 19100630    69.3
19100701 19100731    63.8
19100801 19100831    10.6
19100901 19100930    44.0
19101001 19101031    44.0
19101101 19101130    27.2
19101201 19101231    87.7
19110101 19110131   143.0
19110201 19110228    49.7
19110301 19110331    51.9
19110401 19110430    26.4
19110501 19110531    53.7
19110601 19110630    53.7
19110701 19110731    55.5
19110801 19110831    15.1
19110901 19110930    55.9
19111001 19111031    19.1
19111101 19111130    82.4
19111201 19111231    67.9
19120101 19120131    41.9
19120201 19120229    24.6
19120301 19120331     1.1
19120401 19120430     3.3
19120501 19120531     1.8
19120601 19120630    52.9
19120701 19120731   129.7
19120801 19120831    91.7
19120901 19120930    29.3
19121001 19121031    56.9
19121101 19121130    17.8
19121201 19121231    29.2
19130101 19130131    25.1
19130201 19130228    54.1
19130301 19130331   106.1
19130401 19130430    33.0
19130501 19130531    79.3
19130601 19130630    76.4
19130701 19130731     6.6
19130801 19130831    24.0
19130901 19130930    30.8
19131001 19131031    65.3
19131101 19131130     9.4
19131201 19131231    47.5
19140101 19140131    51.3
19140201 19140228    60.4
19140301 19140331    64.0
19140401 19140430    37.8
19140501 19140531    32.8
19140601 19140630    27.6
19140701 19140731    59.7
19140801 19140831     2.5
19140901 19140930    20.6
19141001 19141031    46.3
19141101 19141130    77.4
19141201 19141231    57.7
19150101 19150131    34.0
19150201 19150228    13.7
19150301 19150331    41.4
19150401 19150430    13.1
19150501 19150531    75.5
19150601 19150630    78.2
19150701 19150731    57.3
19150801 19150831    60.9
19150901 19150930    53.4
19151001 19151031    40.9
19151101 19151130     5.1
19151201 19151231    30.7
19160101 19160131    71.0
19160201 19160229    11.7
19160301 19160331    17.8
19160401 19160430    96.5
19160501 19160531     9.2
19160601 19160630   219.7
19160701 19160731   105.9
19160801 19160831   125.8
19160901 19160930    78.5
19161001 19161031   102.3
19161101 19161130   128.6
19161201 19161231    60.0
19170101 19170131   115.6
19170201 19170228    38.1
19170301 19170331    15.3
19170401 19170430    20.7
19170501 19170531    39.2
19170601 19170630    55.1
19170701 19170731   105.7
19170801 19170831    86.0
19170901 19170930    46.8
19171001 19171031    85.3
19171101 19171130   115.1
19171201 19171231    55.0
19180101 19180131   110.8
19180201 19180228    33.8
19180301 19180331    31.3
19180401 19180430    36.1
19180501 19180531    30.8
19180601 19180630    42.8
19180701 19180731    39.3
19180801 19180831   105.5
19180901 19180930    11.5
19181001 19181031    25.8
19181101 19181130     9.6
19181201 19181231    24.2
19190101 19190131     6.3
19190201 19190228    27.9
19190301 19190331    12.0
19190401 19190430    13.2
19190501 19190531    83.2
19190601 19190630    21.4
19190701 19190731    16.0
19190801 19190831    33.9
19190901 19190930    32.0
19191001 19191031     8.0
19191101 19191130    24.1
19191201 19191231    87.3
19200101 19200131    31.0
19200201 19200229    21.1
19200301 19200331    42.4
19200401 19200430     9.2
19200501 19200531     7.6
19200601 19200630   142.3
19200701 19200731    59.7
19200801 19200831    86.9
19200901 19200930    96.0
19201001 19201031    37.8
19201101 19201130    32.8
19201201 19201231   229.5
19210101 19210131    73.9
19210201 19210228    19.9
19210301 19210331    55.6
19210401 19210430   114.3
19210501 19210531    75.8
19210601 19210630    58.9
19210701 19210731    52.1
19210801 19210831    64.1
19210901 19210930    39.7
19211001 19211031    36.3
19211101 19211130    50.5
19211201 19211231   124.9
19220101 19220131    38.4
19220201 19220228    11.0
19220301 19220331    11.7
19220401 19220430    35.8
19220501 19220531    29.6
19220601 19220630    56.2
19220701 19220731   122.5
19220801 19220831    36.4
19220901 19220930    26.9
19221001 19221031    36.0
19221101 19221130     1.0
19221201 19221231    75.5
19230101 19230131    36.2
19230201 19230228     0.0
19230301 19230331    11.5
19230401 19230430     0.0
19230501 19230531    23.5
19230601 19230630   135.9
19230701 19230731   105.0
19230801 19230831    38.8
19230901 19230930    71.8
19231001 19231031    45.6
19231101 19231130    55.2
19231201 19231231    24.8
19240101 19240131    12.3
19240201 19240229    88.0
19240301 19240331     4.1
19240401 19240430    42.5
19240501 19240531    22.0
19240601 19240630    47.8
19240701 19240731    59.5
19240801 19240831    47.6
19240901 19240930   102.6
19241001 19241031    33.7
19241101 19241130   105.8
19241201 19241231    43.2
19250101 19250131    35.0
19250201 19250228    46.8
19250301 19250331    36.1
19250401 19250430     7.1
19250501 19250531    45.5
19250601 19250630   187.7
19250701 19250731    60.7
19250801 19250831    32.0
19250901 19250930    19.7
19251001 19251031    35.3
19251101 19251130    71.6
19251201 19251231    31.8
19260101 19260131    17.3
19260201 19260228    18.1
19260301 19260331   194.1
19260401 19260430   134.3
19260501 19260531   100.3
19260601 19260630    31.2
19260701 19260731    61.0
19260801 19260831    45.4
19260901 19260930    49.5
19261001 19261031    30.6
19261101 19261130     9.7
19261201 19261231    89.1
19270101 19270131   128.3
19270201 19270228     0.5
19270301 19270331    82.8
19270401 19270430    43.4
19270501 19270531    20.1
19270601 19270630    19.4
19270701 19270731    23.9
19270801 19270831    32.2
19270901 19270930    56.4
19271001 19271031    62.6
19271101 19271130    78.5
19271201 19271231    49.6
19280101 19280131    68.6
19280201 19280229   274.3
19280301 19280331    66.6
19280401 19280430    51.9
19280501 19280531    23.7
19280601 19280630    42.1
19280701 19280731    77.5
19280801 19280831    26.2
19280901 19280930    26.7
19281001 19281031    75.8
19281101 19281130    36.1
19281201 19281231     3.3
19290101 19290131     0.5
19290201 19290228    82.1
19290301 19290331   114.8
19290401 19290430    19.5
19290501 19290531    32.6
19290601 19290630    33.8
19290701 19290731    10.7
19290801 19290831    51.6
19290901 19290930    29.0
19291001 19291031    29.2
19291101 19291130    47.4
19291201 19291231    65.8
19300101 19300131    24.7
19300201 19300228    35.1
19300301 19300331    16.0
19300401 19300430    23.1
19300501 19300531    35.7
19300601 19300630    81.5
19300701 19300731    75.6
19300801 19300831    74.0
19300901 19300930    15.8
19301001 19301031   136.1
19301101 19301130    38.9
19301201 19301231   115.4
19310101 19310131    52.6
19310201 19310228    20.9
19310301 19310331    92.6
19310401 19310430    93.3
19310501 19310531   120.2
19310601 19310630   117.1
19310701 19310731    53.1
19310801 19310831    29.1
19310901 19310930    54.9
19311001 19311031    30.4
19311101 19311130    48.6
19311201 19311231    93.5
19320101 19320131     0.6
19320201 19320229    17.1
19320301 19320331   120.4
19320401 19320430    65.0
19320501 19320531    16.0
19320601 19320630    44.3
19320701 19320731    47.8
19320801 19320831    51.7
19320901 19320930    60.2
19321001 19321031    62.4
19321101 19321130    71.7
19321201 19321231    34.0
19330101 19330131    28.9
19330201 19330228     1.6
19330301 19330331    29.8
19330401 19330430    97.4
19330501 19330531    43.5
19330601 19330630    43.7
19330701 19330731    67.0
19330801 19330831    33.3
19330901 19330930   105.9
19331001 19331031    34.7
19331101 19331130    60.2
19331201 19331231    72.4
19340101 19340131    74.5
19340201 19340228   172.2
19340301 19340331     5.9
19340401 19340430    73.9
19340501 19340531     0.5
19340601 19340630    59.1
19340701 19340731   102.4
19340801 19340831    68.7
19340901 19340930    25.9
19341001 19341031   136.3
19341101 19341130   114.6
19341201 19341231    41.6
19350101 19350131    72.9
19350201 19350228    27.2
19350301 19350331     3.4
19350401 19350430   117.4
19350501 19350531    33.3
19350601 19350630    30.6
19350701 19350731    59.5
19350801 19350831    43.7
19350901 19350930    38.3
19351001 19351031    74.2
19351101 19351130    23.4
19351201 19351231    84.8
19360101 19360131    73.9
19360201 19360229    64.1
19360301 19360331    97.6
19360401 19360430    15.3
19360501 19360531    32.3
19360601 19360630    62.4
19360701 19360731   120.4
19360801 19360831    60.4
19360901 19360930    19.8
19361001 19361031    36.6
19361101 19361130     2.8
19361201 19361231   101.2
19370101 19370131   101.2
19370201 19370228     5.6
19370301 19370331    81.8
19370401 19370430    31.8
19370501 19370531    33.9
19370601 19370630    58.8
19370701 19370731     8.2
19370801 19370831   109.7
19370901 19370930    39.3
19371001 19371031    45.7
19371101 19371130    73.8
19371201 19371231    52.1
19380101 19380131    90.7
19380201 19380228    33.7
19380301 19380331     0.3
19380401 19380430    68.5
19380501 19380531    22.9
19380601 19380630    53.9
19380701 19380731    65.1
19380801 19380831    54.2
19380901 19380930    15.4
19381001 19381031    67.7
19381101 19381130    51.9
19381201 19381231     2.0
19390101 19390131    25.7
19390201 19390228    25.7
19390301 19390331    62.5
19390401 19390430    76.6
19390501 19390531    25.9
19390601 19390630    62.1
19390701 19390731    25.0
19390801 19390831   124.2
19390901 19390930    16.7
19391001 19391031    78.0
19391101 19391130    98.7
19391201 19391231    11.5
19400101 19400131    11.1
19400201 19400229     2.3
19400301 19400331     0.3
19400401 19400430   117.9
19400501 19400531    21.0
19400601 19400630     8.5
19400701 19400731    24.0
19400801 19400831    29.8
19400901 19400930    84.6
19401001 19401031     2.1
19401101 19401130    34.1
19401201 19401231   105.8
19410101 19410131   275.9
19410201 19410228    41.1
19410301 19410331    58.1
19410401 19410430     1.5
19410501 19410531    39.5
19410601 19410630   105.5
19410701 19410731    38.4
19410801 19410831    37.2
19410901 19410930    40.8
19411001 19411031    35.7
19411101 19411130     8.6
19411201 19411231    27.8
19420101 19420131     2.9
19420201 19420228    59.3
19420301 19420331    34.8
19420401 19420430    10.4
19420501 19420531   107.6
19420601 19420630   135.4
19420701 19420731    57.0
19420801 19420831    56.4
19420901 19420930    50.4
19421001 19421031    29.6
19421101 19421130    98.3
19421201 19421231    55.9
19430101 19430131   101.6
19430201 19430228    34.3
19430301 19430331     5.6
19430401 19430430    66.8
19430501 19430531    74.6
19430601 19430630    49.1
