PRCP       010126 19100101 20180131 missing_value=99999.9 TRAYNING                                  
19311201 19311231    14.2
19320101 19320131    17.4
19320201 19320229     1.0
19320301 19320331    17.6
19320401 19320430    34.4
19320501 19320531    43.2
19320601 19320630    23.5
19320701 19320731    66.0
19320801 19320831    83.3
19320901 19320930    18.2
19321001 19321031    56.6
19321101 19321130     0.0
19321201 19321231     5.1
19330101 19330131     4.8
19330201 19330228     3.3
19330301 19330331    14.4
19330401 19330430     8.2
19330501 19330531    53.2
19330601 19330630    68.3
19330701 19330731    36.9
19330801 19330831    49.6
19330901 19330930    14.1
19331001 19331031    20.8
19331101 19331130    26.1
19331201 19331231    16.3
19340101 19340131    26.0
19340201 19340228     4.1
19340301 19340331    22.8
19340401 19340430   134.4
19340501 19340531     7.9
19340601 19340630    46.9
19340701 19340731    61.0
19340801 19340831    48.9
19340901 19340930    21.1
19341001 19341031     1.3
19341101 19341130    18.1
19341201 19341231     1.6
19350101 19350131     7.7
19350201 19350228    39.9
19350301 19350331     8.4
19350401 19350430    22.1
19350501 19350531    18.6
19350601 19350630    12.2
19350701 19350731    50.5
19350801 19350831    58.5
19350901 19350930    17.5
19351001 19351031    10.5
19351101 19351130     1.0
19351201 19351231     5.8
19360101 19360131     2.8
19360201 19360229     1.8
19360301 19360331    36.6
19360401 19360430     3.6
19360501 19360531    19.6
19360601 19360630    61.5
19360701 19360731    20.6
19360801 19360831    39.4
19360901 19360930    17.5
19361001 19361031     1.8
19361101 19361130     1.3
19361201 19361231    29.7
19370101 19370131    12.4
19370201 19370228     1.8
19370301 19370331     0.5
19370401 19370430     8.6
19370501 19370531    55.6
19370601 19370630    45.9
19370701 19370731     9.8
19370801 19370831    42.9
19370901 19370930    14.2
19371001 19371031     2.3
19371101 19371130    17.1
19371201 19371231     0.0
19380101 19380131     4.8
19380201 19380228     9.7
19380301 19380331    21.1
19380401 19380430    24.4
19380501 19380531    10.4
19380601 19380630    34.0
19380701 19380731    48.8
19380801 19380831    22.4
19380901 19380930    15.2
19381001 19381031     5.1
19381101 19381130    24.9
19381201 19381231     6.9
19390101 19390131     2.1
19390201 19390228    80.2
19390301 19390331     0.8
19390401 19390430    12.0
19390501 19390531    47.3
19390601 19390630    60.9
19390701 19390731    58.6
