PRCP       018069 18820101 20180131 missing_value=99999.9 ELLISTON                                  
19031201 19031231     4.3
19040101 19040131    14.1
19040201 19040229    17.1
19040301 19040331    20.9
19040401 19040430    29.8
19040501 19040531    21.4
19040601 19040630   119.5
19040701 19040731    66.5
19040801 19040831    39.6
19040901 19040930    13.6
19041001 19041031    22.0
19041101 19041130     3.2
19041201 19041231     1.5
19050101 19050131    15.8
19050201 19050228     2.3
19050301 19050331    12.4
19050401 19050430    53.2
19050501 19050531    64.0
19050601 19050630    56.0
19050701 19050731    64.4
19050801 19050831    44.5
19050901 19050930    61.1
19051001 19051031    53.6
19051101 19051130     1.3
19051201 19051231     1.8
19060101 19060131     3.3
19060201 19060228     6.1
19060301 19060331    12.5
19060401 19060430    12.9
19060501 19060531    22.5
19060601 19060630    42.4
19060701 19060731   101.6
19060801 19060831    59.1
19060901 19060930    35.2
19061001 19061031    14.3
19061101 19061130   127.2
19061201 19061231     3.0
19070101 19070131     3.8
19070201 19070228     1.0
19070301 19070331     7.9
19070401 19070430    46.5
19070501 19070531    21.9
19070601 19070630    57.8
19070701 19070731    43.0
19070801 19070831    71.6
19070901 19070930    24.9
19071001 19071031    15.0
19071101 19071130    36.4
19071201 19071231     7.9
19080101 19080131     4.1
19080201 19080229     3.1
19080301 19080331    37.2
19080401 19080430     9.2
19080501 19080531    86.1
19080601 19080630   161.2
19080701 19080731    21.5
19080801 19080831    44.3
19080901 19080930    56.4
19081001 19081031    17.9
19081101 19081130     7.6
19081201 19081231    10.9
19090101 19090131     5.1
19090201 19090228    10.5
19090301 19090331    12.5
19090401 19090430    51.7
19090501 19090531    47.8
19090601 19090630    62.4
19090701 19090731    87.4
19090801 19090831   117.2
19090901 19090930    19.8
19091001 19091031    29.0
19091101 19091130    19.3
19091201 19091231     1.5
19100101 19100131     1.3
19100201 19100228     0.8
19100301 19100331     4.5
19100401 19100430     1.8
19100501 19100531    98.6
19100601 19100630    49.9
19100701 19100731   179.5
19100801 19100831    27.6
19100901 19100930    70.4
19101001 19101031    56.4
19101101 19101130    39.1
19101201 19101231     2.3
19110101 19110131     0.0
19110201 19110228    41.7
19110301 19110331     9.8
19110401 19110430     2.6
19110501 19110531    69.5
19110601 19110630   116.2
19110701 19110731    68.5
19110801 19110831    51.4
19110901 19110930    65.3
19111001 19111031    21.3
19111101 19111130     4.3
19111201 19111231    52.1
19120101 19120131     0.0
19120201 19120229     6.9
19120301 19120331    45.5
19120401 19120430     5.0
19120501 19120531     9.5
19120601 19120630    78.5
19120701 19120731    94.7
19120801 19120831    64.7
19120901 19120930    42.1
19121001 19121031    86.4
19121101 19121130    40.9
19121201 19121231     1.3
19130101 19130131     2.0
19130201 19130228     8.4
19130301 19130331    23.3
19130401 19130430     9.1
19130501 19130531    28.4
19130601 19130630    14.5
19130701 19130731    28.7
19130801 19130831    39.2
19130901 19130930    24.4
19131001 19131031    47.0
19131101 19131130     8.9
19131201 19131231    40.2
19140101 19140131     0.0
19140201 19140228     1.0
19140301 19140331    37.6
19140401 19140430    45.0
19140501 19140531    41.3
19140601 19140630    33.5
19140701 19140731    31.0
19140801 19140831    14.0
19140901 19140930    15.3
19141001 19141031    12.3
19141101 19141130    18.4
19141201 19141231    27.4
19150101 19150131     7.1
19150201 19150228     0.0
19150301 19150331     4.4
19150401 19150430    51.5
19150501 19150531    35.2
19150601 19150630    56.5
19150701 19150731    78.1
19150801 19150831   137.7
19150901 19150930    45.6
19151001 19151031     7.6
19151101 19151130     1.0
19151201 19151231     6.4
19160101 19160131    23.6
19160201 19160229     0.0
19160301 19160331     8.6
19160401 19160430    17.2
19160501 19160531    62.4
19160601 19160630   133.7
19160701 19160731    79.1
19160801 19160831    73.5
19160901 19160930    14.7
19161001 19161031    23.3
19161101 19161130    33.8
19161201 19161231    12.0
19170101 19170131    16.3
19170201 19170228    24.7
19170301 19170331    40.2
19170401 19170430     8.4
19170501 19170531   120.9
19170601 19170630   104.5
19170701 19170731    97.2
19170801 19170831    81.7
19170901 19170930    63.1
19171001 19171031    20.1
19171101 19171130     9.8
19171201 19171231    12.7
19180101 19180131     0.0
19180201 19180228     2.1
19180301 19180331    18.0
19180401 19180430    13.2
19180501 19180531    46.0
19180601 19180630    45.6
19180701 19180731    45.5
19180801 19180831    94.8
19180901 19180930    14.8
19181001 19181031    38.5
19181101 19181130     0.0
19181201 19181231    19.7
19190101 19190131    13.5
19190201 19190228    25.8
19190301 19190331     3.0
19190401 19190430     5.6
19190501 19190531    40.7
19190601 19190630    40.5
19190701 19190731    33.7
19190801 19190831    53.6
19190901 19190930    47.9
19191001 19191031    32.5
19191101 19191130     2.1
19191201 19191231    14.0
19200101 19200131     2.0
19200201 19200229     0.0
19200301 19200331     7.3
19200401 19200430    25.8
19200501 19200531    67.1
19200601 19200630   190.7
19200701 19200731   140.0
19200801 19200831    87.6
19200901 19200930    61.2
19201001 19201031    45.2
19201101 19201130    23.5
19201201 19201231    23.6
19210101 19210131     6.1
19210201 19210228    14.0
19210301 19210331    11.9
19210401 19210430    33.3
19210501 19210531    37.2
19210601 19210630    68.6
19210701 19210731    59.7
19210801 19210831    56.8
19210901 19210930    46.7
19211001 19211031    37.4
19211101 19211130    60.2
19211201 19211231     8.4
19220101 19220131    18.7
19220201 19220228     0.0
19220301 19220331     5.1
19220401 19220430    31.9
19220501 19220531    63.9
19220601 19220630    88.6
19220701 19220731    81.2
19220801 19220831    70.3
19220901 19220930    18.8
19221001 19221031     9.2
19221101 19221130     2.6
19221201 19221231    47.7
19230101 19230131     6.6
19230201 19230228     3.8
19230301 19230331     1.3
19230401 19230430     1.0
19230501 19230531    85.2
19230601 19230630   143.2
19230701 19230731    72.2
19230801 19230831    57.7
19230901 19230930    62.6
19231001 19231031    35.1
19231101 19231130     3.5
19231201 19231231    51.5
19240101 19240131     6.6
19240201 19240229    17.7
19240301 19240331    22.4
19240401 19240430    18.0
19240501 19240531    73.4
19240601 19240630    50.7
19240701 19240731    11.1
19240801 19240831    46.1
19240901 19240930    42.8
19241001 19241031    81.6
19241101 19241130     7.9
19241201 19241231    10.2
19250101 19250131     5.1
19250201 19250228     9.3
19250301 19250331     0.0
19250401 19250430    27.9
19250501 19250531   104.6
19250601 19250630    59.4
19250701 19250731    89.2
19250801 19250831    45.3
19250901 19250930    38.6
19251001 19251031    22.1
19251101 19251130    17.1
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     4.3
19260301 19260331     9.1
19260401 19260430    35.7
19260501 19260531    80.9
19260601 19260630    89.8
19260701 19260731    62.0
19260801 19260831    98.1
19260901 19260930    35.5
19261001 19261031    25.4
19261101 19261130     1.3
19261201 19261231    18.8
19270101 19270131     8.9
19270201 19270228    32.1
19270301 19270331    24.1
19270401 19270430     5.9
19270501 19270531    54.8
19270601 19270630    56.4
19270701 19270731    81.1
19270801 19270831    60.6
19270901 19270930    26.9
19271001 19271031     3.2
19271101 19271130    15.7
19271201 19271231    11.7
19280101 19280131    20.5
19280201 19280229    20.8
19280301 19280331    12.1
19280401 19280430     4.6
19280501 19280531    22.5
19280601 19280630    81.9
19280701 19280731    70.4
19280801 19280831    16.5
19280901 19280930    19.3
19281001 19281031    38.5
19281101 19281130     0.5
19281201 19281231     2.6
