PRCP       018045 18770101 20170930 missing_value=99999.9 LAKE HAMILTON                             
19720401 19720430    33.0
19720501 19720531     8.7
19720601 19720630    48.8
19720701 19720731   116.9
19720801 19720831   107.9
19720901 19720930    13.0
19721001 19721031    20.9
19721101 19721130    10.0
19721201 19721231     7.1
19730101 19730131     6.1
19730201 19730228     3.6
19730301 19730331    52.4
19730401 19730430    36.7
19730501 19730531    50.1
19730601 19730630   109.2
19730701 19730731    57.1
19730801 19730831    88.2
19730901 19730930    57.0
19731001 19731031    54.0
19731101 19731130     6.9
19731201 19731231    11.6
19740101 19740131     8.3
19740201 19740228     2.0
19740301 19740331     2.8
19740401 19740430    39.2
19740501 19740531    59.6
19740601 19740630    52.2
19740701 19740731   159.2
19740801 19740831    62.4
19740901 19740930    37.0
19741001 19741031    68.8
19741101 19741130    13.4
19741201 19741231     4.2
19750101 19750131     9.8
19750201 19750228     7.0
19750301 19750331    41.2
19750401 19750430     5.2
19750501 19750531    52.0
19750601 19750630    88.4
19750701 19750731    74.2
19750801 19750831    79.8
19750901 19750930    52.2
19751001 19751031    77.4
19751101 19751130    23.6
19751201 19751231     8.6
19760101 19760131    12.8
19760201 19760229    64.8
19760301 19760331     1.0
19760401 19760430    14.8
19760501 19760531    44.0
19760601 19760630   104.4
19760701 19760731    24.4
19760801 19760831    36.8
19760901 19760930    43.4
19761001 19761031    40.6
19761101 19761130    14.6
19761201 19761231     5.6
19770101 19770131    20.2
19770201 19770228    18.0
19770301 19770331    11.8
19770401 19770430     5.0
19770501 19770531    91.6
19770601 19770630    34.6
19770701 19770731    38.2
19770801 19770831    37.4
19770901 19770930    40.6
19771001 19771031    16.4
19771101 19771130     8.8
19771201 19771231     6.6
19780101 19780131    16.0
19780201 19780228     0.0
19780301 19780331     4.6
19780401 19780430    14.8
19780501 19780531    39.8
19780601 19780630    98.8
19780701 19780731   129.0
19780801 19780831    82.8
19780901 19780930    80.4
19781001 19781031    21.4
19781101 19781130    16.2
19781201 19781231    16.8
19790101 19790131     3.0
19790201 19790228     3.4
19790301 19790331     1.8
19790401 19790430    38.0
19790501 19790531    77.4
19790601 19790630    27.2
19790701 19790731    96.6
19790801 19790831    75.2
19790901 19790930   156.6
19791001 19791031    33.6
19791101 19791130    56.6
19791201 19791231    18.6
19800101 19800131     0.0
19800201 19800229     0.4
19800301 19800331     1.6
19800401 19800430    43.6
19800501 19800531    63.4
19800601 19800630    64.8
19800701 19800731    72.6
19800801 19800831    31.2
19800901 19800930    21.6
19801001 19801031    64.8
19801101 19801130    24.8
19801201 19801231    16.6
19810101 19810131     4.2
19810201 19810228    37.4
19810301 19810331    46.2
19810401 19810430     7.6
19810501 19810531    75.2
19810601 19810630   142.2
19810701 19810731   107.0
19810801 19810831   102.4
19810901 19810930    12.4
19811001 19811031    29.2
19811101 19811130    20.4
19811201 19811231     2.2
19820101 19820131     6.0
19820201 19820228    10.4
19820301 19820331    52.0
19820401 19820430    25.6
19820501 19820531    65.8
19820601 19820630    93.4
19820701 19820731    33.6
19820801 19820831    18.8
19820901 19820930    20.6
19821001 19821031    14.2
19821101 19821130     1.0
19821201 19821231    12.0
19830101 19830131     3.2
19830201 19830228    12.0
19830301 19830331    36.2
19830401 19830430   115.8
19830501 19830531    49.6
19830601 19830630    34.0
19830701 19830731   186.2
19830801 19830831    55.6
19830901 19830930    49.8
19831001 19831031    21.6
19831101 19831130     0.0
19831201 19831231    24.2
19840101 19840131     3.0
19840201 19840229     1.0
19840301 19840331    31.4
19840401 19840430    18.4
19840501 19840531    42.0
19840601 19840630    20.6
19840701 19840731    88.4
19840801 19840831    92.6
19840901 19840930    72.8
19841001 19841031    29.2
19841101 19841130     9.6
19841201 19841231    16.2
19850101 19850131     3.0
19850201 19850228     3.0
19850301 19850331    21.2
19850401 19850430    42.0
19850501 19850531    22.4
19850601 19850630    68.8
19850701 19850731    53.8
19850801 19850831   106.4
19850901 19850930    38.4
19851001 19851031    43.4
19851101 19851130    18.6
19851201 19851231    43.1
19860101 19860131     0.0
19860201 19860228     1.0
19860301 19860331     2.0
19860401 19860430    41.0
19860501 19860531    22.0
19860601 19860630    32.6
19860701 19860731   104.2
19860801 19860831    64.2
19860901 19860930    35.2
19861001 19861031    41.4
19861101 19861130    17.4
19861201 19861231    25.8
19870101 19870131    10.2
19870201 19870228    21.2
19870301 19870331     7.6
19870401 19870430    22.0
19870501 19870531    59.8
19870601 19870630    55.4
19870701 19870731    94.2
19870801 19870831    31.4
19870901 19870930    10.6
19871001 19871031    16.3
19871101 19871130     5.6
19871201 19871231    21.2
19880101 19880131    21.8
19880201 19880229    11.8
19880301 19880331    16.6
19880401 19880430     2.2
19880501 19880531    53.0
19880601 19880630    58.6
19880701 19880731    65.0
19880801 19880831    31.6
19880901 19880930    28.0
19881001 19881031     8.6
19881101 19881130    36.4
19881201 19881231    18.0
19890101 19890131     3.2
19890201 19890228     0.0
19890301 19890331    15.0
19890401 19890430    10.6
19890501 19890531    74.2
19890601 19890630   100.6
19890701 19890731   127.0
19890801 19890831    67.6
19890901 19890930    29.8
19891001 19891031    12.2
19891101 19891130    13.6
19891201 19891231    16.8
19900101 19900131    10.6
19900201 19900228    24.0
19900301 19900331     0.0
19900401 19900430     9.6
19900501 19900531    17.0
19900601 19900630    88.0
19900701 19900731    99.2
19900801 19900831   110.4
19900901 19900930    36.2
19901001 19901031    28.8
19901101 19901130     1.6
19901201 19901231    86.4
19910101 19910131     7.4
19910201 19910228     0.0
19910301 19910331    11.0
19910401 19910430    15.8
19910501 19910531    19.4
19910601 19910630    62.2
19910701 19910731    54.0
19910801 19910831    68.6
19910901 19910930    57.6
19911001 19911031    20.0
19911101 19911130    10.0
19911201 19911231     1.0
19920101 19920131     0.6
19920201 19920229     0.0
19920301 19920331    51.8
19920401 19920430    97.8
19920501 19920531    63.0
19920601 19920630    57.8
19920701 19920731    55.0
19920801 19920831    97.8
19920901 19920930    84.2
19921001 19921031    62.4
19921101 19921130    68.6
19921201 19921231    88.0
19930101 19930131    22.0
19930201 19930228     5.2
19930301 19930331     5.4
19930401 19930430     1.0
19930501 19930531    29.2
19930601 19930630    48.0
19930701 19930731    59.6
19930801 19930831    55.2
19930901 19930930    69.2
19931001 19931031    77.4
19931101 19931130    19.4
19931201 19931231    25.0
19940101 19940131    10.2
19940201 19940228     7.4
19940301 19940331     0.0
19940401 19940430     4.0
19940501 19940531    33.6
19940601 19940630    75.2
19940701 19940731    31.2
19940801 19940831    20.2
19940901 19940930    17.8
19941001 19941031    26.6
19941101 19941130     9.8
19941201 19941231     9.6
19950101 19950131    80.8
19950201 19950228    12.6
19950301 19950331     7.0
19950401 19950430    10.8
19950501 19950531    66.4
19950601 19950630    98.2
19950701 19950731    96.4
19950801 19950831    25.0
19950901 19950930    39.0
19951001 19951031    17.4
19951101 19951130    18.4
19951201 19951231     3.6
19960101 19960131     2.2
19960201 19960229    12.4
19960301 19960331    20.0
19960401 19960430    15.0
19960501 19960531    19.8
19960601 19960630    89.0
19960701 19960731   139.6
19960801 19960831    85.0
19960901 19960930    70.0
19961001 19961031     7.6
19961101 19961130     1.8
19961201 19961231     4.6
19970101 19970131    24.8
19970201 19970228    16.4
19970301 19970331     9.2
19970401 19970430     3.6
19970501 19970531    65.0
19970601 19970630    46.8
19970701 19970731    33.8
19970801 19970831    85.0
19970901 19970930    54.6
19971001 19971031    39.2
19971101 19971130    13.2
19971201 19971231    51.0
19980101 19980131     4.4
19980201 19980228     4.8
19980301 19980331     4.0
19980401 19980430    50.2
19980501 19980531    24.6
19980601 19980630    81.2
19980701 19980731    76.6
19980801 19980831    52.6
19980901 19980930    29.0
19981001 19981031    30.4
19981101 19981130     4.4
19981201 19981231    18.8
19990101 19990131     3.2
19990201 19990228     6.0
19990301 19990331     4.6
19990401 19990430     3.4
19990501 19990531    48.0
19990601 19990630    50.6
19990701 19990731    27.2
19990801 19990831    33.0
19990901 19990930    50.2
19991001 19991031    43.0
19991101 19991130    12.6
19991201 19991231    18.2
20000101 20000131     0.0
20000201 20000229    40.4
20000301 20000331    12.8
20000401 20000430    45.0
20000501 20000531    57.2
20000601 20000630    75.0
20000701 20000731   107.4
20000801 20000831    82.4
20000901 20000930    40.4
20001001 20001031    53.2
20001101 20001130     3.4
20001201 20001231     0.6
20010101 20010131     4.4
20010201 20010228    34.4
20010301 20010331    37.8
20010401 20010430     4.4
20010501 20010531    66.0
20010601 20010630    46.0
20010701 20010731    56.8
20010801 20010831    69.2
20010901 20010930    86.8
20011001 20011031    61.8
20011101 20011130    33.8
20011201 20011231    28.2
20020101 20020131    14.0
20020201 20020228     1.0
20020301 20020331     4.8
20020401 20020430     8.6
20020501 20020531    41.8
20020601 20020630    71.6
20020701 20020731    57.6
20020801 20020831    28.4
20020901 20020930    28.8
20021001 20021031    22.4
20021101 20021130    32.0
20021201 20021231    11.6
20030101 20030131    21.4
20030201 20030228    65.6
20030301 20030331     3.2
20030401 20030430     9.2
20030501 20030531    31.8
20030601 20030630   112.8
20030701 20030731    48.4
20030801 20030831   112.0
20030901 20030930    26.6
20031001 20031031    53.4
20031101 20031130    18.4
20031201 20031231    10.0
20040101 20040131     6.6
20040201 20040229     7.4
20040301 20040331    11.0
20040401 20040430    32.4
20040501 20040531    44.5
20040601 20040630    62.2
20040701 20040731   103.8
20040801 20040831    82.0
20040901 20040930    29.4
20041001 20041031     1.2
20041101 20041130    35.2
20041201 20041231    13.6
20050101 20050131     9.6
20050201 20050228     5.2
20050301 20050331     2.0
20050401 20050430     2.6
20050501 20050531    10.0
20050601 20050630   111.0
20050701 20050731    44.6
20050801 20050831    45.2
20050901 20050930    67.8
20051001 20051031    95.8
20051101 20051130    23.8
20051201 20051231    25.4
20060101 20060131    30.2
20060201 20060228    51.2
20060301 20060331    47.2
20060401 20060430    27.4
20060501 20060531    36.0
20060601 20060630    46.4
20060701 20060731    50.2
20060801 20060831    14.6
20060901 20060930    10.0
20061001 20061031     1.0
20061101 20061130    13.6
20061201 20061231    16.2
20070101 20070131    28.4
20070201 20070228     0.0
20070301 20070331    24.2
20070401 20070430    37.6
20070501 20070531    54.0
20070601 20070630    46.2
20070701 20070731    53.4
20070801 20070831    24.0
20070901 20070930    13.4
20071001 20071031    32.0
20071101 20071130    19.8
20071201 20071231    55.0
20080101 20080131     3.6
20080201 20080229     2.6
20080301 20080331     9.4
20080401 20080430    25.6
20080501 20080531    39.6
20080601 20080630    28.8
20080701 20080731    96.2
20080801 20080831    68.8
20080901 20080930    12.8
20081001 20081031     4.4
20081101 20081130    44.6
20081201 20081231    54.4
20090101 20090131     0.0
20090201 20090228     0.0
20090301 20090331    31.4
20090401 20090430    42.0
20090501 20090531    23.2
20090601 20090630   145.6
20090701 20090731   106.2
20090801 20090831    40.2
20090901 20090930    79.8
20091001 20091031    13.2
20091101 20091130    21.4
20091201 20091231     4.4
20100101 20100131    58.4
20100201 20100228    15.4
20100301 20100331    40.0
20100401 20100430    14.8
20100501 20100531    33.4
20100601 20100630    85.4
20100701 20100731    51.4
20100801 20100831    83.4
20100901 20100930   119.8
20101001 20101031    59.0
20101101 20101130    45.6
20101201 20101231    45.4
20110101 20110131     7.0
20110201 20110228    18.2
20110301 20110331    48.6
20110401 20110430    25.4
20110501 20110531    60.4
20110601 20110630    28.4
20110701 20110731    99.8
20110801 20110831    44.8
20110901 20110930    36.2
20111001 20111031    40.6
20111101 20111130    14.8
20111201 20111231    26.2
20120101 20120131    11.6
20120201 20120229     9.4
20120301 20120331    11.2
20120401 20120430    32.8
20120501 20120531    67.0
20120601 20120630   107.4
20120701 20120731    57.8
20120801 20120831    47.2
20120901 20120930    27.8
20121001 20121031    11.8
20121101 20121130     6.2
20121201 20121231     4.4
20130101 20130131     8.8
20130201 20130228    10.4
20130301 20130331    37.2
20130401 20130430    53.0
20130501 20130531    24.8
20130601 20130630    72.0
20130701 20130731   138.8
20130801 20130831    70.0
20130901 20130930    40.0
20131001 20131031    15.6
20131101 20131130    18.0
20131201 20131231    12.6
20140101 20140131     4.4
20140201 20140228    10.2
20140301 20140331    12.0
20140401 20140430    30.0
20140501 20140531    63.8
20140601 20140630    87.8
20140701 20140731    77.6
20140801 20140831    21.4
20140901 20140930     5.8
20141001 20141031     2.6
20141101 20141130     9.4
20141201 20141231     8.8
20150101 20150131     8.0
20150201 20150228     0.0
20150301 20150331     1.6
20150401 20150430    50.4
20150501 20150531    19.8
20150601 20150630    22.4
20150701 20150731    63.4
20150801 20150831   101.2
20150901 20150930    37.4
20151001 20151031     0.0
20151101 20151130    41.6
20151201 20151231     6.0
20160101 20160131     0.6
20160201 20160229    72.2
20160301 20160331    23.8
20160401 20160430    31.4
20160501 20160531    87.0
20160601 20160630    82.2
20160701 20160731    67.0
20160801 20160831    48.6
20160901 20160930    86.4
20161001 20161031    29.8
20161101 20161130     2.4
20161201 20161231    31.8
20170101 20170131    65.5
20170201 20170228    10.6
20170301 20170331     5.3
20170401 20170430    10.2
20170501 20170531    25.4
20170601 20170630 99999.9
20170701 20170731 99999.9
20170801 20170831    84.4
20170901 20170930   221.2
