PRCP       018045 18770101 20170930 missing_value=99999.9 LAKE HAMILTON                             
18981201 18981231     1.5
18990101 18990131    17.7
18990201 18990228    22.1
18990301 18990331     2.8
18990401 18990430    33.1
18990501 18990531    48.8
18990601 18990630    84.2
18990701 18990731    31.0
18990801 18990831    31.1
18990901 18990930    38.5
18991001 18991031    10.4
18991101 18991130    15.3
18991201 18991231    11.7
19000101 19000131     1.8
19000201 19000228     0.0
19000301 19000331    44.9
19000401 19000430    58.9
19000501 19000531    60.2
19000601 19000630   130.0
19000701 19000731    48.8
19000801 19000831    68.1
19000901 19000930    49.5
19001001 19001031     2.0
19001101 19001130    12.5
19001201 19001231     0.5
19010101 19010131     1.0
19010201 19010228    67.0
19010301 19010331     6.3
19010401 19010430    28.4
19010501 19010531    28.9
19010601 19010630    84.1
19010701 19010731    70.4
19010801 19010831    70.5
19010901 19010930    46.5
19011001 19011031    41.7
19011101 19011130    42.4
19011201 19011231     8.9
19020101 19020131    19.0
19020201 19020228    14.2
19020301 19020331    30.5
19020401 19020430     2.8
19020501 19020531    17.8
19020601 19020630    78.8
19020701 19020731    33.6
19020801 19020831    20.9
19020901 19020930    35.3
19021001 19021031    47.3
19021101 19021130    16.0
19021201 19021231    26.7
19030101 19030131    13.0
19030201 19030228    19.3
19030301 19030331    16.3
19030401 19030430    36.0
19030501 19030531    64.7
19030601 19030630   111.7
19030701 19030731    76.2
19030801 19030831    64.2
19030901 19030930    27.8
19031001 19031031    25.5
19031101 19031130    19.4
19031201 19031231     8.1
19040101 19040131    23.4
19040201 19040229    14.7
19040301 19040331    21.9
19040401 19040430    66.0
19040501 19040531    25.3
19040601 19040630   127.8
19040701 19040731    65.9
19040801 19040831    61.0
19040901 19040930    14.6
19041001 19041031    27.6
19041101 19041130     4.2
19041201 19041231     1.3
19050101 19050131    17.2
19050201 19050228     4.9
19050301 19050331    17.2
19050401 19050430    58.6
19050501 19050531    61.2
19050601 19050630    69.6
19050701 19050731    65.3
19050801 19050831    37.7
19050901 19050930    54.2
19051001 19051031    42.9
19051101 19051130     3.8
19051201 19051231     0.0
19060101 19060131     1.5
19060201 19060228     4.3
19060301 19060331     9.4
19060401 19060430    10.9
19060501 19060531    26.7
19060601 19060630    80.3
19060701 19060731   118.3
19060801 19060831    44.9
19060901 19060930    34.1
19061001 19061031     6.1
19061101 19061130   118.1
19061201 19061231     4.9
19070101 19070131     1.8
19070201 19070228     1.0
19070301 19070331     6.6
19070401 19070430    49.0
19070501 19070531    23.0
19070601 19070630    62.6
19070701 19070731    55.8
19070801 19070831    68.8
19070901 19070930    20.0
19071001 19071031    20.6
19071101 19071130    33.1
19071201 19071231    11.3
19080101 19080131     2.5
19080201 19080229     0.5
19080301 19080331    21.0
19080401 19080430    18.3
19080501 19080531    58.7
19080601 19080630   179.4
19080701 19080731    38.7
19080801 19080831    42.5
19080901 19080930    49.7
19081001 19081031    29.7
19081101 19081130     6.6
19081201 19081231    16.9
19090101 19090131     7.9
19090201 19090228    12.3
19090301 19090331    18.1
19090401 19090430    60.4
19090501 19090531    48.7
19090601 19090630    58.2
19090701 19090731   106.6
19090801 19090831   152.1
19090901 19090930    11.5
19091001 19091031    27.2
19091101 19091130    26.2
19091201 19091231     5.9
19100101 19100131     0.0
19100201 19100228     1.5
19100301 19100331     7.7
19100401 19100430     2.6
19100501 19100531    98.1
19100601 19100630   112.2
19100701 19100731   179.9
19100801 19100831    30.2
19100901 19100930    67.9
19101001 19101031    45.2
19101101 19101130    38.4
19101201 19101231    10.4
19110101 19110131     0.0
19110201 19110228    32.8
19110301 19110331     0.0
19110401 19110430     5.6
19110501 19110531    39.6
19110601 19110630    56.9
19110701 19110731    95.3
19110801 19110831    36.3
19110901 19110930    49.0
19111001 19111031    21.4
19111101 19111130     4.3
19111201 19111231    52.4
