PRCP       044042 18990801 20171231 missing_value=99999.9 HEBEL POST OFFICE                         
19210701 19210731   129.3
19210801 19210831     7.4
19210901 19210930    54.1
19211001 19211031    18.5
19211101 19211130    89.4
19211201 19211231    51.6
19220101 19220131    20.3
19220201 19220228    30.0
19220301 19220331     0.0
19220401 19220430     4.8
19220501 19220531     3.8
19220601 19220630    14.9
19220701 19220731    14.5
19220801 19220831     0.0
19220901 19220930    20.3
19221001 19221031    47.8
19221101 19221130     2.3
19221201 19221231    60.9
19230101 19230131     0.0
19230201 19230228    12.2
19230301 19230331     8.4
19230401 19230430     4.6
19230501 19230531     3.8
19230601 19230630    43.5
19230701 19230731    14.4
19230801 19230831     0.0
19230901 19230930     7.8
19231001 19231031    15.2
19231101 19231130    13.7
19231201 19231231    75.9
19240101 19240131    16.8
19240201 19240229    68.2
19240301 19240331     9.7
19240401 19240430     9.9
19240501 19240531     0.0
19240601 19240630    18.2
19240701 19240731    42.5
19240801 19240831    12.9
19240901 19240930    35.3
19241001 19241031    38.6
19241101 19241130   166.9
19241201 19241231    22.4
19250101 19250131    67.5
19250201 19250228    26.2
19250301 19250331    16.0
19250401 19250430     0.0
19250501 19250531    17.3
19250601 19250630    41.3
19250701 19250731    15.3
19250801 19250831    23.6
19250901 19250930     0.0
19251001 19251031     2.5
19251101 19251130   104.4
19251201 19251231   105.2
19260101 19260131    98.6
19260201 19260228     0.0
19260301 19260331    55.9
19260401 19260430    43.5
19260501 19260531   133.1
19260601 19260630    26.2
19260701 19260731    12.4
19260801 19260831     0.0
19260901 19260930    25.6
19261001 19261031     0.0
19261101 19261130     0.0
19261201 19261231    55.1
19270101 19270131    97.1
19270201 19270228     0.0
19270301 19270331    59.6
19270401 19270430    35.5
19270501 19270531    20.6
19270601 19270630     9.1
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     8.2
19271001 19271031    15.2
19271101 19271130    36.0
19271201 19271231   204.0
19280101 19280131     9.1
19280201 19280229    42.9
19280301 19280331    48.5
19280401 19280430    38.4
19280501 19280531     4.6
19280601 19280630    24.4
19280701 19280731    20.5
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     1.0
19281101 19281130    18.5
19281201 19281231     1.0
19290101 19290131    19.1
19290201 19290228    35.1
19290301 19290331     8.3
19290401 19290430    56.2
19290501 19290531     0.0
19290601 19290630    36.1
19290701 19290731     0.0
19290801 19290831     2.3
19290901 19290930     8.9
19291001 19291031     2.0
19291101 19291130    67.5
19291201 19291231    25.4
19300101 19300131    44.0
19300201 19300228     0.0
19300301 19300331    10.7
19300401 19300430    15.9
19300501 19300531    18.0
19300601 19300630    73.8
19300701 19300731    62.5
19300801 19300831    55.8
19300901 19300930    14.0
19301001 19301031     8.1
19301101 19301130     6.6
19301201 19301231    50.7
19310101 19310131    26.4
19310201 19310228     0.0
19310301 19310331    79.8
19310401 19310430    41.2
19310501 19310531    81.8
19310601 19310630    55.6
19310701 19310731    23.9
19310801 19310831     0.0
19310901 19310930     6.4
19311001 19311031     2.5
19311101 19311130    59.6
19311201 19311231   131.1
19320101 19320131     0.0
19320201 19320229    14.5
19320301 19320331    33.0
19320401 19320430    34.5
19320501 19320531    36.8
19320601 19320630    17.5
19320701 19320731     5.8
19320801 19320831     2.0
19320901 19320930    32.8
19321001 19321031     1.3
19321101 19321130    55.1
19321201 19321231    31.7
19330101 19330131    15.0
19330201 19330228    41.4
19330301 19330331     3.3
19330401 19330430    12.0
19330501 19330531    19.3
19330601 19330630    10.6
19330701 19330731    69.6
19330801 19330831     7.1
19330901 19330930    62.0
19331001 19331031    82.8
19331101 19331130    68.6
19331201 19331231    38.9
19340101 19340131    25.9
19340201 19340228    81.8
19340301 19340331     0.0
19340401 19340430     5.3
19340501 19340531     0.0
19340601 19340630    21.3
19340701 19340731    35.8
19340801 19340831    12.2
19340901 19340930     7.8
19341001 19341031   153.8
19341101 19341130   119.8
19341201 19341231    21.0
19350101 19350131     1.8
19350201 19350228     0.0
19350301 19350331     2.5
19350401 19350430     2.3
19350501 19350531     0.0
19350601 19350630    37.9
19350701 19350731    12.7
19350801 19350831    27.4
19350901 19350930    32.6
19351001 19351031    19.5
19351101 19351130     5.1
19351201 19351231    15.5
19360101 19360131    93.2
19360201 19360229    33.5
19360301 19360331    49.6
19360401 19360430     0.0
19360501 19360531    23.1
19360601 19360630    22.9
19360701 19360731    55.5
19360801 19360831    17.2
19360901 19360930    10.2
19361001 19361031     4.3
19361101 19361130     0.0
19361201 19361231    69.2
19370101 19370131    33.3
19370201 19370228    67.0
19370301 19370331    98.9
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    17.4
19370701 19370731    13.5
19370801 19370831     3.8
19370901 19370930    23.8
19371001 19371031     3.8
19371101 19371130    30.0
19371201 19371231     6.4
19380101 19380131    31.7
19380201 19380228    18.1
19380301 19380331     8.6
19380401 19380430     7.9
19380501 19380531    80.3
19380601 19380630    37.1
19380701 19380731    15.0
19380801 19380831    67.1
19380901 19380930    14.2
19381001 19381031    19.3
19381101 19381130    23.4
19381201 19381231     3.6
19390101 19390131    77.7
19390201 19390228    21.3
19390301 19390331    72.4
19390401 19390430    27.1
19390501 19390531     8.6
19390601 19390630    19.4
19390701 19390731    24.2
19390801 19390831    81.4
19390901 19390930     8.1
19391001 19391031    22.9
19391101 19391130     8.4
19391201 19391231     4.3
19400101 19400131    27.8
19400201 19400229    29.0
19400301 19400331    52.4
19400401 19400430    42.2
19400501 19400531     3.3
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     5.3
19400901 19400930    43.7
19401001 19401031    10.4
19401101 19401130    19.9
19401201 19401231    45.2
19410101 19410131   168.9
19410201 19410228     7.9
19410301 19410331    77.8
19410401 19410430     0.0
19410501 19410531     9.6
19410601 19410630    21.6
19410701 19410731     4.6
19410801 19410831     1.5
19410901 19410930     0.0
19411001 19411031    14.5
19411101 19411130    12.8
19411201 19411231    48.3
19420101 19420131     0.5
19420201 19420228    98.0
19420301 19420331    19.6
19420401 19420430    21.6
19420501 19420531    41.7
19420601 19420630    35.4
19420701 19420731    52.5
19420801 19420831     5.3
19420901 19420930    11.6
19421001 19421031    28.4
19421101 19421130    53.1
19421201 19421231   139.5
19430101 19430131   155.9
19430201 19430228     6.8
19430301 19430331     0.0
19430401 19430430    22.8
19430501 19430531    10.4
19430601 19430630    36.9
19430701 19430731     7.6
19430801 19430831    26.9
19430901 19430930    19.8
19431001 19431031    10.7
19431101 19431130     8.1
19431201 19431231     1.8
19440101 19440131     7.9
19440201 19440229    23.7
19440301 19440331     9.4
19440401 19440430     2.5
19440501 19440531    20.1
19440601 19440630    37.1
19440701 19440731    19.8
19440801 19440831    32.6
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130    11.2
19441201 19441231     2.3
19450101 19450131     9.1
19450201 19450228    51.1
19450301 19450331    25.9
19450401 19450430    12.9
19450501 19450531    39.2
19450601 19450630    18.8
19450701 19450731    33.8
19450801 19450831    17.0
19450901 19450930     0.0
19451001 19451031     9.9
19451101 19451130     6.3
19451201 19451231    21.9
19460101 19460131    47.5
19460201 19460228    39.8
19460301 19460331    24.4
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930    47.8
19461001 19461031     7.1
19461101 19461130    18.5
19461201 19461231     5.1
19470101 19470131     1.0
19470201 19470228   151.2
19470301 19470331    64.8
19470401 19470430     0.0
19470501 19470531    18.0
19470601 19470630     6.6
19470701 19470731    15.2
19470801 19470831    49.3
19470901 19470930    22.7
19471001 19471031    10.7
19471101 19471130    40.1
19471201 19471231    27.7
19480101 19480131    34.3
19480201 19480229    91.2
19480301 19480331    66.8
19480401 19480430    10.4
19480501 19480531    28.7
19480601 19480630    96.5
19480701 19480731    16.0
19480801 19480831     7.9
19480901 19480930    15.5
19481001 19481031     0.8
19481101 19481130     1.5
19481201 19481231    46.2
19490101 19490131    19.8
19490201 19490228    65.5
19490301 19490331   101.8
19490401 19490430    34.3
19490501 19490531    27.7
19490601 19490630    47.3
19490701 19490731     5.1
19490801 19490831     0.0
19490901 19490930    57.3
19491001 19491031    65.8
19491101 19491130    26.1
19491201 19491231     0.0
19500101 19500131   115.8
19500201 19500228   171.5
19500301 19500331    48.1
19500401 19500430   147.4
19500501 19500531    23.4
19500601 19500630    61.8
19500701 19500731   107.9
19500801 19500831     2.3
19500901 19500930    25.9
19501001 19501031   181.6
19501101 19501130   149.2
19501201 19501231     0.0
19510101 19510131    39.1
19510201 19510228    32.5
19510301 19510331     4.3
19510401 19510430     0.8
19510501 19510531    21.1
19510601 19510630    54.0
19510701 19510731     0.0
19510801 19510831    13.5
19510901 19510930    27.4
19511001 19511031     7.6
19511101 19511130     6.9
19511201 19511231     3.8
19520101 19520131    14.3
19520201 19520229    29.6
19520301 19520331    57.8
19520401 19520430    39.4
19520501 19520531    23.6
19520601 19520630    18.3
19520701 19520731    29.9
19520801 19520831    34.2
19520901 19520930     2.5
19521001 19521031    72.3
19521101 19521130     9.9
19521201 19521231    10.9
19530101 19530131    21.1
19530201 19530228    83.8
19530301 19530331     7.9
19530401 19530430    48.0
19530501 19530531    88.1
19530601 19530630     0.0
19530701 19530731     6.4
19530801 19530831    19.0
19530901 19530930     3.6
19531001 19531031    31.0
19531101 19531130    36.6
19531201 19531231     4.1
19540101 19540131    86.6
19540201 19540228   130.5
19540301 19540331     0.0
19540401 19540430     0.0
19540501 19540531     0.0
19540601 19540630    24.3
19540701 19540731    53.7
19540801 19540831    15.5
19540901 19540930     9.4
19541001 19541031    79.8
19541101 19541130     6.8
19541201 19541231    70.5
19550101 19550131    64.5
19550201 19550228   173.4
19550301 19550331     8.9
19550401 19550430    98.2
19550501 19550531    43.7
19550601 19550630    25.9
19550701 19550731    25.9
19550801 19550831    56.7
19550901 19550930    11.0
19551001 19551031   107.3
19551101 19551130    47.5
19551201 19551231     0.0
19560101 19560131    58.9
19560201 19560229   165.7
19560301 19560331   213.4
19560401 19560430    10.2
19560501 19560531    54.1
19560601 19560630    56.6
19560701 19560731    44.9
19560801 19560831     0.0
19560901 19560930    36.4
19561001 19561031    35.4
19561101 19561130    29.0
19561201 19561231    29.7
19570101 19570131     0.0
19570201 19570228    70.0
19570301 19570331    45.8
19570401 19570430    31.8
19570501 19570531     3.0
19570601 19570630    47.4
19570701 19570731     6.4
19570801 19570831     1.6
19570901 19570930     0.0
19571001 19571031    24.9
19571101 19571130     2.3
19571201 19571231    61.9
19580101 19580131    84.4
19580201 19580228    36.0
19580301 19580331    14.5
19580401 19580430    18.8
19580501 19580531    21.9
19580601 19580630    44.4
19580701 19580731     0.0
19580801 19580831    15.8
19580901 19580930    23.1
19581001 19581031    74.4
19581101 19581130    14.5
19581201 19581231    35.8
19590101 19590131   125.5
19590201 19590228   196.2
19590301 19590331    88.8
19590401 19590430   152.4
19590501 19590531    24.6
19590601 19590630    17.8
19590701 19590731    43.8
19590801 19590831     0.0
19590901 19590930    17.0
19591001 19591031    27.2
19591101 19591130     0.0
19591201 19591231    13.5
19600101 19600131    20.8
19600201 19600229    10.2
19600301 19600331    24.6
19600401 19600430     2.8
19600501 19600531    11.7
19600601 19600630    15.3
19600701 19600731    17.0
19600801 19600831    23.4
19600901 19600930    12.7
19601001 19601031     3.8
19601101 19601130    46.5
19601201 19601231    79.2
19610101 19610131    27.6
19610201 19610228    29.4
19610301 19610331    18.3
19610401 19610430    57.1
19610501 19610531    40.4
19610601 19610630    33.8
19610701 19610731    33.1
19610801 19610831     9.7
19610901 19610930     0.0
19611001 19611031    23.9
19611101 19611130    59.0
19611201 19611231    76.7
19620101 19620131   137.0
19620201 19620228    11.9
19620301 19620331   129.1
19620401 19620430    11.1
19620501 19620531     7.9
19620601 19620630    12.2
19620701 19620731    31.8
19620801 19620831    40.9
19620901 19620930    36.5
19621001 19621031    17.5
19621101 19621130     6.9
19621201 19621231    73.7
19630101 19630131   133.4
19630201 19630228    22.7
19630301 19630331   116.9
19630401 19630430    14.7
19630501 19630531    62.8
19630601 19630630    21.1
19630701 19630731     0.0
19630801 19630831    32.7
19630901 19630930    21.8
19631001 19631031    30.5
19631101 19631130    41.1
19631201 19631231    40.1
19640101 19640131   143.4
19640201 19640229    12.0
19640301 19640331    16.0
19640401 19640430     8.9
19640501 19640531    48.8
19640601 19640630     9.1
19640701 19640731    11.7
19640801 19640831    12.7
19640901 19640930    67.6
19641001 19641031    28.7
19641101 19641130    41.3
19641201 19641231    11.2
19650101 19650131     0.8
19650201 19650228    41.9
19650301 19650331     3.6
19650401 19650430     6.4
19650501 19650531     0.0
19650601 19650630     5.4
19650701 19650731    11.7
19650801 19650831    20.4
19650901 19650930     6.1
19651001 19651031    39.6
19651101 19651130     6.1
19651201 19651231   152.9
19660101 19660131    42.6
19660201 19660228     4.3
19660301 19660331    23.4
19660401 19660430     0.0
19660501 19660531    15.6
19660601 19660630    24.7
19660701 19660731    16.4
19660801 19660831   105.5
19660901 19660930     5.3
19661001 19661031    20.1
19661101 19661130    44.5
19661201 19661231    55.4
19670101 19670131    47.8
19670201 19670228     9.5
19670301 19670331   102.9
19670401 19670430     0.0
19670501 19670531    20.6
19670601 19670630    41.7
19670701 19670731     2.8
19670801 19670831    15.5
19670901 19670930     0.0
19671001 19671031     2.8
19671101 19671130     0.0
19671201 19671231    30.3
19680101 19680131   114.1
19680201 19680229    67.6
19680301 19680331    19.5
19680401 19680430    34.3
19680501 19680531    71.2
19680601 19680630     2.3
19680701 19680731    14.1
19680801 19680831    23.4
19680901 19680930     8.1
19681001 19681031     7.9
19681101 19681130    16.8
19681201 19681231    60.7
19690101 19690131    33.3
19690201 19690228    14.4
19690301 19690331    52.6
19690401 19690430     0.5
19690501 19690531    35.1
19690601 19690630     6.4
19690701 19690731    21.4
19690801 19690831    32.2
19690901 19690930    46.4
19691001 19691031    97.2
19691101 19691130    47.6
19691201 19691231    36.1
19700101 19700131    92.4
19700201 19700228     6.9
19700301 19700331     7.6
19700401 19700430    37.6
19700501 19700531     8.7
19700601 19700630     6.1
19700701 19700731     0.0
19700801 19700831    14.7
19700901 19700930    49.8
19701001 19701031    19.5
19701101 19701130    72.6
19701201 19701231    87.5
19710101 19710131    79.4
19710201 19710228    63.7
19710301 19710331    47.3
19710401 19710430    22.4
19710501 19710531    31.0
19710601 19710630     0.0
19710701 19710731    57.4
19710801 19710831    43.3
19710901 19710930    37.6
19711001 19711031     7.4
19711101 19711130     5.4
19711201 19711231    35.6
19720101 19720131    23.7
19720201 19720229    29.1
19720301 19720331    28.5
19720401 19720430     7.4
19720501 19720531     5.9
19720601 19720630    14.2
19720701 19720731     0.8
19720801 19720831    23.3
19720901 19720930    19.1
19721001 19721031    17.8
19721101 19721130    61.4
19721201 19721231     7.7
19730101 19730131    43.2
19730201 19730228    39.8
19730301 19730331    10.2
19730401 19730430    72.6
19730501 19730531     6.9
19730601 19730630    10.8
19730701 19730731    56.8
19730801 19730831    25.0
19730901 19730930    36.1
19731001 19731031    70.3
19731101 19731130    82.5
19731201 19731231   132.7
19740101 19740131   432.0
19740201 19740228    17.0
19740301 19740331    20.0
19740401 19740430   125.0
19740501 19740531    12.0
19740601 19740630     2.0
19740701 19740731     1.0
19740801 19740831    38.6
19740901 19740930     9.6
19741001 19741031    24.2
19741101 19741130    16.0
19741201 19741231     4.4
19750101 19750131    27.4
19750201 19750228    74.4
19750301 19750331    71.0
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    44.2
19750701 19750731    19.8
19750801 19750831    25.0
19750901 19750930    20.6
19751001 19751031    49.0
19751101 19751130     1.4
19751201 19751231    57.8
19760101 19760131   218.4
19760201 19760229   292.8
19760301 19760331    65.4
19760401 19760430     0.0
19760501 19760531    17.6
19760601 19760630     6.2
19760701 19760731    34.2
19760801 19760831     0.0
19760901 19760930    20.4
19761001 19761031    79.6
19761101 19761130    13.0
19761201 19761231    27.8
19770101 19770131    99.6
19770201 19770228   108.0
19770301 19770331    46.2
19770401 19770430    62.2
19770501 19770531    60.4
19770601 19770630     7.0
19770701 19770731     0.0
19770801 19770831     2.0
19770901 19770930     5.2
19771001 19771031    22.0
19771101 19771130     6.0
19771201 19771231    13.4
19780101 19780131    79.2
19780201 19780228    23.6
19780301 19780331    21.8
19780401 19780430     3.0
19780501 19780531    81.8
19780601 19780630    67.2
19780701 19780731    32.8
19780801 19780831    16.4
19780901 19780930    56.2
19781001 19781031    19.6
19781101 19781130    96.0
19781201 19781231    67.0
19790101 19790131    13.8
19790201 19790228    20.2
19790301 19790331    38.2
19790401 19790430    15.4
19790501 19790531    32.0
19790601 19790630    20.2
19790701 19790731     4.0
19790801 19790831    17.6
19790901 19790930    45.0
19791001 19791031    53.4
19791101 19791130     5.2
19791201 19791231     3.8
19800101 19800131     8.0
19800201 19800229     9.4
19800301 19800331    27.0
19800401 19800430     7.4
19800501 19800531    42.6
19800601 19800630     9.6
19800701 19800731    15.4
19800801 19800831    19.6
19800901 19800930     0.0
19801001 19801031     9.0
19801101 19801130     0.0
19801201 19801231   100.0
19810101 19810131     2.4
19810201 19810228    20.6
19810301 19810331    20.0
19810401 19810430     8.7
19810501 19810531    61.2
19810601 19810630    54.2
19810701 19810731   112.8
19810801 19810831     1.8
19810901 19810930    11.6
19811001 19811031    39.8
19811101 19811130    63.0
19811201 19811231    22.8
19820101 19820131    66.4
19820201 19820228    15.6
19820301 19820331    70.4
19820401 19820430     0.0
19820501 19820531    17.0
19820601 19820630     1.0
19820701 19820731     5.0
19820801 19820831     0.6
19820901 19820930     5.8
19821001 19821031    30.6
19821101 19821130     0.0
19821201 19821231    18.6
19830101 19830131    94.4
19830201 19830228    29.0
19830301 19830331    93.0
19830401 19830430    53.8
19830501 19830531   137.4
19830601 19830630    53.2
19830701 19830731    14.6
19830801 19830831    30.6
19830901 19830930    25.8
19831001 19831031    59.2
19831101 19831130   139.4
19831201 19831231    18.4
19840101 19840131   149.6
19840201 19840229    85.4
19840301 19840331    10.4
19840401 19840430    34.6
19840501 19840531    27.2
19840601 19840630    56.4
19840701 19840731   107.2
19840801 19840831    15.4
19840901 19840930    15.6
19841001 19841031    18.6
19841101 19841130    15.0
19841201 19841231    23.2
19850101 19850131     2.0
19850201 19850228    31.2
19850301 19850331     0.0
19850401 19850430     9.8
19850501 19850531     0.4
19850601 19850630     7.6
19850701 19850731    26.2
19850801 19850831    52.4
19850901 19850930     2.0
19851001 19851031    54.6
19851101 19851130    79.6
19851201 19851231    56.0
19860101 19860131     0.6
19860201 19860228     4.6
19860301 19860331     0.0
19860401 19860430     5.2
19860501 19860531    22.4
19860601 19860630     1.6
19860701 19860731    83.6
19860801 19860831    28.0
19860901 19860930    79.2
19861001 19861031    20.0
19861101 19861130    48.2
19861201 19861231    11.0
19870101 19870131    25.2
19870201 19870228    24.4
19870301 19870331    11.8
19870401 19870430     0.0
19870501 19870531    80.0
19870601 19870630    54.4
19870701 19870731     9.1
19870801 19870831    30.4
19870901 19870930     0.0
19871001 19871031    50.6
19871101 19871130    30.4
19871201 19871231    24.6
19880101 19880131    15.2
19880201 19880229    21.4
19880301 19880331    11.0
19880401 19880430   155.4
19880501 19880531    41.6
19880601 19880630    17.2
19880701 19880731    63.2
19880801 19880831    34.3
19880901 19880930    37.6
19881001 19881031     4.0
19881101 19881130    23.6
19881201 19881231    17.0
19890101 19890131     0.8
19890201 19890228     9.2
19890301 19890331    62.2
19890401 19890430    45.6
19890501 19890531    89.6
19890601 19890630    28.0
19890701 19890731    38.6
19890801 19890831     3.8
19890901 19890930     0.0
19891001 19891031    17.1
19891101 19891130     9.0
19891201 19891231    21.2
19900101 19900131     9.0
19900201 19900228     4.4
19900301 19900331    11.8
19900401 19900430   244.1
19900501 19900531    42.6
19900601 19900630    11.4
19900701 19900731    44.6
19900801 19900831     9.6
19900901 19900930    16.5
19901001 19901031    12.6
19901101 19901130     0.0
19901201 19901231    27.6
19910101 19910131   113.7
19910201 19910228    76.0
19910301 19910331     0.0
19910401 19910430     0.0
19910501 19910531    28.8
19910601 19910630     6.6
19910701 19910731    11.0
19910801 19910831     0.0
19910901 19910930     0.3
19911001 19911031     5.3
19911101 19911130     9.2
19911201 19911231    64.4
19920101 19920131    38.0
19920201 19920229    31.0
19920301 19920331     0.0
19920401 19920430    44.8
19920501 19920531     4.9
19920601 19920630     0.0
19920701 19920731    17.0
19920801 19920831    40.3
19920901 19920930     3.3
19921001 19921031    27.3
19921101 19921130    70.0
19921201 19921231    97.6
19930101 19930131    17.4
19930201 19930228    40.0
19930301 19930331    23.6
19930401 19930430     0.0
19930501 19930531     7.4
19930601 19930630     9.8
19930701 19930731    63.2
19930801 19930831    38.0
19930901 19930930    79.2
19931001 19931031    71.6
19931101 19931130    89.4
19931201 19931231    54.0
19940101 19940131    41.6
19940201 19940228    66.7
19940301 19940331    78.4
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     1.8
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     5.0
19941001 19941031    22.6
19941101 19941130    61.2
19941201 19941231     9.4
19950101 19950131   135.8
19950201 19950228    15.0
19950301 19950331     0.0
19950401 19950430    10.0
19950501 19950531    74.6
19950601 19950630    36.6
19950701 19950731     0.0
19950801 19950831     0.0
19950901 19950930    36.8
19951001 19951031    23.2
19951101 19951130    94.8
19951201 19951231    48.2
19960101 19960131   101.1
19960201 19960229    14.8
