PRCP       040152 19090601 20131231 missing_value=99999.9 MURGON POST OFFICE                        
19310501 19310531    79.3
19310601 19310630     8.9
19310701 19310731    23.1
19310801 19310831    19.8
19310901 19310930    65.2
19311001 19311031    15.2
19311101 19311130   140.7
19311201 19311231    98.8
19320101 19320131    21.9
19320201 19320229    18.2
19320301 19320331    35.1
19320401 19320430   244.9
19320501 19320531    15.4
19320601 19320630     5.1
19320701 19320731    16.0
19320801 19320831    10.4
19320901 19320930    35.9
19321001 19321031    84.1
19321101 19321130    82.5
19321201 19321231    55.8
19330101 19330131   252.2
19330201 19330228    65.1
19330301 19330331     0.8
19330401 19330430    59.1
19330501 19330531     9.2
19330601 19330630    19.1
19330701 19330731    61.1
19330801 19330831    42.4
19330901 19330930    99.3
19331001 19331031    94.1
19331101 19331130   168.3
19331201 19331231   122.4
19340101 19340131    61.9
19340201 19340228   185.9
19340301 19340331     7.9
19340401 19340430   179.1
19340501 19340531    44.5
19340601 19340630    54.7
19340701 19340731    78.2
19340801 19340831    11.7
19340901 19340930    25.7
19341001 19341031    57.0
19341101 19341130   209.2
19341201 19341231   184.6
19350101 19350131    74.6
19350201 19350228   137.9
19350301 19350331     8.9
19350401 19350430    43.1
19350501 19350531    38.0
19350601 19350630     0.0
19350701 19350731    31.3
19350801 19350831    27.3
19350901 19350930    82.0
19351001 19351031    62.7
19351101 19351130     5.9
19351201 19351231   113.9
19360101 19360131    93.3
19360201 19360229    30.0
19360301 19360331    89.5
19360401 19360430     9.6
19360501 19360531    35.6
19360601 19360630    56.9
19360701 19360731    16.9
19360801 19360831     1.8
19360901 19360930     9.7
19361001 19361031    25.2
19361101 19361130   129.2
19361201 19361231    34.9
19370101 19370131    40.9
19370201 19370228    70.9
19370301 19370331   161.1
19370401 19370430     8.4
19370501 19370531     6.8
19370601 19370630    45.0
19370701 19370731    20.9
19370801 19370831    48.8
19370901 19370930    24.7
19371001 19371031   115.8
19371101 19371130   132.7
19371201 19371231    80.7
19380101 19380131   100.9
19380201 19380228    10.3
19380301 19380331   118.9
19380401 19380430    53.4
19380501 19380531    84.5
19380601 19380630    18.1
19380701 19380731    72.9
19380801 19380831    38.2
19380901 19380930     4.6
19381001 19381031   149.6
19381101 19381130   136.3
19381201 19381231     0.0
19390101 19390131    89.4
19390201 19390228    32.9
19390301 19390331    55.8
19390401 19390430    89.4
19390501 19390531    21.1
19390601 19390630    88.4
19390701 19390731    41.2
19390801 19390831    51.3
19390901 19390930     2.0
19391001 19391031    48.9
19391101 19391130    66.1
19391201 19391231   102.8
19400101 19400131   112.2
19400201 19400229   159.8
19400301 19400331    91.9
19400401 19400430    30.3
19400501 19400531    23.0
19400601 19400630    18.7
19400701 19400731    18.3
19400801 19400831     7.1
19400901 19400930     9.7
19401001 19401031    31.2
19401101 19401130   228.4
19401201 19401231    98.6
19410101 19410131   188.2
19410201 19410228    24.7
19410301 19410331   129.3
19410401 19410430    33.8
19410501 19410531    63.1
19410601 19410630    62.8
19410701 19410731     9.7
19410801 19410831     5.6
19410901 19410930     3.1
19411001 19411031    15.2
19411101 19411130    45.2
19411201 19411231    19.0
19420101 19420131   259.0
19420201 19420228   205.9
19420301 19420331    75.9
19420401 19420430    42.3
19420501 19420531    49.8
19420601 19420630    16.0
19420701 19420731    49.2
19420801 19420831    17.3
19420901 19420930     9.7
19421001 19421031    99.5
19421101 19421130    60.2
19421201 19421231   283.8
19430101 19430131   123.6
19430201 19430228    77.8
19430301 19430331    22.6
19430401 19430430    48.6
19430501 19430531    34.7
19430601 19430630    35.4
19430701 19430731     0.0
19430801 19430831    43.7
19430901 19430930    85.8
19431001 19431031   137.5
19431101 19431130    79.2
19431201 19431231   182.7
19440101 19440131   104.5
19440201 19440229    59.8
19440301 19440331     2.5
19440401 19440430     6.6
19440501 19440531    43.9
19440601 19440630    29.0
19440701 19440731    58.5
19440801 19440831    23.2
19440901 19440930    23.1
19441001 19441031    20.6
19441101 19441130    61.0
19441201 19441231    93.9
19450101 19450131   134.0
19450201 19450228   214.2
19450301 19450331    33.6
19450401 19450430    21.5
19450501 19450531    28.9
19450601 19450630    65.1
19450701 19450731    70.6
19450801 19450831    10.5
19450901 19450930    63.0
19451001 19451031    64.1
19451101 19451130    74.4
19451201 19451231    31.5
19460101 19460131   127.1
19460201 19460228   108.2
19460301 19460331    69.4
19460401 19460430    31.3
19460501 19460531     0.0
19460601 19460630     0.5
19460701 19460731    12.2
19460801 19460831    12.4
19460901 19460930    39.1
19461001 19461031    63.7
19461101 19461130    24.3
19461201 19461231    87.3
19470101 19470131    43.8
19470201 19470228   217.7
19470301 19470331   236.9
19470401 19470430    82.1
19470501 19470531    46.2
19470601 19470630     6.6
19470701 19470731     5.3
19470801 19470831    26.9
19470901 19470930    89.9
19471001 19471031    54.5
19471101 19471130   111.0
19471201 19471231   360.2
19480101 19480131    28.9
19480201 19480229   154.2
19480301 19480331   120.3
19480401 19480430    92.2
19480501 19480531   112.1
19480601 19480630    97.0
19480701 19480731    32.7
19480801 19480831     2.0
19480901 19480930    49.3
19481001 19481031     2.0
19481101 19481130    43.2
19481201 19481231   136.1
19490101 19490131    54.6
19490201 19490228   278.3
19490301 19490331   208.8
19490401 19490430    24.9
19490501 19490531    33.7
19490601 19490630    61.0
19490701 19490731    35.3
19490801 19490831     9.7
19490901 19490930    53.0
19491001 19491031   184.2
19491101 19491130    97.9
19491201 19491231    70.8
19500101 19500131   153.8
19500201 19500228   306.2
19500301 19500331    43.1
19500401 19500430    60.7
19500501 19500531    45.4
19500601 19500630    96.1
19500701 19500731   128.8
19500801 19500831    10.0
19500901 19500930     6.0
19501001 19501031   149.3
19501101 19501130   121.5
19501201 19501231    37.6
19510101 19510131   214.7
19510201 19510228    24.4
19510301 19510331    48.5
19510401 19510430     6.5
19510501 19510531    25.6
19510601 19510630    14.0
19510701 19510731     5.1
19510801 19510831    23.9
19510901 19510930    18.7
19511001 19511031    51.5
19511101 19511130    29.1
19511201 19511231    37.7
19520101 19520131    45.3
19520201 19520229    69.4
19520301 19520331   164.1
19520401 19520430   108.1
19520501 19520531    95.5
19520601 19520630    59.1
19520701 19520731    30.6
19520801 19520831    48.5
19520901 19520930    22.6
19521001 19521031    50.6
19521101 19521130    16.0
19521201 19521231    20.6
19530101 19530131   125.0
19530201 19530228    98.0
19530301 19530331   193.6
19530401 19530430    75.0
19530501 19530531     9.7
19530601 19530630     4.8
19530701 19530731     2.5
19530801 19530831    71.6
19530901 19530930    10.9
19531001 19531031   117.5
19531101 19531130   110.0
19531201 19531231   102.6
19540101 19540131    97.1
19540201 19540228   213.2
19540301 19540331    31.5
19540401 19540430    71.5
19540501 19540531    15.2
19540601 19540630    26.4
19540701 19540731   301.5
19540801 19540831   108.7
19540901 19540930    55.6
19541001 19541031   112.9
19541101 19541130   161.9
19541201 19541231    60.4
19550101 19550131    54.3
19550201 19550228   119.8
19550301 19550331   281.3
19550401 19550430    90.5
19550501 19550531   187.5
19550601 19550630    13.3
19550701 19550731    42.0
19550801 19550831     9.7
19550901 19550930    54.8
19551001 19551031    89.4
19551101 19551130    43.4
19551201 19551231   193.5
19560101 19560131   217.5
19560201 19560229   245.0
19560301 19560331   274.6
19560401 19560430   141.7
19560501 19560531    96.7
19560601 19560630    91.7
19560701 19560731    43.4
19560801 19560831     1.0
19560901 19560930    23.8
19561001 19561031    47.2
19561101 19561130    21.4
19561201 19561231   261.3
19570101 19570131    41.9
19570201 19570228    22.3
19570301 19570331    22.6
19570401 19570430    33.7
19570501 19570531     3.6
19570601 19570630    21.1
19570701 19570731    55.3
19570801 19570831    15.3
19570901 19570930     6.1
19571001 19571031   117.4
19571101 19571130    68.7
19571201 19571231    23.1
19580101 19580131    48.8
19580201 19580228   147.8
19580301 19580331    74.5
19580401 19580430    93.7
19580501 19580531     4.6
19580601 19580630   188.4
19580701 19580731     3.0
19580801 19580831    65.8
19580901 19580930    13.4
19581001 19581031    28.9
19581101 19581130    15.7
19581201 19581231   100.0
19590101 19590131   232.8
19590201 19590228   132.4
19590301 19590331    92.3
19590401 19590430     6.3
19590501 19590531    56.5
19590601 19590630    11.8
19590701 19590731    63.2
19590801 19590831     9.9
19590901 19590930    55.9
19591001 19591031   122.4
19591101 19591130   160.5
19591201 19591231   142.7
19600101 19600131    68.6
19600201 19600229    97.8
19600301 19600331    26.4
19600401 19600430    21.2
19600501 19600531    46.1
19600601 19600630     5.1
19600701 19600731    25.8
19600801 19600831    26.7
19600901 19600930    16.0
19601001 19601031   103.9
19601101 19601130    89.3
19601201 19601231    89.9
19610101 19610131   110.1
19610201 19610228   159.7
19610301 19610331    37.9
19610401 19610430    11.9
19610501 19610531    10.0
19610601 19610630    23.7
19610701 19610731    50.1
19610801 19610831    22.8
19610901 19610930    38.1
19611001 19611031   112.8
19611101 19611130   107.6
19611201 19611231    84.0
19620101 19620131   130.1
19620201 19620228    49.1
19620301 19620331    95.6
19620401 19620430    91.3
19620501 19620531    24.0
19620601 19620630    26.0
19620701 19620731    29.2
19620801 19620831    22.3
19620901 19620930    52.8
19621001 19621031    38.9
19621101 19621130    75.7
19621201 19621231   244.1
19630101 19630131    72.0
19630201 19630228    43.5
19630301 19630331   256.6
19630401 19630430    12.8
19630501 19630531    57.6
19630601 19630630    18.1
19630701 19630731     0.0
19630801 19630831    88.2
19630901 19630930     5.0
19631001 19631031    33.0
19631101 19631130    39.1
19631201 19631231    59.2
19640101 19640131    69.3
19640201 19640229    65.0
19640301 19640331    96.5
19640401 19640430    46.5
19640501 19640531    50.7
19640601 19640630    28.0
19640701 19640731    55.9
19640801 19640831    20.1
19640901 19640930    79.9
19641001 19641031    86.6
19641101 19641130    68.6
19641201 19641231    59.0
19650101 19650131    67.2
19650201 19650228     6.9
19650301 19650331     6.9
19650401 19650430    56.5
19650501 19650531    33.8
19650601 19650630    80.9
19650701 19650731    72.3
19650801 19650831    29.8
19650901 19650930    39.8
19651001 19651031    88.5
19651101 19651130    80.2
19651201 19651231   131.1
19660101 19660131    68.4
19660201 19660228    93.0
19660301 19660331   126.5
19660401 19660430    59.4
19660501 19660531     1.8
19660601 19660630    49.0
