PRCP       040152 19090601 20131231 missing_value=99999.9 MURGON POST OFFICE                        
20050701 20050731     0.0
20050801 20050831     6.5
20050901 20050930    18.2
20051001 20051031   133.6
20051101 20051130    69.0
20051201 20051231    27.0
20060101 20060131    44.9
20060201 20060228    68.8
20060301 20060331    15.7
20060401 20060430     1.5
20060501 20060531     1.5
20060601 20060630    16.0
20060701 20060731    44.6
20060801 20060831    29.3
20060901 20060930    47.2
20061001 20061031     6.6
20061101 20061130    70.4
20061201 20061231   130.2
20070101 20070131    59.0
20070201 20070228    59.4
20070301 20070331    23.9
20070401 20070430     9.4
20070501 20070531    29.0
20070601 20070630   112.0
20070701 20070731     0.0
20070801 20070831    28.1
20070901 20070930    31.9
20071001 20071031    49.4
20071101 20071130    47.7
20071201 20071231   171.2
20080101 20080131   186.5
20080201 20080229   134.8
20080301 20080331    50.3
20080401 20080430    13.0
20080501 20080531    43.6
20080601 20080630    38.2
20080701 20080731   118.5
20080801 20080831     0.5
20080901 20080930    28.4
20081001 20081031    25.9
20081101 20081130   145.0
20081201 20081231    96.0
20090101 20090131   108.4
20090201 20090228    84.8
20090301 20090331    34.8
20090401 20090430    64.8
20090501 20090531    58.8
20090601 20090630    63.2
20090701 20090731     0.0
20090801 20090831     0.4
20090901 20090930    27.0
20091001 20091031    49.0
20091101 20091130    16.1
20091201 20091231   179.8
20100101 20100131    27.2
20100201 20100228   177.0
20100301 20100331   208.6
20100401 20100430   115.4
20100501 20100531    39.4
20100601 20100630     7.9
20100701 20100731    15.0
20100801 20100831    67.6
20100901 20100930   123.2
20101001 20101031   115.9
20101101 20101130    24.4
20101201 20101231   376.5
20110101 20110131   272.4
20110201 20110228    44.6
20110301 20110331    49.6
20110401 20110430    11.6
20110501 20110531   103.0
20110601 20110630    29.2
20110701 20110731    19.2
20110801 20110831    49.2
20110901 20110930     0.0
20111001 20111031    91.0
20111101 20111130     0.0
20111201 20111231   143.4
20120101 20120131   116.6
20120201 20120229    91.6
20120301 20120331    95.1
20120401 20120430    25.6
20120501 20120531    19.8
20120601 20120630    70.8
20120701 20120731    22.6
20120801 20120831     2.0
20120901 20120930    13.6
20121001 20121031    34.2
20121101 20121130   142.6
20121201 20121231    11.6
20130101 20130131   282.0
20130201 20130228   212.6
20130301 20130331   110.0
20130401 20130430    50.6
20130501 20130531    30.4
20130601 20130630    28.4
20130701 20130731    27.0
20130801 20130831     2.2
20130901 20130930    30.2
20131001 20131031    27.6
20131101 20131130    25.2
20131201 20131231    34.6
