PRCP       079010 19051201 20170930 missing_value=99999.9 DRUNG DRUNG                               
20010701 20010731    38.8
20010801 20010831    63.0
20010901 20010930    74.6
20011001 20011031    44.4
20011101 20011130    32.4
20011201 20011231    19.8
20020101 20020131    16.2
20020201 20020228     6.4
20020301 20020331    10.0
20020401 20020430    16.8
20020501 20020531    24.2
20020601 20020630    33.2
20020701 20020731    28.8
20020801 20020831    19.6
20020901 20020930    42.6
20021001 20021031    14.4
20021101 20021130    28.2
20021201 20021231    21.8
20030101 20030131     5.4
20030201 20030228    61.6
20030301 20030331     6.6
20030401 20030430    19.2
20030501 20030531    35.4
20030601 20030630    62.6
20030701 20030731    32.2
20030801 20030831    84.6
20030901 20030930    32.0
20031001 20031031    65.6
20031101 20031130    13.0
20031201 20031231    23.8
20040101 20040131    14.0
20040201 20040229     2.4
20040301 20040331    14.4
20040401 20040430    11.6
20040501 20040531    27.2
20040601 20040630    58.2
20040701 20040731    42.4
20040801 20040831    44.6
20040901 20040930    37.0
20041001 20041031     9.4
20041101 20041130    62.0
20041201 20041231    17.4
20050101 20050131    49.6
20050201 20050228    28.2
20050301 20050331     1.4
20050401 20050430     9.8
20050501 20050531    12.2
20050601 20050630    66.4
20050701 20050731    29.4
20050801 20050831    44.4
20050901 20050930    39.4
20051001 20051031    65.0
20051101 20051130    37.8
20051201 20051231    28.2
20060101 20060131    32.2
20060201 20060228    15.8
20060301 20060331     6.8
20060401 20060430    39.6
20060501 20060531    20.2
20060601 20060630    17.8
20060701 20060731    30.6
20060801 20060831    20.2
20060901 20060930    27.0
20061001 20061031     2.0
20061101 20061130     4.6
20061201 20061231     6.2
20070101 20070131    61.2
20070201 20070228    16.4
20070301 20070331     6.6
20070401 20070430    61.0
20070501 20070531    66.8
20070601 20070630    17.8
20070701 20070731    46.0
20070801 20070831    11.4
20070901 20070930    24.0
20071001 20071031    10.6
20071101 20071130    59.8
20071201 20071231    20.0
20080101 20080131    31.2
20080201 20080229     0.6
20080301 20080331    19.4
20080401 20080430     7.8
20080501 20080531    43.0
20080601 20080630    26.2
20080701 20080731    56.8
20080801 20080831    36.6
20080901 20080930    16.4
20081001 20081031     9.4
20081101 20081130    19.2
20081201 20081231    59.0
20090101 20090131     0.6
20090201 20090228     0.0
20090301 20090331    12.2
20090401 20090430    27.6
20090501 20090531    62.0
20090601 20090630    60.0
20090701 20090731    56.4
20090801 20090831    46.0
20090901 20090930    71.2
20091001 20091031    18.6
20091101 20091130    57.0
20091201 20091231    32.8
20100101 20100131     8.4
20100201 20100228    37.4
20100301 20100331    49.2
20100401 20100430    43.6
20100501 20100531    36.2
20100601 20100630    24.6
20100701 20100731    62.6
20100801 20100831    89.0
20100901 20100930    44.6
20101001 20101031    58.6
20101101 20101130    45.6
20101201 20101231   142.6
20110101 20110131   123.0
20110201 20110228    95.0
20110301 20110331    19.2
20110401 20110430    24.2
20110501 20110531    24.2
20110601 20110630    26.8
20110701 20110731    64.4
20110801 20110831    47.4
20110901 20110930    13.4
20111001 20111031    33.0
20111101 20111130    36.8
20111201 20111231    40.6
20120101 20120131     7.8
20120201 20120229     3.2
20120301 20120331    37.2
20120401 20120430    12.8
20120501 20120531    58.6
20120601 20120630    52.4
20120701 20120731    58.2
20120801 20120831    42.4
20120901 20120930    38.0
20121001 20121031     9.4
20121101 20121130    16.6
20121201 20121231    14.2
20130101 20130131 99999.9
20130201 20130228    33.2
20130301 20130331     3.2
20130401 20130430    12.0
20130501 20130531    24.2
20130601 20130630    61.8
20130701 20130731    66.2
20130801 20130831    72.8
20130901 20130930    64.4
20131001 20131031    35.4
20131101 20131130    15.0
20131201 20131231     7.0
20140101 20140131    13.0
20140201 20140228     2.0
20140301 20140331    14.2
20140401 20140430    55.0
20140501 20140531    31.4
20140601 20140630    41.2
20140701 20140731 99999.9
20140801 20140831    11.0
20140901 20140930    12.8
20141001 20141031    11.3
20141101 20141130 99999.9
20141201 20141231 99999.9
20150101 20150131 99999.9
20150201 20150228 99999.9
20150301 20150331 99999.9
20150401 20150430 99999.9
20150501 20150531 99999.9
20150601 20150630 99999.9
20150701 20150731    27.8
20150801 20150831 99999.9
20150901 20150930 99999.9
20151001 20151031 99999.9
20151101 20151130 99999.9
20151201 20151231 99999.9
20160101 20160131 99999.9
20160201 20160229 99999.9
20160301 20160331 99999.9
20160401 20160430 99999.9
20160501 20160531 99999.9
20160601 20160630 99999.9
20160701 20160731    65.4
20160801 20160831 99999.9
20160901 20160930 99999.9
20161001 20161031 99999.9
20161101 20161130 99999.9
20161201 20161231 99999.9
20170101 20170131 99999.9
20170201 20170228 99999.9
20170301 20170331 99999.9
20170401 20170430 99999.9
20170501 20170531 99999.9
20170601 20170630 99999.9
20170701 20170731 99999.9
20170801 20170831    72.2
20170901 20170930    25.6
