PRCP       068034 18990701 20040630 missing_value=99999.9 POINT PERPENDICULAR LIGHTHOUSE COMPARISON 
19940501 19940531   112.0
19940601 19940630   105.2
19940701 19940731    29.5
19940801 19940831    16.0
19940901 19940930    31.5
19941001 19941031    62.2
19941101 19941130    70.0
19941201 19941231    38.0
19950101 19950131   132.2
19950201 19950228    27.8
19950301 19950331   125.8
19950401 19950430    57.0
19950501 19950531   253.0
19950601 19950630    98.0
19950701 19950731    29.8
19950801 19950831     1.4
19950901 19950930   110.6
19951001 19951031   116.4
19951101 19951130   244.6
19951201 19951231    80.6
19960101 19960131    92.2
19960201 19960229    61.2
19960301 19960331    21.2
19960401 19960430    92.2
19960501 19960531   153.2
19960601 19960630   161.3
19960701 19960731    79.0
19960801 19960831    25.8
19960901 19960930    74.8
19961001 19961031    51.4
19961101 19961130    95.7
19961201 19961231    28.6
19970101 19970131   121.2
19970201 19970228    82.0
19970301 19970331   174.9
19970401 19970430     4.6
19970501 19970531   133.6
19970601 19970630   169.6
19970701 19970731   126.2
19970801 19970831    40.7
19970901 19970930   230.2
19971001 19971031    32.8
19971101 19971130    23.8
19971201 19971231    21.4
19980101 19980131    82.0
19980201 19980228    23.2
19980301 19980331    26.7
19980401 19980430   298.3
19980501 19980531   116.0
19980601 19980630   140.8
19980701 19980731   129.5
19980801 19980831   433.1
19980901 19980930   152.7
19981001 19981031    57.2
19981101 19981130    62.1
19981201 19981231    38.6
19990101 19990131   138.2
19990201 19990228    88.9
19990301 19990331   114.1
19990401 19990430   181.6
19990501 19990531    45.6
19990601 19990630    39.8
19990701 19990731   183.8
19990801 19990831    53.8
19990901 19990930    43.8
19991001 19991031   117.7
19991101 19991130   104.0
19991201 19991231   114.2
20000101 20000131    47.8
20000201 20000229    30.2
20000301 20000331   132.6
20000401 20000430    82.4
20000501 20000531    59.4
20000601 20000630    84.2
20000701 20000731    89.0
20000801 20000831    47.5
20000901 20000930    53.2
20001001 20001031    62.4
20001101 20001130   154.8
20001201 20001231    48.6
20010101 20010131    48.2
20010201 20010228    89.8
20010301 20010331    66.8
20010401 20010430    53.1
20010501 20010531   131.4
20010601 20010630    50.8
20010701 20010731   240.6
20010801 20010831   183.3
20010901 20010930    83.8
20011001 20011031    40.2
20011101 20011130    94.8
20011201 20011231    49.2
20020101 20020131   109.4
20020201 20020228   307.8
20020301 20020331   115.4
20020401 20020430    68.1
20020501 20020531   169.7
20020601 20020630    74.2
20020701 20020731     7.1
20020801 20020831    15.0
20020901 20020930    31.6
20021001 20021031     8.2
20021101 20021130    25.8
20021201 20021231    71.2
20030101 20030131    72.3
20030201 20030228    86.4
20030301 20030331    85.8
20030401 20030430   207.0
20030501 20030531   358.6
20030601 20030630    64.6
20030701 20030731   149.4
20030801 20030831    98.7
20030901 20030930    22.1
20031001 20031031    73.4
20031101 20031130    94.6
20031201 20031231    33.1
20040101 20040131   100.8
20040201 20040229    58.8
20040301 20040331    94.0
20040401 20040430   120.0
20040501 20040531    55.1
20040601 20040630    20.6
