PRCP       068034 18990701 20040630 missing_value=99999.9 POINT PERPENDICULAR LIGHTHOUSE COMPARISON 
19210501 19210531   382.7
19210601 19210630   125.7
19210701 19210731    84.6
19210801 19210831    26.2
19210901 19210930    37.7
19211001 19211031    23.5
19211101 19211130    36.5
19211201 19211231    99.5
19220101 19220131   107.3
19220201 19220228   165.0
19220301 19220331    15.7
19220401 19220430    87.2
19220501 19220531   151.8
19220601 19220630    52.9
19220701 19220731   200.9
19220801 19220831    71.6
19220901 19220930   128.9
19221001 19221031    91.8
19221101 19221130    10.2
19221201 19221231   122.7
19230101 19230131    76.7
19230201 19230228    54.2
19230301 19230331    77.1
19230401 19230430   123.5
19230501 19230531    27.1
19230601 19230630   153.4
19230701 19230731   162.6
19230801 19230831   130.6
19230901 19230930    84.8
19231001 19231031    51.2
19231101 19231130    30.0
19231201 19231231    84.5
19240101 19240131    91.4
19240201 19240229    60.6
19240301 19240331   133.8
19240401 19240430   131.6
19240501 19240531   170.9
19240601 19240630    76.5
19240701 19240731    98.0
19240801 19240831    19.6
19240901 19240930    41.0
19241001 19241031    45.4
19241101 19241130    93.5
19241201 19241231    71.6
19250101 19250131   122.8
19250201 19250228    62.8
19250301 19250331    80.4
19250401 19250430    25.5
19250501 19250531   515.9
19250601 19250630   219.2
19250701 19250731    74.8
19250801 19250831   116.5
19250901 19250930    17.7
19251001 19251031    35.8
19251101 19251130    83.8
19251201 19251231    16.2
19260101 19260131   126.0
19260201 19260228     7.1
19260301 19260331    88.7
19260401 19260430   116.4
19260501 19260531   199.5
19260601 19260630    82.9
19260701 19260731    75.2
19260801 19260831    54.6
19260901 19260930    79.8
19261001 19261031    14.0
19261101 19261130     5.1
19261201 19261231   108.6
19270101 19270131   112.0
19270201 19270228    26.1
19270301 19270331    66.5
19270401 19270430   189.7
19270501 19270531   107.5
19270601 19270630    88.4
19270701 19270731    49.1
19270801 19270831    15.5
19270901 19270930    71.8
19271001 19271031    54.1
19271101 19271130   100.1
19271201 19271231    56.6
19280101 19280131   116.8
19280201 19280229   162.4
19280301 19280331   276.4
19280401 19280430   130.5
19280501 19280531    49.1
19280601 19280630   272.3
19280701 19280731   145.4
19280801 19280831    47.2
19280901 19280930    35.5
19281001 19281031    44.4
19281101 19281130    19.3
19281201 19281231    23.8
19290101 19290131     4.8
19290201 19290228   380.2
19290301 19290331    63.4
19290401 19290430   150.5
19290501 19290531   253.1
19290601 19290630    38.2
19290701 19290731    68.9
19290801 19290831    99.3
19290901 19290930    47.7
19291001 19291031    89.9
19291101 19291130   105.2
19291201 19291231    62.7
19300101 19300131    52.7
19300201 19300228    26.2
19300301 19300331    66.6
19300401 19300430   126.7
19300501 19300531    87.3
19300601 19300630   153.5
19300701 19300731    60.2
19300801 19300831    56.1
19300901 19300930    15.2
19301001 19301031    80.2
19301101 19301130    31.9
19301201 19301231   107.9
19310101 19310131    51.4
19310201 19310228    46.2
19310301 19310331   102.7
19310401 19310430   101.9
19310501 19310531    76.9
19310601 19310630    77.4
19310701 19310731   323.0
19310801 19310831    20.6
19310901 19310930   133.3
19311001 19311031    41.5
19311101 19311130   118.1
19311201 19311231    87.1
19320101 19320131     4.3
19320201 19320229    50.6
19320301 19320331   105.2
19320401 19320430   129.8
19320501 19320531    52.2
19320601 19320630    36.2
19320701 19320731    66.8
19320801 19320831   144.5
19320901 19320930   112.5
19321001 19321031    61.9
19321101 19321130    40.7
19321201 19321231   131.8
19330101 19330131   188.7
19330201 19330228    22.5
19330301 19330331    66.6
19330401 19330430    77.2
19330501 19330531    54.4
19330601 19330630    33.4
19330701 19330731    89.3
19330801 19330831    24.1
19330901 19330930    50.7
19331001 19331031    54.3
19331101 19331130    95.4
19331201 19331231    76.5
19340101 19340131   377.1
19340201 19340228   215.5
19340301 19340331    61.4
19340401 19340430   350.6
19340501 19340531   147.1
19340601 19340630   334.5
19340701 19340731   194.1
19340801 19340831   159.9
19340901 19340930   136.6
19341001 19341031    91.0
19341101 19341130    95.1
19341201 19341231    87.2
19350101 19350131    88.1
19350201 19350228   106.5
19350301 19350331    69.8
19350401 19350430    88.7
19350501 19350531    82.4
19350601 19350630   132.2
19350701 19350731    53.3
19350801 19350831    10.7
19350901 19350930    57.8
19351001 19351031    74.1
19351101 19351130    81.1
19351201 19351231   112.5
19360101 19360131    49.8
19360201 19360229   131.0
