PRCP       080009 18870601 20171231 missing_value=99999.9 COONOOER BRIDGE                           
19090501 19090531    88.3
19090601 19090630    95.4
19090701 19090731    57.8
19090801 19090831   125.3
19090901 19090930    23.9
19091001 19091031    19.1
19091101 19091130    14.8
19091201 19091231    13.2
19100101 19100131    36.6
19100201 19100228     1.3
19100301 19100331    95.0
19100401 19100430     4.6
19100501 19100531    59.4
19100601 19100630    65.7
19100701 19100731    86.9
19100801 19100831    50.3
19100901 19100930    70.1
19101001 19101031    30.8
19101101 19101130    20.1
19101201 19101231    17.5
19110101 19110131     6.3
19110201 19110228   165.3
19110301 19110331    45.6
19110401 19110430     6.4
19110501 19110531    51.9
19110601 19110630    56.1
19110701 19110731    31.4
19110801 19110831    13.9
19110901 19110930    76.4
19111001 19111031    17.1
19111101 19111130     0.5
19111201 19111231    31.3
19120101 19120131     0.0
19120201 19120229    16.1
19120301 19120331    13.5
19120401 19120430     3.3
19120501 19120531     5.0
19120601 19120630    51.2
19120701 19120731    57.0
19120801 19120831    19.6
19120901 19120930    81.7
19121001 19121031    10.2
19121101 19121130    41.9
19121201 19121231    69.1
19130101 19130131     0.0
19130201 19130228    25.9
19130301 19130331    53.5
19130401 19130430    23.4
19130501 19130531    62.2
19130601 19130630    21.6
19130701 19130731    28.4
19130801 19130831    31.8
19130901 19130930    44.0
19131001 19131031    42.2
19131101 19131130    13.2
19131201 19131231    16.5
19140101 19140131     8.4
19140201 19140228     0.0
19140301 19140331    27.1
19140401 19140430    46.8
19140501 19140531    13.7
19140601 19140630    13.9
19140701 19140731    16.6
19140801 19140831     9.7
19140901 19140930     5.6
19141001 19141031     0.8
19141101 19141130    21.3
19141201 19141231    27.7
19150101 19150131    18.2
19150201 19150228    17.8
19150301 19150331     1.8
19150401 19150430    14.3
19150501 19150531    28.4
19150601 19150630    67.0
19150701 19150731    50.0
19150801 19150831    76.9
19150901 19150930    83.8
19151001 19151031    26.7
19151101 19151130    11.4
19151201 19151231     4.6
19160101 19160131    47.8
19160201 19160229    11.7
19160301 19160331     0.5
19160401 19160430    14.9
19160501 19160531    19.4
19160601 19160630    70.8
19160701 19160731    35.0
19160801 19160831    69.3
19160901 19160930    96.3
19161001 19161031    46.2
19161101 19161130    42.0
19161201 19161231    30.4
19170101 19170131    17.6
19170201 19170228    47.5
19170301 19170331    20.1
19170401 19170430     7.1
19170501 19170531    37.9
19170601 19170630    33.0
19170701 19170731    84.2
19170801 19170831    67.3
19170901 19170930    79.3
19171001 19171031    64.1
19171101 19171130    26.0
19171201 19171231    20.9
19180101 19180131     7.9
19180201 19180228    30.2
19180301 19180331    38.6
19180401 19180430    38.1
19180501 19180531    74.5
19180601 19180630    45.7
19180701 19180731    27.0
19180801 19180831    29.9
19180901 19180930     8.4
19181001 19181031    23.4
19181101 19181130     6.6
19181201 19181231     4.8
19190101 19190131     1.0
19190201 19190228    78.5
19190301 19190331    13.9
19190401 19190430     7.1
19190501 19190531    35.2
19190601 19190630    27.1
19190701 19190731    24.4
19190801 19190831    31.7
19190901 19190930    67.0
19191001 19191031    17.5
19191101 19191130     3.6
19191201 19191231    42.0
19200101 19200131     7.9
19200201 19200229     0.0
19200301 19200331    14.8
19200401 19200430    11.4
19200501 19200531    30.1
19200601 19200630    40.7
19200701 19200731    40.5
19200801 19200831   110.1
19200901 19200930    68.4
19201001 19201031    30.9
19201101 19201130    47.7
19201201 19201231    10.7
19210101 19210131    35.1
19210201 19210228     6.6
19210301 19210331    68.1
19210401 19210430    19.9
19210501 19210531    50.8
19210601 19210630    38.3
19210701 19210731    27.2
19210801 19210831    34.4
19210901 19210930    66.2
19211001 19211031    56.5
19211101 19211130    11.5
19211201 19211231    13.2
19220101 19220131    20.9
19220201 19220228    11.2
19220301 19220331     0.8
19220401 19220430    13.5
19220501 19220531    44.1
19220601 19220630    26.1
19220701 19220731    17.0
19220801 19220831    26.4
19220901 19220930    53.2
19221001 19221031    31.7
19221101 19221130     4.1
19221201 19221231    27.9
19230101 19230131     4.6
19230201 19230228     0.5
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    50.8
19230601 19230630   111.2
19230701 19230731   122.7
19230801 19230831    19.6
19230901 19230930    20.9
19231001 19231031    41.1
19231101 19231130    15.8
19231201 19231231    25.1
19240101 19240131     8.6
19240201 19240229    54.7
19240301 19240331   100.1
19240401 19240430    21.8
19240501 19240531    15.1
19240601 19240630    45.7
19240701 19240731     9.9
19240801 19240831    44.7
19240901 19240930    60.5
19241001 19241031    63.7
19241101 19241130    91.5
19241201 19241231    23.1
19250101 19250131    41.6
19250201 19250228    28.2
19250301 19250331    28.9
19250401 19250430     9.1
19250501 19250531    47.8
19250601 19250630    47.2
19250701 19250731    29.5
19250801 19250831    13.3
19250901 19250930    39.5
19251001 19251031     9.9
