PRCP       080009 18870601 20171231 missing_value=99999.9 COONOOER BRIDGE                           
19831001 19831031    31.8
19831101 19831130   109.0
19831201 19831231    20.8
19840101 19840131   119.2
19840201 19840229     2.6
19840301 19840331    81.6
19840401 19840430    12.8
19840501 19840531    10.0
19840601 19840630    10.6
19840701 19840731    50.0
19840801 19840831    93.4
19840901 19840930    23.6
19841001 19841031    13.6
19841101 19841130    56.8
19841201 19841231     6.4
19850101 19850131     1.8
19850201 19850228     0.0
19850301 19850331    11.7
19850401 19850430    10.1
19850501 19850531    29.6
19850601 19850630    27.2
19850701 19850731    15.9
19850801 19850831   107.2
19850901 19850930    19.8
19851001 19851031    42.0
19851101 19851130    32.4
19851201 19851231    74.0
19860101 19860131     3.6
19860201 19860228     7.4
19860301 19860331     2.4
19860401 19860430    48.9
19860501 19860531    74.4
19860601 19860630    13.6
19860701 19860731    95.0
19860801 19860831    48.8
19860901 19860930    51.2
19861001 19861031    74.6
19861101 19861130    16.2
19861201 19861231    57.4
19870101 19870131    61.2
19870201 19870228    15.3
19870301 19870331    24.2
19870401 19870430    18.0
19870501 19870531    95.4
19870601 19870630    90.2
19870701 19870731    43.0
19870801 19870831    22.8
19870901 19870930    10.8
19871001 19871031    44.2
19871101 19871130     8.2
19871201 19871231    69.4
19880101 19880131    41.2
19880201 19880229    14.2
19880301 19880331    42.0
19880401 19880430    14.8
19880501 19880531   130.0
19880601 19880630    53.6
19880701 19880731    47.8
19880801 19880831    20.6
19880901 19880930    94.8
19881001 19881031    30.4
19881101 19881130    68.4
19881201 19881231    72.2
19890101 19890131    48.8
19890201 19890228     3.2
19890301 19890331    67.8
19890401 19890430   146.4
19890501 19890531    91.0
19890601 19890630    72.0
19890701 19890731    44.0
19890801 19890831    56.8
19890901 19890930    35.8
19891001 19891031    54.6
19891101 19891130     6.3
19891201 19891231    17.0
19900101 19900131    15.4
19900201 19900228    53.0
19900301 19900331    25.6
19900401 19900430    16.8
19900501 19900531    10.0
19900601 19900630    51.6
19900701 19900731    72.4
19900801 19900831    44.7
19900901 19900930    19.3
19901001 19901031    23.0
19901101 19901130    27.0
19901201 19901231     6.8
19910101 19910131    69.5
19910201 19910228     0.0
19910301 19910331     7.4
19910401 19910430    34.0
19910501 19910531     3.6
19910601 19910630   109.6
19910701 19910731    36.4
19910801 19910831    62.2
19910901 19910930    58.6
19911001 19911031     2.4
19911101 19911130    27.2
19911201 19911231    55.0
19920101 19920131     7.0
19920201 19920229     1.8
19920301 19920331    18.2
19920401 19920430    46.6
19920501 19920531    87.0
19920601 19920630    32.6
19920701 19920731    22.2
19920801 19920831    86.4
19920901 19920930    90.8
19921001 19921031   108.2
19921101 19921130    60.4
19921201 19921231   148.4
19930101 19930131    66.0
19930201 19930228    17.0
19930301 19930331    31.4
19930401 19930430     4.0
19930501 19930531    35.6
19930601 19930630    20.0
19930701 19930731    78.2
19930801 19930831    53.8
19930901 19930930    97.7
19931001 19931031    46.7
19931101 19931130    30.8
19931201 19931231    67.2
19940101 19940131    19.9
19940201 19940228    71.8
19940301 19940331     5.4
19940401 19940430     1.8
19940501 19940531    26.4
19940601 19940630    57.2
19940701 19940731    32.4
19940801 19940831     8.0
19940901 19940930    16.6
19941001 19941031    16.4
19941101 19941130    11.4
19941201 19941231     1.4
19950101 19950131    35.2
19950201 19950228    23.6
19950301 19950331     4.6
19950401 19950430    52.8
19950501 19950531    77.8
19950601 19950630   106.2
19950701 19950731    93.8
19950801 19950831    13.8
19950901 19950930    29.6
19951001 19951031    81.4
19951101 19951130     2.2
19951201 19951231     3.8
19960101 19960131    29.6
19960201 19960229    41.2
19960301 19960331    68.4
19960401 19960430    17.2
19960501 19960531    22.9
19960601 19960630    85.0
19960701 19960731    92.0
19960801 19960831    62.8
19960901 19960930    86.6
19961001 19961031    23.6
19961101 19961130    13.0
19961201 19961231    14.6
19970101 19970131    35.8
19970201 19970228     0.6
19970301 19970331    12.8
19970401 19970430     1.6
19970501 19970531    53.0
19970601 19970630    26.0
19970701 19970731     9.4
19970801 19970831    59.4
19970901 19970930    81.2
19971001 19971031    21.2
19971101 19971130    46.2
19971201 19971231     2.0
19980101 19980131    19.8
19980201 19980228    43.2
19980301 19980331     1.4
19980401 19980430    90.0
19980501 19980531     9.4
19980601 19980630    35.0
19980701 19980731    66.2
19980801 19980831     9.8
19980901 19980930    23.8
19981001 19981031    45.4
19981101 19981130    62.8
19981201 19981231    14.6
19990101 19990131    10.2
19990201 19990228    28.7
19990301 19990331    30.2
19990401 19990430     7.0
19990501 19990531    64.0
19990601 19990630    37.0
19990701 19990731    25.4
19990801 19990831    67.8
19990901 19990930    22.4
19991001 19991031    37.6
19991101 19991130    78.4
19991201 19991231    66.8
20000101 20000131     1.6
20000201 20000229    25.8
20000301 20000331     8.4
20000401 20000430    55.0
20000501 20000531    33.6
20000601 20000630    23.2
20000701 20000731    60.6
20000801 20000831    34.2
20000901 20000930    40.8
20001001 20001031    42.4
20001101 20001130    29.8
20001201 20001231    20.2
20010101 20010131    42.6
20010201 20010228     7.2
20010301 20010331    33.2
20010401 20010430    16.4
20010501 20010531     6.4
20010601 20010630    29.0
20010701 20010731    23.2
20010801 20010831    54.2
20010901 20010930    46.2
20011001 20011031    38.0
20011101 20011130    16.2
20011201 20011231     2.4
20020101 20020131    18.4
20020201 20020228    26.4
20020301 20020331    17.8
20020401 20020430    23.0
20020501 20020531    23.2
20020601 20020630    25.4
20020701 20020731    20.0
20020801 20020831    29.3
20020901 20020930    23.2
20021001 20021031    11.8
20021101 20021130    21.4
20021201 20021231    37.0
20030101 20030131    19.4
20030201 20030228    46.6
20030301 20030331     0.0
20030401 20030430    27.4
20030501 20030531    33.2
20030601 20030630    63.8
20030701 20030731    33.8
20030801 20030831    69.0
20030901 20030930    25.0
20031001 20031031    45.8
20031101 20031130    14.6
20031201 20031231    30.8
20040101 20040131    10.6
20040201 20040229     5.2
20040301 20040331     8.2
20040401 20040430     4.6
20040501 20040531    27.2
20040601 20040630    57.4
20040701 20040731    35.8
20040801 20040831    27.0
20040901 20040930    38.8
20041001 20041031     8.8
20041101 20041130    70.4
20041201 20041231    28.6
20050101 20050131    15.2
20050201 20050228    56.0
20050301 20050331     0.4
20050401 20050430    14.4
20050501 20050531     7.4
20050601 20050630    80.0
20050701 20050731    23.8
20050801 20050831    31.4
20050901 20050930    36.8
20051001 20051031    53.0
20051101 20051130    38.0
20051201 20051231    52.4
20060101 20060131    22.8
20060201 20060228     2.4
20060301 20060331    14.2
20060401 20060430    31.4
20060501 20060531    22.6
20060601 20060630     6.3
20060701 20060731    38.0
20060801 20060831    19.4
20060901 20060930    34.4
20061001 20061031     0.0
20061101 20061130    19.4
20061201 20061231     7.0
20070101 20070131    52.6
20070201 20070228     7.6
20070301 20070331    33.8
20070401 20070430 99999.9
20070501 20070531    72.0
20070601 20070630    11.8
20070701 20070731    33.4
20070801 20070831     9.0
20070901 20070930    24.8
20071001 20071031     2.0
20071101 20071130    36.4
20071201 20071231    46.6
20080101 20080131    22.4
20080201 20080229     0.4
20080301 20080331     6.0
20080401 20080430     8.0
20080501 20080531    34.8
20080601 20080630    16.2
20080701 20080731    55.6
20080801 20080831    39.0
20080901 20080930    15.0
20081001 20081031     7.8
20081101 20081130    60.8
20081201 20081231    48.8
20090101 20090131     0.0
20090201 20090228     1.2
20090301 20090331    13.6
20090401 20090430    21.2
20090501 20090531    12.6
20090601 20090630    29.2
20090701 20090731    53.6
20090801 20090831    27.6
20090901 20090930    43.8
20091001 20091031    26.6
20091101 20091130    69.6
20091201 20091231    23.0
20100101 20100131    11.2
20100201 20100228    17.2
20100301 20100331    68.0
20100401 20100430    38.6
20100501 20100531    24.0
20100601 20100630    18.8
20100701 20100731    29.2
20100801 20100831   122.8
20100901 20100930    61.6
20101001 20101031    96.2
20101101 20101130   127.8
20101201 20101231    71.6
20110101 20110131   174.4
20110201 20110228   110.6
20110301 20110331    22.6
20110401 20110430    15.6
20110501 20110531    41.6
20110601 20110630    22.8
20110701 20110731    27.8
20110801 20110831    52.0
20110901 20110930    25.5
20111001 20111031    26.0
20111101 20111130    82.0
20111201 20111231    25.2
20120101 20120131    16.4
20120201 20120229    46.2
20120301 20120331    52.0
20120401 20120430    10.0
20120501 20120531    26.0
20120601 20120630    36.2
20120701 20120731    53.2
20120801 20120831    18.6
20120901 20120930    21.6
20121001 20121031    14.8
20121101 20121130     6.8
20121201 20121231    11.6
20130101 20130131     4.0
20130201 20130228    17.8
20130301 20130331     4.2
20130401 20130430     3.0
20130501 20130531    25.6
20130601 20130630   112.2
20130701 20130731    41.6
20130801 20130831    42.2
20130901 20130930    48.8
20131001 20131031    34.2
20131101 20131130     9.6
20131201 20131231    14.3
20140101 20140131     8.2
20140201 20140228 99999.9
20140301 20140331    23.6
20140401 20140430    50.9
20140501 20140531    32.8
20140601 20140630    37.8
20140701 20140731    39.6
20140801 20140831     6.0
20140901 20140930    25.2
20141001 20141031     9.0
20141101 20141130    23.0
20141201 20141231     6.2
20150101 20150131 99999.9
20150201 20150228     6.0
20150301 20150331     9.0
20150401 20150430    15.6
20150501 20150531    22.2
20150601 20150630    23.8
20150701 20150731    36.4
20150801 20150831    26.4
20150901 20150930    27.4
20151001 20151031    20.6
20151101 20151130     9.4
20151201 20151231    10.6
20160101 20160131    23.0
20160201 20160229 99999.9
20160301 20160331    29.2
20160401 20160430     3.2
20160501 20160531    67.2
20160601 20160630    50.6
20160701 20160731    49.0
20160801 20160831    41.4
20160901 20160930   142.4
20161001 20161031    62.8
20161101 20161130    31.6
20161201 20161231    19.2
20170101 20170131    24.8
20170201 20170228    31.0
20170301 20170331    13.6
20170401 20170430    58.4
20170501 20170531    46.8
20170601 20170630     0.0
20170701 20170731    29.4
20170801 20170831    59.2
20170901 20170930    21.4
20171001 20171031    30.0
20171101 20171130    74.4
20171201 20171231    35.8
