PRCP       009520 18970101 20171231 missing_value=99999.9 CAPE RICHE                                
19181201 19181231    12.6
19190101 19190131     1.0
19190201 19190228    33.3
19190301 19190331     7.6
19190401 19190430   126.0
19190501 19190531    30.9
19190601 19190630    28.5
19190701 19190731    58.9
19190801 19190831    47.0
19190901 19190930    37.6
19191001 19191031    62.5
19191101 19191130    37.7
19191201 19191231    11.0
19200101 19200131     0.0
19200201 19200229    52.9
19200301 19200331    82.8
19200401 19200430     9.2
19200501 19200531    24.2
19200601 19200630   166.5
19200701 19200731    70.9
19200801 19200831    96.2
19200901 19200930    64.1
19201001 19201031    21.1
19201101 19201130     1.8
19201201 19201231     2.3
19210101 19210131    10.7
19210201 19210228     4.6
19210301 19210331     7.6
19210401 19210430    41.9
19210501 19210531   188.3
19210601 19210630    29.2
19210701 19210731    21.5
19210801 19210831    65.7
19210901 19210930   107.3
19211001 19211031    56.8
19211101 19211130    51.1
19211201 19211231    37.2
19220101 19220131    10.1
19220201 19220228    20.1
19220301 19220331    26.6
19220401 19220430   151.2
19220501 19220531    45.7
19220601 19220630    68.5
19220701 19220731    98.2
19220801 19220831    59.9
19220901 19220930    52.6
19221001 19221031    20.6
19221101 19221130     9.6
19221201 19221231    21.6
19230101 19230131     3.8
19230201 19230228    16.8
19230301 19230331    32.3
19230401 19230430    17.0
19230501 19230531    54.0
19230601 19230630   162.8
19230701 19230731    38.3
19230801 19230831    56.1
19230901 19230930    55.3
19231001 19231031    29.2
19231101 19231130     4.6
19231201 19231231     3.0
19240101 19240131     1.0
19240201 19240229    10.1
19240301 19240331     3.3
19240401 19240430     6.3
19240501 19240531    59.5
19240601 19240630    43.9
19240701 19240731    16.3
19240801 19240831    68.3
19240901 19240930    99.8
19241001 19241031   147.5
19241101 19241130    20.1
19241201 19241231    10.6
19250101 19250131    21.0
19250201 19250228    26.7
19250301 19250331    35.0
19250401 19250430    73.6
19250501 19250531    72.7
19250601 19250630    55.8
19250701 19250731    63.8
19250801 19250831    19.8
19250901 19250930    46.2
19251001 19251031    86.0
19251101 19251130     3.3
19251201 19251231    37.6
19260101 19260131    10.0
19260201 19260228    31.7
19260301 19260331   132.2
19260401 19260430    85.7
19260501 19260531    30.7
19260601 19260630    32.0
19260701 19260731   110.6
19260801 19260831    57.4
19260901 19260930    47.5
19261001 19261031    21.7
19261101 19261130    18.4
19261201 19261231    26.4
19270101 19270131    92.7
19270201 19270228     3.0
19270301 19270331    40.1
19270401 19270430     9.7
19270501 19270531    59.6
19270601 19270630    79.1
19270701 19270731    52.1
19270801 19270831    42.9
19270901 19270930    74.1
19271001 19271031    70.5
19271101 19271130     2.5
19271201 19271231    13.2
