PRCP       018106 18880101 20180131 missing_value=99999.9 NULLARBOR ROADHOUSE                       
19840401 19840430    33.2
19840501 19840531    24.6
19840601 19840630     0.0
19840701 19840731    28.7
19840801 19840831    19.6
19840901 19840930    26.7
19841001 19841031    26.5
19841101 19841130     1.1
19841201 19841231    48.2
19850101 19850131    10.5
19850201 19850228     4.5
19850301 19850331     6.2
19850401 19850430     0.8
19850501 19850531     0.4
19850601 19850630     2.9
19850701 19850731    10.8
19850801 19850831    38.4
19850901 19850930     8.3
19851001 19851031    48.2
19851101 19851130     5.5
19851201 19851231    18.6
19860101 19860131    13.7
19860201 19860228     7.9
19860301 19860331     1.6
19860401 19860430     2.5
19860501 19860531    12.3
19860601 19860630    49.0
19860701 19860731    36.4
19860801 19860831    13.4
19860901 19860930    15.9
19861001 19861031    30.1
19861101 19861130    11.4
19861201 19861231     9.1
19870101 19870131    34.0
19870201 19870228    54.4
19870301 19870331     3.8
19870401 19870430    12.4
19870501 19870531    40.0
19870601 19870630    10.4
19870701 19870731    17.8
19870801 19870831    12.3
19870901 19870930    28.0
19871001 19871031     4.4
19871101 19871130    19.3
19871201 19871231    27.5
19880101 19880131     2.0
19880201 19880229    15.9
19880301 19880331     4.1
19880401 19880430     4.9
19880501 19880531    34.4
19880601 19880630    16.6
19880701 19880731    13.2
19880801 19880831     7.4
19880901 19880930    10.5
19881001 19881031     2.8
19881101 19881130    23.4
19881201 19881231   109.0
19890101 19890131     4.0
19890201 19890228     0.0
19890301 19890331    16.4
19890401 19890430    76.4
19890501 19890531    61.0
19890601 19890630    69.0
19890701 19890731    57.6
19890801 19890831    10.4
19890901 19890930     6.1
19891001 19891031     9.2
19891101 19891130     7.0
19891201 19891231    24.0
19900101 19900131    13.5
19900201 19900228    31.0
19900301 19900331    20.2
19900401 19900430    23.3
19900501 19900531    79.6
19900601 19900630    26.7
19900701 19900731    72.8
19900801 19900831    21.4
19900901 19900930    11.9
19901001 19901031    31.2
19901101 19901130     0.0
19901201 19901231    36.6
19910101 19910131     5.0
19910201 19910228     0.0
19910301 19910331     3.2
19910401 19910430    45.5
19910501 19910531    41.3
19910601 19910630    27.4
19910701 19910731    34.0
19910801 19910831    16.6
19910901 19910930     7.4
19911001 19911031     5.0
19911101 19911130    28.4
19911201 19911231    15.7
19920101 19920131    10.0
19920201 19920229     5.5
19920301 19920331     9.8
19920401 19920430    68.2
19920501 19920531    30.8
19920601 19920630    28.8
19920701 19920731    14.0
19920801 19920831    63.0
19920901 19920930    50.1
19921001 19921031    48.4
19921101 19921130    76.8
19921201 19921231    61.1
19930101 19930131    22.8
19930201 19930228     1.8
19930301 19930331     9.9
19930401 19930430     3.8
19930501 19930531    33.4
19930601 19930630    35.3
19930701 19930731    99.5
19930801 19930831    56.2
19930901 19930930    32.1
19931001 19931031    37.0
19931101 19931130    23.2
19931201 19931231    41.1
19940101 19940131     2.8
19940201 19940228    32.7
19940301 19940331     7.5
19940401 19940430 99999.9
19940501 19940531    11.6
19940601 19940630    27.9
19940701 19940731    28.6
19940801 19940831     3.3
19940901 19940930     3.5
19941001 19941031    12.0
19941101 19941130    12.2
19941201 19941231     8.7
19950101 19950131    24.6
19950201 19950228     9.4
19950301 19950331    58.3
19950401 19950430    32.6
19950501 19950531    37.0
19950601 19950630    76.0
19950701 19950731    25.8
19950801 19950831     7.4
19950901 19950930    26.8
19951001 19951031    13.7
19951101 19951130    12.2
19951201 19951231    22.6
19960101 19960131     4.3
19960201 19960229     3.2
19960301 19960331     7.6
19960401 19960430    21.9
19960501 19960531    18.2
19960601 19960630    36.6
19960701 19960731    45.1
19960801 19960831    37.2
19960901 19960930    41.1
19961001 19961031     5.5
19961101 19961130     3.4
19961201 19961231    17.6
19970101 19970131     0.0
19970201 19970228     0.0
19970301 19970331     0.0
19970401 19970430     3.6
19970501 19970531    22.4
19970601 19970630     9.0
19970701 19970731    14.4
19970801 19970831    41.6
19970901 19970930    41.6
19971001 19971031    28.2
19971101 19971130    28.4
19971201 19971231    31.0
19980101 19980131     0.6
19980201 19980228     6.4
19980301 19980331    62.4
19980401 19980430    48.6
19980501 19980531     5.0
19980601 19980630    29.6
19980701 19980731    91.6
19980801 19980831    13.2
19980901 19980930     8.2
19981001 19981031    12.2
19981101 19981130    14.2
19981201 19981231     6.4
19990101 19990131    25.2
19990201 19990228    16.8
19990301 19990331    27.8
19990401 19990430     4.4
19990501 19990531     7.4
19990601 19990630     9.8
19990701 19990731     8.4
19990801 19990831    22.0
19990901 19990930    33.6
19991001 19991031    23.4
19991101 19991130    31.4
19991201 19991231    15.4
20000101 20000131    48.6
20000201 20000229    12.0
20000301 20000331    11.6
20000401 20000430    10.4
20000501 20000531    23.0
20000601 20000630    23.0
20000701 20000731    20.8
20000801 20000831    48.2
20000901 20000930     7.8
20001001 20001031    15.6
20001101 20001130     5.6
20001201 20001231     7.4
20010101 20010131     0.0
20010201 20010228    16.0
20010301 20010331    25.6
20010401 20010430     7.4
20010501 20010531    83.4
20010601 20010630    64.8
20010701 20010731    10.4
20010801 20010831    21.8
20010901 20010930    47.8
20011001 20011031    22.2
20011101 20011130    39.8
20011201 20011231    28.0
20020101 20020131    12.0
20020201 20020228     2.6
20020301 20020331     4.0
20020401 20020430    78.8
20020501 20020531    18.8
20020601 20020630    15.2
20020701 20020731    15.2
20020801 20020831    17.6
20020901 20020930     7.4
20021001 20021031     7.6
20021101 20021130    34.4
20021201 20021231    18.4
20030101 20030131    21.0
20030201 20030228    29.6
20030301 20030331     7.6
20030401 20030430     6.6
20030501 20030531     9.8
20030601 20030630    21.4
20030701 20030731    26.8
20030801 20030831    47.6
20030901 20030930    19.4
20031001 20031031    37.6
20031101 20031130    16.6
20031201 20031231    10.2
20040101 20040131     1.2
20040201 20040229     9.6
20040301 20040331    10.0
20040401 20040430    53.4
20040501 20040531    38.8
20040601 20040630    26.8
20040701 20040731    36.0
20040801 20040831    31.6
20040901 20040930    20.4
20041001 20041031     0.4
20041101 20041130    16.2
20041201 20041231     7.8
20050101 20050131     7.8
20050201 20050228     0.6
20050301 20050331     5.2
20050401 20050430     4.6
20050501 20050531     3.8
20050601 20050630    23.0
20050701 20050731    26.8
20050801 20050831    23.4
20050901 20050930    36.0
20051001 20051031    23.0
20051101 20051130    26.4
20051201 20051231    31.8
20060101 20060131   121.8
20060201 20060228    46.4
20060301 20060331    29.0
20060401 20060430    72.2
20060501 20060531    44.0
20060601 20060630    23.0
20060701 20060731    72.4
20060801 20060831     8.8
20060901 20060930     3.4
20061001 20061031     3.2
20061101 20061130     8.0
20061201 20061231     8.0
20070101 20070131     9.8
20070201 20070228     2.6
20070301 20070331    53.0
20070401 20070430    63.6
20070501 20070531    23.4
20070601 20070630    22.2
20070701 20070731     7.2
20070801 20070831    26.0
20070901 20070930     2.2
20071001 20071031    11.0
20071101 20071130    10.8
20071201 20071231    40.4
20080101 20080131     0.6
20080201 20080229     4.8
20080301 20080331     5.2
20080401 20080430    11.8
20080501 20080531     8.0
20080601 20080630     9.0
20080701 20080731    29.0
20080801 20080831    19.8
20080901 20080930     4.2
20081001 20081031     3.2
20081101 20081130    36.6
20081201 20081231    54.6
20090101 20090131     0.2
20090201 20090228     1.2
20090301 20090331    75.6
20090401 20090430    16.8
20090501 20090531     6.2
20090601 20090630    23.8
20090701 20090731    33.8
20090801 20090831    14.4
20090901 20090930    25.4
20091001 20091031     5.0
20091101 20091130     1.8
20091201 20091231    15.2
20100101 20100131    34.8
20100201 20100228    33.0
20100301 20100331    31.4
20100401 20100430    21.0
20100501 20100531    43.8
20100601 20100630    27.4
20100701 20100731    48.0
20100801 20100831    46.2
20100901 20100930    60.2
20101001 20101031    40.0
20101101 20101130    13.6
20101201 20101231     2.6
20110101 20110131    20.2
20110201 20110228    86.8
20110301 20110331    24.4
20110401 20110430    29.6
20110501 20110531    19.2
20110601 20110630    19.2
20110701 20110731    41.8
20110801 20110831    24.6
20110901 20110930    22.0
20111001 20111031    21.8
20111101 20111130     6.2
20111201 20111231    81.4
20120101 20120131    12.6
20120201 20120229     0.0
20120301 20120331     0.0
20120401 20120430     6.4
20120501 20120531    17.4
20120601 20120630    40.4
20120701 20120731    20.6
20120801 20120831     4.6
20120901 20120930     2.2
20121001 20121031     2.8
20121101 20121130    18.2
20121201 20121231    10.0
20130101 20130131     3.4
20130201 20130228    29.2
20130301 20130331    16.0
20130401 20130430    53.6
20130501 20130531    34.4
20130601 20130630    39.0
20130701 20130731    36.8
20130801 20130831     8.8
20130901 20130930    15.6
20131001 20131031     4.0
20131101 20131130    46.6
20131201 20131231     5.8
20140101 20140131    42.6
20140201 20140228    70.8
20140301 20140331     3.0
20140401 20140430    21.2
20140501 20140531    57.6
20140601 20140630    32.0
20140701 20140731    27.8
20140801 20140831    13.6
20140901 20140930    17.6
20141001 20141031     1.6
20141101 20141130    19.2
20141201 20141231     2.2
20150101 20150131     3.2
20150201 20150228     6.2
20150301 20150331    12.0
20150401 20150430    45.2
20150501 20150531    22.6
20150601 20150630    15.4
20150701 20150731    27.4
20150801 20150831    35.4
20150901 20150930    13.0
20151001 20151031     3.4
20151101 20151130    13.8
20151201 20151231     7.6
20160101 20160131     4.0
20160201 20160229    71.4
20160301 20160331    12.0
20160401 20160430    14.0
20160501 20160531    53.4
20160601 20160630    74.6
20160701 20160731    24.8
20160801 20160831    20.4
20160901 20160930    38.8
20161001 20161031    10.0
20161101 20161130     6.2
20161201 20161231    55.0
20170101 20170131    80.6
20170201 20170228    67.6
20170301 20170331     0.8
20170401 20170430    42.6
20170501 20170531    14.0
20170601 20170630    12.0
20170701 20170731     5.4
20170801 20170831    17.6
20170901 20170930    11.2
20171001 20171031    11.4
20171101 20171130    36.2
20171201 20171231    49.0
20180101 20180131    42.4
