PRCP       015019 19030901 20151231 missing_value=99999.9 LAKE NASH                                 
19250801 19250831     0.0
19250901 19250930     4.8
19251001 19251031     0.0
19251101 19251130     6.9
19251201 19251231     9.6
19260101 19260131    26.6
19260201 19260228     0.0
19260301 19260331    96.2
19260401 19260430     3.0
19260501 19260531     6.4
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     6.9
19261001 19261031     0.8
19261101 19261130    14.8
19261201 19261231    17.8
19270101 19270131    70.6
19270201 19270228   117.8
19270301 19270331    30.5
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630     0.0
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031     0.0
19271101 19271130     0.0
19271201 19271231    21.1
19280101 19280131     9.7
19280201 19280229    38.6
19280301 19280331     0.0
19280401 19280430     0.0
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130     5.6
19281201 19281231    22.9
19290101 19290131    38.8
19290201 19290228    23.3
19290301 19290331    47.2
19290401 19290430     1.3
19290501 19290531     0.0
19290601 19290630     2.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     1.8
19291101 19291130    15.1
19291201 19291231    21.8
19300101 19300131    25.4
19300201 19300228    89.1
19300301 19300331    41.7
19300401 19300430     0.0
19300501 19300531     0.0
19300601 19300630     0.0
19300701 19300731     3.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031    80.4
19301101 19301130    41.0
19301201 19301231    22.6
19310101 19310131    11.8
19310201 19310228     0.0
19310301 19310331    34.3
19310401 19310430    18.8
19310501 19310531    48.3
19310601 19310630     1.5
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     8.1
19311001 19311031     0.0
19311101 19311130    11.9
19311201 19311231    21.4
19320101 19320131    16.8
19320201 19320229    12.7
19320301 19320331     8.9
19320401 19320430     0.0
19320501 19320531    46.4
19320601 19320630     6.4
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031    21.6
19321101 19321130    39.8
19321201 19321231    14.0
19330101 19330131    35.0
19330201 19330228   191.3
19330301 19330331    21.8
19330401 19330430    10.7
19330501 19330531     5.1
19330601 19330630    25.4
19330701 19330731     0.0
19330801 19330831     8.9
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130    36.2
19331201 19331231    19.0
19340101 19340131    78.2
19340201 19340228    16.3
