PRCP       054036 18830101 20171231 missing_value=99999.9 WALLANGRA (WALLANGRA STATION)             
19041101 19041130    12.4
19041201 19041231    39.9
19050101 19050131    75.2
19050201 19050228    17.8
19050301 19050331    91.2
19050401 19050430   159.3
19050501 19050531    91.2
19050601 19050630     9.4
19050701 19050731    20.3
19050801 19050831    29.2
19050901 19050930     3.3
19051001 19051031    57.9
19051101 19051130    37.3
19051201 19051231    88.4
19060101 19060131    77.7
19060201 19060228    64.3
19060301 19060331    65.0
19060401 19060430    19.1
19060501 19060531    51.3
19060601 19060630    26.9
19060701 19060731    16.8
19060801 19060831    92.7
19060901 19060930    74.4
19061001 19061031   155.7
19061101 19061130    93.5
19061201 19061231    84.1
19070101 19070131    69.3
19070201 19070228    96.8
19070301 19070331   162.8
19070401 19070430    15.2
19070501 19070531     9.7
19070601 19070630    66.0
19070701 19070731    35.6
19070801 19070831    40.4
19070901 19070930     1.5
19071001 19071031    23.6
19071101 19071130   166.9
19071201 19071231    53.3
19080101 19080131    29.0
19080201 19080229   123.7
19080301 19080331    80.0
19080401 19080430    69.1
19080501 19080531     8.4
19080601 19080630    45.0
19080701 19080731    16.3
19080801 19080831    66.3
19080901 19080930    40.6
19081001 19081031    43.9
19081101 19081130    59.4
19081201 19081231    58.9
19090101 19090131    16.8
19090201 19090228    88.1
19090301 19090331    17.0
19090401 19090430    72.4
19090501 19090531    33.3
19090601 19090630    65.0
19090701 19090731    44.2
19090801 19090831   128.0
19090901 19090930    29.5
19091001 19091031    43.7
19091101 19091130    82.0
19091201 19091231    69.1
19100101 19100131   157.0
19100201 19100228    53.1
19100301 19100331   184.7
19100401 19100430    39.9
19100501 19100531     3.8
19100601 19100630    95.0
19100701 19100731    68.1
19100801 19100831    13.5
19100901 19100930     5.8
19101001 19101031    64.0
19101101 19101130    45.5
19101201 19101231   124.0
19110101 19110131   203.5
19110201 19110228   106.2
19110301 19110331    64.8
19110401 19110430     7.9
19110501 19110531    56.6
19110601 19110630     4.8
19110701 19110731    42.4
19110801 19110831    26.9
19110901 19110930    83.8
19111001 19111031    34.0
19111101 19111130    27.7
19111201 19111231    18.5
19120101 19120131    72.4
19120201 19120229   108.0
19120301 19120331    84.1
19120401 19120430     0.8
19120501 19120531     4.1
19120601 19120630   148.1
19120701 19120731    70.1
19120801 19120831    38.4
19120901 19120930    36.8
19121001 19121031    65.0
19121101 19121130    93.2
19121201 19121231    35.3
19130101 19130131    94.7
19130201 19130228    35.8
19130301 19130331    59.2
19130401 19130430    25.7
19130501 19130531   157.2
19130601 19130630    88.1
19130701 19130731    13.2
19130801 19130831     6.9
19130901 19130930    25.9
19131001 19131031    59.7
19131101 19131130    26.2
19131201 19131231    90.2
19140101 19140131    67.6
19140201 19140228   113.8
19140301 19140331   103.6
19140401 19140430    39.9
19140501 19140531    82.0
19140601 19140630    20.1
19140701 19140731    57.4
19140801 19140831     5.1
19140901 19140930    21.3
19141001 19141031    66.3
19141101 19141130    39.6
19141201 19141231    78.7
19150101 19150131    22.1
19150201 19150228    29.2
19150301 19150331     2.0
19150401 19150430    17.0
19150501 19150531    69.9
19150601 19150630    21.3
19150701 19150731    46.2
19150801 19150831    67.3
19150901 19150930    33.5
19151001 19151031    29.7
19151101 19151130     6.4
19151201 19151231   100.6
19160101 19160131    44.5
19160201 19160229   178.3
19160301 19160331    45.7
19160401 19160430    84.8
19160501 19160531     5.3
19160601 19160630    71.9
19160701 19160731    98.6
19160801 19160831    79.2
19160901 19160930    68.8
19161001 19161031    29.0
19161101 19161130   122.2
19161201 19161231   196.9
19170101 19170131   188.5
19170201 19170228    83.3
19170301 19170331    49.0
19170401 19170430     1.3
19170501 19170531     8.6
19170601 19170630    30.0
19170701 19170731    22.1
19170801 19170831    24.9
19170901 19170930   134.1
19171001 19171031    30.7
19171101 19171130   206.2
19171201 19171231    80.8
19180101 19180131   141.0
19180201 19180228    25.9
19180301 19180331     2.5
19180401 19180430    34.8
19180501 19180531     6.4
19180601 19180630     9.1
19180701 19180731    36.6
19180801 19180831    75.7
19180901 19180930     7.1
19181001 19181031    15.7
19181101 19181130    39.1
19181201 19181231    18.3
19190101 19190131    45.7
19190201 19190228    36.1
19190301 19190331    23.1
19190401 19190430     7.6
19190501 19190531    36.1
19190601 19190630    15.0
19190701 19190731     5.8
19190801 19190831    23.6
19190901 19190930     2.8
19191001 19191031    13.7
19191101 19191130    10.7
19191201 19191231    56.4
19200101 19200131    38.4
19200201 19200229    23.9
19200301 19200331    18.5
19200401 19200430    13.0
19200501 19200531    32.3
19200601 19200630   113.8
19200701 19200731    90.2
19200801 19200831    56.1
19200901 19200930    59.4
19201001 19201031    63.0
19201101 19201130    66.8
19201201 19201231    84.1
19210101 19210131    24.1
19210201 19210228    38.6
19210301 19210331    76.5
19210401 19210430    24.6
19210501 19210531   119.1
19210601 19210630   178.1
19210701 19210731   189.2
19210801 19210831    11.4
19210901 19210930    94.2
19211001 19211031    93.7
19211101 19211130    39.9
19211201 19211231   219.5
19220101 19220131    77.7
19220201 19220228     3.8
19220301 19220331    43.9
19220401 19220430     5.8
19220501 19220531     1.3
19220601 19220630    34.3
19220701 19220731    65.8
19220801 19220831    15.0
19220901 19220930    56.9
19221001 19221031    37.3
19221101 19221130    40.6
19221201 19221231    98.6
19230101 19230131    79.0
19230201 19230228    19.8
19230301 19230331    36.1
19230401 19230430     4.8
19230501 19230531     7.6
19230601 19230630    67.1
19230701 19230731    27.7
19230801 19230831    15.2
19230901 19230930    45.2
19231001 19231031    31.2
19231101 19231130     8.9
19231201 19231231    98.8
19240101 19240131    90.7
19240201 19240229   167.6
19240301 19240331    18.3
19240401 19240430    77.5
19240501 19240531    10.4
19240601 19240630    67.3
19240701 19240731    56.4
19240801 19240831    51.3
19240901 19240930    37.1
19241001 19241031    74.2
19241101 19241130   129.8
19241201 19241231    37.1
19250101 19250131    83.1
19250201 19250228    59.2
19250301 19250331    38.9
19250401 19250430     2.5
19250501 19250531    66.5
19250601 19250630     3.3
19250701 19250731    40.6
19250801 19250831    69.9
19250901 19250930     8.6
19251001 19251031    12.7
19251101 19251130   162.6
19251201 19251231    52.1
19260101 19260131    28.7
19260201 19260228    19.6
19260301 19260331    21.6
19260401 19260430    25.9
19260501 19260531    43.7
19260601 19260630    47.8
19260701 19260731    40.6
19260801 19260831    14.0
19260901 19260930    22.1
19261001 19261031     7.6
19261101 19261130     5.6
19261201 19261231   167.4
19270101 19270131    86.4
19270201 19270228    21.1
19270301 19270331    95.3
19270401 19270430    48.3
19270501 19270531     3.0
19270601 19270630    32.5
19270701 19270731     4.8
19270801 19270831    22.1
19270901 19270930    13.2
19271001 19271031    55.6
19271101 19271130   151.6
19271201 19271231    57.7
19280101 19280131    98.6
19280201 19280229   130.6
19280301 19280331    51.3
19280401 19280430    49.0
19280501 19280531    27.4
19280601 19280630   117.9
19280701 19280731    69.3
19280801 19280831     0.0
19280901 19280930     5.8
19281001 19281031    45.5
19281101 19281130    43.9
19281201 19281231    32.8
19290101 19290131    26.9
19290201 19290228   114.6
19290301 19290331    52.8
19290401 19290430   106.7
19290501 19290531     9.9
19290601 19290630    30.2
19290701 19290731    17.5
19290801 19290831    48.5
19290901 19290930    23.4
19291001 19291031   103.6
19291101 19291130    46.5
19291201 19291231    42.9
19300101 19300131   134.6
19300201 19300228    35.1
19300301 19300331    50.3
19300401 19300430    44.7
19300501 19300531    46.2
19300601 19300630    91.7
19300701 19300731   103.4
19300801 19300831    61.2
19300901 19300930    13.0
19301001 19301031    79.2
19301101 19301130    83.3
19301201 19301231    40.6
19310101 19310131    53.3
19310201 19310228    42.9
19310301 19310331   124.7
19310401 19310430    63.5
19310501 19310531    66.8
19310601 19310630    81.0
19310701 19310731    79.2
19310801 19310831    24.9
19310901 19310930    47.2
19311001 19311031    52.3
19311101 19311130   113.3
19311201 19311231   134.1
19320101 19320131    15.7
19320201 19320229    31.8
19320301 19320331    44.5
19320401 19320430    74.9
19320501 19320531    31.5
19320601 19320630    33.0
19320701 19320731    39.9
19320801 19320831     5.3
19320901 19320930   106.7
19321001 19321031    79.5
19321101 19321130    54.4
19321201 19321231    82.8
19330101 19330131   251.0
19330201 19330228    22.1
19330301 19330331     4.1
19330401 19330430    11.2
19330501 19330531    48.3
19330601 19330630    53.3
19330701 19330731    82.6
19330801 19330831    45.2
19330901 19330930    63.8
19331001 19331031   119.9
19331101 19331130    69.6
19331201 19331231   117.3
19340101 19340131   121.2
19340201 19340228   119.6
19340301 19340331     0.0
19340401 19340430    91.2
19340501 19340531    29.7
19340601 19340630    35.8
19340701 19340731    52.1
19340801 19340831    61.2
19340901 19340930    75.4
19341001 19341031   106.7
19341101 19341130    70.9
19341201 19341231   170.2
19350101 19350131   186.4
19350201 19350228    52.6
19350301 19350331    20.3
19350401 19350430    28.2
19350501 19350531    11.2
19350601 19350630     7.4
19350701 19350731    55.9
19350801 19350831    22.6
19350901 19350930    66.3
19351001 19351031   111.8
19351101 19351130    17.3
19351201 19351231    53.6
19360101 19360131    59.7
19360201 19360229    20.6
19360301 19360331    68.3
19360401 19360430    17.3
19360501 19360531    47.8
19360601 19360630    19.8
19360701 19360731   103.9
19360801 19360831    41.4
19360901 19360930    55.1
19361001 19361031    15.7
19361101 19361130    25.1
19361201 19361231   166.1
19370101 19370131    83.8
19370201 19370228    26.7
19370301 19370331   142.2
19370401 19370430    19.3
19370501 19370531     8.9
19370601 19370630    34.3
19370701 19370731    21.3
19370801 19370831    35.6
19370901 19370930     9.1
19371001 19371031    61.5
19371101 19371130   148.6
19371201 19371231    59.9
19380101 19380131    88.4
19380201 19380228    46.7
19380301 19380331     5.6
19380401 19380430     8.1
19380501 19380531   110.7
19380601 19380630    45.0
19380701 19380731    32.5
19380801 19380831    65.8
19380901 19380930    24.6
19381001 19381031   119.6
19381101 19381130   146.1
19381201 19381231     1.0
19390101 19390131   112.0
19390201 19390228     9.4
19390301 19390331   127.5
19390401 19390430    33.0
19390501 19390531     0.3
19390601 19390630    88.9
19390701 19390731    31.0
19390801 19390831    59.4
19390901 19390930    13.2
19391001 19391031    48.3
19391101 19391130    22.9
19391201 19391231    36.8
19400101 19400131    34.0
19400201 19400229   110.2
19400301 19400331   107.7
19400401 19400430    32.8
19400501 19400531    10.2
19400601 19400630    11.4
19400701 19400731     0.0
19400801 19400831     4.8
19400901 19400930    30.5
19401001 19401031    19.6
19401101 19401130    66.5
19401201 19401231   180.3
19410101 19410131   166.1
19410201 19410228    60.5
19410301 19410331   100.8
19410401 19410430    17.3
19410501 19410531     6.1
19410601 19410630    54.9
19410701 19410731    15.7
19410801 19410831     3.0
19410901 19410930     4.6
19411001 19411031    48.5
19411101 19411130    81.0
19411201 19411231     1.8
19420101 19420131    39.4
19420201 19420228    66.0
19420301 19420331    25.4
19420401 19420430     0.0
19420501 19420531    33.5
19420601 19420630    46.2
19420701 19420731    98.3
19420801 19420831    11.9
19420901 19420930    24.9
19421001 19421031   134.9
19421101 19421130   103.4
19421201 19421231   159.5
19430101 19430131    54.9
19430201 19430228    15.5
19430301 19430331    18.5
19430401 19430430    43.7
19430501 19430531    29.7
19430601 19430630    29.2
19430701 19430731    31.5
19430801 19430831    54.9
19430901 19430930    56.9
19431001 19431031    46.0
19431101 19431130   165.6
19431201 19431231    92.5
19440101 19440131   100.1
19440201 19440229    30.2
19440301 19440331     8.1
19440401 19440430    15.7
19440501 19440531    26.7
19440601 19440630    15.2
19440701 19440731    57.9
19440801 19440831   115.1
19440901 19440930    21.1
19441001 19441031     7.6
19441101 19441130    43.9
19441201 19441231    52.8
19450101 19450131   102.4
19450201 19450228   178.3
19450301 19450331    10.2
19450401 19450430    31.0
19450501 19450531    46.7
19450601 19450630    89.9
19450701 19450731    50.5
19450801 19450831    45.5
19450901 19450930    24.1
19451001 19451031     5.6
19451101 19451130    33.3
19451201 19451231    41.4
19460101 19460131   179.6
19460201 19460228    39.4
19460301 19460331    32.5
19460401 19460430    41.1
19460501 19460531    23.4
19460601 19460630     8.1
19460701 19460731     2.5
19460801 19460831     1.5
19460901 19460930   121.9
19461001 19461031    15.2
19461101 19461130    66.8
19461201 19461231    55.1
19470101 19470131    21.8
19470201 19470228   114.0
19470301 19470331   108.5
19470401 19470430    56.1
19470501 19470531    19.3
19470601 19470630    18.3
19470701 19470731    27.9
19470801 19470831    59.2
19470901 19470930    70.6
19471001 19471031    41.9
19471101 19471130    91.7
19471201 19471231   157.7
19480101 19480131   103.4
19480201 19480229    94.5
19480301 19480331    35.3
19480401 19480430    18.8
19480501 19480531    62.0
19480601 19480630    87.9
19480701 19480731    46.0
19480801 19480831    14.7
19480901 19480930    38.4
19481001 19481031    28.7
19481101 19481130    99.3
19481201 19481231    76.7
19490101 19490131    98.3
19490201 19490228   129.0
19490301 19490331    23.1
19490401 19490430    15.7
19490501 19490531     9.7
19490601 19490630    65.8
19490701 19490731    27.4
19490801 19490831    23.4
19490901 19490930    53.3
19491001 19491031   154.9
19491101 19491130    93.0
19491201 19491231    39.4
19500101 19500131    34.5
19500201 19500228   113.8
19500301 19500331   115.6
19500401 19500430    91.7
19500501 19500531    40.6
19500601 19500630   109.0
19500701 19500731   172.2
19500801 19500831    13.2
19500901 19500930    71.9
19501001 19501031   179.6
19501101 19501130   214.6
19501201 19501231    32.0
19510101 19510131   135.9
19510201 19510228    45.4
19510301 19510331    32.1
19510401 19510430    21.3
19510501 19510531    28.7
19510601 19510630   137.8
19510701 19510731     5.9
19510801 19510831    32.3
19510901 19510930    29.4
19511001 19511031    31.7
19511101 19511130    16.2
19511201 19511231    15.2
19520101 19520131    17.8
19520201 19520229   132.6
19520301 19520331    89.1
19520401 19520430    72.0
19520501 19520531    70.9
19520601 19520630    33.8
19520701 19520731    36.8
19520801 19520831   129.0
19520901 19520930    23.7
19521001 19521031   238.0
19521101 19521130    17.5
19521201 19521231    37.1
19530101 19530131    61.4
19530201 19530228   295.3
19530301 19530331    56.5
19530401 19530430     9.9
19530501 19530531    62.2
19530601 19530630     0.5
19530701 19530731    11.7
19530801 19530831    72.6
19530901 19530930    13.5
19531001 19531031    41.8
19531101 19531130    33.5
19531201 19531231    11.9
19540101 19540131    61.3
19540201 19540228   168.3
19540301 19540331     7.4
19540401 19540430     1.8
19540501 19540531    26.2
19540601 19540630    28.1
19540701 19540731    41.9
19540801 19540831    52.4
19540901 19540930    18.2
19541001 19541031   248.9
19541101 19541130   111.7
19541201 19541231    43.2
19550101 19550131    53.6
19550201 19550228   214.5
19550301 19550331     6.0
19550401 19550430    68.4
19550501 19550531    39.6
19550601 19550630    18.3
19550701 19550731    51.0
19550801 19550831    37.0
19550901 19550930    32.1
19551001 19551031   130.3
19551101 19551130    34.3
19551201 19551231    95.3
19560101 19560131   152.0
19560201 19560229   294.1
19560301 19560331    31.0
19560401 19560430    39.8
19560501 19560531    89.3
19560601 19560630    92.8
19560701 19560731    49.3
19560801 19560831     3.3
19560901 19560930    48.4
19561001 19561031    58.4
19561101 19561130    35.3
19561201 19561231    49.3
19570101 19570131    88.8
19570201 19570228    67.0
19570301 19570331    66.8
19570401 19570430    23.9
19570501 19570531     2.1
19570601 19570630    48.8
19570701 19570731    12.8
19570801 19570831    50.6
19570901 19570930     4.3
19571001 19571031    38.1
19571101 19571130     5.8
19571201 19571231    46.0
19580101 19580131    54.6
19580201 19580228    78.0
19580301 19580331    95.2
19580401 19580430    34.1
19580501 19580531    27.5
19580601 19580630    58.3
19580701 19580731    17.3
19580801 19580831    34.7
19580901 19580930    79.9
19581001 19581031    58.4
19581101 19581130    31.7
19581201 19581231   129.3
19590101 19590131   209.3
19590201 19590228   103.4
19590301 19590331    84.1
19590401 19590430     8.1
19590501 19590531    35.1
19590601 19590630     7.5
19590701 19590731    83.7
19590801 19590831     0.8
19590901 19590930    34.0
19591001 19591031    57.6
19591101 19591130   130.3
19591201 19591231   163.9
19600101 19600131    40.1
19600201 19600229    92.5
19600301 19600331    10.9
19600401 19600430     8.5
19600501 19600531    65.7
19600601 19600630    37.1
19600701 19600731    55.0
19600801 19600831    44.8
19600901 19600930    57.0
19601001 19601031    77.8
19601101 19601130    66.8
19601201 19601231    70.7
19610101 19610131    79.8
19610201 19610228    99.9
19610301 19610331    45.0
19610401 19610430    25.7
19610501 19610531    28.4
19610601 19610630    55.6
19610701 19610731    58.7
19610801 19610831    47.0
19610901 19610930    15.3
19611001 19611031    57.7
19611101 19611130   184.2
19611201 19611231    53.6
19620101 19620131   135.7
19620201 19620228    68.1
19620301 19620331   113.2
19620401 19620430    99.9
19620501 19620531    28.0
19620601 19620630     1.6
19620701 19620731    52.3
19620801 19620831    52.0
19620901 19620930    30.3
19621001 19621031    35.5
19621101 19621130    43.2
19621201 19621231   143.5
19630101 19630131    51.9
19630201 19630228    48.6
19630301 19630331   114.2
19630401 19630430    39.4
19630501 19630531   100.6
19630601 19630630    33.8
19630701 19630731     4.3
19630801 19630831    70.8
19630901 19630930     6.3
19631001 19631031    31.5
19631101 19631130    93.7
19631201 19631231   147.1
19640101 19640131    52.3
19640201 19640229    41.0
19640301 19640331    98.3
19640401 19640430    76.0
19640501 19640531    41.7
19640601 19640630    25.4
19640701 19640731    62.5
19640801 19640831    27.2
19640901 19640930    62.7
19641001 19641031   112.7
19641101 19641130    19.7
19641201 19641231    34.0
19650101 19650131    26.2
19650201 19650228    18.0
19650301 19650331     6.9
19650401 19650430    19.9
19650501 19650531     9.9
19650601 19650630    12.3
19650701 19650731    25.2
19650801 19650831    20.5
19650901 19650930    39.2
19651001 19651031    31.1
