PRCP       054036 18830101 20171231 missing_value=99999.9 WALLANGRA (WALLANGRA STATION)             
19781101 19781130   149.0
19781201 19781231   143.0
19790101 19790131    18.4
19790201 19790228    15.0
19790301 19790331   125.8
19790401 19790430    26.4
19790501 19790531    60.0
19790601 19790630    42.6
19790701 19790731    11.4
19790801 19790831    19.0
19790901 19790930    50.0
19791001 19791031    88.0
19791101 19791130    96.6
19791201 19791231     7.0
19800101 19800131    71.4
19800201 19800229    73.0
19800301 19800331     7.8
19800401 19800430     1.0
19800501 19800531   102.4
19800601 19800630    12.8
19800701 19800731    21.2
19800801 19800831    20.2
19800901 19800930     0.4
19801001 19801031    61.8
19801101 19801130    58.4
19801201 19801231   220.2
19810101 19810131     6.4
19810201 19810228    70.2
19810301 19810331    18.0
19810401 19810430    21.0
19810501 19810531    67.6
19810601 19810630   112.0
19810701 19810731   112.8
19810801 19810831    14.2
19810901 19810930    20.4
19811001 19811031    86.8
19811101 19811130   101.8
19811201 19811231   110.2
19820101 19820131    43.4
19820201 19820228    39.0
19820301 19820331   260.8
19820401 19820430    44.6
19820501 19820531    19.8
19820601 19820630     4.2
19820701 19820731    17.8
19820801 19820831     0.2
19820901 19820930    77.0
19821001 19821031    55.4
19821101 19821130     2.8
19821201 19821231    93.4
19830101 19830131   152.6
19830201 19830228    42.2
19830301 19830331    60.0
19830401 19830430   132.6
19830501 19830531   213.0
19830601 19830630    68.0
19830701 19830731    57.6
19830801 19830831    66.6
19830901 19830930    74.8
19831001 19831031   125.0
19831101 19831130    81.0
19831201 19831231    80.4
19840101 19840131   188.8
19840201 19840229    74.8
19840301 19840331    23.8
19840401 19840430    94.6
19840501 19840531     7.8
19840601 19840630    27.0
19840701 19840731   171.0
19840801 19840831    25.0
19840901 19840930    48.0
19841001 19841031    63.2
19841101 19841130    91.6
19841201 19841231    88.4
19850101 19850131    24.8
19850201 19850228    78.0
19850301 19850331    47.4
19850401 19850430    45.2
19850501 19850531    31.8
19850601 19850630    18.0
19850701 19850731    68.8
19850801 19850831    63.4
19850901 19850930    37.0
19851001 19851031    46.4
19851101 19851130   120.6
19851201 19851231   143.4
19860101 19860131    71.0
19860201 19860228    59.4
19860301 19860331    30.6
19860401 19860430     1.4
19860501 19860531    61.4
19860601 19860630     3.2
19860701 19860731    84.6
19860801 19860831    49.4
19860901 19860930    58.8
19861001 19861031    64.6
19861101 19861130   193.6
19861201 19861231    41.8
19870101 19870131   164.0
19870201 19870228    57.2
19870301 19870331   131.6
19870401 19870430     4.0
19870501 19870531    60.6
19870601 19870630    20.4
19870701 19870731    28.2
19870801 19870831    69.8
19870901 19870930    15.6
19871001 19871031    53.0
19871101 19871130    51.4
19871201 19871231   102.6
19880101 19880131   148.0
19880201 19880229   144.0
19880301 19880331    19.4
19880401 19880430   231.8
19880501 19880531    25.8
19880601 19880630    18.4
19880701 19880731    68.2
19880801 19880831    78.4
19880901 19880930    73.8
19881001 19881031    18.2
19881101 19881130    67.0
19881201 19881231    95.6
19890101 19890131    48.4
19890201 19890228     5.8
19890301 19890331   133.2
19890401 19890430    71.0
19890501 19890531    50.2
19890601 19890630    74.4
19890701 19890731    60.0
19890801 19890831     8.0
19890901 19890930     1.6
19891001 19891031    80.6
19891101 19891130   132.2
19891201 19891231   143.0
19900101 19900131    84.2
19900201 19900228    64.4
19900301 19900331     6.4
19900401 19900430   157.6
19900501 19900531    63.6
19900601 19900630    49.6
19900701 19900731    57.8
19900801 19900831    14.2
19900901 19900930    25.2
19901001 19901031    43.0
19901101 19901130     9.8
19901201 19901231    98.0
19910101 19910131   211.0
19910201 19910228   129.2
19910301 19910331    25.4
19910401 19910430     0.0
19910501 19910531    43.0
19910601 19910630    32.8
19910701 19910731    69.2
19910801 19910831     0.0
19910901 19910930     6.4
19911001 19911031    13.6
19911101 19911130    55.4
19911201 19911231   123.8
19920101 19920131    74.2
19920201 19920229   165.0
19920301 19920331    33.4
19920401 19920430    34.2
19920501 19920531    47.4
19920601 19920630    19.8
19920701 19920731    30.4
19920801 19920831    66.4
19920901 19920930    24.6
19921001 19921031    51.6
19921101 19921130    64.4
19921201 19921231    97.8
19930101 19930131    90.6
19930201 19930228    76.4
19930301 19930331    39.0
19930401 19930430     0.0
19930501 19930531    23.8
19930601 19930630    37.6
19930701 19930731    66.6
19930801 19930831    34.2
19930901 19930930    60.0
19931001 19931031   126.2
19931101 19931130     8.6
19931201 19931231   100.0
19940101 19940131    65.8
19940201 19940228   184.2
19940301 19940331    70.2
19940401 19940430    20.0
19940501 19940531     5.8
19940601 19940630    29.0
19940701 19940731     3.6
19940801 19940831    33.6
19940901 19940930    19.6
19941001 19941031    21.8
19941101 19941130    53.4
19941201 19941231   109.8
19950101 19950131   192.0
19950201 19950228   102.2
19950301 19950331    38.8
19950401 19950430     4.0
19950501 19950531    37.6
19950601 19950630    61.2
19950701 19950731     8.4
19950801 19950831     0.0
19950901 19950930    74.0
19951001 19951031    42.8
19951101 19951130   137.8
19951201 19951231   107.2
19960101 19960131   505.4
19960201 19960229    70.8
19960301 19960331    11.2
19960401 19960430    18.4
19960501 19960531   119.4
19960601 19960630    27.8
19960701 19960731    64.2
19960801 19960831    57.4
19960901 19960930    91.2
19961001 19961031    42.0
19961101 19961130    56.2
19961201 19961231   142.6
19970101 19970131    45.8
19970201 19970228   154.4
19970301 19970331    42.8
19970401 19970430     0.0
19970501 19970531    84.2
19970601 19970630    35.6
19970701 19970731    12.4
19970801 19970831    14.0
19970901 19970930    38.8
19971001 19971031    79.8
19971101 19971130    94.6
19971201 19971231   136.8
19980101 19980131   106.4
19980201 19980228    82.4
19980301 19980331     9.0
19980401 19980430    54.6
19980501 19980531    79.6
19980601 19980630    69.9
19980701 19980731   157.0
19980801 19980831   108.3
19980901 19980930    53.8
19981001 19981031    65.0
19981101 19981130    76.1
19981201 19981231    47.4
19990101 19990131    72.6
19990201 19990228    76.9
19990301 19990331   136.3
19990401 19990430    40.5
19990501 19990531     6.4
19990601 19990630    41.4
19990701 19990731    43.2
19990801 19990831    47.4
19990901 19990930    19.6
19991001 19991031   148.9
19991101 19991130   124.2
19991201 19991231    95.6
20000101 20000131    37.8
20000201 20000229    39.0
20000301 20000331   179.6
20000401 20000430    19.8
20000501 20000531    46.2
20000601 20000630    10.6
20000701 20000731    36.7
20000801 20000831    21.8
20000901 20000930     5.0
20001001 20001031   104.0
20001101 20001130   217.0
20001201 20001231   159.4
20010101 20010131    59.2
20010201 20010228   223.4
20010301 20010331   101.4
20010401 20010430    14.4
20010501 20010531    42.4
20010601 20010630    30.8
20010701 20010731    65.6
20010801 20010831    17.6
20010901 20010930    24.4
20011001 20011031    52.8
20011101 20011130   169.5
20011201 20011231    38.2
20020101 20020131    38.1
20020201 20020228    25.6
20020301 20020331    99.2
20020401 20020430     2.2
20020501 20020531     6.4
20020601 20020630    13.9
20020701 20020731     1.2
20020801 20020831    52.2
20020901 20020930    23.7
20021001 20021031    25.5
20021101 20021130    59.1
20021201 20021231    93.7
20030101 20030131    11.8
20030201 20030228   128.3
20030301 20030331    84.3
20030401 20030430    80.1
20030501 20030531     0.9
20030601 20030630    31.6
20030701 20030731    29.6
20030801 20030831    25.7
20030901 20030930     1.0
20031001 20031031   118.1
20031101 20031130    49.9
20031201 20031231   123.3
20040101 20040131   243.4
20040201 20040229    26.2
20040301 20040331    52.3
20040401 20040430    37.4
20040501 20040531    27.1
20040601 20040630    10.1
20040701 20040731    25.9
20040801 20040831    27.4
20040901 20040930    72.8
20041001 20041031    35.6
20041101 20041130    92.6
20041201 20041231   219.9
20050101 20050131    42.3
20050201 20050228     8.8
20050301 20050331    17.4
20050401 20050430     0.1
20050501 20050531    15.7
20050601 20050630   128.3
20050701 20050731    20.0
20050801 20050831    16.6
20050901 20050930    57.5
20051001 20051031    62.0
20051101 20051130   119.9
20051201 20051231    65.9
20060101 20060131    87.9
20060201 20060228   144.2
20060301 20060331    26.6
20060401 20060430    23.4
20060501 20060531     3.0
20060601 20060630    34.1
20060701 20060731    48.6
20060801 20060831     9.1
20060901 20060930    30.2
20061001 20061031    22.5
20061101 20061130    66.7
20061201 20061231    15.7
20070101 20070131    16.4
20070201 20070228    49.6
20070301 20070331    28.3
20070401 20070430    61.2
20070501 20070531    30.6
20070601 20070630    86.7
20070701 20070731     5.3
20070801 20070831    61.5
20070901 20070930     2.4
20071001 20071031    53.5
20071101 20071130    54.7
20071201 20071231   135.2
20080101 20080131    72.2
20080201 20080229   144.7
20080301 20080331     4.7
20080401 20080430     6.1
20080501 20080531     3.0
20080601 20080630    61.0
20080701 20080731    38.7
20080801 20080831     4.6
20080901 20080930    67.0
20081001 20081031    11.6
20081101 20081130   181.1
20081201 20081231   209.0
20090101 20090131    42.8
20090201 20090228   205.7
20090301 20090331     4.9
20090401 20090430    27.6
20090501 20090531    53.4
20090601 20090630    33.5
20090701 20090731    21.9
20090801 20090831     5.0
20090901 20090930    35.9
20091001 20091031    19.5
20091101 20091130    23.5
20091201 20091231   239.5
20100101 20100131    30.8
20100201 20100228    42.3
20100301 20100331    62.7
20100401 20100430     4.5
20100501 20100531    61.2
20100601 20100630    33.5
20100701 20100731    91.3
20100801 20100831    82.0
20100901 20100930   131.2
20101001 20101031    86.7
20101101 20101130    86.9
20101201 20101231    88.8
20110101 20110131   125.4
20110201 20110228    31.9
20110301 20110331    68.1
20110401 20110430    86.3
20110501 20110531    42.7
20110601 20110630    44.8
20110701 20110731     8.1
20110801 20110831    56.3
20110901 20110930 99999.9
20111001 20111031    90.2
20111101 20111130   110.4
20111201 20111231   161.2
20120101 20120131    96.3
20120201 20120229    64.6
20120301 20120331     8.1
20120401 20120430    44.9
20120501 20120531    40.1
20120601 20120630    15.9
20120701 20120731    58.2
20120801 20120831     6.5
20120901 20120930    22.8
20121001 20121031    27.4
20121101 20121130    41.5
20121201 20121231   107.5
20130101 20130131   176.5
20130201 20130228    54.9
20130301 20130331    93.4
20130401 20130430    28.6
20130501 20130531    13.9
20130601 20130630    73.5
20130701 20130731    17.3
20130801 20130831     8.0
20130901 20130930    22.9
20131001 20131031    15.7
20131101 20131130    91.7
20131201 20131231    13.5
20140101 20140131    31.9
20140201 20140228    36.5
20140301 20140331   195.8
20140401 20140430    17.4
20140501 20140531    22.3
20140601 20140630    54.9
20140701 20140731    11.3
20140801 20140831    55.0
20140901 20140930    28.1
20141001 20141031    13.3
20141101 20141130    41.6
20141201 20141231   151.4
20150101 20150131   196.9
20150201 20150228    58.6
20150301 20150331    36.5
20150401 20150430   120.5
20150501 20150531    52.2
20150601 20150630    43.2
20150701 20150731    67.0
20150801 20150831    11.7
20150901 20150930    13.5
20151001 20151031    67.8
20151101 20151130   124.4
20151201 20151231   136.0
20160101 20160131   133.0
20160201 20160229    27.1
20160301 20160331    22.2
20160401 20160430    36.0
20160501 20160531    28.3
20160601 20160630   109.8
20160701 20160731    50.4
20160801 20160831    76.9
20160901 20160930   141.1
20161001 20161031    62.7
20161101 20161130    23.8
20161201 20161231    54.1
20170101 20170131    99.0
20170201 20170228    27.3
20170301 20170331   191.2
20170401 20170430    47.6
20170501 20170531    34.1
20170601 20170630    32.3
20170701 20170731    13.7
20170801 20170831     7.0
20170901 20170930     3.5
20171001 20171031   142.5
20171101 20171130    40.2
20171201 20171231    17.4
