PRCP       047053 18680101 20130228 missing_value=99999.9 WENTWORTH POST OFFICE                     
18891201 18891231    13.2
18900101 18900131    18.7
18900201 18900228     8.9
18900301 18900331    23.3
18900401 18900430    18.3
18900501 18900531    72.2
18900601 18900630    37.5
18900701 18900731    63.5
18900801 18900831    48.3
18900901 18900930     5.6
18901001 18901031    35.9
18901101 18901130    35.8
18901201 18901231     8.4
18910101 18910131    29.5
18910201 18910228     0.0
18910301 18910331    31.6
18910401 18910430    59.1
18910501 18910531    26.1
18910601 18910630    54.9
18910701 18910731     0.6
18910801 18910831    32.8
18910901 18910930     4.1
18911001 18911031    41.3
18911101 18911130     3.8
18911201 18911231     6.6
18920101 18920131    10.4
18920201 18920229     6.9
18920301 18920331     0.3
18920401 18920430    19.6
18920501 18920531    24.2
18920601 18920630    30.7
18920701 18920731    27.1
18920801 18920831    17.3
18920901 18920930    59.1
18921001 18921031    79.7
18921101 18921130    47.2
18921201 18921231     5.6
18930101 18930131     0.5
18930201 18930228     0.0
18930301 18930331    14.4
18930401 18930430    26.4
18930501 18930531    70.4
18930601 18930630    41.8
18930701 18930731    20.4
18930801 18930831    17.4
18930901 18930930    48.8
18931001 18931031    11.9
18931101 18931130    57.4
18931201 18931231     2.5
18940101 18940131     6.1
18940201 18940228     4.6
18940301 18940331    69.1
18940401 18940430    14.7
18940501 18940531    13.0
18940601 18940630    75.9
18940701 18940731    32.6
18940801 18940831    55.3
18940901 18940930    21.3
18941001 18941031    84.8
18941101 18941130    19.8
18941201 18941231   197.6
18950101 18950131    25.7
18950201 18950228     0.0
18950301 18950331     5.1
18950401 18950430    37.9
18950501 18950531     3.5
18950601 18950630    31.2
18950701 18950731    24.5
18950801 18950831    35.6
18950901 18950930    16.3
18951001 18951031     1.3
18951101 18951130     4.8
18951201 18951231    28.7
18960101 18960131     4.5
18960201 18960229    16.7
18960301 18960331     9.4
18960401 18960430    15.7
18960501 18960531    28.9
18960601 18960630    25.1
18960701 18960731    19.2
18960801 18960831    26.7
18960901 18960930    14.2
18961001 18961031     8.2
18961101 18961130     9.4
18961201 18961231    21.2
18970101 18970131    43.9
18970201 18970228     8.3
18970301 18970331     0.5
18970401 18970430     0.3
18970501 18970531    13.4
18970601 18970630    25.7
18970701 18970731    32.8
18970801 18970831    30.5
18970901 18970930    27.8
18971001 18971031     2.8
18971101 18971130     0.0
18971201 18971231     5.6
18980101 18980131     0.0
18980201 18980228    47.7
18980301 18980331     0.5
18980401 18980430    22.1
18980501 18980531     9.2
18980601 18980630    33.0
18980701 18980731    15.3
18980801 18980831    56.9
18980901 18980930    10.2
18981001 18981031    22.9
18981101 18981130     0.6
18981201 18981231    24.6
18990101 18990131     9.2
18990201 18990228    35.8
18990301 18990331    17.3
18990401 18990430    21.3
18990501 18990531    10.2
18990601 18990630    74.2
18990701 18990731    24.5
18990801 18990831     6.6
18990901 18990930    13.0
18991001 18991031    15.0
18991101 18991130    36.8
18991201 18991231     0.8
19000101 19000131    26.1
19000201 19000228     0.0
19000301 19000331    14.8
19000401 19000430    67.6
19000501 19000531    15.8
19000601 19000630    44.5
19000701 19000731    17.3
19000801 19000831    34.1
19000901 19000930    22.1
19001001 19001031    10.7
19001101 19001130    13.5
19001201 19001231     0.6
19010101 19010131    38.6
19010201 19010228     4.5
19010301 19010331     0.0
19010401 19010430     8.5
19010501 19010531     0.9
19010601 19010630     8.2
19010701 19010731    24.7
19010801 19010831    92.2
19010901 19010930    19.9
19011001 19011031    26.8
19011101 19011130     4.4
19011201 19011231     9.9
19020101 19020131     4.4
19020201 19020228     0.0
19020301 19020331     8.6
19020401 19020430     2.1
19020501 19020531     2.6
19020601 19020630    20.3
19020701 19020731     4.2
19020801 19020831     8.8
19020901 19020930    18.7
19021001 19021031    11.4
19021101 19021130    14.8
19021201 19021231    75.2
19030101 19030131     2.1
19030201 19030228    26.4
19030301 19030331    26.6
19030401 19030430    30.4
19030501 19030531    21.9
19030601 19030630    19.5
19030701 19030731    11.9
19030801 19030831    11.8
19030901 19030930   109.3
19031001 19031031    27.5
19031101 19031130    38.3
19031201 19031231    31.4
19040101 19040131    16.8
19040201 19040229    65.0
19040301 19040331     4.1
19040401 19040430    13.0
19040501 19040531    12.6
19040601 19040630    31.3
19040701 19040731    49.5
19040801 19040831    18.9
19040901 19040930    17.4
19041001 19041031    41.5
19041101 19041130    17.8
19041201 19041231    41.9
19050101 19050131    55.6
19050201 19050228     6.4
19050301 19050331    11.4
19050401 19050430    54.3
19050501 19050531    43.1
19050601 19050630    29.3
19050701 19050731    22.8
19050801 19050831     3.6
19050901 19050930     9.9
19051001 19051031    26.9
19051101 19051130     0.6
19051201 19051231     0.0
19060101 19060131     0.0
19060201 19060228    16.8
19060301 19060331    75.6
19060401 19060430     0.0
19060501 19060531    36.8
19060601 19060630    58.2
19060701 19060731    24.3
19060801 19060831    33.6
19060901 19060930    47.2
19061001 19061031    34.1
19061101 19061130    25.9
19061201 19061231    39.1
19070101 19070131     1.3
19070201 19070228     0.0
19070301 19070331     6.4
19070401 19070430    26.2
19070501 19070531    23.4
19070601 19070630    34.8
19070701 19070731    24.7
19070801 19070831    34.7
19070901 19070930     2.1
19071001 19071031     6.1
19071101 19071130    24.2
19071201 19071231    62.7
19080101 19080131     5.6
19080201 19080229    34.3
19080301 19080331    12.7
19080401 19080430     0.3
19080501 19080531    31.0
19080601 19080630    35.8
19080701 19080731    13.6
19080801 19080831    36.1
19080901 19080930    61.8
19081001 19081031    71.4
19081101 19081130    11.7
19081201 19081231     3.8
19090101 19090131     9.1
19090201 19090228     2.5
19090301 19090331    28.2
19090401 19090430    11.4
19090501 19090531    75.9
19090601 19090630    67.8
19090701 19090731    11.2
19090801 19090831    35.1
19090901 19090930    21.5
19091001 19091031     7.2
19091101 19091130    17.0
19091201 19091231     4.3
19100101 19100131    52.4
19100201 19100228     0.0
19100301 19100331    83.0
19100401 19100430     1.3
19100501 19100531    55.5
19100601 19100630    64.3
19100701 19100731    35.4
19100801 19100831    41.9
19100901 19100930    52.7
19101001 19101031    28.2
19101101 19101130    24.6
19101201 19101231     4.6
19110101 19110131    34.0
19110201 19110228   222.4
19110301 19110331    23.9
19110401 19110430     1.0
19110501 19110531    49.3
19110601 19110630    16.8
19110701 19110731    19.1
19110801 19110831    11.7
19110901 19110930    37.3
19111001 19111031    27.0
19111101 19111130    37.6
19111201 19111231    36.4
19120101 19120131     1.0
19120201 19120229    22.8
