PRCP       047053 18680101 20130228 missing_value=99999.9 WENTWORTH POST OFFICE                     
19640101 19640131    17.1
19640201 19640229     6.9
19640301 19640331     1.8
19640401 19640430    32.4
19640501 19640531    15.0
19640601 19640630    18.6
19640701 19640731    14.5
19640801 19640831    19.2
19640901 19640930    92.4
19641001 19641031    30.6
19641101 19641130     7.1
19641201 19641231    13.2
19650101 19650131     0.3
19650201 19650228     0.0
19650301 19650331     1.6
19650401 19650430     9.4
19650501 19650531    21.9
19650601 19650630    29.7
19650701 19650731    40.6
19650801 19650831    55.2
19650901 19650930    45.4
19651001 19651031    13.2
19651101 19651130    26.7
19651201 19651231    15.9
19660101 19660131    13.3
19660201 19660228    16.3
19660301 19660331    32.1
19660401 19660430     1.8
19660501 19660531    29.7
19660601 19660630    18.0
19660701 19660731    29.3
19660801 19660831    27.3
19660901 19660930    23.6
19661001 19661031    19.1
19661101 19661130    39.7
19661201 19661231    53.4
19670101 19670131    10.5
19670201 19670228    32.5
19670301 19670331     6.9
19670401 19670430     0.8
19670501 19670531    10.4
19670601 19670630    11.3
19670701 19670731     8.7
19670801 19670831    22.9
19670901 19670930    10.0
19671001 19671031    12.2
19671101 19671130     0.0
19671201 19671231     0.3
19680101 19680131    31.5
19680201 19680229     0.0
19680301 19680331     9.7
19680401 19680430    14.7
19680501 19680531    41.9
19680601 19680630    33.8
19680701 19680731    23.2
19680801 19680831    23.7
19680901 19680930     5.6
19681001 19681031    18.4
19681101 19681130    11.2
19681201 19681231    18.8
19690101 19690131     2.5
19690201 19690228    55.1
19690301 19690331   144.6
19690401 19690430     3.3
19690501 19690531    30.2
19690601 19690630     5.6
19690701 19690731    34.3
19690801 19690831     4.3
19690901 19690930    29.8
19691001 19691031     5.9
19691101 19691130    23.9
19691201 19691231     6.9
19700101 19700131    20.1
19700201 19700228    18.3
19700301 19700331     8.9
19700401 19700430    30.3
19700501 19700531     5.1
19700601 19700630    15.1
19700701 19700731     2.6
19700801 19700831    43.1
19700901 19700930    69.6
19701001 19701031     5.8
19701101 19701130    43.7
19701201 19701231     9.4
19710101 19710131     0.0
19710201 19710228     2.6
19710301 19710331    21.5
19710401 19710430    90.4
19710501 19710531     5.3
19710601 19710630    18.1
19710701 19710731    21.3
19710801 19710831    20.4
19710901 19710930     9.4
19711001 19711031     0.0
19711101 19711130    18.4
19711201 19711231    20.4
19720101 19720131    48.0
19720201 19720229    26.0
19720301 19720331     0.0
19720401 19720430    11.8
19720501 19720531     9.7
19720601 19720630     5.1
19720701 19720731     4.3
19720801 19720831    37.8
19720901 19720930     7.1
19721001 19721031    20.3
19721101 19721130     4.9
19721201 19721231     4.6
19730101 19730131    16.3
19730201 19730228    98.5
19730301 19730331    35.1
19730401 19730430    11.2
19730501 19730531    16.2
19730601 19730630    42.4
19730701 19730731    41.0
19730801 19730831    69.5
19730901 19730930    18.5
19731001 19731031    94.9
19731101 19731130    48.6
19731201 19731231    38.6
19740101 19740131    87.4
19740201 19740228    47.2
19740301 19740331    31.2
19740401 19740430   117.8
19740501 19740531    81.2
19740601 19740630     2.6
19740701 19740731    47.5
19740801 19740831    15.3
19740901 19740930    45.8
19741001 19741031    70.4
19741101 19741130   104.0
19741201 19741231     0.0
19750101 19750131     6.2
19750201 19750228     2.8
19750301 19750331    11.6
19750401 19750430     3.8
19750501 19750531     8.8
19750601 19750630     6.2
19750701 19750731    28.0
19750801 19750831    32.8
19750901 19750930    60.8
19751001 19751031    97.5
19751101 19751130    11.7
19751201 19751231   119.9
19760101 19760131    28.0
19760201 19760229    40.5
19760301 19760331     6.2
19760401 19760430    29.6
19760501 19760531     4.0
19760601 19760630     3.6
19760701 19760731     7.6
19760801 19760831     4.5
19760901 19760930    23.4
19761001 19761031   100.7
19761101 19761130    22.0
19761201 19761231     4.2
19770101 19770131     4.0
19770201 19770228    78.4
19770301 19770331     2.5
19770401 19770430     4.6
19770501 19770531    37.2
19770601 19770630    30.7
19770701 19770731     2.7
19770801 19770831     1.6
19770901 19770930    17.6
19771001 19771031     3.4
19771101 19771130    53.5
19771201 19771231     0.7
19780101 19780131    10.2
19780201 19780228     0.0
19780301 19780331    21.7
19780401 19780430     5.3
19780501 19780531    28.9
19780601 19780630    61.3
19780701 19780731    42.2
19780801 19780831    29.8
19780901 19780930    32.8
19781001 19781031    17.7
19781101 19781130    37.6
19781201 19781231     5.8
19790101 19790131    59.8
19790201 19790228    17.9
19790301 19790331    18.0
19790401 19790430    20.4
19790501 19790531    69.1
19790601 19790630     2.8
19790701 19790731     1.0
19790801 19790831    19.2
19790901 19790930    34.2
19791001 19791031    55.8
19791101 19791130    36.4
19791201 19791231     0.2
19800101 19800131     7.8
19800201 19800229     1.6
19800301 19800331     4.6
19800401 19800430    93.2
19800501 19800531    21.2
19800601 19800630    36.0
19800701 19800731    22.0
19800801 19800831    17.8
19800901 19800930     7.6
19801001 19801031    28.2
19801101 19801130    13.0
19801201 19801231    15.4
19810101 19810131    27.4
19810201 19810228    23.3
19810301 19810331    26.4
19810401 19810430     0.0
19810501 19810531    45.4
19810601 19810630    33.4
19810701 19810731    50.3
19810801 19810831    26.6
19810901 19810930    30.0
19811001 19811031    18.8
19811101 19811130    19.8
19811201 19811231     2.8
19820101 19820131    32.2
19820201 19820228     1.0
19820301 19820331    14.6
19820401 19820430     5.1
19820501 19820531     1.8
19820601 19820630    13.0
19820701 19820731     1.0
19820801 19820831     2.7
19820901 19820930    23.7
19821001 19821031     0.8
19821101 19821130     0.6
19821201 19821231     6.4
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331    46.4
19830401 19830430    12.0
19830501 19830531     5.6
19830601 19830630     5.1
19830701 19830731    40.2
19830801 19830831    50.8
19830901 19830930    32.0
19831001 19831031    40.0
19831101 19831130    11.8
19831201 19831231    32.0
19840101 19840131   103.2
19840201 19840229     6.0
19840301 19840331    39.2
19840401 19840430    23.4
19840501 19840531     1.7
19840601 19840630     0.0
19840701 19840731    49.4
19840801 19840831    48.0
19840901 19840930    30.2
19841001 19841031    14.6
19841101 19841130     3.7
19841201 19841231     0.8
19850101 19850131     4.7
19850201 19850228     0.1
19850301 19850331     3.0
19850401 19850430     1.2
19850501 19850531    31.1
19850601 19850630     9.2
19850701 19850731     5.2
19850801 19850831    47.7
19850901 19850930    10.4
19851001 19851031    66.4
19851101 19851130     7.0
19851201 19851231    18.6
19860101 19860131     0.0
19860201 19860228     8.4
19860301 19860331     0.0
19860401 19860430     3.4
19860501 19860531    24.0
19860601 19860630     5.0
19860701 19860731    48.6
19860801 19860831    61.2
19860901 19860930    30.3
19861001 19861031    46.5
19861101 19861130    18.0
19861201 19861231    53.2
19870101 19870131    12.8
19870201 19870228     3.8
19870301 19870331    25.4
19870401 19870430     6.0
19870501 19870531    22.6
19870601 19870630    36.6
19870701 19870731    34.0
19870801 19870831    44.5
19870901 19870930    18.8
19871001 19871031    15.0
19871101 19871130     7.0
19871201 19871231    33.6
19880101 19880131    28.8
19880201 19880229     1.6
19880301 19880331    12.4
19880401 19880430    16.2
19880501 19880531    34.0
19880601 19880630    35.8
19880701 19880731    29.2
19880801 19880831     7.2
19880901 19880930    28.4
19881001 19881031     6.1
19881101 19881130    52.2
19881201 19881231    50.0
19890101 19890131    22.8
19890201 19890228     5.2
19890301 19890331    77.8
19890401 19890430    38.9
19890501 19890531    53.4
19890601 19890630    36.8
19890701 19890731    28.3
19890801 19890831    19.8
19890901 19890930    11.4
19891001 19891031     2.6
19891101 19891130    17.2
19891201 19891231    11.0
19900101 19900131    20.4
19900201 19900228    15.6
19900301 19900331     6.2
19900401 19900430    21.4
19900501 19900531    34.1
19900601 19900630    28.8
19900701 19900731    43.6
19900801 19900831    41.2
19900901 19900930    17.4
19901001 19901031     3.0
19901101 19901130     3.8
19901201 19901231     3.4
19910101 19910131    89.4
19910201 19910228     0.0
19910301 19910331     0.0
19910401 19910430    13.2
19910501 19910531     0.0
19910601 19910630    65.6
19910701 19910731    52.4
19910801 19910831    15.6
19910901 19910930    30.8
19911001 19911031     1.2
19911101 19911130    44.4
19911201 19911231     2.0
19920101 19920131     0.0
19920201 19920229     8.6
19920301 19920331     6.8
19920401 19920430    13.2
19920501 19920531    45.8
19920601 19920630    18.4
19920701 19920731     3.8
19920801 19920831    47.0
19920901 19920930    82.0
19921001 19921031    53.2
19921101 19921130    42.4
19921201 19921231    57.4
19930101 19930131    85.8
19930201 19930228     3.0
19930301 19930331    10.0
19930401 19930430     0.0
19930501 19930531    16.8
19930601 19930630    15.4
19930701 19930731    33.0
19930801 19930831     6.0
19930901 19930930    45.2
19931001 19931031   101.6
19931101 19931130    26.8
19931201 19931231    67.2
19940101 19940131     0.0
19940201 19940228    73.4
19940301 19940331     0.0
19940401 19940430     1.2
19940501 19940531     1.2
19940601 19940630    26.3
19940701 19940731    12.8
19940801 19940831     1.2
19940901 19940930    16.6
19941001 19941031     3.2
19941101 19941130    14.4
19941201 19941231     7.4
19950101 19950131    33.6
19950201 19950228    21.0
19950301 19950331     0.0
19950401 19950430    10.4
19950501 19950531    45.7
19950601 19950630    10.2
19950701 19950731    40.0
19950801 19950831     5.2
19950901 19950930    52.0
19951001 19951031    33.9
19951101 19951130    12.8
19951201 19951231     0.0
19960101 19960131    17.2
19960201 19960229    11.8
19960301 19960331    29.8
19960401 19960430     6.6
19960501 19960531     1.0
19960601 19960630    36.2
19960701 19960731    54.8
19960801 19960831    38.4
19960901 19960930    31.4
19961001 19961031    14.8
19961101 19961130    14.0
19961201 19961231     1.2
19970101 19970131    22.8
19970201 19970228    54.8
19970301 19970331     0.2
19970401 19970430     0.2
19970501 19970531    17.0
19970601 19970630     8.6
19970701 19970731     3.4
19970801 19970831    37.8
19970901 19970930    78.2
19971001 19971031    10.8
19971101 19971130    12.8
19971201 19971231    11.7
19980101 19980131    11.0
19980201 19980228    11.6
19980301 19980331     1.6
19980401 19980430    25.4
19980501 19980531     0.4
19980601 19980630     6.8
19980701 19980731    35.4
19980801 19980831     3.8
19980901 19980930    21.8
19981001 19981031    15.0
19981101 19981130    11.8
19981201 19981231     5.2
19990101 19990131    32.8
19990201 19990228    56.4
19990301 19990331    20.8
19990401 19990430     4.6
19990501 19990531    30.8
19990601 19990630    20.2
19990701 19990731    37.4
19990801 19990831    35.6
19990901 19990930    11.6
19991001 19991031    23.9
19991101 19991130    71.8
19991201 19991231    31.6
20000101 20000131     4.1
20000201 20000229    63.6
20000301 20000331     2.2
20000401 20000430    39.6
20000501 20000531    15.8
20000601 20000630    12.0
20000701 20000731    34.0
20000801 20000831    41.8
20000901 20000930    43.6
20001001 20001031    38.0
20001101 20001130    39.8
20001201 20001231    14.4
20010101 20010131     0.4
20010201 20010228    12.4
20010301 20010331    10.0
20010401 20010430     4.4
20010501 20010531    16.4
20010601 20010630    33.2
20010701 20010731    27.2
20010801 20010831    15.4
20010901 20010930    38.2
20011001 20011031    28.0
20011101 20011130     1.6
20011201 20011231     3.8
20020101 20020131     1.6
20020201 20020228     9.8
20020301 20020331    12.0
20020401 20020430     9.8
20020501 20020531    16.8
20020601 20020630    16.8
20020701 20020731     7.0
20020801 20020831     9.4
20020901 20020930     8.6
20021001 20021031     4.6
20021101 20021130    19.6
20021201 20021231    66.2
20030101 20030131     0.6
20030201 20030228    40.4
20030301 20030331     0.0
20030401 20030430     0.6
20030501 20030531    19.4
20030601 20030630    17.2
20030701 20030731    14.6
20030801 20030831    51.0
20030901 20030930     3.0
20031001 20031031    30.4
20031101 20031130    20.0
20031201 20031231    41.8
20040101 20040131     3.2
20040201 20040229     1.4
20040301 20040331     0.6
20040401 20040430     0.0
20040501 20040531     8.4
20040601 20040630    22.8
20040701 20040731    25.0
20040801 20040831    23.2
20040901 20040930    12.7
20041001 20041031     1.6
20041101 20041130    47.4
20041201 20041231    23.0
20050101 20050131    21.0
20050201 20050228     5.6
20050301 20050331     5.2
20050401 20050430     2.8
20050501 20050531     3.0
20050601 20050630    49.8
20050701 20050731    34.0
20050801 20050831    27.6
20050901 20050930    58.2
20051001 20051031    68.6
20051101 20051130    49.0
20051201 20051231     2.0
20060101 20060131     7.2
20060201 20060228     1.8
20060301 20060331    28.8
20060401 20060430    19.4
20060501 20060531    11.3
20060601 20060630    11.8
20060701 20060731    31.8
20060801 20060831     9.0
20060901 20060930    11.8
20061001 20061031     0.0
20061101 20061130     6.2
20061201 20061231     5.6
20070101 20070131    48.6
20070201 20070228    13.8
20070301 20070331    16.0
20070401 20070430    33.8
20070501 20070531    22.2
20070601 20070630     1.6
20070701 20070731    25.8
20070801 20070831     3.4
20070901 20070930     3.0
20071001 20071031     7.8
20071101 20071130    36.4
20071201 20071231    15.4
20080101 20080131    19.0
20080201 20080229     0.0
20080301 20080331     0.4
20080401 20080430    12.4
20080501 20080531    27.6
20080601 20080630    14.2
20080701 20080731    17.0
20080801 20080831    42.1
20080901 20080930     5.8
20081001 20081031     3.4
20081101 20081130    36.4
20081201 20081231    41.2
20090101 20090131     3.4
20090201 20090228     0.0
20090301 20090331    23.0
20090401 20090430    25.8
20090501 20090531 99999.9
20090601 20090630    37.8
20090701 20090731    14.6
20090801 20090831    11.2
20090901 20090930    26.6
20091001 20091031     8.6
20091101 20091130    57.0
20091201 20091231    12.4
20100101 20100131     7.4
20100201 20100228    12.2
20100301 20100331    40.6
20100401 20100430    24.8
20100501 20100531    54.6
20100601 20100630    12.2
20100701 20100731    27.6
20100801 20100831    28.2
20100901 20100930    46.8
20101001 20101031    87.8
20101101 20101130   117.2
20101201 20101231    74.2
20110101 20110131    89.0
20110201 20110228   108.4
20110301 20110331   102.6
20110401 20110430     8.6
20110501 20110531    19.8
20110601 20110630     8.2
20110701 20110731    14.8
20110801 20110831    26.4
20110901 20110930 99999.9
20111001 20111031    24.6
20111101 20111130 99999.9
20111201 20111231   103.6
20120101 20120131    22.6
20120201 20120229 99999.9
20120301 20120331    50.8
20120401 20120430     3.8
20120501 20120531 99999.9
20120601 20120630    15.0
20120701 20120731 99999.9
20120801 20120831    17.4
20120901 20120930     9.6
20121001 20121031     4.4
20121101 20121130 99999.9
20121201 20121231     6.6
20130101 20130131 99999.9
20130201 20130228    20.4
