PRCP       077039 19100101 20180131 missing_value=99999.9 SEA LAKE (POST OFFICE)                    
20050801 20050831    31.8
20050901 20050930    33.8
20051001 20051031    56.4
20051101 20051130    22.4
20051201 20051231    11.8
20060101 20060131    28.8
20060201 20060228     2.4
20060301 20060331    15.8
20060401 20060430    19.0
20060501 20060531    12.6
20060601 20060630    23.0
20060701 20060731    35.8
20060801 20060831     3.8
20060901 20060930    22.2
20061001 20061031     0.4
20061101 20061130    23.6
20061201 20061231    11.0
20070101 20070131    50.8
20070201 20070228     2.6
20070301 20070331    13.8
20070401 20070430    48.2
20070501 20070531    44.8
20070601 20070630    11.6
20070701 20070731    18.4
20070801 20070831     5.0
20070901 20070930     9.6
20071001 20071031     5.8
20071101 20071130    42.8
20071201 20071231    33.2
20080101 20080131    33.2
20080201 20080229     0.0
20080301 20080331     8.2
20080401 20080430     5.0
20080501 20080531    21.4
20080601 20080630    16.0
20080701 20080731    38.2
20080801 20080831    35.6
20080901 20080930     9.2
20081001 20081031     8.2
20081101 20081130    52.6
20081201 20081231    56.0
20090101 20090131     0.0
20090201 20090228     0.4
20090301 20090331    28.4
20090401 20090430    26.0
20090501 20090531    21.6
20090601 20090630    37.2
20090701 20090731    30.4
20090801 20090831    19.6
20090901 20090930    65.8
20091001 20091031    15.8
20091101 20091130    76.4
20091201 20091231    12.8
20100101 20100131    23.2
20100201 20100228    28.8
20100301 20100331    52.4
20100401 20100430    37.6
20100501 20100531    38.8
20100601 20100630    13.2
20100701 20100731    26.4
20100801 20100831    70.2
20100901 20100930    50.2
20101001 20101031    76.6
20101101 20101130    85.2
20101201 20101231   103.0
20110101 20110131   157.0
20110201 20110228    50.8
20110301 20110331    26.4
20110401 20110430    17.0
20110501 20110531    20.0
20110601 20110630    12.4
20110701 20110731    16.6
20110801 20110831    42.6
20110901 20110930    24.6
20111001 20111031    20.2
20111101 20111130    41.0
20111201 20111231     6.0
20120101 20120131    12.0
20120201 20120229     3.8
20120301 20120331    57.6
20120401 20120430     4.6
20120501 20120531     9.8
20120601 20120630    13.2
20120701 20120731    54.4
20120801 20120831    19.0
20120901 20120930    13.6
20121001 20121031    35.4
20121101 20121130     4.2
20121201 20121231     5.6
20130101 20130131    13.0
20130201 20130228    22.8
20130301 20130331     8.4
20130401 20130430    14.2
20130501 20130531    22.4
20130601 20130630    49.0
20130701 20130731    30.4
20130801 20130831    19.0
20130901 20130930    32.6
20131001 20131031    15.0
20131101 20131130     5.2
20131201 20131231    30.0
20140101 20140131     8.4
20140201 20140228    15.6
20140301 20140331    15.4
20140401 20140430    66.6
20140501 20140531    24.2
20140601 20140630    23.2
20140701 20140731    18.2
20140801 20140831     2.8
20140901 20140930    55.6
20141001 20141031     5.8
20141101 20141130    22.6
20141201 20141231     7.8
20150101 20150131    51.8
20150201 20150228     6.4
20150301 20150331     1.6
20150401 20150430    24.8
20150501 20150531    22.6
20150601 20150630    27.4
20150701 20150731    17.0
20150801 20150831    11.4
20150901 20150930    14.4
20151001 20151031     9.8
20151101 20151130    11.0
20151201 20151231     6.4
20160101 20160131    41.8
20160201 20160229    11.4
20160301 20160331    14.1
20160401 20160430     6.4
20160501 20160531    61.4
20160601 20160630    26.5
20160701 20160731    36.5
20160801 20160831    36.5
20160901 20160930   124.1
20161001 20161031    51.2
20161101 20161130    17.2
20161201 20161231     0.0
20170101 20170131    16.8
20170201 20170228    33.2
20170301 20170331    16.2
20170401 20170430    53.8
20170501 20170531    28.6
20170601 20170630     3.1
20170701 20170731    16.9
20170801 20170831    52.9
20170901 20170930     6.1
20171001 20171031    27.8
20171101 20171130    26.1
20171201 20171231    31.2
20180101 20180131     5.4
