PRCP       077039 19100101 20180131 missing_value=99999.9 SEA LAKE (POST OFFICE)                    
19311101 19311130     5.6
19311201 19311231     0.3
19320101 19320131     0.0
19320201 19320229    55.1
19320301 19320331    37.2
19320401 19320430    48.1
19320501 19320531    19.9
19320601 19320630    40.1
19320701 19320731    28.6
19320801 19320831    48.0
19320901 19320930    23.2
19321001 19321031    12.0
19321101 19321130    10.6
19321201 19321231    24.5
19330101 19330131    27.8
19330201 19330228     0.0
19330301 19330331     4.1
19330401 19330430     8.4
19330501 19330531    40.3
19330601 19330630    20.3
19330701 19330731    64.4
19330801 19330831    23.8
19330901 19330930    43.7
19331001 19331031    25.7
19331101 19331130    35.5
19331201 19331231    44.6
19340101 19340131     6.4
19340201 19340228    39.6
19340301 19340331    14.0
19340401 19340430    30.3
19340501 19340531     0.0
19340601 19340630     6.9
19340701 19340731    22.2
19340801 19340831    24.9
19340901 19340930    24.6
19341001 19341031   106.4
19341101 19341130    89.3
19341201 19341231     0.3
19350101 19350131    12.4
19350201 19350228     7.2
19350301 19350331    16.9
19350401 19350430    27.4
19350501 19350531     9.3
19350601 19350630    18.3
19350701 19350731    34.4
19350801 19350831    12.5
19350901 19350930    52.1
19351001 19351031    50.3
19351101 19351130    10.2
19351201 19351231    15.5
19360101 19360131    66.4
19360201 19360229     0.8
19360301 19360331     0.3
19360401 19360430     5.4
19360501 19360531    40.9
19360601 19360630    22.3
19360701 19360731    98.2
19360801 19360831    26.1
19360901 19360930     3.6
19361001 19361031    41.5
19361101 19361130     2.1
19361201 19361231    37.5
19370101 19370131    37.9
19370201 19370228    11.7
19370301 19370331     4.6
19370401 19370430     1.0
19370501 19370531    26.7
19370601 19370630    61.1
19370701 19370731    16.4
19370801 19370831    40.5
19370901 19370930    10.8
19371001 19371031   101.1
19371101 19371130     3.1
19371201 19371231    41.6
19380101 19380131    25.7
19380201 19380228    16.8
19380301 19380331     0.3
19380401 19380430     9.5
19380501 19380531    14.8
19380601 19380630    24.7
19380701 19380731    41.6
19380801 19380831    15.3
19380901 19380930     2.3
19381001 19381031     2.8
19381101 19381130     3.0
19381201 19381231     1.0
19390101 19390131     1.5
19390201 19390228    96.8
19390301 19390331     3.6
19390401 19390430    43.7
19390501 19390531    51.7
19390601 19390630    42.6
19390701 19390731    32.5
19390801 19390831    43.0
19390901 19390930    13.2
19391001 19391031     6.9
19391101 19391130    48.0
19391201 19391231     0.0
19400101 19400131    18.3
19400201 19400229    11.7
19400301 19400331     1.0
19400401 19400430    30.2
19400501 19400531     5.4
19400601 19400630     4.7
19400701 19400731    14.8
19400801 19400831     9.7
19400901 19400930    38.4
19401001 19401031     3.5
19401101 19401130    18.8
19401201 19401231    12.9
19410101 19410131    20.6
19410201 19410228     3.6
19410301 19410331    20.9
19410401 19410430     5.9
19410501 19410531    12.5
19410601 19410630    31.6
19410701 19410731    47.4
19410801 19410831     7.3
19410901 19410930    39.2
19411001 19411031    51.6
19411101 19411130    24.6
19411201 19411231     8.4
19420101 19420131     7.4
19420201 19420228     5.8
19420301 19420331     4.9
19420401 19420430    27.1
19420501 19420531    65.5
19420601 19420630    56.0
19420701 19420731    30.4
19420801 19420831    55.1
19420901 19420930    15.9
19421001 19421031    39.2
19421101 19421130    21.3
19421201 19421231     4.6
19430101 19430131     2.3
19430201 19430228     9.7
19430301 19430331     3.5
19430401 19430430    10.3
19430501 19430531    11.7
19430601 19430630    35.6
19430701 19430731    27.1
19430801 19430831    35.3
19430901 19430930    29.0
19431001 19431031    27.4
19431101 19431130     8.6
19431201 19431231    10.6
19440101 19440131     8.6
19440201 19440229     5.9
19440301 19440331     1.5
19440401 19440430    36.9
19440501 19440531    35.2
19440601 19440630     3.1
19440701 19440731    21.4
19440801 19440831     0.8
19440901 19440930     9.2
19441001 19441031     9.6
19441101 19441130    16.3
19441201 19441231    32.5
19450101 19450131     5.8
19450201 19450228    16.8
19450301 19450331     2.3
19450401 19450430     0.8
19450501 19450531    12.7
19450601 19450630    87.2
19450701 19450731    21.4
19450801 19450831    39.9
19450901 19450930    14.5
19451001 19451031    36.3
19451101 19451130    34.4
19451201 19451231     7.7
19460101 19460131    56.4
19460201 19460228    56.6
19460301 19460331    29.5
19460401 19460430     6.2
19460501 19460531    37.1
19460601 19460630    27.8
19460701 19460731    33.3
19460801 19460831    31.9
19460901 19460930     6.1
19461001 19461031    11.6
19461101 19461130    29.2
19461201 19461231     8.4
19470101 19470131     0.5
19470201 19470228    33.3
19470301 19470331    52.6
19470401 19470430    19.3
19470501 19470531    10.2
19470601 19470630    36.0
19470701 19470731    42.9
19470801 19470831    30.9
19470901 19470930    34.1
19471001 19471031    65.0
19471101 19471130    46.5
19471201 19471231    31.3
19480101 19480131     0.0
19480201 19480229     6.8
19480301 19480331     0.8
19480401 19480430    27.2
19480501 19480531    32.5
19480601 19480630    50.5
19480701 19480731    19.3
19480801 19480831     4.3
19480901 19480930     9.9
