PRCP       073012 19070401 20130331 missing_value=99999.9 HARDEN (DUNOLLY)                          
19290301 19290331    35.2
19290401 19290430    19.5
19290501 19290531     6.7
19290601 19290630    24.1
19290701 19290731     8.7
19290801 19290831    41.6
19290901 19290930    34.9
19291001 19291031    11.5
19291101 19291130    55.5
19291201 19291231    69.1
19300101 19300131     7.5
19300201 19300228    27.7
19300301 19300331    55.7
19300401 19300430    50.0
19300501 19300531    39.8
19300601 19300630    33.7
19300701 19300731    53.7
19300801 19300831    60.6
19300901 19300930    26.2
19301001 19301031   101.4
19301101 19301130    26.0
19301201 19301231    85.2
19310101 19310131    49.3
19310201 19310228     0.0
19310301 19310331   100.2
19310401 19310430   100.7
19310501 19310531   134.9
19310601 19310630   139.9
19310701 19310731    52.7
19310801 19310831    26.2
19310901 19310930    51.4
19311001 19311031    30.8
19311101 19311130    58.8
19311201 19311231    56.0
19320101 19320131     2.3
19320201 19320229    10.5
19320301 19320331    94.5
19320401 19320430   107.1
19320501 19320531    13.6
19320601 19320630    53.2
19320701 19320731    30.8
19320801 19320831    56.2
19320901 19320930    27.2
19321001 19321031    23.9
19321101 19321130    56.5
19321201 19321231    30.0
19330101 19330131    59.6
19330201 19330228     0.0
19330301 19330331    19.5
19330401 19330430    23.7
19330501 19330531    33.5
19330601 19330630    27.7
19330701 19330731    56.3
19330801 19330831    25.0
19330901 19330930    73.9
19331001 19331031    17.8
19331101 19331130    42.9
19331201 19331231    78.0
19340101 19340131    79.1
19340201 19340228    71.7
19340301 19340331    21.8
19340401 19340430    32.4
19340501 19340531     0.0
19340601 19340630    41.3
19340701 19340731    99.7
19340801 19340831    52.6
19340901 19340930    39.4
19341001 19341031    98.9
19341101 19341130   143.1
19341201 19341231 99999.9
19350101 19350131 99999.9
19350201 19350228 99999.9
19350301 19350331 99999.9
19350401 19350430 99999.9
19350501 19350531 99999.9
19350601 19350630 99999.9
19350701 19350731 99999.9
19350801 19350831 99999.9
19350901 19350930 99999.9
19351001 19351031 99999.9
19351101 19351130 99999.9
19351201 19351231 99999.9
19360101 19360131 99999.9
19360201 19360229 99999.9
19360301 19360331 99999.9
19360401 19360430 99999.9
19360501 19360531 99999.9
19360601 19360630 99999.9
19360701 19360731 99999.9
