PRCP       073012 19070401 20130331 missing_value=99999.9 HARDEN (DUNOLLY)                          
20020601 20020630    47.4
20020701 20020731    33.0
20020801 20020831    36.0
20020901 20020930    64.0
20021001 20021031     3.0
20021101 20021130    13.6
20021201 20021231     7.2
20030101 20030131     0.0
20030201 20030228    94.4
20030301 20030331    18.6
20030401 20030430    34.6
20030501 20030531     9.0
20030601 20030630    61.6
20030701 20030731    59.6
20030801 20030831    66.8
20030901 20030930    53.7
20031001 20031031    54.3
20031101 20031130    64.4
20031201 20031231    85.2
20040101 20040131    28.0
20040201 20040229    16.2
20040301 20040331     1.3
20040401 20040430     2.8
20040501 20040531    12.0
20040601 20040630    49.0
20040701 20040731    54.4
20040801 20040831    74.5
20040901 20040930    37.7
20041001 20041031    39.4
20041101 20041130    67.2
20041201 20041231    80.2
20050101 20050131    26.7
20050201 20050228    63.6
20050301 20050331    17.6
20050401 20050430     6.2
20050501 20050531     3.0
20050601 20050630    86.2
20050701 20050731    82.2
20050801 20050831    86.4
20050901 20050930    96.8
20051001 20051031    57.2
20051101 20051130    53.8
20051201 20051231    24.8
20060101 20060131    37.2
20060201 20060228     1.1
20060301 20060331    27.8
20060401 20060430    14.4
20060501 20060531     4.4
20060601 20060630    55.2
20060701 20060731    67.3
20060801 20060831     9.2
20060901 20060930    21.2
20061001 20061031 99999.9
20061101 20061130    18.6
20061201 20061231     1.5
20070101 20070131    44.1
20070201 20070228    41.4
20070301 20070331    34.3
20070401 20070430    75.6
20070501 20070531    51.0
20070601 20070630    43.9
20070701 20070731    42.0
20070801 20070831    10.6
20070901 20070930     8.0
20071001 20071031    21.8
20071101 20071130    90.7
20071201 20071231    90.3
20080101 20080131    53.6
20080201 20080229    26.4
20080301 20080331    33.2
20080401 20080430    27.8
20080501 20080531    20.3
20080601 20080630    30.8
20080701 20080731    52.6
20080801 20080831    29.9
20080901 20080930    46.5
20081001 20081031    53.4
20081101 20081130    30.2
20081201 20081231    76.6
20090101 20090131    32.0
20090201 20090228     3.8
20090301 20090331    12.4
20090401 20090430     0.0
20090501 20090531     4.0
20090601 20090630    70.7
20090701 20090731    46.4
20090801 20090831    34.8
20090901 20090930    43.8
20091001 20091031    42.6
20091101 20091130    25.8
20091201 20091231    61.6
20100101 20100131    27.8
20100201 20100228   179.0
20100301 20100331    70.6
20100401 20100430    31.0
20100501 20100531    58.6
20100601 20100630    29.2
20100701 20100731    84.3
20100801 20100831    61.2
20100901 20100930    74.6
20101001 20101031    93.2
20101101 20101130   190.8
20101201 20101231   183.4
20110101 20110131    39.1
20110201 20110228   166.0
20110301 20110331    79.1
20110401 20110430    27.2
20110501 20110531    40.4
20110601 20110630    16.0
20110701 20110731    42.8
20110801 20110831    67.4
20110901 20110930    46.2
20111001 20111031    32.8
20111101 20111130   112.4
20111201 20111231    96.0
20120101 20120131    38.2
20120201 20120229   138.4
20120301 20120331   163.0
20120401 20120430    18.0
20120501 20120531    45.8
20120601 20120630    38.8
20120701 20120731    46.3
20120801 20120831    47.2
20120901 20120930    34.0
20121001 20121031    20.2
20121101 20121130    45.3
20121201 20121231    33.0
20130101 20130131     3.0
20130201 20130228    41.5
20130301 20130331    38.7
