PRCP       062021 18760301 20180131 missing_value=99999.9 MUDGEE (GEORGE STREET)                    
18980101 18980131   169.3
18980201 18980228    88.6
18980301 18980331     2.0
18980401 18980430     0.0
18980501 18980531    61.0
18980601 18980630   133.1
18980701 18980731    24.7
18980801 18980831    55.7
18980901 18980930    65.0
18981001 18981031   124.5
18981101 18981130     5.4
18981201 18981231    37.1
18990101 18990131    82.1
18990201 18990228     3.0
18990301 18990331    27.5
18990401 18990430   107.9
18990501 18990531     5.1
18990601 18990630    55.2
18990701 18990731    41.9
18990801 18990831    78.0
18990901 18990930    25.6
18991001 18991031    13.0
18991101 18991130    33.4
18991201 18991231    32.5
19000101 19000131   107.1
19000201 19000228     9.4
19000301 19000331   100.3
19000401 19000430    88.9
19000501 19000531    87.2
19000601 19000630   103.2
19000701 19000731    80.8
19000801 19000831    17.0
19000901 19000930    79.2
19001001 19001031     6.3
19001101 19001130    56.7
19001201 19001231    20.6
19010101 19010131    40.5
19010201 19010228     6.8
19010301 19010331   129.1
19010401 19010430   100.9
19010501 19010531    64.3
19010601 19010630    36.9
19010701 19010731    11.2
19010801 19010831   104.5
19010901 19010930    18.3
19011001 19011031    59.5
19011101 19011130    64.6
19011201 19011231    14.0
19020101 19020131    23.6
19020201 19020228     7.9
19020301 19020331    37.9
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630    26.4
19020701 19020731    19.6
19020801 19020831    18.2
19020901 19020930    70.9
19021001 19021031    40.7
19021101 19021130    17.0
19021201 19021231    86.9
19030101 19030131    22.4
19030201 19030228     4.6
19030301 19030331    42.4
19030401 19030430   106.7
19030501 19030531    44.9
19030601 19030630    26.1
19030701 19030731    25.0
19030801 19030831    27.2
19030901 19030930   112.3
19031001 19031031    71.2
19031101 19031130    47.5
19031201 19031231   104.1
19040101 19040131    63.2
19040201 19040229    58.5
19040301 19040331    41.7
19040401 19040430    16.5
19040501 19040531    20.4
19040601 19040630    18.0
19040701 19040731   115.7
19040801 19040831    31.5
19040901 19040930    24.6
19041001 19041031   119.8
19041101 19041130    11.2
19041201 19041231    50.6
19050101 19050131     0.0
19050201 19050228    62.5
19050301 19050331    71.0
19050401 19050430    89.4
19050501 19050531    73.1
19050601 19050630    43.1
19050701 19050731    58.2
19050801 19050831    35.5
19050901 19050930    15.2
19051001 19051031    98.3
19051101 19051130     8.6
19051201 19051231     8.4
19060101 19060131    23.7
19060201 19060228    44.8
19060301 19060331    93.2
19060401 19060430    11.2
19060501 19060531    21.6
19060601 19060630    93.1
19060701 19060731    21.3
19060801 19060831    85.3
19060901 19060930    93.7
19061001 19061031    99.0
19061101 19061130   110.7
19061201 19061231    62.4
19070101 19070131    79.0
19070201 19070228    38.1
19070301 19070331    59.7
19070401 19070430    15.0
19070501 19070531     4.0
19070601 19070630    73.9
19070701 19070731    39.6
19070801 19070831    57.5
19070901 19070930    30.2
19071001 19071031    25.2
19071101 19071130    90.3
19071201 19071231    23.7
19080101 19080131    49.9
19080201 19080229   122.1
19080301 19080331    21.6
19080401 19080430    38.9
19080501 19080531    24.0
19080601 19080630    36.5
19080701 19080731    48.0
19080801 19080831    36.7
19080901 19080930    50.0
19081001 19081031    13.0
19081101 19081130    46.4
19081201 19081231    17.8
19090101 19090131    26.6
19090201 19090228   125.3
19090301 19090331    32.6
19090401 19090430    21.8
19090501 19090531    18.4
19090601 19090630    89.1
19090701 19090731    11.3
19090801 19090831    71.9
19090901 19090930    55.1
19091001 19091031    93.8
19091101 19091130    47.5
19091201 19091231   124.8
19100101 19100131   131.5
19100201 19100228     0.0
19100301 19100331    61.4
19100401 19100430    14.2
19100501 19100531    49.6
19100601 19100630    90.9
19100701 19100731    37.4
19100801 19100831    28.7
19100901 19100930    20.3
19101001 19101031    54.6
19101101 19101130    15.9
19101201 19101231   117.6
19110101 19110131   102.8
19110201 19110228   136.6
19110301 19110331    38.7
19110401 19110430     5.9
19110501 19110531    47.7
19110601 19110630    37.4
19110701 19110731    54.1
19110801 19110831    12.4
19110901 19110930    71.5
19111001 19111031    16.3
19111101 19111130    72.0
19111201 19111231    88.7
19120101 19120131    35.1
19120201 19120229    22.1
19120301 19120331     0.3
19120401 19120430     7.1
19120501 19120531     0.0
19120601 19120630    81.8
19120701 19120731   128.5
19120801 19120831    46.6
19120901 19120930    12.7
19121001 19121031    31.6
19121101 19121130    11.4
19121201 19121231     0.0
19130101 19130131    24.7
19130201 19130228    49.8
19130301 19130331    81.3
19130401 19130430    54.6
19130501 19130531    85.6
19130601 19130630    52.3
19130701 19130731    19.1
19130801 19130831    16.5
19130901 19130930    33.3
19131001 19131031    42.4
19131101 19131130    17.5
19131201 19131231    15.7
19140101 19140131    42.4
19140201 19140228    52.6
19140301 19140331   125.4
19140401 19140430    60.2
19140501 19140531    39.7
19140601 19140630    35.8
19140701 19140731    58.6
19140801 19140831     0.8
19140901 19140930    47.4
19141001 19141031     7.8
19141101 19141130    76.1
19141201 19141231   126.0
19150101 19150131    19.0
19150201 19150228    11.2
19150301 19150331    39.2
19150401 19150430    30.9
19150501 19150531   104.2
19150601 19150630    57.2
19150701 19150731    51.8
19150801 19150831    44.4
19150901 19150930    47.5
19151001 19151031    61.7
19151101 19151130     5.6
19151201 19151231    89.7
19160101 19160131    18.8
19160201 19160229    22.4
19160301 19160331     5.9
19160401 19160430    45.4
19160501 19160531    23.9
19160601 19160630   200.5
19160701 19160731   112.8
19160801 19160831    88.6
19160901 19160930    75.5
19161001 19161031   129.9
19161101 19161130    97.9
19161201 19161231   124.7
19170101 19170131    62.5
19170201 19170228    55.0
19170301 19170331    25.2
19170401 19170430    12.7
19170501 19170531    24.1
19170601 19170630    75.6
19170701 19170731    61.8
19170801 19170831    84.2
19170901 19170930    93.4
19171001 19171031    60.3
19171101 19171130   150.1
19171201 19171231    59.7
19180101 19180131   148.3
19180201 19180228    30.0
19180301 19180331     5.8
19180401 19180430    37.4
19180501 19180531    18.7
19180601 19180630    24.0
19180701 19180731    35.6
19180801 19180831   117.4
19180901 19180930    14.5
19181001 19181031    18.6
19181101 19181130    17.3
19181201 19181231    17.1
19190101 19190131    18.0
19190201 19190228    36.2
19190301 19190331     8.9
19190401 19190430    11.1
19190501 19190531    69.9
19190601 19190630     8.2
19190701 19190731    22.7
19190801 19190831    32.8
19190901 19190930    20.5
19191001 19191031     7.8
19191101 19191130     5.4
19191201 19191231   104.4
19200101 19200131    87.6
19200201 19200229    19.0
19200301 19200331    72.1
19200401 19200430    12.7
19200501 19200531    18.5
19200601 19200630   144.0
19200701 19200731   139.9
19200801 19200831    91.8
19200901 19200930    86.7
19201001 19201031    20.6
19201101 19201130    53.2
19201201 19201231   182.8
19210101 19210131    50.6
19210201 19210228    20.7
19210301 19210331    90.2
19210401 19210430   101.9
19210501 19210531   129.1
19210601 19210630   130.9
19210701 19210731    42.2
19210801 19210831    60.5
19210901 19210930    35.5
19211001 19211031    47.9
19211101 19211130   120.1
19211201 19211231   141.1
19220101 19220131    85.8
19220201 19220228    27.2
19220301 19220331     0.8
19220401 19220430    25.6
19220501 19220531     6.2
19220601 19220630    27.6
19220701 19220731    78.1
19220801 19220831    16.8
19220901 19220930    24.8
19221001 19221031    28.2
19221101 19221130     9.2
19221201 19221231    85.9
19230101 19230131    31.0
19230201 19230228     0.0
19230301 19230331    27.4
19230401 19230430     0.0
19230501 19230531    10.9
19230601 19230630   113.1
19230701 19230731    75.8
19230801 19230831    26.7
19230901 19230930    58.0
19231001 19231031    68.5
19231101 19231130    44.5
19231201 19231231    44.5
19240101 19240131    39.4
19240201 19240229    74.2
19240301 19240331    16.0
