PRCP       062021 18760301 20180131 missing_value=99999.9 MUDGEE (GEORGE STREET)                    
19720601 19720630     1.8
19720701 19720731    15.0
19720801 19720831    49.5
19720901 19720930    31.9
19721001 19721031    58.1
19721101 19721130    63.6
19721201 19721231    61.2
19730101 19730131   115.3
19730201 19730228   221.6
19730301 19730331    37.6
19730401 19730430    43.2
19730501 19730531    72.9
19730601 19730630    88.4
19730701 19730731    78.9
19730801 19730831    96.8
19730901 19730930    74.2
19731001 19731031   211.5
19731101 19731130   151.0
19731201 19731231    82.5
19740101 19740131    70.5
19740201 19740228    96.0
19740301 19740331     7.7
19740401 19740430   108.1
19740501 19740531    54.7
19740601 19740630    22.4
19740701 19740731    50.5
19740801 19740831    57.5
19740901 19740930    43.7
19741001 19741031    65.6
19741101 19741130    38.3
19741201 19741231     0.0
19750101 19750131    44.6
19750201 19750228   112.4
19750301 19750331    78.2
19750401 19750430    19.0
19750501 19750531    11.5
19750601 19750630    54.9
19750701 19750731    24.3
19750801 19750831    69.8
19750901 19750930    43.6
19751001 19751031    83.3
19751101 19751130    30.1
19751201 19751231    29.4
19760101 19760131   176.4
19760201 19760229    72.7
19760301 19760331    85.4
19760401 19760430     7.6
19760501 19760531    20.4
19760601 19760630    13.0
19760701 19760731    80.7
19760801 19760831    26.2
19760901 19760930    52.4
19761001 19761031   146.3
19761101 19761130    41.7
19761201 19761231    40.9
19770101 19770131    37.2
19770201 19770228    76.6
19770301 19770331    91.6
19770401 19770430    13.7
19770501 19770531   119.2
19770601 19770630    39.7
19770701 19770731    13.2
19770801 19770831    23.8
19770901 19770930    52.4
19771001 19771031    23.8
19771101 19771130    13.4
19771201 19771231    24.3
19780101 19780131   174.8
19780201 19780228    11.8
19780301 19780331   149.3
19780401 19780430     2.6
19780501 19780531   156.5
19780601 19780630    49.4
19780701 19780731    78.0
19780801 19780831    15.3
19780901 19780930   140.8
19781001 19781031    21.7
19781101 19781130    75.0
19781201 19781231    53.8
19790101 19790131     5.2
19790201 19790228     3.0
19790301 19790331   185.2
19790401 19790430    61.0
19790501 19790531    63.4
19790601 19790630    14.9
19790701 19790731    15.8
19790801 19790831    26.3
19790901 19790930   134.4
19791001 19791031    19.6
19791101 19791130    28.1
19791201 19791231     2.6
19800101 19800131    63.4
19800201 19800229    33.2
19800301 19800331    33.6
19800401 19800430     4.4
19800501 19800531    41.5
19800601 19800630    68.6
19800701 19800731    44.3
19800801 19800831    40.5
19800901 19800930     3.2
19801001 19801031    43.2
19801101 19801130     3.2
19801201 19801231    78.7
19810101 19810131    26.6
19810201 19810228   123.9
19810301 19810331     3.2
19810401 19810430    19.2
19810501 19810531    63.9
19810601 19810630   110.9
19810701 19810731   139.4
19810801 19810831    40.1
19810901 19810930    30.9
19811001 19811031   117.2
19811101 19811130    95.7
19811201 19811231    60.0
19820101 19820131    36.0
19820201 19820228    23.6
19820301 19820331   108.6
19820401 19820430     2.0
19820501 19820531    14.2
19820601 19820630    27.2
19820701 19820731    12.5
19820801 19820831     0.0
19820901 19820930    14.2
19821001 19821031     8.6
19821101 19821130     9.9
19821201 19821231    45.6
19830101 19830131   101.0
19830201 19830228    36.3
19830301 19830331    38.4
19830401 19830430   104.5
19830501 19830531   157.8
19830601 19830630    16.5
19830701 19830731    35.5
19830801 19830831    42.4
19830901 19830930    45.3
19831001 19831031    72.3
19831101 19831130   113.7
19831201 19831231    64.0
19840101 19840131   212.8
19840201 19840229    75.3
19840301 19840331    25.1
19840401 19840430    86.4
19840501 19840531    18.7
19840601 19840630     1.6
19840701 19840731   144.9
19840801 19840831    94.7
19840901 19840930    57.0
19841001 19841031    31.6
19841101 19841130    45.7
19841201 19841231    33.2
19850101 19850131     3.8
19850201 19850228    25.4
19850301 19850331    16.4
19850401 19850430    49.8
19850501 19850531    26.6
19850601 19850630    75.5
19850701 19850731     2.6
19850801 19850831   130.7
19850901 19850930    55.2
19851001 19851031    99.1
19851101 19851130   108.4
19851201 19851231    60.6
19860101 19860131    39.8
19860201 19860228    19.2
19860301 19860331     0.8
19860401 19860430     4.8
19860501 19860531    38.3
19860601 19860630     7.6
19860701 19860731   121.1
19860801 19860831   114.5
19860901 19860930    46.2
19861001 19861031    64.8
19861101 19861130    71.7
19861201 19861231    20.3
19870101 19870131    58.1
19870201 19870228    37.1
19870301 19870331   104.6
19870401 19870430     2.6
19870501 19870531    58.0
19870601 19870630    70.0
19870701 19870731    30.0
19870801 19870831   101.2
19870901 19870930    21.6
19871001 19871031   107.7
19871101 19871130    45.6
19871201 19871231    80.7
19880101 19880131    63.2
19880201 19880229    58.3
19880301 19880331    13.6
19880401 19880430    96.7
19880501 19880531    44.3
19880601 19880630    18.9
19880701 19880731    63.8
19880801 19880831    83.4
19880901 19880930    88.9
19881001 19881031     8.4
19881101 19881130    51.2
19881201 19881231    53.2
19890101 19890131    14.6
19890201 19890228    27.7
19890301 19890331   104.3
19890401 19890430   166.1
19890501 19890531   131.5
19890601 19890630    60.7
19890701 19890731    75.2
19890801 19890831    22.3
19890901 19890930     8.4
19891001 19891031    52.9
19891101 19891130    49.0
19891201 19891231    51.4
19900101 19900131    46.9
19900201 19900228   117.3
19900301 19900331    34.3
19900401 19900430   237.3
19900501 19900531    57.9
19900601 19900630    43.8
19900701 19900731   161.8
19900801 19900831   100.8
19900901 19900930    34.5
19901001 19901031    64.5
19901101 19901130     4.6
19901201 19901231    16.4
19910101 19910131   113.8
19910201 19910228    30.7
19910301 19910331    52.9
19910401 19910430     8.8
19910501 19910531    72.1
19910601 19910630    79.3
19910701 19910731    71.2
19910801 19910831    49.4
19910901 19910930    46.7
19911001 19911031    19.7
19911101 19911130    32.0
19911201 19911231   123.2
19920101 19920131    30.0
19920201 19920229   164.6
19920301 19920331    52.2
19920401 19920430    19.7
19920501 19920531    16.0
19920601 19920630    21.3
19920701 19920731    22.1
19920801 19920831    74.5
19920901 19920930    56.9
19921001 19921031    85.1
19921101 19921130    85.0
19921201 19921231   129.9
19930101 19930131    44.4
19930201 19930228    79.2
19930301 19930331    31.9
19930401 19930430     0.5
19930501 19930531    24.9
19930601 19930630    43.2
19930701 19930731   121.0
19930801 19930831    20.5
19930901 19930930    95.2
19931001 19931031   104.7
19931101 19931130    69.5
19931201 19931231    43.7
19940101 19940131    36.6
19940201 19940228    58.1
19940301 19940331    49.4
19940401 19940430    12.1
19940501 19940531     1.6
19940601 19940630    23.7
19940701 19940731    48.4
19940801 19940831    18.2
19940901 19940930     2.2
19941001 19941031    23.3
19941101 19941130   102.9
19941201 19941231    50.6
19950101 19950131   138.9
19950201 19950228    17.5
19950301 19950331     2.0
19950401 19950430     4.7
19950501 19950531   106.6
19950601 19950630    21.0
19950701 19950731    48.2
19950801 19950831     2.9
19950901 19950930    67.3
19951001 19951031    20.1
19951101 19951130    58.0
19951201 19951231   152.6
19960101 19960131   225.4
19960201 19960229    28.2
19960301 19960331    50.2
19960401 19960430     3.6
19960501 19960531    44.4
19960601 19960630    74.2
19960701 19960731   140.2
19960801 19960831    67.2
19960901 19960930    95.2
19961001 19961031    49.8
19961101 19961130    76.2
19961201 19961231   128.0
19970101 19970131    53.8
19970201 19970228    97.4
19970301 19970331    10.8
19970401 19970430     2.8
19970501 19970531    51.0
19970601 19970630    23.4
19970701 19970731    30.6
19970801 19970831    15.8
19970901 19970930    90.2
19971001 19971031    58.0
19971101 19971130     7.6
19971201 19971231    59.2
19980101 19980131   169.2
19980201 19980228    47.6
19980301 19980331     0.0
19980401 19980430    93.0
19980501 19980531    66.2
19980601 19980630   113.6
19980701 19980731   141.8
19980801 19980831   101.2
19980901 19980930    98.8
19981001 19981031    71.2
19981101 19981130   104.4
19981201 19981231    30.2
19990101 19990131    93.0
19990201 19990228     5.4
19990301 19990331   140.4
19990401 19990430    57.0
19990501 19990531    24.6
19990601 19990630    46.8
19990701 19990731    45.0
19990801 19990831    54.5
19990901 19990930    55.8
19991001 19991031   191.4
19991101 19991130    77.2
19991201 19991231    73.0
20000101 20000131    99.4
20000201 20000229     4.6
20000301 20000331   195.4
20000401 20000430    95.6
20000501 20000531    99.6
20000601 20000630    39.4
20000701 20000731    38.4
20000801 20000831    66.0
20000901 20000930    32.4
20001001 20001031   160.0
20001101 20001130   184.8
20001201 20001231    20.6
20010101 20010131    38.0
20010201 20010228    70.2
20010301 20010331    69.8
20010401 20010430    67.6
20010501 20010531    22.8
20010601 20010630    28.4
20010701 20010731    62.6
20010801 20010831    34.6
20010901 20010930    39.0
20011001 20011031    93.8
20011101 20011130    58.0
20011201 20011231    45.8
20020101 20020131    68.8
20020201 20020228   154.8
20020301 20020331    57.4
20020401 20020430    13.6
20020501 20020531    49.8
20020601 20020630    27.4
20020701 20020731    10.8
20020801 20020831     3.2
20020901 20020930    32.4
20021001 20021031     0.4
20021101 20021130    27.8
20021201 20021231    36.2
20030101 20030131    10.2
20030201 20030228   226.4
20030301 20030331    45.2
20030401 20030430    85.6
20030501 20030531    25.8
20030601 20030630    60.8
20030701 20030731    27.6
20030801 20030831   141.8
20030901 20030930    17.6
20031001 20031031    81.6
20031101 20031130    84.6
20031201 20031231    70.0
20040101 20040131    53.4
20040201 20040229    83.2
20040301 20040331     6.2
20040401 20040430     4.0
20040501 20040531    57.4
20040601 20040630    37.4
20040701 20040731    60.0
20040801 20040831    41.4
20040901 20040930    36.6
20041001 20041031    83.4
20041101 20041130    94.6
20041201 20041231    68.6
20050101 20050131    81.6
20050201 20050228    77.2
20050301 20050331    83.2
20050401 20050430     7.2
20050501 20050531     4.6
20050601 20050630   117.2
20050701 20050731    64.4
20050801 20050831    19.0
20050901 20050930   131.4
20051001 20051031   104.6
20051101 20051130   160.8
20051201 20051231    37.0
20060101 20060131    50.4
20060201 20060228    46.4
20060301 20060331    17.2
20060401 20060430    34.6
20060501 20060531     1.2
20060601 20060630    28.4
20060701 20060731    79.8
20060801 20060831    13.6
20060901 20060930    14.8
20061001 20061031     4.6
20061101 20061130    20.4
20061201 20061231    35.6
20070101 20070131 99999.9
20070201 20070228    70.8
20070301 20070331    45.8
20070401 20070430    35.2
20070501 20070531    67.8
20070601 20070630   126.8
20070701 20070731    20.8
20070801 20070831    38.8
20070901 20070930     0.8
20071001 20071031    30.8
20071101 20071130   130.6
20071201 20071231   145.0
20080101 20080131   119.4
20080201 20080229    99.2
20080301 20080331    23.2
20080401 20080430     7.8
20080501 20080531     8.2
20080601 20080630    38.2
20080701 20080731    32.2
20080801 20080831    59.2
20080901 20080930    59.2
20081001 20081031    75.0
20081101 20081130   168.8
20081201 20081231   115.0
20090101 20090131     9.0
20090201 20090228    51.2
20090301 20090331    23.4
20090401 20090430    37.8
20090501 20090531     4.8
20090601 20090630    53.2
20090701 20090731    49.0
20090801 20090831    14.2
20090901 20090930    31.6
20091001 20091031    34.0
20091101 20091130    16.0
20091201 20091231   121.4
20100101 20100131    46.4
20100201 20100228   107.8
20100301 20100331    89.0
20100401 20100430    70.6
20100501 20100531    60.8
20100601 20100630    37.2
20100701 20100731 99999.9
20100801 20100831   105.6
20100901 20100930    87.8
20101001 20101031    71.2
20101101 20101130   169.0
20101201 20101231   214.4
20110101 20110131    18.4
20110201 20110228    21.2
20110301 20110331    34.4
20110401 20110430    16.0
20110501 20110531    50.2
20110601 20110630    16.4
20110701 20110731     9.6
20110801 20110831    67.0
20110901 20110930    86.0
20111001 20111031    53.4
20111101 20111130   127.6
20111201 20111231    65.2
20120101 20120131    55.2
20120201 20120229   145.0
20120301 20120331   137.2
20120401 20120430 99999.9
20120501 20120531    51.6
20120601 20120630    41.8
20120701 20120731    65.6
20120801 20120831    11.0
20120901 20120930    46.4
20121001 20121031    13.2
20121101 20121130    33.8
20121201 20121231    72.2
20130101 20130131    75.8
20130201 20130228    34.0
20130301 20130331    80.4
20130401 20130430     6.8
20130501 20130531    23.8
20130601 20130630    97.2
20130701 20130731    32.0
20130801 20130831     9.8
20130901 20130930    74.2
20131001 20131031     6.0
20131101 20131130    20.0
20131201 20131231    42.0
20140101 20140131    27.8
20140201 20140228    56.6
20140301 20140331   104.4
20140401 20140430    70.0
20140501 20140531    30.6
20140601 20140630    47.8
20140701 20140731    47.2
20140801 20140831    23.0
20140901 20140930    23.8
20141001 20141031    14.2
20141101 20141130    28.4
20141201 20141231    84.8
20150101 20150131   115.4
20150201 20150228    19.0
20150301 20150331    31.8
20150401 20150430    92.6
20150501 20150531    53.4
20150601 20150630    55.2
20150701 20150731    61.6
20150801 20150831    30.4
20150901 20150930     5.4
20151001 20151031    44.0
20151101 20151130   101.4
20151201 20151231    67.8
20160101 20160131   123.0
20160201 20160229    18.0
20160301 20160331    21.8
20160401 20160430    16.4
20160501 20160531    71.4
20160601 20160630   129.4
20160701 20160731   113.2
20160801 20160831    29.2
20160901 20160930   213.0
20161001 20161031    93.2
20161101 20161130    58.0
20161201 20161231    31.6
20170101 20170131    61.4
20170201 20170228     4.4
20170301 20170331   217.8
20170401 20170430    16.6
20170501 20170531    27.2
20170601 20170630    12.6
20170701 20170731     1.4
20170801 20170831    31.4
20170901 20170930     6.6
20171001 20171031    49.8
20171101 20171130    63.6
20171201 20171231    62.0
20180101 20180131    43.6
