PRCP       087034 18770101 20161231 missing_value=99999.9 LOVELY BANKS RESERVOIR                    
18981101 18981130    20.6
18981201 18981231    20.0
18990101 18990131    35.4
18990201 18990228    36.6
18990301 18990331    65.5
18990401 18990430    94.8
18990501 18990531    59.2
18990601 18990630   103.3
18990701 18990731    32.7
18990801 18990831    42.1
18990901 18990930    31.5
18991001 18991031    49.8
18991101 18991130    46.0
18991201 18991231    21.2
19000101 19000131    46.6
19000201 19000228     7.3
19000301 19000331    52.1
19000401 19000430    75.8
19000501 19000531    57.4
19000601 19000630    49.2
19000701 19000731    24.8
19000801 19000831    49.6
19000901 19000930    59.0
19001001 19001031    16.5
19001101 19001130    11.7
19001201 19001231    20.9
19010101 19010131    64.5
19010201 19010228     8.9
19010301 19010331    32.0
19010401 19010430   112.2
19010501 19010531    15.0
19010601 19010630    52.7
19010701 19010731    37.7
19010801 19010831    36.8
19010901 19010930    54.0
19011001 19011031    44.7
19011101 19011130    28.7
19011201 19011231    14.5
19020101 19020131    25.5
19020201 19020228    31.0
19020301 19020331    87.7
19020401 19020430     5.4
19020501 19020531    13.1
19020601 19020630    54.0
19020701 19020731    12.2
19020801 19020831    25.4
19020901 19020930    48.1
19021001 19021031    25.7
19021101 19021130    13.0
19021201 19021231    82.9
19030101 19030131    20.4
19030201 19030228    23.8
19030301 19030331    47.8
19030401 19030430    71.3
19030501 19030531    13.6
19030601 19030630    41.0
19030701 19030731    40.2
19030801 19030831    25.6
19030901 19030930    69.4
19031001 19031031    60.2
19031101 19031130   110.8
19031201 19031231    45.3
19040101 19040131    86.4
19040201 19040229    70.7
19040301 19040331    16.9
19040401 19040430     9.9
19040501 19040531    45.0
19040601 19040630    42.3
19040701 19040731    43.4
19040801 19040831    30.4
19040901 19040930    32.1
19041001 19041031    38.7
19041101 19041130    37.3
19041201 19041231     3.0
19050101 19050131    31.6
19050201 19050228    20.4
19050301 19050331    22.4
19050401 19050430    48.6
19050501 19050531    79.3
19050601 19050630    25.5
19050701 19050731    68.9
19050801 19050831    24.3
19050901 19050930    43.6
19051001 19051031    57.9
19051101 19051130    32.7
19051201 19051231    46.9
19060101 19060131     3.5
19060201 19060228     5.1
19060301 19060331    85.3
19060401 19060430    10.8
19060501 19060531    44.1
19060601 19060630    56.3
19060701 19060731    47.2
19060801 19060831    65.3
19060901 19060930    67.1
19061001 19061031    91.6
19061101 19061130    62.4
19061201 19061231    14.3
19070101 19070131    13.0
19070201 19070228    13.0
19070301 19070331    32.6
19070401 19070430    68.5
19070501 19070531    46.2
19070601 19070630    26.1
19070701 19070731    40.4
19070801 19070831    53.7
19070901 19070930    20.0
19071001 19071031    34.1
19071101 19071130    31.3
19071201 19071231   105.8
19080101 19080131     8.2
19080201 19080229    10.0
19080301 19080331    51.3
19080401 19080430     8.1
19080501 19080531    31.3
19080601 19080630    56.9
19080701 19080731    38.6
19080801 19080831    23.8
19080901 19080930    66.4
19081001 19081031    51.4
19081101 19081130    27.8
19081201 19081231     5.9
19090101 19090131    62.8
19090201 19090228    27.3
19090301 19090331    42.1
19090401 19090430    48.7
19090501 19090531    53.3
19090601 19090630    57.9
19090701 19090731    35.9
19090801 19090831    96.9
19090901 19090930    28.6
19091001 19091031    21.7
19091101 19091130    14.2
19091201 19091231    43.0
19100101 19100131    28.3
19100201 19100228    11.7
19100301 19100331    55.0
19100401 19100430    14.5
19100501 19100531    46.2
19100601 19100630    30.7
19100701 19100731    87.1
19100801 19100831    36.7
19100901 19100930    88.6
19101001 19101031    69.0
19101101 19101130    60.3
19101201 19101231    53.6
19110101 19110131    35.3
19110201 19110228    93.9
19110301 19110331   107.1
19110401 19110430    19.7
19110501 19110531    65.3
19110601 19110630    56.5
19110701 19110731    33.8
19110801 19110831    17.4
19110901 19110930   134.6
19111001 19111031    28.5
19111101 19111130    13.6
19111201 19111231   105.8
19120101 19120131     2.5
19120201 19120229    17.7
19120301 19120331    18.0
19120401 19120430    41.6
19120501 19120531    17.8
19120601 19120630    51.8
19120701 19120731    41.0
19120801 19120831    25.6
19120901 19120930   101.8
19121001 19121031    29.4
19121101 19121130    57.0
19121201 19121231    41.2
19130101 19130131     7.4
19130201 19130228    24.0
19130301 19130331   191.7
19130401 19130430    18.6
19130501 19130531    59.5
19130601 19130630    29.0
19130701 19130731    32.5
19130801 19130831    40.9
19130901 19130930    51.1
19131001 19131031    29.4
19131101 19131130    40.2
19131201 19131231    33.4
19140101 19140131    27.5
19140201 19140228     2.1
19140301 19140331    15.8
19140401 19140430    44.7
19140501 19140531    19.9
19140601 19140630    16.8
19140701 19140731    33.4
19140801 19140831    14.5
19140901 19140930    25.8
19141001 19141031     3.6
19141101 19141130    50.8
19141201 19141231    97.0
19150101 19150131    40.9
19150201 19150228     7.0
19150301 19150331     8.2
19150401 19150430    50.3
19150501 19150531    61.7
19150601 19150630    73.6
19150701 19150731    39.6
19150801 19150831    32.8
19150901 19150930    58.6
19151001 19151031    46.8
19151101 19151130    23.4
19151201 19151231    15.5
19160101 19160131    56.4
19160201 19160229    29.4
19160301 19160331     5.9
19160401 19160430    49.2
19160501 19160531    22.5
19160601 19160630    57.8
19160701 19160731    48.2
19160801 19160831    43.0
19160901 19160930   152.3
19161001 19161031    56.8
