PRCP       008141 19070101 20160731 missing_value=99999.9 WILLI GULLI NORTH                         
19281201 19281231     2.6
19290101 19290131     0.7
19290201 19290228    13.3
19290301 19290331     5.8
19290401 19290430     2.1
19290501 19290531   103.5
19290601 19290630   137.7
19290701 19290731    62.7
19290801 19290831    42.3
19290901 19290930    15.5
19291001 19291031    14.6
19291101 19291130    23.9
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331     5.8
19300401 19300430    21.5
19300501 19300531    24.6
19300601 19300630   207.3
19300701 19300731    98.6
19300801 19300831    47.0
19300901 19300930    28.9
19301001 19301031    36.8
19301101 19301130     4.4
19301201 19301231     3.7
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331     3.3
19310401 19310430    10.6
19310501 19310531    82.6
19310601 19310630    62.7
19310701 19310731   144.9
19310801 19310831    71.1
19310901 19310930    51.2
19311001 19311031    22.5
19311101 19311130     4.0
19311201 19311231    11.0
19320101 19320131    17.0
19320201 19320229     0.0
19320301 19320331    12.5
19320401 19320430    35.4
19320501 19320531    69.0
19320601 19320630    48.9
19320701 19320731    93.3
19320801 19320831   117.8
19320901 19320930    27.1
19321001 19321031    30.3
19321101 19321130     0.7
19321201 19321231     6.3
19330101 19330131     2.9
19330201 19330228     0.0
19330301 19330331     4.5
19330401 19330430     5.2
19330501 19330531    77.7
19330601 19330630   109.5
19330701 19330731    76.6
19330801 19330831    94.6
19330901 19330930    34.4
19331001 19331031    34.9
19331101 19331130     1.4
19331201 19331231     9.5
19340101 19340131     4.9
19340201 19340228     0.0
19340301 19340331   120.4
19340401 19340430   108.6
19340501 19340531    17.3
19340601 19340630   118.4
19340701 19340731    76.0
19340801 19340831    68.5
19340901 19340930    39.8
19341001 19341031    14.4
19341101 19341130     5.4
19341201 19341231     8.2
19350101 19350131     8.6
19350201 19350228     1.8
19350301 19350331    34.9
19350401 19350430    49.6
19350501 19350531    25.9
19350601 19350630    62.1
19350701 19350731    84.6
19350801 19350831    80.3
19350901 19350930    36.2
19351001 19351031    10.4
19351101 19351130     0.8
19351201 19351231     3.3
19360101 19360131     0.0
19360201 19360229     0.5
19360301 19360331     0.3
19360401 19360430    33.3
19360501 19360531    29.7
19360601 19360630    96.7
19360701 19360731    76.6
19360801 19360831    57.4
19360901 19360930    16.0
19361001 19361031    10.4
19361101 19361130     8.9
19361201 19361231     1.3
19370101 19370131     0.8
19370201 19370228     6.3
19370301 19370331     0.8
19370401 19370430    14.6
19370501 19370531    75.3
19370601 19370630   168.6
19370701 19370731    16.1
19370801 19370831    64.5
19370901 19370930    23.4
19371001 19371031     7.6
19371101 19371130     4.6
19371201 19371231     1.8
19380101 19380131     1.0
19380201 19380228     1.5
19380301 19380331    15.5
19380401 19380430    48.5
19380501 19380531     7.4
19380601 19380630    37.3
19380701 19380731   106.7
19380801 19380831    54.8
19380901 19380930    19.6
19381001 19381031     3.8
19381101 19381130    18.8
19381201 19381231     0.0
19390101 19390131     5.3
19390201 19390228    60.2
19390301 19390331     0.0
19390401 19390430    16.5
19390501 19390531    76.5
19390601 19390630   155.5
19390701 19390731   139.2
19390801 19390831    72.7
19390901 19390930     1.1
19391001 19391031    20.8
19391101 19391130    27.2
19391201 19391231     0.0
19400101 19400131     5.4
19400201 19400229     0.0
19400301 19400331     2.8
19400401 19400430     1.3
19400501 19400531    46.4
19400601 19400630    79.4
19400701 19400731    84.4
19400801 19400831    19.0
19400901 19400930    18.3
19401001 19401031    24.2
19401101 19401130     2.6
19401201 19401231     1.3
19410101 19410131     0.0
19410201 19410228     5.4
19410301 19410331     0.0
19410401 19410430    43.5
19410501 19410531    46.5
19410601 19410630   136.5
19410701 19410731    85.0
19410801 19410831    28.6
19410901 19410930    39.8
19411001 19411031    16.0
19411101 19411130    14.2
19411201 19411231     1.9
19420101 19420131     2.1
19420201 19420228     5.7
19420301 19420331     2.6
19420401 19420430    47.0
19420501 19420531    97.0
19420601 19420630    90.0
19420701 19420731    57.1
19420801 19420831    57.8
19420901 19420930    32.3
19421001 19421031    21.0
19421101 19421130     0.0
19421201 19421231     0.0
19430101 19430131    34.9
19430201 19430228    23.4
19430301 19430331    22.6
19430401 19430430    31.4
19430501 19430531    27.1
19430601 19430630    96.5
19430701 19430731    69.0
19430801 19430831    52.1
19430901 19430930    37.9
19431001 19431031     3.6
19431101 19431130     0.7
19431201 19431231     9.9
19440101 19440131     1.5
19440201 19440229     0.0
19440301 19440331    10.8
19440401 19440430    14.6
19440501 19440531    65.5
19440601 19440630    57.8
19440701 19440731   152.9
19440801 19440831    46.9
19440901 19440930    13.3
19441001 19441031     2.3
19441101 19441130    13.9
19441201 19441231    13.4
19450101 19450131     0.5
19450201 19450228     4.4
19450301 19450331     5.1
19450401 19450430     1.8
19450501 19450531    67.5
19450601 19450630   267.4
19450701 19450731    47.5
19450801 19450831    96.8
19450901 19450930    12.7
19451001 19451031     5.1
19451101 19451130    13.2
19451201 19451231     5.9
19460101 19460131     7.1
19460201 19460228     4.1
19460301 19460331    10.6
19460401 19460430    23.6
19460501 19460531    45.8
19460601 19460630   221.2
19460701 19460731   141.0
19460801 19460831    86.1
19460901 19460930    10.8
19461001 19461031     2.8
19461101 19461130    39.2
19461201 19461231     3.3
19470101 19470131     0.0
19470201 19470228     1.4
19470301 19470331    10.5
19470401 19470430    26.2
19470501 19470531   101.3
19470601 19470630    94.8
19470701 19470731   121.5
19470801 19470831    47.8
19470901 19470930    52.1
19471001 19471031   104.8
