PRCP       008141 19070101 20160731 missing_value=99999.9 WILLI GULLI NORTH                         
20021001 20021031    14.2
20021101 20021130     0.0
20021201 20021231     0.0
20030101 20030131     0.0
20030201 20030228     1.2
20030301 20030331    13.8
20030401 20030430    14.2
20030501 20030531    63.1
20030601 20030630    63.4
20030701 20030731    55.8
20030801 20030831    94.3
20030901 20030930    32.4
20031001 20031031     6.4
20031101 20031130    23.8
20031201 20031231     0.0
20040101 20040131     0.0
20040201 20040229     3.8
20040301 20040331     0.0
20040401 20040430     3.2
20040501 20040531    71.4
20040601 20040630    76.4
20040701 20040731    75.2
20040801 20040831    39.6
20040901 20040930    29.6
20041001 20041031     4.4
20041101 20041130    11.2
20041201 20041231     0.0
20050101 20050131     2.2
20050201 20050228     4.6
20050301 20050331    13.0
20050401 20050430    31.8
20050501 20050531    86.6
20050601 20050630    99.1
20050701 20050731    16.6
20050801 20050831    53.7
20050901 20050930    31.4
20051001 20051031    14.8
20051101 20051130     0.0
20051201 20051231     0.0
20060101 20060131    16.0
20060201 20060228    11.6
20060301 20060331     8.2
20060401 20060430     4.2
20060501 20060531    16.6
20060601 20060630     8.6
20060701 20060731    59.2
20060801 20060831    44.5
20060901 20060930    21.0
20061001 20061031     4.0
20061101 20061130     3.4
20061201 20061231     1.4
20070101 20070131     2.2
20070201 20070228     0.0
20070301 20070331     1.0
20070401 20070430     3.0
20070501 20070531    22.0
20070601 20070630    40.0
20070701 20070731    62.8
20070801 20070831    25.9
20070901 20070930    33.8
20071001 20071031    12.4
20071101 20071130     0.0
20071201 20071231    22.4
20080101 20080131     0.0
20080201 20080229    36.2
20080301 20080331    21.2
20080401 20080430    97.0
20080501 20080531     8.8
20080601 20080630    85.7
20080701 20080731   125.2
20080801 20080831     8.8
20080901 20080930    31.6
20081001 20081031    23.6
20081101 20081130     9.2
20081201 20081231     0.4
20090101 20090131     0.0
20090201 20090228     0.0
20090301 20090331     1.0
20090401 20090430     0.4
20090501 20090531    68.8
20090601 20090630   112.3
20090701 20090731   103.6
20090801 20090831    85.7
20090901 20090930    45.7
20091001 20091031     6.6
20091101 20091130    11.4
20091201 20091231     0.0
20100101 20100131     0.0
20100201 20100228     0.0
20100301 20100331    22.2
20100401 20100430     7.2
20100501 20100531    31.6
20100601 20100630    44.0
20100701 20100731    54.3
20100801 20100831    75.4
20100901 20100930    13.8
20101001 20101031     1.6
20101101 20101130     0.0
20101201 20101231    33.2
20110101 20110131    23.4
20110201 20110228   112.4
20110301 20110331     0.0
20110401 20110430    26.6
20110501 20110531   105.6
20110601 20110630    86.0
20110701 20110731    87.3
20110801 20110831    77.4
20110901 20110930    42.7
20111001 20111031    40.0
20111101 20111130     7.6
20111201 20111231     1.4
20120101 20120131     4.4
20120201 20120229     5.0
20120301 20120331     0.0
20120401 20120430    20.2
20120501 20120531    15.4
20120601 20120630   107.8
20120701 20120731    28.2
20120801 20120831    57.2
20120901 20120930    24.0
20121001 20121031     6.2
20121101 20121130    19.4
20121201 20121231     8.0
20130101 20130131    35.2
20130201 20130228     0.0
20130301 20130331    45.3
20130401 20130430     0.0
20130501 20130531    65.0
20130601 20130630    17.8
20130701 20130731    33.4
20130801 20130831    68.4
20130901 20130930    32.1
20131001 20131031    23.1
20131101 20131130     1.2
20131201 20131231     0.0
20140101 20140131     1.0
20140201 20140228     0.0
20140301 20140331     6.5
20140401 20140430    52.6
20140501 20140531    85.6
20140601 20140630    40.6
20140701 20140731    69.6
20140801 20140831    17.8
20140901 20140930    79.2
20141001 20141031     1.4
20141101 20141130     1.6
20141201 20141231     0.0
20150101 20150131     0.0
20150201 20150228    10.0
20150301 20150331    66.2
20150401 20150430    40.0
20150501 20150531    18.8
20150601 20150630    57.8
20150701 20150731    85.0
20150801 20150831 99999.9
20150901 20150930    13.0
20151001 20151031     2.8
20151101 20151130    56.8
20151201 20151231     0.0
20160101 20160131    18.0
20160201 20160229     0.0
20160301 20160331     9.5
20160401 20160430    45.4
20160501 20160531    35.8
20160601 20160630    81.5
20160701 20160731   121.8
