PRCP       010091 19000101 20160531 missing_value=99999.9 MECKERING                                 
19211201 19211231     8.8
19220101 19220131     0.5
19220201 19220228    35.1
19220301 19220331     0.5
19220401 19220430    14.5
19220501 19220531    51.3
19220601 19220630    18.6
19220701 19220731   110.5
19220801 19220831    38.0
19220901 19220930    26.1
19221001 19221031     2.0
19221101 19221130     6.3
19221201 19221231     8.4
19230101 19230131    20.3
19230201 19230228     5.6
19230301 19230331     6.8
19230401 19230430    60.9
19230501 19230531    47.3
19230601 19230630   169.4
19230701 19230731    50.8
19230801 19230831    29.3
19230901 19230930    53.7
19231001 19231031    10.7
19231101 19231130     0.0
19231201 19231231    34.1
19240101 19240131     0.0
19240201 19240229    13.0
19240301 19240331     8.4
19240401 19240430     3.6
19240501 19240531    45.7
19240601 19240630    55.2
19240701 19240731    49.7
19240801 19240831    67.4
19240901 19240930    29.0
19241001 19241031    39.9
19241101 19241130    12.5
19241201 19241231     0.0
19250101 19250131    27.2
19250201 19250228    37.1
19250301 19250331    27.0
19250401 19250430     4.9
19250501 19250531    52.4
19250601 19250630    61.4
19250701 19250731    49.4
19250801 19250831     4.1
19250901 19250930    31.5
19251001 19251031    14.8
19251101 19251130     3.3
19251201 19251231     2.3
19260101 19260131     1.3
19260201 19260228    15.7
19260301 19260331    52.6
19260401 19260430    53.1
19260501 19260531    42.5
19260601 19260630    64.1
19260701 19260731   159.3
19260801 19260831    64.0
19260901 19260930    33.9
19261001 19261031    40.3
19261101 19261130    22.4
19261201 19261231     1.0
19270101 19270131     3.8
19270201 19270228     2.5
19270301 19270331    78.9
19270401 19270430     3.9
19270501 19270531    26.9
19270601 19270630    66.6
19270701 19270731    66.0
19270801 19270831    47.9
19270901 19270930    26.4
19271001 19271031    34.3
19271101 19271130     5.8
19271201 19271231     8.2
19280101 19280131    11.7
19280201 19280229     0.0
19280301 19280331    16.2
19280401 19280430     3.6
19280501 19280531    34.7
19280601 19280630    37.2
19280701 19280731   133.7
19280801 19280831    45.8
19280901 19280930    28.0
19281001 19281031    13.0
19281101 19281130     1.0
19281201 19281231    18.7
19290101 19290131     0.5
19290201 19290228    16.0
19290301 19290331    28.0
19290401 19290430     0.8
19290501 19290531    63.5
19290601 19290630   109.2
19290701 19290731    63.8
19290801 19290831    36.0
19290901 19290930     9.3
19291001 19291031    22.9
19291101 19291130    16.1
19291201 19291231     0.8
19300101 19300131     0.0
19300201 19300228     1.3
19300301 19300331     4.7
19300401 19300430    28.3
19300501 19300531    16.6
19300601 19300630   102.2
19300701 19300731    91.3
19300801 19300831    83.8
19300901 19300930    25.7
19301001 19301031    10.2
19301101 19301130     0.0
19301201 19301231     3.8
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331     5.8
19310401 19310430    13.3
19310501 19310531    65.0
19310601 19310630    35.0
19310701 19310731    72.1
19310801 19310831    89.8
19310901 19310930    52.9
19311001 19311031    25.7
19311101 19311130     0.0
19311201 19311231    23.6
19320101 19320131     2.6
19320201 19320229     0.0
19320301 19320331     8.9
19320401 19320430    28.7
19320501 19320531    75.4
19320601 19320630    36.0
19320701 19320731   131.3
19320801 19320831   138.6
19320901 19320930    18.4
19321001 19321031    69.6
19321101 19321130     0.5
19321201 19321231     1.3
19330101 19330131     4.1
19330201 19330228     0.0
19330301 19330331    13.3
19330401 19330430     7.1
19330501 19330531    74.1
19330601 19330630    72.2
19330701 19330731    49.4
19330801 19330831    44.5
19330901 19330930    19.6
19331001 19331031    43.2
19331101 19331130     2.8
19331201 19331231     0.0
19340101 19340131    19.1
19340201 19340228     5.3
19340301 19340331    79.1
19340401 19340430    94.0
19340501 19340531    39.0
19340601 19340630    73.1
19340701 19340731    62.6
19340801 19340831    25.1
19340901 19340930    23.7
19341001 19341031     3.2
19341101 19341130    27.2
19341201 19341231     2.6
19350101 19350131    17.0
19350201 19350228    11.2
19350301 19350331     6.6
19350401 19350430    18.4
19350501 19350531    22.0
19350601 19350630    44.9
19350701 19350731    69.5
19350801 19350831    53.6
19350901 19350930    23.5
19351001 19351031    23.1
19351101 19351130     0.0
19351201 19351231     2.5
19360101 19360131    12.2
19360201 19360229     6.1
19360301 19360331     2.3
19360401 19360430     4.4
19360501 19360531    43.4
19360601 19360630    68.0
19360701 19360731    47.3
19360801 19360831    82.3
19360901 19360930    27.7
19361001 19361031     4.6
19361101 19361130     1.0
19361201 19361231    34.1
19370101 19370131     0.0
19370201 19370228     0.0
19370301 19370331     1.3
19370401 19370430    22.6
19370501 19370531    66.2
19370601 19370630    55.8
19370701 19370731    19.0
19370801 19370831    58.8
19370901 19370930    10.8
19371001 19371031    11.5
19371101 19371130    23.6
19371201 19371231     0.5
19380101 19380131     0.0
19380201 19380228     1.3
19380301 19380331    64.7
19380401 19380430    21.6
19380501 19380531    26.7
19380601 19380630    36.7
19380701 19380731    82.9
19380801 19380831    29.6
19380901 19380930    24.0
19381001 19381031    15.1
19381101 19381130     5.9
19381201 19381231     0.0
19390101 19390131     6.9
19390201 19390228    72.0
19390301 19390331     0.0
19390401 19390430     6.6
19390501 19390531    89.8
19390601 19390630   100.4
19390701 19390731    73.7
19390801 19390831    65.5
19390901 19390930     6.2
19391001 19391031    25.2
