PRCP       042023 18850101 20171231 missing_value=99999.9 MILES POST OFFICE                         
19800101 19800131    35.8
19800201 19800229    58.6
19800301 19800331    37.8
19800401 19800430     4.8
19800501 19800531    89.2
19800601 19800630     1.0
19800701 19800731    37.6
19800801 19800831    12.2
19800901 19800930     0.0
19801001 19801031    95.4
19801101 19801130    70.0
19801201 19801231   118.2
19810101 19810131    38.2
19810201 19810228   214.6
19810301 19810331    22.4
19810401 19810430    85.3
19810501 19810531    56.2
19810601 19810630    70.2
19810701 19810731    50.0
19810801 19810831    22.6
19810901 19810930     0.8
19811001 19811031    47.6
19811101 19811130   122.8
19811201 19811231   140.6
19820101 19820131   201.4
19820201 19820228    47.9
19820301 19820331   142.4
19820401 19820430    23.2
19820501 19820531    39.8
19820601 19820630     1.4
19820701 19820731    18.0
19820801 19820831     2.6
19820901 19820930    14.0
19821001 19821031    47.8
19821101 19821130     0.2
19821201 19821231    69.2
19830101 19830131   126.0
19830201 19830228    19.0
19830301 19830331    20.8
19830401 19830430   156.6
19830501 19830531   239.6
19830601 19830630   101.0
19830701 19830731     2.8
19830801 19830831    33.6
19830901 19830930    13.8
19831001 19831031    63.4
19831101 19831130   164.2
19831201 19831231    67.8
19840101 19840131   217.8
19840201 19840229    14.8
19840301 19840331    86.0
19840401 19840430    72.4
19840501 19840531     1.8
19840601 19840630    53.0
19840701 19840731   168.4
19840801 19840831    44.6
19840901 19840930    29.0
19841001 19841031   100.2
19841101 19841130     1.0
19841201 19841231   115.6
19850101 19850131   153.2
19850201 19850228    34.0
19850301 19850331    46.8
19850401 19850430    21.2
19850501 19850531    12.2
19850601 19850630    58.8
19850701 19850731    51.4
19850801 19850831    36.6
19850901 19850930    20.0
19851001 19851031    89.8
19851101 19851130    28.8
19851201 19851231    86.8
19860101 19860131    53.8
19860201 19860228   107.8
19860301 19860331     0.0
19860401 19860430     0.8
19860501 19860531    53.4
19860601 19860630     0.0
19860701 19860731    55.8
19860801 19860831    17.6
19860901 19860930    24.0
19861001 19861031    82.8
19861101 19861130    73.2
19861201 19861231    21.2
19870101 19870131   156.6
19870201 19870228    48.6
19870301 19870331    13.4
19870401 19870430    11.4
19870501 19870531    46.4
19870601 19870630    28.2
19870701 19870731     3.0
19870801 19870831    38.4
19870901 19870930     4.0
19871001 19871031    39.2
19871101 19871130   102.6
19871201 19871231    70.6
19880101 19880131    81.4
19880201 19880229   119.3
19880301 19880331    27.0
19880401 19880430   211.0
19880501 19880531    43.8
19880601 19880630    12.2
19880701 19880731    81.4
19880801 19880831    32.8
19880901 19880930    31.2
19881001 19881031     7.0
19881101 19881130    42.4
19881201 19881231    85.4
19890101 19890131   116.0
19890201 19890228    42.6
19890301 19890331    33.6
19890401 19890430   137.2
19890501 19890531    64.6
19890601 19890630    71.2
19890701 19890731    21.4
19890801 19890831    32.6
19890901 19890930     3.6
19891001 19891031   117.2
19891101 19891130    75.6
19891201 19891231    59.8
19900101 19900131    33.8
19900201 19900228    17.2
19900301 19900331   110.2
19900401 19900430   113.2
19900501 19900531    79.4
19900601 19900630    24.2
19900701 19900731    39.6
19900801 19900831    14.2
19900901 19900930    27.2
19901001 19901031    56.8
19901101 19901130    31.2
19901201 19901231    27.8
19910101 19910131   103.2
19910201 19910228    58.0
19910301 19910331    27.6
19910401 19910430     0.0
19910501 19910531    12.4
19910601 19910630     0.2
19910701 19910731    22.4
19910801 19910831     0.0
19910901 19910930     1.4
19911001 19911031    34.6
19911101 19911130    24.2
19911201 19911231   102.2
19920101 19920131    35.0
19920201 19920229   178.6
19920301 19920331     5.0
19920401 19920430    28.4
19920501 19920531    39.2
19920601 19920630     0.6
19920701 19920731     0.0
19920801 19920831    26.0
19920901 19920930    39.4
19921001 19921031    34.0
19921101 19921130   105.0
19921201 19921231    44.0
19930101 19930131    81.0
19930201 19930228    12.8
19930301 19930331    12.4
19930401 19930430     0.0
19930501 19930531     3.6
19930601 19930630    26.6
19930701 19930731    39.2
19930801 19930831     4.8
19930901 19930930    47.2
19931001 19931031    47.0
19931101 19931130     4.2
19931201 19931231   137.0
19940101 19940131    27.8
19940201 19940228    98.0
19940301 19940331   173.6
19940401 19940430     2.0
19940501 19940531    22.8
19940601 19940630    32.6
19940701 19940731     0.4
19940801 19940831     0.0
19940901 19940930     9.8
19941001 19941031    78.0
19941101 19941130    52.4
19941201 19941231    39.2
19950101 19950131   112.2
19950201 19950228   131.6
19950301 19950331     2.2
19950401 19950430     5.2
19950501 19950531    40.3
19950601 19950630    56.6
19950701 19950731    11.2
19950801 19950831     2.6
19950901 19950930    33.4
19951001 19951031    97.6
19951101 19951130   105.6
19951201 19951231   126.4
19960101 19960131   280.4
19960201 19960229    14.8
19960301 19960331    31.2
19960401 19960430    15.0
19960501 19960531   153.2
19960601 19960630    17.0
19960701 19960731    41.8
19960801 19960831    38.0
19960901 19960930    54.0
19961001 19961031    58.0
19961101 19961130    58.0
19961201 19961231   146.8
19970101 19970131    72.2
19970201 19970228    69.8
19970301 19970331    14.0
19970401 19970430     2.4
19970501 19970531    85.0
19970601 19970630     1.4
19970701 19970731    24.2
19970801 19970831     0.0
19970901 19970930    28.8
19971001 19971031    68.0
19971101 19971130    97.8
19971201 19971231   119.8
19980101 19980131   100.0
19980201 19980228   185.0
19980301 19980331     0.0
19980401 19980430    97.4
19980501 19980531    80.8
19980601 19980630    38.2
19980701 19980731    41.8
19980801 19980831   170.6
19980901 19980930    91.4
19981001 19981031    24.8
19981101 19981130    75.6
19981201 19981231    58.2
19990101 19990131   119.8
19990201 19990228    36.8
19990301 19990331    61.4
19990401 19990430    20.4
19990501 19990531    22.2
19990601 19990630    34.0
19990701 19990731    45.6
19990801 19990831     6.8
19990901 19990930     7.0
19991001 19991031    34.0
19991101 19991130    82.0
19991201 19991231    95.6
20000101 20000131   113.2
20000201 20000229    53.4
20000301 20000331    33.6
20000401 20000430    11.4
20000501 20000531    22.0
20000601 20000630    19.6
20000701 20000731     5.4
20000801 20000831     8.0
20000901 20000930     3.4
20001001 20001031    82.0
20001101 20001130    47.0
20001201 20001231    59.2
20010101 20010131    25.0
20010201 20010228    51.0
20010301 20010331    64.4
20010401 20010430    12.2
20010501 20010531     4.0
20010601 20010630     1.8
20010701 20010731    26.8
20010801 20010831    12.4
20010901 20010930    21.0
20011001 20011031    83.2
20011101 20011130   112.4
20011201 20011231    37.8
20020101 20020131    91.4
20020201 20020228   117.8
20020301 20020331    98.6
20020401 20020430     0.0
20020501 20020531    19.8
20020601 20020630    78.6
20020701 20020731     0.0
20020801 20020831    61.2
20020901 20020930     1.4
20021001 20021031     5.2
20021101 20021130    27.0
20021201 20021231    67.2
20030101 20030131    11.8
20030201 20030228   128.8
20030301 20030331    88.6
20030401 20030430   125.2
20030501 20030531     4.6
20030601 20030630    35.8
20030701 20030731    17.8
20030801 20030831    51.8
20030901 20030930     1.4
20031001 20031031    56.2
20031101 20031130    22.8
20031201 20031231   116.4
20040101 20040131   156.8
20040201 20040229    74.2
20040301 20040331    76.8
20040401 20040430    41.6
20040501 20040531     7.0
20040601 20040630     2.8
20040701 20040731     9.2
20040801 20040831    21.4
20040901 20040930    37.0
20041001 20041031    12.8
20041101 20041130    81.6
20041201 20041231   114.8
20050101 20050131    24.8
20050201 20050228    42.4
20050301 20050331    42.0
20050401 20050430     0.0
20050501 20050531    34.6
20050601 20050630   154.4
20050701 20050731     0.0
20050801 20050831     7.4
20050901 20050930    12.6
20051001 20051031    72.2
20051101 20051130 99999.9
20051201 20051231   129.2
20060101 20060131    18.2
20060201 20060228   130.2
20060301 20060331    15.4
20060401 20060430    17.2
20060501 20060531     5.0
20060601 20060630     6.4
20060701 20060731    20.0
20060801 20060831     8.2
20060901 20060930    24.4
20061001 20061031     0.4
20061101 20061130    43.2
20061201 20061231    57.4
20070101 20070131    37.8
20070201 20070228    77.4
20070301 20070331    38.6
20070401 20070430    13.0
20070501 20070531     8.8
20070601 20070630   104.8
20070701 20070731     0.0
20070801 20070831    74.4
20070901 20070930    21.8
20071001 20071031    89.8
20071101 20071130    53.4
20071201 20071231    54.4
20080101 20080131    74.0
20080201 20080229    54.0
20080301 20080331     0.0
20080401 20080430    13.4
20080501 20080531    21.2
20080601 20080630    36.2
20080701 20080731    47.6
20080801 20080831    25.0
20080901 20080930    58.0
20081001 20081031    47.2
20081101 20081130    71.4
20081201 20081231   141.6
20090101 20090131    74.7
20090201 20090228    64.6
20090301 20090331     9.0
20090401 20090430    37.2
20090501 20090531    35.6
20090601 20090630    43.2
20090701 20090731     1.0
20090801 20090831     4.0
20090901 20090930    14.4
20091001 20091031    17.0
20091101 20091130    32.8
20091201 20091231   105.8
20100101 20100131    26.6
20100201 20100228   139.2
20100301 20100331   113.4
20100401 20100430    46.4
20100501 20100531    23.2
20100601 20100630    12.8
20100701 20100731    28.0
20100801 20100831    90.2
20100901 20100930   121.6
20101001 20101031    75.0
20101101 20101130    59.4
20101201 20101231   348.8
20110101 20110131    88.6
20110201 20110228    12.0
20110301 20110331   123.2
20110401 20110430    73.6
20110501 20110531    31.0
20110601 20110630     6.8
20110701 20110731    16.8
20110801 20110831    37.2
20110901 20110930    22.4
20111001 20111031   107.2
20111101 20111130    43.8
20111201 20111231   119.0
20120101 20120131   119.4
20120201 20120229    35.8
20120301 20120331    36.8
20120401 20120430    34.4
20120501 20120531    25.8
20120601 20120630   113.2
20120701 20120731    18.4
20120801 20120831    18.0
20120901 20120930     8.2
20121001 20121031    33.6
20121101 20121130    33.0
20121201 20121231    68.8
20130101 20130131   191.2
20130201 20130228 99999.9
20130301 20130331    81.6
20130401 20130430    22.4
20130501 20130531    90.0
20130601 20130630     4.6
20130701 20130731    11.4
20130801 20130831     0.0
20130901 20130930     1.8
20131001 20131031    39.8
20131101 20131130    55.4
20131201 20131231 99999.9
20140101 20140131   105.8
20140201 20140228    13.8
20140301 20140331   166.0
20140401 20140430    19.4
20140501 20140531    18.8
20140601 20140630    16.8
20140701 20140731     0.0
20140801 20140831    28.6
20140901 20140930    28.8
20141001 20141031    16.2
20141101 20141130    19.8
20141201 20141231   184.0
20150101 20150131   243.4
20150201 20150228    14.8
20150301 20150331    46.8
20150401 20150430 99999.9
20150501 20150531    26.0
20150601 20150630    17.4
20150701 20150731    25.8
20150801 20150831    41.8
20150901 20150930    11.2
20151001 20151031    31.6
20151101 20151130    58.6
20151201 20151231    62.2
20160101 20160131    52.4
20160201 20160229    59.4
20160301 20160331     3.4
20160401 20160430     0.8
20160501 20160531    14.1
20160601 20160630    54.2
20160701 20160731    47.9
20160801 20160831    44.9
20160901 20160930   165.9
20161001 20161031    30.2
20161101 20161130    22.8
20161201 20161231    28.4
20170101 20170131    76.4
20170201 20170228    72.6
20170301 20170331    97.0
20170401 20170430     8.2
20170501 20170531    12.6
20170601 20170630     8.6
20170701 20170731    17.0
20170801 20170831     4.5
20170901 20170930     0.0
20171001 20171031    79.1
20171101 20171130    56.6
20171201 20171231    32.0
