PRCP       005004 18970101 20140131 missing_value=99999.9 EXMOUTH GULF                              
19181201 19181231     0.0
19190101 19190131     0.0
19190201 19190228     0.0
19190301 19190331     0.0
19190401 19190430    13.6
19190501 19190531     4.6
19190601 19190630     9.0
19190701 19190731     0.0
19190801 19190831    12.2
19190901 19190930     0.5
19191001 19191031     0.0
19191101 19191130     2.7
19191201 19191231    39.4
19200101 19200131    19.3
19200201 19200229    71.7
19200301 19200331    20.7
19200401 19200430    44.0
19200501 19200531     1.4
19200601 19200630    52.2
19200701 19200731     3.2
19200801 19200831    16.1
19200901 19200930    20.4
19201001 19201031     0.0
19201101 19201130     0.0
19201201 19201231    14.7
19210101 19210131     2.2
19210201 19210228   332.2
19210301 19210331    64.1
19210401 19210430    19.3
19210501 19210531    82.2
19210601 19210630     4.4
19210701 19210731    13.1
19210801 19210831    74.8
19210901 19210930     0.0
19211001 19211031     0.0
19211101 19211130     0.0
19211201 19211231     0.0
19220101 19220131     0.0
19220201 19220228     5.1
19220301 19220331    95.7
19220401 19220430    13.6
19220501 19220531    60.7
19220601 19220630    27.5
19220701 19220731    13.3
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031     6.0
19221101 19221130     8.1
19221201 19221231     0.0
19230101 19230131   195.8
19230201 19230228    38.8
19230301 19230331   165.5
19230401 19230430   106.6
19230501 19230531     8.1
19230601 19230630    23.1
19230701 19230731    12.7
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231     1.9
19240101 19240131     0.0
19240201 19240229     1.4
19240301 19240331     3.0
19240401 19240430     3.3
19240501 19240531    10.4
19240601 19240630    71.2
19240701 19240731    34.5
19240801 19240831     0.5
19240901 19240930     0.0
19241001 19241031     0.0
19241101 19241130     0.0
19241201 19241231     1.9
19250101 19250131    12.0
19250201 19250228    40.3
19250301 19250331    10.7
19250401 19250430     0.0
19250501 19250531   134.5
19250601 19250630    35.3
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130     0.0
19251201 19251231     0.0
19260101 19260131     2.1
19260201 19260228    56.0
19260301 19260331    24.9
19260401 19260430     0.0
19260501 19260531    32.2
19260601 19260630     0.0
19260701 19260731     8.7
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031     0.0
19261101 19261130     0.0
19261201 19261231    32.1
19270101 19270131    40.8
19270201 19270228     0.0
19270301 19270331    90.8
19270401 19270430     0.0
19270501 19270531    31.0
19270601 19270630   187.0
19270701 19270731    31.0
19270801 19270831     0.0
19270901 19270930     1.4
19271001 19271031     2.1
19271101 19271130     0.0
19271201 19271231     6.8
19280101 19280131     1.9
19280201 19280229     0.0
19280301 19280331     9.2
19280401 19280430     3.9
19280501 19280531    21.0
19280601 19280630    13.9
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130     0.0
19281201 19281231     4.6
19290101 19290131     0.0
19290201 19290228    73.1
