PRCP       026010 19010101 20170228 missing_value=99999.9 KEILIRA STATION                           
19221201 19221231    34.6
19230101 19230131     8.4
19230201 19230228     2.3
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531   109.5
19230601 19230630   163.6
19230701 19230731   103.9
19230801 19230831    51.7
19230901 19230930    52.9
19231001 19231031    34.0
19231101 19231130    14.3
19231201 19231231    43.7
19240101 19240131    26.8
19240201 19240229    52.9
19240301 19240331    61.8
19240401 19240430    39.1
19240501 19240531    46.4
19240601 19240630    72.2
19240701 19240731    27.9
19240801 19240831    64.7
19240901 19240930    72.0
19241001 19241031    45.3
19241101 19241130    49.3
19241201 19241231     9.5
19250101 19250131    11.6
19250201 19250228    21.8
19250301 19250331     2.6
19250401 19250430    57.3
19250501 19250531   187.4
19250601 19250630    59.9
19250701 19250731    89.6
19250801 19250831    45.1
19250901 19250930   109.1
19251001 19251031    17.5
19251101 19251130    21.9
19251201 19251231     2.3
19260101 19260131     0.0
19260201 19260228    18.4
19260301 19260331     1.4
19260401 19260430   112.0
19260501 19260531   103.3
19260601 19260630    51.0
19260701 19260731    87.0
19260801 19260831    95.9
19260901 19260930    30.1
19261001 19261031    68.5
19261101 19261130    26.9
19261201 19261231    33.5
19270101 19270131    17.0
19270201 19270228    30.7
19270301 19270331    21.9
19270401 19270430     0.0
19270501 19270531   118.0
19270601 19270630    48.2
19270701 19270731    97.5
19270801 19270831   103.7
19270901 19270930    15.1
19271001 19271031    18.7
19271101 19271130    46.9
19271201 19271231    40.8
19280101 19280131     9.4
19280201 19280229    26.6
19280301 19280331    30.1
19280401 19280430    27.4
19280501 19280531    71.7
19280601 19280630   138.2
19280701 19280731    97.6
19280801 19280831    49.5
19280901 19280930    72.3
19281001 19281031    83.9
19281101 19281130    14.6
19281201 19281231     9.9
19290101 19290131    30.9
19290201 19290228     8.1
19290301 19290331     3.1
19290401 19290430    29.0
19290501 19290531    60.2
19290601 19290630    94.7
19290701 19290731   121.1
19290801 19290831    71.7
19290901 19290930    71.7
19291001 19291031    32.3
19291101 19291130    11.2
19291201 19291231    54.5
19300101 19300131     0.0
19300201 19300228    92.9
19300301 19300331     2.1
19300401 19300430    33.1
19300501 19300531    18.4
19300601 19300630    28.7
19300701 19300731    96.0
19300801 19300831   125.1
19300901 19300930    68.9
19301001 19301031    58.2
19301101 19301130    17.0
19301201 19301231    12.5
19310101 19310131    29.0
19310201 19310228     4.7
19310301 19310331    25.0
19310401 19310430    35.7
19310501 19310531    97.3
19310601 19310630   126.1
19310701 19310731   115.2
19310801 19310831    83.9
19310901 19310930    49.2
19311001 19311031     3.6
19311101 19311130     6.4
19311201 19311231     2.1
19320101 19320131     0.0
19320201 19320229    83.3
19320301 19320331    30.2
19320401 19320430    63.6
19320501 19320531    16.3
19320601 19320630   136.3
19320701 19320731    86.8
19320801 19320831    81.1
19320901 19320930    56.1
19321001 19321031    60.6
19321101 19321130    23.4
19321201 19321231     7.3
19330101 19330131    47.4
19330201 19330228     0.0
19330301 19330331    20.2
19330401 19330430    23.9
19330501 19330531   117.7
19330601 19330630    39.8
19330701 19330731    31.6
19330801 19330831    86.2
19330901 19330930    90.0
19331001 19331031    27.4
19331101 19331130    30.8
19331201 19331231    11.8
19340101 19340131     8.5
19340201 19340228     1.4
19340301 19340331     3.1
19340401 19340430    72.8
19340501 19340531    38.4
19340601 19340630    13.5
19340701 19340731    42.1
19340801 19340831   101.1
19340901 19340930    78.5
19341001 19341031    96.5
19341101 19341130    62.5
19341201 19341231     8.7
19350101 19350131    16.3
19350201 19350228     0.0
19350301 19350331    51.5
19350401 19350430    35.7
19350501 19350531    98.4
19350601 19350630    94.3
19350701 19350731   127.2
19350801 19350831    56.6
19350901 19350930    41.8
19351001 19351031    24.3
19351101 19351130    31.9
19351201 19351231     5.7
19360101 19360131    28.4
19360201 19360229     0.7
19360301 19360331     4.0
19360401 19360430    26.2
19360501 19360531    59.3
19360601 19360630    77.9
19360701 19360731    67.7
19360801 19360831   104.8
19360901 19360930    28.8
19361001 19361031    61.3
19361101 19361130    12.1
19361201 19361231    50.7
19370101 19370131    47.9
19370201 19370228     9.9
19370301 19370331    14.1
19370401 19370430    25.3
19370501 19370531    91.7
19370601 19370630    20.6
19370701 19370731    34.0
19370801 19370831    84.2
19370901 19370930    83.5
19371001 19371031    17.9
19371101 19371130    43.9
19371201 19371231   103.9
19380101 19380131     9.5
19380201 19380228    27.6
19380301 19380331     3.5
19380401 19380430    95.7
19380501 19380531    19.0
19380601 19380630   107.3
19380701 19380731    81.9
19380801 19380831    49.2
19380901 19380930    24.0
19381001 19381031    23.7
19381101 19381130    36.6
19381201 19381231    14.8
19390101 19390131    24.0
19390201 19390228    11.1
19390301 19390331    23.8
19390401 19390430    85.9
19390501 19390531    27.1
19390601 19390630   183.7
19390701 19390731    27.5
19390801 19390831    88.8
19390901 19390930    45.6
19391001 19391031    49.6
19391101 19391130    27.9
19391201 19391231    18.1
19400101 19400131    33.7
19400201 19400229     7.5
19400301 19400331    10.8
19400401 19400430    85.9
19400501 19400531    32.6
19400601 19400630    33.6
19400701 19400731    86.2
19400801 19400831    24.5
19400901 19400930    25.6
19401001 19401031     9.0
19401101 19401130    48.6
19401201 19401231     7.3
19410101 19410131    48.8
19410201 19410228    17.2
19410301 19410331    63.3
19410401 19410430    43.7
19410501 19410531    30.7
19410601 19410630    17.7
19410701 19410731    85.3
19410801 19410831    29.5
19410901 19410930    68.0
19411001 19411031    17.6
19411101 19411130     7.8
19411201 19411231     9.2
19420101 19420131    35.7
19420201 19420228     0.0
19420301 19420331    15.3
19420401 19420430    16.7
19420501 19420531   135.6
19420601 19420630   120.5
19420701 19420731    73.5
19420801 19420831    92.3
19420901 19420930   115.1
19421001 19421031    50.9
19421101 19421130    35.0
19421201 19421231    24.2
19430101 19430131     6.1
19430201 19430228    33.0
19430301 19430331     4.6
19430401 19430430    62.7
19430501 19430531    23.6
19430601 19430630    72.7
19430701 19430731   129.4
19430801 19430831    84.7
19430901 19430930    78.8
19431001 19431031    40.8
19431101 19431130    35.0
19431201 19431231    24.2
19440101 19440131     9.7
19440201 19440229    25.0
19440301 19440331    34.1
19440401 19440430    67.2
19440501 19440531    80.7
19440601 19440630    34.5
19440701 19440731    84.8
19440801 19440831    11.2
19440901 19440930    29.6
19441001 19441031    95.0
19441101 19441130    29.1
19441201 19441231    48.8
19450101 19450131    11.3
19450201 19450228    73.2
19450301 19450331     0.0
19450401 19450430    10.7
19450501 19450531    40.6
19450601 19450630    39.6
19450701 19450731    47.5
19450801 19450831   105.9
19450901 19450930    77.8
19451001 19451031    83.7
19451101 19451130    56.9
19451201 19451231    47.0
19460101 19460131    78.3
19460201 19460228   104.8
19460301 19460331    99.3
19460401 19460430    16.5
19460501 19460531    67.2
19460601 19460630    44.4
19460701 19460731   144.0
19460801 19460831    58.6
19460901 19460930    43.6
19461001 19461031    37.8
19461101 19461130    14.5
19461201 19461231    22.8
19470101 19470131     4.1
19470201 19470228     4.1
19470301 19470331   127.7
19470401 19470430    55.9
19470501 19470531    67.5
19470601 19470630    83.2
19470701 19470731   163.2
19470801 19470831    84.2
19470901 19470930    79.8
19471001 19471031    86.9
19471101 19471130    70.1
19471201 19471231    63.6
19480101 19480131     5.9
19480201 19480229    25.2
19480301 19480331     8.4
19480401 19480430    78.0
19480501 19480531    37.7
19480601 19480630    45.5
19480701 19480731    78.5
19480801 19480831    93.1
19480901 19480930    40.8
19481001 19481031    72.7
19481101 19481130    66.3
19481201 19481231    22.2
19490101 19490131    12.2
19490201 19490228    82.1
19490301 19490331     2.8
19490401 19490430     4.3
19490501 19490531    68.9
19490601 19490630    15.4
19490701 19490731    55.9
19490801 19490831    39.1
19490901 19490930    49.1
19491001 19491031   102.2
19491101 19491130    50.5
19491201 19491231     3.6
19500101 19500131     3.3
19500201 19500228     6.8
19500301 19500331    21.1
19500401 19500430    30.7
19500501 19500531    77.0
19500601 19500630    38.9
19500701 19500731    48.7
19500801 19500831    51.1
19500901 19500930   101.2
19501001 19501031    84.8
19501101 19501130    21.4
