PRCP       026010 19010101 20170228 missing_value=99999.9 KEILIRA STATION                           
19961101 19961130     4.4
19961201 19961231    10.6
19970101 19970131    36.8
19970201 19970228    12.6
19970301 19970331    21.6
19970401 19970430     7.4
19970501 19970531    83.2
19970601 19970630    31.0
19970701 19970731    35.5
19970801 19970831    69.7
19970901 19970930    52.2
19971001 19971031    41.0
19971101 19971130    57.8
19971201 19971231     2.0
19980101 19980131    15.8
19980201 19980228    16.9
19980301 19980331     7.9
19980401 19980430    65.0
19980501 19980531    26.4
19980601 19980630    64.0
19980701 19980731    76.2
19980801 19980831    40.2
19980901 19980930    82.4
19981001 19981031    38.2
19981101 19981130    14.2
19981201 19981231     5.8
19990101 19990131     2.8
19990201 19990228     7.2
19990301 19990331    21.3
19990401 19990430     6.8
19990501 19990531    69.8
19990601 19990630    67.6
19990701 19990731    52.4
19990801 19990831    46.2
19990901 19990930    67.8
19991001 19991031    32.0
19991101 19991130    44.0
19991201 19991231    63.8
20000101 20000131     5.8
20000201 20000229    45.6
20000301 20000331    19.9
20000401 20000430    45.0
20000501 20000531   132.6
20000601 20000630    90.4
20000701 20000731    89.2
20000801 20000831    73.0
20000901 20000930    78.6
20001001 20001031    81.8
20001101 20001130    24.0
20001201 20001231     7.8
20010101 20010131     3.8
20010201 20010228    23.8
20010301 20010331    52.2
20010401 20010430    25.0
20010501 20010531    60.8
20010601 20010630    77.0
20010701 20010731    37.4
20010801 20010831   105.8
20010901 20010930    80.2
20011001 20011031    70.6
20011101 20011130    39.2
20011201 20011231    37.2
20020101 20020131    22.4
20020201 20020228     2.0
20020301 20020331    13.4
20020401 20020430    20.4
20020501 20020531    40.2
20020601 20020630    75.8
20020701 20020731   112.4
20020801 20020831    51.2
20020901 20020930    50.2
20021001 20021031    29.6
20021101 20021130    43.0
20021201 20021231    45.0
20030101 20030131    29.2
20030201 20030228    28.6
20030301 20030331    20.4
20030401 20030430    31.4
20030501 20030531    23.6
20030601 20030630   129.8
20030701 20030731    72.2
20030801 20030831   123.4
20030901 20030930    53.0
20031001 20031031    52.8
20031101 20031130    20.2
20031201 20031231    19.8
20040101 20040131    23.0
20040201 20040229     6.9
20040301 20040331    19.2
20040401 20040430    15.2
20040501 20040531    42.4
20040601 20040630   109.4
20040701 20040731    65.2
20040801 20040831    86.8
20040901 20040930    47.1
20041001 20041031    18.7
20041101 20041130    43.8
20041201 20041231    20.0
20050101 20050131     6.7
20050201 20050228    26.6
20050301 20050331     4.6
20050401 20050430    11.2
20050501 20050531    11.2
20050601 20050630   131.2
20050701 20050731    52.4
20050801 20050831    77.2
20050901 20050930    41.6
20051001 20051031    64.8
20051101 20051130    34.4
20051201 20051231    35.0
20060101 20060131    23.2
20060201 20060228    48.6
20060301 20060331    15.8
20060401 20060430    42.6
20060501 20060531    37.8
20060601 20060630    17.4
20060701 20060731    35.6
20060801 20060831    21.8
20060901 20060930    43.0
20061001 20061031     3.4
20061101 20061130     9.2
20061201 20061231    16.4
20070101 20070131    87.4
20070201 20070228     1.2
20070301 20070331    12.0
20070401 20070430    26.2
20070501 20070531   112.2
20070601 20070630    26.4
20070701 20070731    83.4
20070801 20070831    30.8
20070901 20070930    44.0
20071001 20071031    50.6
20071101 20071130    58.0
20071201 20071231    20.4
20080101 20080131     6.2
20080201 20080229     7.8
20080301 20080331     2.9
20080401 20080430    24.0
20080501 20080531    59.4
20080601 20080630    40.2
20080701 20080731    64.3
20080801 20080831    79.6
20080901 20080930    28.2
20081001 20081031     7.0
20081101 20081130    24.4
20081201 20081231    88.8
20090101 20090131     2.0
20090201 20090228     0.0
20090301 20090331    21.2
20090401 20090430    49.0
20090501 20090531    19.0
20090601 20090630    54.0
20090701 20090731   137.4
20090801 20090831   103.8
20090901 20090930   100.4
20091001 20091031    40.0
20091101 20091130    58.8
20091201 20091231    25.2
20100101 20100131    15.2
20100201 20100228    22.8
20100301 20100331    36.2
20100401 20100430    62.2
20100501 20100531    32.0
20100601 20100630    64.6
20100701 20100731    54.4
20100801 20100831   122.6
20100901 20100930    68.8
20101001 20101031    25.2
20101101 20101130    47.0
20101201 20101231   185.0
20110101 20110131    43.2
20110201 20110228    64.4
20110301 20110331    92.8
20110401 20110430    28.0
20110501 20110531    37.0
20110601 20110630    61.2
20110701 20110731    99.4
20110801 20110831    61.0
20110901 20110930    58.4
20111001 20111031    37.2
20111101 20111130    35.4
20111201 20111231    13.0
20120101 20120131     0.8
20120201 20120229 99999.9
20120301 20120331 99999.9
20120401 20120430    34.6
20120501 20120531    44.2
20120601 20120630    76.4
20120701 20120731    71.6
20120801 20120831 99999.9
20120901 20120930    36.6
20121001 20121031    25.8
20121101 20121130    11.8
20121201 20121231    17.2
20130101 20130131     0.4
20130201 20130228    21.8
20130301 20130331    16.0
20130401 20130430    20.4
20130501 20130531    78.2
20130601 20130630    63.8
20130701 20130731   139.0
20130801 20130831   121.4
20130901 20130930    75.0
20131001 20131031    48.0
20131101 20131130    26.0
20131201 20131231    25.6
20140101 20140131 99999.9
20140201 20140228 99999.9
20140301 20140331    19.4
20140401 20140430 99999.9
20140501 20140531    50.0
20140601 20140630   105.8
20140701 20140731    80.8
20140801 20140831    21.8
20140901 20140930 99999.9
20141001 20141031     9.4
20141101 20141130    11.2
20141201 20141231    10.4
20150101 20150131    60.4
20150201 20150228     0.0
20150301 20150331    10.4
20150401 20150430    38.8
20150501 20150531    67.6
20150601 20150630    30.8
20150701 20150731    72.3
20150801 20150831    42.5
20150901 20150930    25.8
20151001 20151031     2.8
20151101 20151130    35.0
20151201 20151231    11.0
20160101 20160131    25.4
20160201 20160229    34.2
20160301 20160331    15.0
20160401 20160430    20.8
20160501 20160531    69.8
20160601 20160630    66.0
20160701 20160731   127.0
20160801 20160831    84.2
20160901 20160930    96.8
20161001 20161031    68.8
20161101 20161130    13.2
20161201 20161231    50.2
20170101 20170131    35.0
20170201 20170228    16.2
